#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.73360E+03    0.21769E-01    0.82762E-03    0.21769E-01    0.98017E-06   -0.13661E-07    0.82762E-03   -0.13661E-07    0.69508E-08
     3    0.71799E+03    0.49099E-01    0.58853E-03    0.49099E-01    0.46444E-05   -0.16384E-07    0.58853E-03   -0.16384E-07    0.42304E-08
     4    0.70014E+03    0.83712E-01    0.44733E-03    0.83712E-01    0.13401E-04   -0.17812E-07    0.44733E-03   -0.17812E-07    0.29299E-08
     5    0.68738E+03    0.12498E+00    0.35492E-03    0.12498E+00    0.30275E-04   -0.18715E-07    0.35492E-03   -0.18715E-07    0.21811E-08
     6    0.67974E+03    0.17237E+00    0.29030E-03    0.17237E+00    0.58857E-04   -0.19305E-07    0.29030E-03   -0.19305E-07    0.17007E-08
     7    0.67622E+03    0.22535E+00    0.24288E-03    0.22535E+00    0.10326E-03   -0.19712E-07    0.24288E-03   -0.19712E-07    0.13703E-08
     8    0.67549E+03    0.28325E+00    0.20682E-03    0.28325E+00    0.16805E-03   -0.20024E-07    0.20682E-03   -0.20024E-07    0.11314E-08
     9    0.67716E+03    0.34562E+00    0.17857E-03    0.34562E+00    0.25830E-03   -0.20291E-07    0.17857E-03   -0.20291E-07    0.95213E-09
    10    0.68061E+03    0.41176E+00    0.15594E-03    0.41176E+00    0.37925E-03   -0.20490E-07    0.15594E-03   -0.20490E-07    0.81351E-09
    11    0.68544E+03    0.48125E+00    0.13754E-03    0.48125E+00    0.53692E-03   -0.20628E-07    0.13754E-03   -0.20628E-07    0.70394E-09
    12    0.69185E+03    0.55391E+00    0.12228E-03    0.55391E+00    0.73731E-03   -0.20688E-07    0.12228E-03   -0.20688E-07    0.61535E-09
    13    0.69899E+03    0.62845E+00    0.10957E-03    0.62845E+00    0.98676E-03   -0.20729E-07    0.10957E-03   -0.20729E-07    0.54284E-09
    14    0.70684E+03    0.70452E+00    0.98755E-04    0.70452E+00    0.12915E-02   -0.20752E-07    0.98755E-04   -0.20752E-07    0.48245E-09
