#           k/h    P           
    0.10000E-03    0.96313E-01
    0.10202E-03    0.98200E-01
    0.10408E-03    0.10012E+00
    0.10618E-03    0.10208E+00
    0.10833E-03    0.10408E+00
    0.11052E-03    0.10612E+00
    0.11275E-03    0.10820E+00
    0.11503E-03    0.11032E+00
    0.11735E-03    0.11248E+00
    0.11972E-03    0.11468E+00
    0.12214E-03    0.11693E+00
    0.12461E-03    0.11922E+00
    0.12712E-03    0.12155E+00
    0.12969E-03    0.12393E+00
    0.13231E-03    0.12636E+00
    0.13499E-03    0.12883E+00
    0.13771E-03    0.13136E+00
    0.14049E-03    0.13393E+00
    0.14333E-03    0.13655E+00
    0.14623E-03    0.13923E+00
    0.14918E-03    0.14195E+00
    0.15220E-03    0.14473E+00
    0.15527E-03    0.14757E+00
    0.15841E-03    0.15045E+00
    0.16161E-03    0.15340E+00
    0.16487E-03    0.15640E+00
    0.16820E-03    0.15947E+00
    0.17160E-03    0.16259E+00
    0.17507E-03    0.16577E+00
    0.17860E-03    0.16902E+00
    0.18221E-03    0.17233E+00
    0.18589E-03    0.17570E+00
    0.18965E-03    0.17914E+00
    0.19348E-03    0.18265E+00
    0.19739E-03    0.18622E+00
    0.20138E-03    0.18987E+00
    0.20544E-03    0.19358E+00
    0.20959E-03    0.19737E+00
    0.21383E-03    0.20123E+00
    0.21815E-03    0.20517E+00
    0.22255E-03    0.20919E+00
    0.22705E-03    0.21328E+00
    0.23164E-03    0.21746E+00
    0.23632E-03    0.22171E+00
    0.24109E-03    0.22605E+00
    0.24596E-03    0.23047E+00
    0.25093E-03    0.23498E+00
    0.25600E-03    0.23958E+00
    0.26117E-03    0.24427E+00
    0.26645E-03    0.24904E+00
    0.27183E-03    0.25392E+00
    0.27732E-03    0.25888E+00
    0.28292E-03    0.26395E+00
    0.28864E-03    0.26911E+00
    0.29447E-03    0.27437E+00
    0.30042E-03    0.27974E+00
    0.30649E-03    0.28521E+00
    0.31268E-03    0.29078E+00
    0.31899E-03    0.29647E+00
    0.32544E-03    0.30226E+00
    0.33201E-03    0.30817E+00
    0.33872E-03    0.31420E+00
    0.34556E-03    0.32034E+00
    0.35254E-03    0.32660E+00
    0.35966E-03    0.33298E+00
    0.36693E-03    0.33949E+00
    0.37434E-03    0.34612E+00
    0.38190E-03    0.35288E+00
    0.38962E-03    0.35977E+00
    0.39749E-03    0.36680E+00
    0.40552E-03    0.37396E+00
    0.41371E-03    0.38126E+00
    0.42207E-03    0.38871E+00
    0.43060E-03    0.39629E+00
    0.43929E-03    0.40403E+00
    0.44817E-03    0.41191E+00
    0.45722E-03    0.41995E+00
    0.46646E-03    0.42814E+00
    0.47588E-03    0.43649E+00
    0.48550E-03    0.44500E+00
    0.49530E-03    0.45368E+00
    0.50531E-03    0.46252E+00
    0.51552E-03    0.47154E+00
    0.52593E-03    0.48073E+00
    0.53656E-03    0.49009E+00
    0.54739E-03    0.49964E+00
    0.55845E-03    0.50937E+00
    0.56973E-03    0.51928E+00
    0.58124E-03    0.52939E+00
    0.59299E-03    0.53969E+00
    0.60496E-03    0.55019E+00
    0.61719E-03    0.56089E+00
    0.62965E-03    0.57179E+00
    0.64237E-03    0.58290E+00
    0.65535E-03    0.59423E+00
    0.66859E-03    0.60577E+00
    0.68210E-03    0.61753E+00
    0.69588E-03    0.62951E+00
    0.70993E-03    0.64173E+00
    0.72427E-03    0.65417E+00
    0.73891E-03    0.66685E+00
    0.75383E-03    0.67978E+00
    0.76906E-03    0.69294E+00
    0.78460E-03    0.70636E+00
    0.80045E-03    0.72003E+00
    0.81662E-03    0.73395E+00
    0.83311E-03    0.74814E+00
    0.84994E-03    0.76259E+00
    0.86711E-03    0.77732E+00
    0.88463E-03    0.79232E+00
    0.90250E-03    0.80760E+00
    0.92073E-03    0.82317E+00
    0.93933E-03    0.83902E+00
    0.95831E-03    0.85517E+00
    0.97767E-03    0.87162E+00
    0.99742E-03    0.88837E+00
    0.10176E-02    0.90543E+00
    0.10381E-02    0.92281E+00
    0.10591E-02    0.94050E+00
    0.10805E-02    0.95852E+00
    0.11023E-02    0.97687E+00
    0.11246E-02    0.99555E+00
    0.11473E-02    0.10146E+01
    0.11705E-02    0.10339E+01
    0.11941E-02    0.10536E+01
    0.12182E-02    0.10737E+01
    0.12429E-02    0.10941E+01
    0.12680E-02    0.11149E+01
    0.12936E-02    0.11361E+01
    0.13197E-02    0.11576E+01
    0.13464E-02    0.11795E+01
    0.13736E-02    0.12018E+01
    0.14013E-02    0.12245E+01
    0.14296E-02    0.12476E+01
    0.14585E-02    0.12710E+01
    0.14880E-02    0.12949E+01
    0.15180E-02    0.13192E+01
    0.15487E-02    0.13439E+01
    0.15800E-02    0.13690E+01
    0.16119E-02    0.13945E+01
    0.16445E-02    0.14205E+01
    0.16777E-02    0.14469E+01
    0.17116E-02    0.14737E+01
    0.17462E-02    0.15010E+01
    0.17814E-02    0.15287E+01
    0.18174E-02    0.15568E+01
    0.18541E-02    0.15854E+01
    0.18916E-02    0.16144E+01
    0.19298E-02    0.16439E+01
    0.19688E-02    0.16739E+01
    0.20086E-02    0.17043E+01
    0.20491E-02    0.17352E+01
    0.20905E-02    0.17665E+01
    0.21328E-02    0.17983E+01
    0.21758E-02    0.18306E+01
    0.22198E-02    0.18633E+01
    0.22646E-02    0.18965E+01
    0.23104E-02    0.19301E+01
    0.23571E-02    0.19643E+01
    0.24047E-02    0.19989E+01
    0.24533E-02    0.20339E+01
    0.25028E-02    0.20694E+01
    0.25534E-02    0.21054E+01
    0.26050E-02    0.21418E+01
    0.26576E-02    0.21787E+01
    0.27113E-02    0.22160E+01
    0.27660E-02    0.22538E+01
    0.28219E-02    0.22920E+01
    0.28789E-02    0.23307E+01
    0.29371E-02    0.23698E+01
    0.29964E-02    0.24093E+01
    0.30569E-02    0.24492E+01
    0.31187E-02    0.24895E+01
    0.31817E-02    0.25302E+01
    0.32460E-02    0.25713E+01
    0.33115E-02    0.26128E+01
    0.33784E-02    0.26546E+01
    0.34467E-02    0.26968E+01
    0.35163E-02    0.27394E+01
    0.35874E-02    0.27822E+01
    0.36598E-02    0.28254E+01
    0.37338E-02    0.28689E+01
    0.38092E-02    0.29126E+01
    0.38861E-02    0.29567E+01
    0.39646E-02    0.30010E+01
    0.40447E-02    0.30455E+01
    0.41264E-02    0.30902E+01
    0.42098E-02    0.31351E+01
    0.42948E-02    0.31802E+01
    0.43816E-02    0.32255E+01
    0.44701E-02    0.32709E+01
    0.45604E-02    0.33164E+01
    0.46525E-02    0.33620E+01
    0.47465E-02    0.34077E+01
    0.48424E-02    0.34534E+01
    0.49402E-02    0.34991E+01
    0.50400E-02    0.35449E+01
    0.51419E-02    0.35906E+01
    0.52457E-02    0.36363E+01
    0.53517E-02    0.36818E+01
    0.54598E-02    0.37273E+01
    0.55701E-02    0.37727E+01
    0.56826E-02    0.38179E+01
    0.57974E-02    0.38630E+01
    0.59145E-02    0.39078E+01
    0.60340E-02    0.39524E+01
    0.61559E-02    0.39967E+01
    0.62803E-02    0.40407E+01
    0.64072E-02    0.40844E+01
    0.65366E-02    0.41278E+01
    0.66686E-02    0.41707E+01
    0.68033E-02    0.42133E+01
    0.69408E-02    0.42554E+01
    0.70810E-02    0.42969E+01
    0.72240E-02    0.43380E+01
    0.73700E-02    0.43784E+01
    0.75189E-02    0.44183E+01
    0.76708E-02    0.44575E+01
    0.78257E-02    0.44960E+01
    0.79838E-02    0.45337E+01
    0.81451E-02    0.45706E+01
    0.83096E-02    0.46067E+01
    0.84775E-02    0.46419E+01
    0.86488E-02    0.46761E+01
    0.88235E-02    0.47093E+01
    0.90017E-02    0.47414E+01
    0.91836E-02    0.47724E+01
    0.93691E-02    0.48022E+01
    0.95583E-02    0.48308E+01
    0.97514E-02    0.48580E+01
    0.99484E-02    0.48839E+01
    0.10149E-01    0.49083E+01
    0.10354E-01    0.49312E+01
    0.10564E-01    0.49525E+01
    0.10777E-01    0.49723E+01
    0.10995E-01    0.49904E+01
    0.11217E-01    0.50067E+01
    0.11443E-01    0.50213E+01
    0.11675E-01    0.50341E+01
    0.11910E-01    0.50451E+01
    0.12151E-01    0.50541E+01
    0.12397E-01    0.50612E+01
    0.12647E-01    0.50663E+01
    0.12902E-01    0.50694E+01
    0.13163E-01    0.50704E+01
    0.13429E-01    0.50693E+01
    0.13700E-01    0.50661E+01
    0.13977E-01    0.50608E+01
    0.14259E-01    0.50532E+01
    0.14547E-01    0.50433E+01
    0.14841E-01    0.50311E+01
    0.15141E-01    0.50165E+01
    0.15447E-01    0.49995E+01
    0.15759E-01    0.49801E+01
    0.16077E-01    0.49582E+01
    0.16402E-01    0.49337E+01
    0.16734E-01    0.49066E+01
    0.17072E-01    0.48770E+01
    0.17416E-01    0.48447E+01
    0.17768E-01    0.48099E+01
    0.18127E-01    0.47724E+01
    0.18493E-01    0.47323E+01
    0.18867E-01    0.46898E+01
    0.19248E-01    0.46447E+01
    0.19637E-01    0.45971E+01
    0.20034E-01    0.45471E+01
    0.20438E-01    0.44948E+01
    0.20851E-01    0.44402E+01
    0.21272E-01    0.43833E+01
    0.21702E-01    0.43243E+01
    0.22141E-01    0.42631E+01
    0.22588E-01    0.41999E+01
    0.23044E-01    0.41348E+01
    0.23510E-01    0.40678E+01
    0.23985E-01    0.39991E+01
    0.24469E-01    0.39288E+01
    0.24964E-01    0.38570E+01
    0.25468E-01    0.37840E+01
    0.25982E-01    0.37099E+01
    0.26507E-01    0.36348E+01
    0.27043E-01    0.35591E+01
    0.27589E-01    0.34827E+01
    0.28146E-01    0.34060E+01
    0.28715E-01    0.33291E+01
    0.29295E-01    0.32521E+01
    0.29887E-01    0.31753E+01
    0.30490E-01    0.30989E+01
    0.31106E-01    0.30231E+01
    0.31735E-01    0.29481E+01
    0.32376E-01    0.28741E+01
