#    L    TT             EE             TE             PP             TP          
     2    0.11612E+04    0.13529E-05    0.29823E-01    0.11096E+07    0.32869E+05
     3    0.11108E+04    0.63920E-05    0.67979E-01    0.17078E+07    0.38708E+05
     4    0.10657E+04    0.18405E-04    0.11621E+00    0.22398E+07    0.41343E+05
     5    0.10339E+04    0.41512E-04    0.17356E+00    0.27095E+07    0.42330E+05
     6    0.10135E+04    0.80595E-04    0.23924E+00    0.31236E+07    0.42424E+05
     7    0.10016E+04    0.14124E-03    0.31249E+00    0.34905E+07    0.42013E+05
     8    0.99550E+03    0.22962E-03    0.39235E+00    0.38169E+07    0.41310E+05
     9    0.99416E+03    0.35262E-03    0.47817E+00    0.41086E+07    0.40433E+05
    10    0.99642E+03    0.51733E-03    0.56899E+00    0.43695E+07    0.39455E+05
    11    0.10014E+04    0.73190E-03    0.66415E+00    0.46046E+07    0.38444E+05
    12    0.10092E+04    0.10044E-02    0.76342E+00    0.48148E+07    0.37404E+05
    13    0.10186E+04    0.13435E-02    0.86498E+00    0.50054E+07    0.36396E+05
    14    0.10294E+04    0.17574E-02    0.96837E+00    0.51764E+07    0.35388E+05
    15    0.10414E+04    0.22563E-02    0.10727E+01    0.53315E+07    0.34411E+05
    16    0.10549E+04    0.28501E-02    0.11784E+01    0.54717E+07    0.33450E+05
    17    0.10692E+04    0.35488E-02    0.12835E+01    0.55974E+07    0.32521E+05
    18    0.10840E+04    0.43604E-02    0.13870E+01    0.57116E+07    0.31627E+05
    19    0.11006E+04    0.53001E-02    0.14899E+01    0.58146E+07    0.30774E+05
    20    0.11174E+04    0.63730E-02    0.15904E+01    0.59070E+07    0.29941E+05
    21    0.11349E+04    0.75909E-02    0.16875E+01    0.59900E+07    0.29142E+05
    22    0.11528E+04    0.89650E-02    0.17809E+01    0.60649E+07    0.28375E+05
    23    0.11712E+04    0.10506E-01    0.18698E+01    0.61319E+07    0.27637E+05
    24    0.11901E+04    0.12224E-01    0.19529E+01    0.61912E+07    0.26932E+05
    25    0.12095E+04    0.14129E-01    0.20303E+01    0.62442E+07    0.26255E+05
    26    0.12292E+04    0.16232E-01    0.21019E+01    0.62912E+07    0.25599E+05
    27    0.12494E+04    0.18544E-01    0.21666E+01    0.63322E+07    0.24969E+05
    28    0.12698E+04    0.21076E-01    0.22231E+01    0.63682E+07    0.24365E+05
    29    0.12907E+04    0.23836E-01    0.22708E+01    0.63991E+07    0.23788E+05
    30    0.13118E+04    0.26834E-01    0.23107E+01    0.64256E+07    0.23228E+05
    31    0.13332E+04    0.30081E-01    0.23414E+01    0.64476E+07    0.22687E+05
    32    0.13549E+04    0.33588E-01    0.23621E+01    0.64660E+07    0.22168E+05
