#           k/h    P           
    0.10000E-03    0.43816E+03
    0.10202E-03    0.44673E+03
    0.10408E-03    0.45548E+03
    0.10618E-03    0.46440E+03
    0.10833E-03    0.47349E+03
    0.11052E-03    0.48276E+03
    0.11275E-03    0.49222E+03
    0.11503E-03    0.50185E+03
    0.11735E-03    0.51168E+03
    0.11972E-03    0.52170E+03
    0.12214E-03    0.53191E+03
    0.12461E-03    0.54232E+03
    0.12712E-03    0.55294E+03
    0.12969E-03    0.56376E+03
    0.13231E-03    0.57480E+03
    0.13499E-03    0.58605E+03
    0.13771E-03    0.59752E+03
    0.14049E-03    0.60922E+03
    0.14333E-03    0.62114E+03
    0.14623E-03    0.63330E+03
    0.14918E-03    0.64569E+03
    0.15220E-03    0.65833E+03
    0.15527E-03    0.67121E+03
    0.15841E-03    0.68435E+03
    0.16161E-03    0.69774E+03
    0.16487E-03    0.71139E+03
    0.16820E-03    0.72531E+03
    0.17160E-03    0.73950E+03
    0.17507E-03    0.75397E+03
    0.17860E-03    0.76872E+03
    0.18221E-03    0.78376E+03
    0.18589E-03    0.79909E+03
    0.18965E-03    0.81472E+03
    0.19348E-03    0.83065E+03
    0.19739E-03    0.84690E+03
    0.20138E-03    0.86346E+03
    0.20544E-03    0.88035E+03
    0.20959E-03    0.89756E+03
    0.21383E-03    0.91511E+03
    0.21815E-03    0.93300E+03
    0.22255E-03    0.95124E+03
    0.22705E-03    0.96984E+03
    0.23164E-03    0.98879E+03
    0.23632E-03    0.10081E+04
    0.24109E-03    0.10278E+04
    0.24596E-03    0.10479E+04
    0.25093E-03    0.10684E+04
    0.25600E-03    0.10892E+04
    0.26117E-03    0.11105E+04
    0.26645E-03    0.11322E+04
    0.27183E-03    0.11543E+04
    0.27732E-03    0.11769E+04
    0.28292E-03    0.11999E+04
    0.28864E-03    0.12233E+04
    0.29447E-03    0.12472E+04
    0.30042E-03    0.12715E+04
    0.30649E-03    0.12963E+04
    0.31268E-03    0.13216E+04
    0.31899E-03    0.13474E+04
    0.32544E-03    0.13737E+04
    0.33201E-03    0.14005E+04
    0.33872E-03    0.14278E+04
    0.34556E-03    0.14556E+04
    0.35254E-03    0.14840E+04
    0.35966E-03    0.15129E+04
    0.36693E-03    0.15424E+04
    0.37434E-03    0.15724E+04
    0.38190E-03    0.16030E+04
    0.38962E-03    0.16343E+04
    0.39749E-03    0.16661E+04
    0.40552E-03    0.16985E+04
    0.41371E-03    0.17315E+04
    0.42207E-03    0.17652E+04
    0.43060E-03    0.17996E+04
    0.43929E-03    0.18345E+04
    0.44817E-03    0.18702E+04
    0.45722E-03    0.19065E+04
    0.46646E-03    0.19436E+04
    0.47588E-03    0.19813E+04
    0.48550E-03    0.20198E+04
    0.49530E-03    0.20590E+04
    0.50531E-03    0.20989E+04
    0.51552E-03    0.21396E+04
    0.52593E-03    0.21811E+04
    0.53656E-03    0.22233E+04
    0.54739E-03    0.22664E+04
    0.55845E-03    0.23103E+04
    0.56973E-03    0.23550E+04
    0.58124E-03    0.24005E+04
    0.59299E-03    0.24470E+04
    0.60496E-03    0.24942E+04
    0.61719E-03    0.25424E+04
    0.62965E-03    0.25915E+04
    0.64237E-03    0.26415E+04
    0.65535E-03    0.26925E+04
