#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.67001E+03    0.73034E-06    0.00000E+00    0.16036E-01    0.27860E-07    0.20774E-02   -0.25462E-07
     3    0.63358E+03    0.34453E-05    0.00000E+00    0.36740E-01    0.33860E-07    0.20350E-02   -0.43332E-07
     4    0.60303E+03    0.99099E-05    0.00000E+00    0.62886E-01    0.38992E-07    0.19625E-02   -0.60879E-07
     5    0.58164E+03    0.22332E-04    0.00000E+00    0.93933E-01    0.43422E-07    0.18821E-02   -0.78348E-07
     6    0.56767E+03    0.43327E-04    0.00000E+00    0.12944E+00    0.47263E-07    0.18018E-02   -0.95601E-07
     7    0.55917E+03    0.75883E-04    0.00000E+00    0.16900E+00    0.50621E-07    0.17246E-02   -0.11267E-06
     8    0.55445E+03    0.12330E-03    0.00000E+00    0.21207E+00    0.53574E-07    0.16515E-02   -0.12972E-06
     9    0.55269E+03    0.18927E-03    0.00000E+00    0.25830E+00    0.56186E-07    0.15827E-02   -0.14685E-06
    10    0.55322E+03    0.27756E-03    0.00000E+00    0.30717E+00    0.58496E-07    0.15179E-02   -0.16382E-06
    11    0.55544E+03    0.39254E-03    0.00000E+00    0.35830E+00    0.60558E-07    0.14576E-02   -0.18054E-06
    12    0.55938E+03    0.53852E-03    0.00000E+00    0.41157E+00    0.62374E-07    0.14008E-02   -0.19673E-06
    13    0.56434E+03    0.72008E-03    0.00000E+00    0.46599E+00    0.64004E-07    0.13485E-02   -0.21276E-06
    14    0.57022E+03    0.94171E-03    0.00000E+00    0.52132E+00    0.65442E-07    0.12991E-02   -0.22861E-06
    15    0.57684E+03    0.12087E-02    0.00000E+00    0.57706E+00    0.66731E-07    0.12529E-02   -0.24451E-06
    16    0.58436E+03    0.15265E-02    0.00000E+00    0.63342E+00    0.67876E-07    0.12090E-02   -0.26031E-06
    17    0.59243E+03    0.19003E-02    0.00000E+00    0.68937E+00    0.68880E-07    0.11678E-02   -0.27590E-06
    18    0.60078E+03    0.23345E-02    0.00000E+00    0.74433E+00    0.69776E-07    0.11291E-02   -0.29125E-06
    19    0.61020E+03    0.28371E-02    0.00000E+00    0.79885E+00    0.70567E-07    0.10928E-02   -0.30651E-06
    20    0.61983E+03    0.34108E-02    0.00000E+00    0.85196E+00    0.71254E-07    0.10581E-02   -0.32138E-06
    21    0.62983E+03    0.40621E-02    0.00000E+00    0.90313E+00    0.71853E-07    0.10253E-02   -0.33601E-06
    22    0.64015E+03    0.47968E-02    0.00000E+00    0.95216E+00    0.72375E-07    0.99421E-03   -0.35048E-06
    23    0.65077E+03    0.56207E-02    0.00000E+00    0.99864E+00    0.72824E-07    0.96475E-03   -0.36483E-06
    24    0.66172E+03    0.65389E-02    0.00000E+00    0.10418E+01    0.73199E-07    0.93687E-03   -0.37883E-06
    25    0.67294E+03    0.75574E-02    0.00000E+00    0.10819E+01    0.73516E-07    0.91037E-03   -0.39265E-06
    26    0.68441E+03    0.86816E-02    0.00000E+00    0.11186E+01    0.73776E-07    0.88500E-03   -0.40625E-06
    27    0.69614E+03    0.99176E-02    0.00000E+00    0.11515E+01    0.73980E-07    0.86081E-03   -0.41968E-06
    28    0.70805E+03    0.11271E-01    0.00000E+00    0.11798E+01    0.74138E-07    0.83782E-03   -0.43293E-06
    29    0.72027E+03    0.12746E-01    0.00000E+00    0.12032E+01    0.74249E-07    0.81597E-03   -0.44592E-06
    30    0.73263E+03    0.14348E-01    0.00000E+00    0.12223E+01    0.74320E-07    0.79494E-03   -0.45867E-06
    31    0.74516E+03    0.16084E-01    0.00000E+00    0.12363E+01    0.74348E-07    0.77475E-03   -0.47120E-06
