#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10887E+04    0.33097E-01    0.12019E-02    0.33097E-01    0.14958E-05   -0.20705E-07    0.12019E-02   -0.20705E-07    0.10553E-07
     3    0.10685E+04    0.74548E-01    0.85636E-03    0.74548E-01    0.70916E-05   -0.24824E-07    0.85636E-03   -0.24824E-07    0.64176E-08
     4    0.10441E+04    0.12706E+00    0.65125E-03    0.12706E+00    0.20470E-04   -0.26987E-07    0.65125E-03   -0.26987E-07    0.44414E-08
     5    0.10266E+04    0.18971E+00    0.51664E-03    0.18971E+00    0.46256E-04   -0.28357E-07    0.51664E-03   -0.28357E-07    0.33043E-08
     6    0.10165E+04    0.26168E+00    0.42238E-03    0.26168E+00    0.89946E-04   -0.29252E-07    0.42238E-03   -0.29252E-07    0.25749E-08
     7    0.10121E+04    0.34216E+00    0.35317E-03    0.34216E+00    0.15783E-03   -0.29870E-07    0.35317E-03   -0.29870E-07    0.20734E-08
     8    0.10118E+04    0.43015E+00    0.30050E-03    0.43015E+00    0.25689E-03   -0.30346E-07    0.30050E-03   -0.30346E-07    0.17110E-08
     9    0.10148E+04    0.52499E+00    0.25924E-03    0.52499E+00    0.39491E-03   -0.30753E-07    0.25924E-03   -0.30753E-07    0.14391E-08
    10    0.10204E+04    0.62558E+00    0.22619E-03    0.62558E+00    0.57990E-03   -0.31058E-07    0.22619E-03   -0.31058E-07    0.12290E-08
    11    0.10281E+04    0.73130E+00    0.19933E-03    0.73130E+00    0.82107E-03   -0.31270E-07    0.19933E-03   -0.31270E-07    0.10629E-08
    12    0.10380E+04    0.84186E+00    0.17706E-03    0.84186E+00    0.11276E-02   -0.31363E-07    0.17706E-03   -0.31363E-07    0.92868E-09
    13    0.10489E+04    0.95533E+00    0.15854E-03    0.95533E+00    0.15092E-02   -0.31428E-07    0.15854E-03   -0.31428E-07    0.81885E-09
    14    0.10608E+04    0.10712E+01    0.14279E-03    0.10712E+01    0.19754E-02   -0.31467E-07    0.14279E-03   -0.31467E-07    0.72742E-09
    15    0.10736E+04    0.11884E+01    0.12934E-03    0.11884E+01    0.25375E-02   -0.31513E-07    0.12934E-03   -0.31513E-07    0.65063E-09
    16    0.10875E+04    0.13075E+01    0.11769E-03    0.13075E+01    0.32068E-02   -0.31539E-07    0.11769E-03   -0.31539E-07    0.58538E-09
    17    0.11022E+04    0.14266E+01    0.10757E-03    0.14266E+01    0.39946E-02   -0.31538E-07    0.10757E-03   -0.31538E-07    0.52932E-09
    18    0.11170E+04    0.15444E+01    0.98718E-04    0.15444E+01    0.49101E-02   -0.31514E-07    0.98718E-04   -0.31514E-07    0.48093E-09
    19    0.11333E+04    0.16619E+01    0.90958E-04    0.16619E+01    0.59704E-02   -0.31493E-07    0.90958E-04   -0.31493E-07    0.43880E-09
    20    0.11498E+04    0.17771E+01    0.84050E-04    0.17771E+01    0.71811E-02   -0.31438E-07    0.84050E-04   -0.31438E-07    0.40184E-09
    21    0.11667E+04    0.18891E+01    0.77910E-04    0.18891E+01    0.85560E-02   -0.31367E-07    0.77910E-04   -0.31367E-07    0.36925E-09
    22    0.11839E+04    0.19975E+01    0.72420E-04    0.19975E+01    0.10107E-01   -0.31286E-07    0.72420E-04   -0.31286E-07    0.34040E-09
