#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.190370E+08   0.190370E+08   0.247344E+08   0.247334E+08   0.000000E+00   0.190370E+08   0.190370E+08   0.190440E+08  -0.467511E+00   0.976341E+07   0.976341E+07   0.400222E-01
   0.798228E-04   0.190367E+08   0.190367E+08   0.245750E+08   0.245738E+08   0.000000E+00   0.190367E+08   0.190367E+08   0.190437E+08  -0.467502E+00   0.976325E+07   0.976325E+07   0.447120E-01
   0.892035E-04   0.190363E+08   0.190363E+08   0.243773E+08   0.243758E+08   0.000000E+00   0.190363E+08   0.190363E+08   0.190432E+08  -0.467490E+00   0.976305E+07   0.976305E+07   0.499476E-01
   0.996866E-04   0.190358E+08   0.190358E+08   0.241325E+08   0.241306E+08   0.000000E+00   0.190358E+08   0.190358E+08   0.190427E+08  -0.467475E+00   0.976281E+07   0.976281E+07   0.557911E-01
   0.111402E-03   0.190352E+08   0.190352E+08   0.238298E+08   0.238276E+08   0.000000E+00   0.190352E+08   0.190352E+08   0.190420E+08  -0.467457E+00   0.976250E+07   0.976250E+07   0.623111E-01
   0.124493E-03   0.190345E+08   0.190345E+08   0.234568E+08   0.234540E+08   0.000000E+00   0.190345E+08   0.190345E+08   0.190412E+08  -0.467434E+00   0.976212E+07   0.976212E+07   0.695830E-01
   0.139124E-03   0.190336E+08   0.190336E+08   0.229983E+08   0.229950E+08   0.000000E+00   0.190336E+08   0.190336E+08   0.190401E+08  -0.467405E+00   0.976164E+07   0.976164E+07   0.776899E-01
   0.155474E-03   0.190324E+08   0.190324E+08   0.224373E+08   0.224333E+08   0.000000E+00   0.190324E+08   0.190324E+08   0.190388E+08  -0.467370E+00   0.976104E+07   0.976104E+07   0.867224E-01
   0.173745E-03   0.190310E+08   0.190310E+08   0.217543E+08   0.217495E+08   0.000000E+00   0.190310E+08   0.190310E+08   0.190372E+08  -0.467326E+00   0.976030E+07   0.976030E+07   0.967789E-01
   0.194163E-03   0.190292E+08   0.190292E+08   0.209281E+08   0.209223E+08   0.000000E+00   0.190292E+08   0.190292E+08   0.190352E+08  -0.467272E+00   0.975938E+07   0.975938E+07   0.107966E+00
   0.216981E-03   0.190270E+08   0.190270E+08   0.199367E+08   0.199300E+08   0.000000E+00   0.190270E+08   0.190270E+08   0.190327E+08  -0.467204E+00   0.975824E+07   0.975824E+07   0.120398E+00
   0.242480E-03   0.190243E+08   0.190243E+08   0.187593E+08   0.187515E+08   0.000000E+00   0.190243E+08   0.190243E+08   0.190297E+08  -0.467122E+00   0.975682E+07   0.975682E+07   0.134195E+00
   0.270976E-03   0.190209E+08   0.190209E+08   0.173789E+08   0.173702E+08   0.000000E+00   0.190209E+08   0.190209E+08   0.190259E+08  -0.467020E+00   0.975506E+07   0.975506E+07   0.149485E+00
   0.302821E-03   0.190168E+08   0.190168E+08   0.157870E+08   0.157776E+08   0.000000E+00   0.190168E+08   0.190168E+08   0.190213E+08  -0.466895E+00   0.975288E+07   0.975288E+07   0.166399E+00
   0.338408E-03   0.190116E+08   0.190116E+08   0.139895E+08   0.139797E+08   0.000000E+00   0.190116E+08   0.190116E+08   0.190156E+08  -0.466742E+00   0.975019E+07   0.975019E+07   0.185072E+00
   0.378178E-03   0.190053E+08   0.190052E+08   0.120140E+08   0.120043E+08   0.000000E+00   0.190053E+08   0.190053E+08   0.190087E+08  -0.466557E+00   0.974688E+07   0.974688E+07   0.205640E+00
   0.422621E-03   0.189975E+08   0.189974E+08   0.991751E+07   0.990878E+07   0.000000E+00   0.189975E+08   0.189975E+08   0.190003E+08  -0.466333E+00   0.974281E+07   0.974281E+07   0.228237E+00
   0.472287E-03   0.189879E+08   0.189879E+08   0.779251E+07   0.778569E+07   0.000000E+00   0.189879E+08   0.189879E+08   0.189902E+08  -0.466064E+00   0.973784E+07   0.973784E+07   0.253000E+00
   0.527790E-03   0.189763E+08   0.189763E+08   0.576616E+07   0.576217E+07   0.000000E+00   0.189763E+08   0.189763E+08   0.189780E+08  -0.465743E+00   0.973178E+07   0.973178E+07   0.280066E+00
   0.589815E-03   0.189623E+08   0.189622E+08   0.398768E+07   0.398708E+07   0.000000E+00   0.189623E+08   0.189623E+08   0.189634E+08  -0.465362E+00   0.972444E+07   0.972444E+07   0.309578E+00
   0.659130E-03   0.189453E+08   0.189452E+08   0.259762E+07   0.260018E+07   0.000000E+00   0.189453E+08   0.189453E+08   0.189460E+08  -0.464913E+00   0.971559E+07   0.971559E+07   0.341698E+00
   0.736590E-03   0.189249E+08   0.189249E+08   0.167935E+07   0.168370E+07   0.000000E+00   0.189249E+08   0.189249E+08   0.189254E+08  -0.464386E+00   0.970498E+07   0.970498E+07   0.376620E+00
   0.823153E-03   0.189006E+08   0.189005E+08   0.120676E+07   0.121052E+07   0.000000E+00   0.189006E+08   0.189006E+08   0.189010E+08  -0.463769E+00   0.969235E+07   0.969235E+07   0.414576E+00
   0.919889E-03   0.188718E+08   0.188717E+08   0.102358E+07   0.102452E+07   0.000000E+00   0.188718E+08   0.188718E+08   0.188721E+08  -0.463046E+00   0.967739E+07   0.967739E+07   0.455850E+00
   0.102799E-02   0.188377E+08   0.188376E+08   0.899900E+06   0.897682E+06   0.000000E+00   0.188377E+08   0.188377E+08   0.188379E+08  -0.462200E+00   0.965976E+07   0.965976E+07   0.500761E+00
