#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11099E+04    0.29306E-01    0.13604E-02    0.29306E-01    0.13329E-05   -0.18724E-07    0.13604E-02   -0.18724E-07    0.87781E-08
     3    0.10654E+04    0.66691E-01    0.95059E-03    0.66691E-01    0.63012E-05   -0.22501E-07    0.95059E-03   -0.22501E-07    0.53343E-08
     4    0.10248E+04    0.11397E+00    0.71412E-03    0.11397E+00    0.18152E-04   -0.24479E-07    0.71412E-03   -0.24479E-07    0.36873E-08
     5    0.99618E+03    0.17022E+00    0.56149E-03    0.17022E+00    0.40953E-04   -0.25723E-07    0.56149E-03   -0.25723E-07    0.27393E-08
     6    0.97789E+03    0.23467E+00    0.45579E-03    0.23467E+00    0.79528E-04   -0.26532E-07    0.45579E-03   -0.26532E-07    0.21313E-08
     7    0.96747E+03    0.30658E+00    0.37884E-03    0.30658E+00    0.13940E-03   -0.27088E-07    0.37884E-03   -0.27088E-07    0.17134E-08
     8    0.96247E+03    0.38502E+00    0.32070E-03    0.38502E+00    0.22666E-03   -0.27512E-07    0.32070E-03   -0.27512E-07    0.14115E-08
     9    0.96184E+03    0.46934E+00    0.27544E-03    0.46934E+00    0.34814E-03   -0.27867E-07    0.27544E-03   -0.27867E-07    0.11853E-08
    10    0.96454E+03    0.55861E+00    0.23937E-03    0.55861E+00    0.51083E-03   -0.28129E-07    0.23937E-03   -0.28129E-07    0.10105E-08
    11    0.96975E+03    0.65217E+00    0.21019E-03    0.65217E+00    0.72277E-03   -0.28309E-07    0.21019E-03   -0.28309E-07    0.87251E-09
    12    0.97762E+03    0.74980E+00    0.18610E-03    0.74980E+00    0.99199E-03   -0.28386E-07    0.18610E-03   -0.28386E-07    0.76107E-09
    13    0.98693E+03    0.84972E+00    0.16611E-03    0.84972E+00    0.13269E-02   -0.28433E-07    0.16611E-03   -0.28433E-07    0.66997E-09
    14    0.99758E+03    0.95145E+00    0.14917E-03    0.95145E+00    0.17360E-02   -0.28451E-07    0.14917E-03   -0.28451E-07    0.59420E-09
    15    0.10093E+04    0.10542E+01    0.13476E-03    0.10542E+01    0.22289E-02   -0.28475E-07    0.13476E-03   -0.28475E-07    0.53062E-09
    16    0.10225E+04    0.11582E+01    0.12231E-03    0.11582E+01    0.28156E-02   -0.28487E-07    0.12231E-03   -0.28487E-07    0.47664E-09
    17    0.10364E+04    0.12617E+01    0.11152E-03    0.12617E+01    0.35061E-02   -0.28477E-07    0.11152E-03   -0.28477E-07    0.43032E-09
    18    0.10507E+04    0.13637E+01    0.10211E-03    0.13637E+01    0.43080E-02   -0.28444E-07    0.10211E-03   -0.28444E-07    0.39036E-09
    19    0.10667E+04    0.14651E+01    0.93876E-04    0.14651E+01    0.52366E-02   -0.28410E-07    0.93876E-04   -0.28410E-07    0.35561E-09
    20    0.10830E+04    0.15642E+01    0.86562E-04    0.15642E+01    0.62968E-02   -0.28344E-07    0.86562E-04   -0.28344E-07    0.32515E-09
    21    0.10999E+04    0.16599E+01    0.80072E-04    0.16599E+01    0.75004E-02   -0.28265E-07    0.80072E-04   -0.28265E-07    0.29833E-09
    22    0.11172E+04    0.17521E+01    0.74283E-04    0.17521E+01    0.88583E-02   -0.28180E-07    0.74283E-04   -0.28180E-07    0.27460E-09
    23    0.11349E+04    0.18399E+01    0.69094E-04    0.18399E+01    0.10381E-01   -0.28093E-07    0.69094E-04   -0.28093E-07    0.25350E-09
    24    0.11531E+04    0.19219E+01    0.64435E-04    0.19219E+01    0.12078E-01   -0.27990E-07    0.64435E-04   -0.27990E-07    0.23462E-09
    25    0.11718E+04    0.19984E+01    0.60229E-04    0.19984E+01    0.13961E-01   -0.27883E-07    0.60229E-04   -0.27883E-07    0.21769E-09
    26    0.11908E+04    0.20692E+01    0.56407E-04    0.20692E+01    0.16039E-01   -0.27769E-07    0.56407E-04   -0.27769E-07    0.20245E-09
