#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.476597E+06   0.476596E+06   0.635153E+06   0.635135E+06   0.491989E+06   0.476913E+06   0.476596E+06   0.482220E+06  -0.602423E+00   0.475159E+06   0.475159E+06   0.143327E+01
   0.798228E-04   0.476594E+06   0.476594E+06   0.635073E+06   0.635051E+06   0.491964E+06   0.476911E+06   0.476594E+06   0.482217E+06  -0.602419E+00   0.475157E+06   0.475157E+06   0.160170E+01
   0.892035E-04   0.476592E+06   0.476591E+06   0.634974E+06   0.634946E+06   0.491932E+06   0.476907E+06   0.476592E+06   0.482213E+06  -0.602413E+00   0.475154E+06   0.475154E+06   0.178991E+01
   0.996866E-04   0.476588E+06   0.476588E+06   0.634850E+06   0.634814E+06   0.491892E+06   0.476903E+06   0.476588E+06   0.482207E+06  -0.602407E+00   0.475150E+06   0.475150E+06   0.200023E+01
   0.111402E-03   0.476584E+06   0.476583E+06   0.634695E+06   0.634651E+06   0.491842E+06   0.476898E+06   0.476584E+06   0.482201E+06  -0.602398E+00   0.475146E+06   0.475146E+06   0.223525E+01
   0.124493E-03   0.476579E+06   0.476578E+06   0.634501E+06   0.634446E+06   0.491779E+06   0.476892E+06   0.476579E+06   0.482193E+06  -0.602388E+00   0.475140E+06   0.475140E+06   0.249788E+01
   0.139124E-03   0.476573E+06   0.476571E+06   0.634259E+06   0.634191E+06   0.491701E+06   0.476884E+06   0.476572E+06   0.482183E+06  -0.602375E+00   0.475133E+06   0.475133E+06   0.279135E+01
   0.155474E-03   0.476565E+06   0.476562E+06   0.633957E+06   0.633872E+06   0.491604E+06   0.476874E+06   0.476564E+06   0.482170E+06  -0.602358E+00   0.475125E+06   0.475124E+06   0.311928E+01
   0.173745E-03   0.476555E+06   0.476552E+06   0.633580E+06   0.633474E+06   0.491483E+06   0.476861E+06   0.476554E+06   0.482155E+06  -0.602338E+00   0.475114E+06   0.475113E+06   0.348570E+01
   0.194163E-03   0.476542E+06   0.476538E+06   0.633110E+06   0.632977E+06   0.491332E+06   0.476846E+06   0.476541E+06   0.482135E+06  -0.602312E+00   0.475100E+06   0.475100E+06   0.389513E+01
   0.216981E-03   0.476526E+06   0.476522E+06   0.632523E+06   0.632357E+06   0.491142E+06   0.476826E+06   0.476526E+06   0.482111E+06  -0.602280E+00   0.475083E+06   0.475083E+06   0.435259E+01
   0.242480E-03   0.476507E+06   0.476501E+06   0.631791E+06   0.631584E+06   0.490906E+06   0.476802E+06   0.476506E+06   0.482081E+06  -0.602240E+00   0.475062E+06   0.475061E+06   0.486369E+01
   0.270976E-03   0.476482E+06   0.476475E+06   0.630877E+06   0.630619E+06   0.490612E+06   0.476772E+06   0.476481E+06   0.482043E+06  -0.602190E+00   0.475036E+06   0.475035E+06   0.543470E+01
   0.302821E-03   0.476452E+06   0.476443E+06   0.629738E+06   0.629416E+06   0.490245E+06   0.476734E+06   0.476450E+06   0.481996E+06  -0.602128E+00   0.475003E+06   0.475002E+06   0.607258E+01
   0.338408E-03   0.476413E+06   0.476403E+06   0.628318E+06   0.627917E+06   0.489786E+06   0.476687E+06   0.476412E+06   0.481937E+06  -0.602050E+00   0.474962E+06   0.474960E+06   0.678511E+01
   0.378178E-03   0.476366E+06   0.476353E+06   0.626549E+06   0.626050E+06   0.489214E+06   0.476628E+06   0.476364E+06   0.481863E+06  -0.601954E+00   0.474911E+06   0.474909E+06   0.758095E+01
   0.422621E-03   0.476306E+06   0.476290E+06   0.624345E+06   0.623724E+06   0.488502E+06   0.476555E+06   0.476304E+06   0.481771E+06  -0.601833E+00   0.474847E+06   0.474844E+06   0.846969E+01
   0.472287E-03   0.476232E+06   0.476212E+06   0.621603E+06   0.620832E+06   0.487614E+06   0.476463E+06   0.476229E+06   0.481657E+06  -0.601682E+00   0.474767E+06   0.474764E+06   0.946204E+01
   0.527790E-03   0.476140E+06   0.476114E+06   0.618194E+06   0.617237E+06   0.486507E+06   0.476349E+06   0.476136E+06   0.481514E+06  -0.601494E+00   0.474667E+06   0.474663E+06   0.105698E+02
   0.589815E-03   0.476024E+06   0.475992E+06   0.613959E+06   0.612773E+06   0.485130E+06   0.476207E+06   0.476019E+06   0.481336E+06  -0.601260E+00   0.474543E+06   0.474538E+06   0.118061E+02
