#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10131E+04    0.26541E-01    0.12495E-02    0.26541E-01    0.12172E-05   -0.16988E-07    0.12495E-02   -0.16988E-07    0.77894E-08
     3    0.96984E+03    0.60472E-01    0.87054E-03    0.60472E-01    0.57543E-05   -0.20422E-07    0.87054E-03   -0.20422E-07    0.47278E-08
     4    0.93105E+03    0.10338E+00    0.65222E-03    0.10338E+00    0.16575E-04   -0.22221E-07    0.65222E-03   -0.22221E-07    0.32642E-08
     5    0.90371E+03    0.15442E+00    0.51148E-03    0.15442E+00    0.37394E-04   -0.23352E-07    0.51148E-03   -0.23352E-07    0.24220E-08
     6    0.88620E+03    0.21291E+00    0.41411E-03    0.21291E+00    0.72613E-04   -0.24088E-07    0.41411E-03   -0.24088E-07    0.18820E-08
     7    0.87611E+03    0.27815E+00    0.34331E-03    0.27815E+00    0.12727E-03   -0.24594E-07    0.34331E-03   -0.24594E-07    0.15111E-08
     8    0.87112E+03    0.34930E+00    0.28986E-03    0.34930E+00    0.20693E-03   -0.24979E-07    0.28986E-03   -0.24979E-07    0.12433E-08
     9    0.87022E+03    0.42578E+00    0.24832E-03    0.42578E+00    0.31781E-03   -0.25303E-07    0.24832E-03   -0.25303E-07    0.10427E-08
    10    0.87244E+03    0.50673E+00    0.21526E-03    0.50673E+00    0.46629E-03   -0.25541E-07    0.21526E-03   -0.25541E-07    0.88782E-09
    11    0.87701E+03    0.59155E+00    0.18855E-03    0.59155E+00    0.65971E-03   -0.25706E-07    0.18855E-03   -0.25706E-07    0.76560E-09
    12    0.88404E+03    0.68004E+00    0.16653E-03    0.68004E+00    0.90538E-03   -0.25775E-07    0.16653E-03   -0.25775E-07    0.66697E-09
    13    0.89242E+03    0.77057E+00    0.14830E-03    0.77057E+00    0.12110E-02   -0.25818E-07    0.14830E-03   -0.25818E-07    0.58639E-09
    14    0.90205E+03    0.86271E+00    0.13287E-03    0.86271E+00    0.15842E-02   -0.25835E-07    0.13287E-03   -0.25835E-07    0.51942E-09
    15    0.91269E+03    0.95568E+00    0.11977E-03    0.95568E+00    0.20339E-02   -0.25857E-07    0.11977E-03   -0.25857E-07    0.46326E-09
    16    0.92463E+03    0.10498E+01    0.10847E-03    0.10498E+01    0.25691E-02   -0.25867E-07    0.10847E-03   -0.25867E-07    0.41562E-09
    17    0.93733E+03    0.11434E+01    0.98707E-04    0.11434E+01    0.31989E-02   -0.25858E-07    0.98707E-04   -0.25858E-07    0.37476E-09
    18    0.95038E+03    0.12356E+01    0.90202E-04    0.12356E+01    0.39304E-02   -0.25827E-07    0.90202E-04   -0.25827E-07    0.33955E-09
    19    0.96498E+03    0.13271E+01    0.82771E-04    0.13271E+01    0.47773E-02   -0.25795E-07    0.82771E-04   -0.25795E-07    0.30895E-09
    20    0.97987E+03    0.14164E+01    0.76187E-04    0.14164E+01    0.57441E-02   -0.25735E-07    0.76187E-04   -0.25735E-07    0.28215E-09
    21    0.99526E+03    0.15026E+01    0.70357E-04    0.15026E+01    0.68416E-02   -0.25662E-07    0.70357E-04   -0.25662E-07    0.25857E-09
    22    0.10111E+04    0.15854E+01    0.65167E-04    0.15854E+01    0.80796E-02   -0.25585E-07    0.65167E-04   -0.25585E-07    0.23773E-09
