#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.855460E+07   0.855460E+07   0.112850E+08   0.112847E+08   0.856645E+07   0.855465E+07   0.855460E+07   0.855739E+07  -0.582348E+00   0.783014E+07   0.783014E+07   0.522995E-01
   0.798228E-04   0.855454E+07   0.855454E+07   0.112550E+08   0.112545E+08   0.856528E+07   0.855458E+07   0.855454E+07   0.855731E+07  -0.582343E+00   0.783008E+07   0.783008E+07   0.584379E-01
   0.892035E-04   0.855446E+07   0.855446E+07   0.112176E+08   0.112170E+08   0.856383E+07   0.855450E+07   0.855446E+07   0.855722E+07  -0.582336E+00   0.783001E+07   0.783001E+07   0.652946E-01
   0.996866E-04   0.855436E+07   0.855436E+07   0.111710E+08   0.111704E+08   0.856202E+07   0.855439E+07   0.855436E+07   0.855710E+07  -0.582328E+00   0.782991E+07   0.782991E+07   0.729528E-01
   0.111402E-03   0.855424E+07   0.855424E+07   0.111131E+08   0.111123E+08   0.855977E+07   0.855426E+07   0.855424E+07   0.855696E+07  -0.582318E+00   0.782980E+07   0.782980E+07   0.815051E-01
   0.124493E-03   0.855409E+07   0.855409E+07   0.110413E+08   0.110402E+08   0.855695E+07   0.855410E+07   0.855409E+07   0.855678E+07  -0.582305E+00   0.782965E+07   0.782965E+07   0.910540E-01
   0.139124E-03   0.855390E+07   0.855390E+07   0.109521E+08   0.109508E+08   0.855345E+07   0.855390E+07   0.855390E+07   0.855655E+07  -0.582289E+00   0.782947E+07   0.782947E+07   0.101714E+00
   0.155474E-03   0.855366E+07   0.855366E+07   0.108417E+08   0.108402E+08   0.854908E+07   0.855364E+07   0.855366E+07   0.855627E+07  -0.582270E+00   0.782925E+07   0.782925E+07   0.113610E+00
   0.173745E-03   0.855336E+07   0.855336E+07   0.107053E+08   0.107034E+08   0.854364E+07   0.855333E+07   0.855336E+07   0.855592E+07  -0.582245E+00   0.782897E+07   0.782897E+07   0.126882E+00
   0.194163E-03   0.855299E+07   0.855299E+07   0.105373E+08   0.105349E+08   0.853688E+07   0.855293E+07   0.855299E+07   0.855549E+07  -0.582214E+00   0.782862E+07   0.782862E+07   0.141683E+00
   0.216981E-03   0.855253E+07   0.855252E+07   0.103309E+08   0.103281E+08   0.852847E+07   0.855244E+07   0.855253E+07   0.855495E+07  -0.582176E+00   0.782818E+07   0.782818E+07   0.158181E+00
   0.242480E-03   0.855195E+07   0.855194E+07   0.100785E+08   0.100751E+08   0.851804E+07   0.855183E+07   0.855195E+07   0.855427E+07  -0.582128E+00   0.782764E+07   0.782764E+07   0.176559E+00
