#    L    TT             EE             TE             PP             TP          
    75    0.27449E+04    0.49808E+00   -0.11407E+02    0.47889E+07    0.10742E+05
    76    0.27822E+04    0.51590E+00   -0.12082E+02    0.47566E+07    0.10605E+05
    77    0.28197E+04    0.53397E+00   -0.12771E+02    0.47242E+07    0.10470E+05
    78    0.28576E+04    0.55230E+00   -0.13475E+02    0.46920E+07    0.10339E+05
    79    0.28958E+04    0.57082E+00   -0.14190E+02    0.46598E+07    0.10211E+05
    80    0.29344E+04    0.58953E+00   -0.14918E+02    0.46277E+07    0.10085E+05
    81    0.29732E+04    0.60837E+00   -0.15658E+02    0.45957E+07    0.99621E+04
    82    0.30125E+04    0.62734E+00   -0.16410E+02    0.45638E+07    0.98420E+04
    83    0.30520E+04    0.64644E+00   -0.17174E+02    0.45320E+07    0.97245E+04
    84    0.30919E+04    0.66565E+00   -0.17948E+02    0.45003E+07    0.96095E+04
    85    0.31320E+04    0.68494E+00   -0.18734E+02    0.44688E+07    0.94969E+04
    86    0.31724E+04    0.70433E+00   -0.19529E+02    0.44374E+07    0.93867E+04
    87    0.32133E+04    0.72377E+00   -0.20333E+02    0.44062E+07    0.92787E+04
    88    0.32543E+04    0.74329E+00   -0.21146E+02    0.43751E+07    0.91728E+04
    89    0.32957E+04    0.76286E+00   -0.21968E+02    0.43442E+07    0.90690E+04
    90    0.33374E+04    0.78244E+00   -0.22797E+02    0.43134E+07    0.89671E+04
    91    0.33793E+04    0.80202E+00   -0.23633E+02    0.42828E+07    0.88672E+04
    92    0.34216E+04    0.82157E+00   -0.24475E+02    0.42524E+07    0.87691E+04
    93    0.34643E+04    0.84110E+00   -0.25323E+02    0.42222E+07    0.86728E+04
    94    0.35071E+04    0.86055E+00   -0.26175E+02    0.41921E+07    0.85782E+04
    95    0.35502E+04    0.87993E+00   -0.27033E+02    0.41622E+07    0.84853E+04
    96    0.35934E+04    0.89922E+00   -0.27895E+02    0.41326E+07    0.83941E+04
