#    L    TT             EE             BB             TE          
     2    0.93883E+03    0.45790E-05    0.32851E-05    0.28892E-01
     3    0.92456E+03    0.12706E-04    0.65710E-05    0.64960E-01
     4    0.90558E+03    0.28665E-04    0.10953E-04    0.11066E+00
     5    0.89191E+03    0.56463E-04    0.16433E-04    0.16519E+00
     6    0.88407E+03    0.10086E-03    0.23012E-04    0.22784E+00
     7    0.88102E+03    0.16732E-03    0.30690E-04    0.29793E+00
     8    0.88122E+03    0.26188E-03    0.39471E-04    0.37458E+00
     9    0.88426E+03    0.39129E-03    0.49354E-04    0.45723E+00
    10    0.88939E+03    0.56251E-03    0.60343E-04    0.54491E+00
    11    0.89619E+03    0.78354E-03    0.72439E-04    0.63711E+00
    12    0.90490E+03    0.10623E-02    0.85644E-04    0.73359E+00
    13    0.91447E+03    0.14073E-02    0.99960E-04    0.83266E+00
    14    0.92486E+03    0.18267E-02    0.11539E-03    0.93386E+00
    15    0.93593E+03    0.23305E-02    0.13194E-03    0.10364E+01
    16    0.94804E+03    0.29283E-02    0.14960E-03    0.11406E+01
    17    0.96068E+03    0.36301E-02    0.16838E-03    0.12450E+01
    18    0.97344E+03    0.44437E-02    0.18829E-03    0.13483E+01
    19    0.98751E+03    0.53841E-02    0.20932E-03    0.14514E+01
    20    0.10017E+04    0.64562E-02    0.23148E-03    0.15527E+01
    21    0.10162E+04    0.76719E-02    0.25477E-03    0.16514E+01
    22    0.10310E+04    0.90418E-02    0.27919E-03    0.17471E+01
    23    0.10460E+04    0.10577E-01    0.30474E-03    0.18393E+01
    24    0.10613E+04    0.12286E-01    0.33142E-03    0.19262E+01
    25    0.10768E+04    0.14181E-01    0.35925E-03    0.20083E+01
    26    0.10926E+04    0.16271E-01    0.38821E-03    0.20855E+01
    27    0.11086E+04    0.18567E-01    0.41831E-03    0.21569E+01
    28    0.11248E+04    0.21079E-01    0.44955E-03    0.22210E+01
    29    0.11412E+04    0.23817E-01    0.48194E-03    0.22773E+01
    30    0.11577E+04    0.26790E-01    0.51546E-03    0.23267E+01
    31    0.11744E+04    0.30008E-01    0.55014E-03    0.23681E+01
    32    0.11912E+04    0.33480E-01    0.58596E-03    0.24006E+01
    33    0.12082E+04    0.37217E-01    0.62292E-03    0.24229E+01
    34    0.12254E+04    0.41223E-01    0.66103E-03    0.24357E+01
    35    0.12427E+04    0.45511E-01    0.70029E-03    0.24392E+01
    36    0.12600E+04    0.50088E-01    0.74070E-03    0.24319E+01
    37    0.12776E+04    0.54962E-01    0.78225E-03    0.24132E+01
    38    0.12953E+04    0.60141E-01    0.82496E-03    0.23831E+01
    39    0.13132E+04    0.65627E-01    0.86881E-03    0.23413E+01
    40    0.13311E+04    0.71430E-01    0.91381E-03    0.22868E+01
    41    0.13492E+04    0.77558E-01    0.95995E-03    0.22191E+01
    42    0.13674E+04    0.84017E-01    0.10072E-02    0.21390E+01
    43    0.13859E+04    0.90812E-01    0.10557E-02    0.20470E+01
    44    0.14043E+04    0.97939E-01    0.11053E-02    0.19413E+01
    45    0.14229E+04    0.10541E+00    0.11560E-02    0.18207E+01
    46    0.14418E+04    0.11324E+00    0.12079E-02    0.16860E+01
    47    0.14607E+04    0.12141E+00    0.12609E-02    0.15380E+01
    48    0.14798E+04    0.12994E+00    0.13151E-02    0.13757E+01
    49    0.14990E+04    0.13881E+00    0.13704E-02    0.11979E+01
    50    0.15185E+04    0.14806E+00    0.14268E-02    0.10052E+01
    51    0.15379E+04    0.15767E+00    0.14844E-02    0.79830E+00
    52    0.15578E+04    0.16761E+00    0.15431E-02    0.57631E+00
    53    0.15778E+04    0.17794E+00    0.16030E-02    0.33828E+00
    54    0.15978E+04    0.18861E+00    0.16640E-02    0.84920E-01
    55    0.16180E+04    0.19964E+00    0.17261E-02   -0.18306E+00
    56    0.16385E+04    0.21102E+00    0.17894E-02   -0.46636E+00
    57    0.16592E+04    0.22276E+00    0.18538E-02   -0.76577E+00
    58    0.16801E+04    0.23486E+00    0.19193E-02   -0.10810E+01
    59    0.17012E+04    0.24731E+00    0.19860E-02   -0.14114E+01
    60    0.17224E+04    0.26007E+00    0.20538E-02   -0.17557E+01
    61    0.17441E+04    0.27316E+00    0.21227E-02   -0.21131E+01
    62    0.17658E+04    0.28657E+00    0.21927E-02   -0.24848E+01
    63    0.17877E+04    0.30030E+00    0.22639E-02   -0.28726E+01
    64    0.18099E+04    0.31438E+00    0.23362E-02   -0.32781E+01
    65    0.18321E+04    0.32883E+00    0.24096E-02   -0.37026E+01
    66    0.18547E+04    0.34359E+00    0.24842E-02   -0.41448E+01
    67    0.18773E+04    0.35866E+00    0.25598E-02   -0.46023E+01
    68    0.19004E+04    0.37405E+00    0.26366E-02   -0.50735E+01
    69    0.19236E+04    0.38969E+00    0.27145E-02   -0.55557E+01
    70    0.19471E+04    0.40559E+00    0.27936E-02   -0.60490E+01
    71    0.19709E+04    0.42172E+00    0.28738E-02   -0.65549E+01
    72    0.19949E+04    0.43806E+00    0.29550E-02   -0.70746E+01
    73    0.20192E+04    0.45459E+00    0.30375E-02   -0.76086E+01
    74    0.20436E+04    0.47132E+00    0.31210E-02   -0.81563E+01
    75    0.20683E+04    0.48828E+00    0.32057E-02   -0.87164E+01
    76    0.20932E+04    0.50547E+00    0.32915E-02   -0.92891E+01
    77    0.21184E+04    0.52288E+00    0.33784E-02   -0.98742E+01
    78    0.21440E+04    0.54053E+00    0.34664E-02   -0.10473E+02
    79    0.21697E+04    0.55834E+00    0.35556E-02   -0.11081E+02
    80    0.21958E+04    0.57630E+00    0.36459E-02   -0.11699E+02
    81    0.22221E+04    0.59436E+00    0.37374E-02   -0.12329E+02
    82    0.22487E+04    0.61254E+00    0.38300E-02   -0.12969E+02
    83    0.22756E+04    0.63080E+00    0.39237E-02   -0.13620E+02
    84    0.23027E+04    0.64914E+00    0.40186E-02   -0.14279E+02
    85    0.23301E+04    0.66754E+00    0.41146E-02   -0.14948E+02
    86    0.23577E+04    0.68601E+00    0.42117E-02   -0.15625E+02
    87    0.23857E+04    0.70450E+00    0.43100E-02   -0.16310E+02
    88    0.24138E+04    0.72303E+00    0.44095E-02   -0.17003E+02
    89    0.24423E+04    0.74157E+00    0.45101E-02   -0.17704E+02
    90    0.24711E+04    0.76010E+00    0.46119E-02   -0.18410E+02
    91    0.25000E+04    0.77859E+00    0.47148E-02   -0.19122E+02
    92    0.25293E+04    0.79702E+00    0.48190E-02   -0.19839E+02
    93    0.25589E+04    0.81540E+00    0.49243E-02   -0.20561E+02
    94    0.25886E+04    0.83367E+00    0.50307E-02   -0.21286E+02
    95    0.26186E+04    0.85183E+00    0.51384E-02   -0.22016E+02
    96    0.26486E+04    0.86987E+00    0.52472E-02   -0.22749E+02
    97    0.26791E+04    0.88776E+00    0.53573E-02   -0.23485E+02
    98    0.27099E+04    0.90551E+00    0.54685E-02   -0.24221E+02
    99    0.27408E+04    0.92306E+00    0.55810E-02   -0.24961E+02
   100    0.27719E+04    0.94041E+00    0.56947E-02   -0.25699E+02
   101    0.28033E+04    0.95762E+00    0.58095E-02   -0.26438E+02
   102    0.28352E+04    0.97454E+00    0.59257E-02   -0.27177E+02
   103    0.28670E+04    0.99123E+00    0.60430E-02   -0.27916E+02
   104    0.28991E+04    0.10077E+01    0.61616E-02   -0.28651E+02
   105    0.29314E+04    0.10239E+01    0.62814E-02   -0.29385E+02
   106    0.29638E+04    0.10398E+01    0.64025E-02   -0.30116E+02
   107    0.29963E+04    0.10554E+01    0.65249E-02   -0.30843E+02
