#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.480886E+06   0.480886E+06   0.640869E+06   0.640850E+06   0.528865E+06   0.481439E+06   0.480886E+06   0.486849E+06  -0.602589E+00   0.479294E+06   0.479294E+06   0.143894E+01
   0.798228E-04   0.480884E+06   0.480884E+06   0.640788E+06   0.640765E+06   0.528819E+06   0.481436E+06   0.480884E+06   0.486845E+06  -0.602584E+00   0.479291E+06   0.479291E+06   0.160803E+01
   0.892035E-04   0.480881E+06   0.480881E+06   0.640687E+06   0.640658E+06   0.528761E+06   0.481432E+06   0.480881E+06   0.486841E+06  -0.602579E+00   0.479288E+06   0.479288E+06   0.179698E+01
   0.996866E-04   0.480878E+06   0.480877E+06   0.640560E+06   0.640525E+06   0.528689E+06   0.481428E+06   0.480878E+06   0.486836E+06  -0.602572E+00   0.479285E+06   0.479285E+06   0.200813E+01
   0.111402E-03   0.480874E+06   0.480872E+06   0.640403E+06   0.640359E+06   0.528598E+06   0.481423E+06   0.480873E+06   0.486829E+06  -0.602563E+00   0.479280E+06   0.479280E+06   0.224409E+01
   0.124493E-03   0.480868E+06   0.480867E+06   0.640206E+06   0.640151E+06   0.528485E+06   0.481416E+06   0.480868E+06   0.486820E+06  -0.602552E+00   0.479275E+06   0.479274E+06   0.250776E+01
   0.139124E-03   0.480861E+06   0.480860E+06   0.639961E+06   0.639892E+06   0.528344E+06   0.481408E+06   0.480861E+06   0.486810E+06  -0.602538E+00   0.479268E+06   0.479267E+06   0.280239E+01
   0.155474E-03   0.480853E+06   0.480851E+06   0.639654E+06   0.639568E+06   0.528169E+06   0.481397E+06   0.480852E+06   0.486797E+06  -0.602521E+00   0.479259E+06   0.479259E+06   0.313161E+01
   0.173745E-03   0.480842E+06   0.480839E+06   0.639272E+06   0.639164E+06   0.527949E+06   0.481384E+06   0.480842E+06   0.486781E+06  -0.602500E+00   0.479248E+06   0.479247E+06   0.349948E+01
   0.194163E-03   0.480829E+06   0.480825E+06   0.638794E+06   0.638660E+06   0.527675E+06   0.481368E+06   0.480828E+06   0.486760E+06  -0.602473E+00   0.479234E+06   0.479234E+06   0.391052E+01
   0.216981E-03   0.480812E+06   0.480808E+06   0.638198E+06   0.638031E+06   0.527333E+06   0.481347E+06   0.480812E+06   0.486735E+06  -0.602440E+00   0.479217E+06   0.479216E+06   0.436979E+01
   0.242480E-03   0.480792E+06   0.480786E+06   0.637455E+06   0.637246E+06   0.526906E+06   0.481322E+06   0.480791E+06   0.486703E+06  -0.602398E+00   0.479196E+06   0.479195E+06   0.488290E+01
   0.270976E-03   0.480766E+06   0.480759E+06   0.636527E+06   0.636267E+06   0.526373E+06   0.481290E+06   0.480765E+06   0.486663E+06  -0.602346E+00   0.479169E+06   0.479168E+06   0.545616E+01
   0.302821E-03   0.480734E+06   0.480725E+06   0.635370E+06   0.635046E+06   0.525709E+06   0.481250E+06   0.480733E+06   0.486614E+06  -0.602281E+00   0.479136E+06   0.479134E+06   0.609655E+01
   0.338408E-03   0.480694E+06   0.480683E+06   0.633929E+06   0.633525E+06   0.524881E+06   0.481201E+06   0.480692E+06   0.486552E+06  -0.602200E+00   0.479094E+06   0.479092E+06   0.681189E+01
   0.378178E-03   0.480644E+06   0.480630E+06   0.632132E+06   0.631629E+06   0.523848E+06   0.481139E+06   0.480642E+06   0.486475E+06  -0.602099E+00   0.479042E+06   0.479040E+06   0.761084E+01
   0.422621E-03   0.480581E+06   0.480564E+06   0.629895E+06   0.629269E+06   0.522562E+06   0.481062E+06   0.480578E+06   0.486379E+06  -0.601973E+00   0.478978E+06   0.478975E+06   0.850307E+01
   0.472287E-03   0.480503E+06   0.480482E+06   0.627111E+06   0.626334E+06   0.520960E+06   0.480966E+06   0.480500E+06   0.486259E+06  -0.601816E+00   0.478897E+06   0.478893E+06   0.949929E+01
   0.527790E-03   0.480406E+06   0.480380E+06   0.623649E+06   0.622685E+06   0.518968E+06   0.480846E+06   0.480402E+06   0.486110E+06  -0.601620E+00   0.478796E+06   0.478792E+06   0.106114E+02
   0.589815E-03   0.480284E+06   0.480252E+06   0.619350E+06   0.618156E+06   0.516491E+06   0.480696E+06   0.480279E+06   0.485924E+06  -0.601376E+00   0.478670E+06   0.478665E+06   0.118525E+02
   0.659130E-03   0.480133E+06   0.480092E+06   0.614019E+06   0.612542E+06   0.513415E+06   0.480510E+06   0.480127E+06   0.485693E+06  -0.601072E+00   0.478513E+06   0.478507E+06   0.132372E+02
   0.736590E-03   0.479944E+06   0.479894E+06   0.607418E+06   0.605596E+06   0.509603E+06   0.480278E+06   0.479936E+06   0.485405E+06  -0.600694E+00   0.478318E+06   0.478309E+06   0.147813E+02
   0.823153E-03   0.479709E+06   0.479646E+06   0.599263E+06   0.597024E+06   0.504886E+06   0.479989E+06   0.479699E+06   0.485048E+06  -0.600224E+00   0.478075E+06   0.478064E+06   0.165024E+02
   0.919889E-03   0.479417E+06   0.479338E+06   0.589216E+06   0.586474E+06   0.499061E+06   0.479631E+06   0.479404E+06   0.484605E+06  -0.599641E+00   0.477772E+06   0.477759E+06   0.184196E+02
