#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.95155E+03    0.12003E-05    0.00000E+00    0.26508E-01    0.49017E-07    0.27717E-02   -0.41146E-07
     3    0.92166E+03    0.56806E-05    0.00000E+00    0.60082E-01    0.59616E-07    0.27589E-02   -0.69864E-07
     4    0.89214E+03    0.16376E-04    0.00000E+00    0.10257E+00    0.68743E-07    0.26890E-02   -0.98093E-07
     5    0.87116E+03    0.36970E-04    0.00000E+00    0.15317E+00    0.76677E-07    0.25996E-02   -0.12624E-06
     6    0.85807E+03    0.71830E-04    0.00000E+00    0.21120E+00    0.83605E-07    0.25051E-02   -0.15406E-06
     7    0.85108E+03    0.12596E-03    0.00000E+00    0.27601E+00    0.89709E-07    0.24113E-02   -0.18164E-06
     8    0.84828E+03    0.20489E-03    0.00000E+00    0.34676E+00    0.95120E-07    0.23206E-02   -0.20920E-06
     9    0.84894E+03    0.31481E-03    0.00000E+00    0.42290E+00    0.99945E-07    0.22336E-02   -0.23695E-06
    10    0.85221E+03    0.46206E-03    0.00000E+00    0.50356E+00    0.10425E-06    0.21506E-02   -0.26446E-06
    11    0.85748E+03    0.65395E-03    0.00000E+00    0.58819E+00    0.10812E-06    0.20729E-02   -0.29160E-06
    12    0.86491E+03    0.89775E-03    0.00000E+00    0.67659E+00    0.11158E-06    0.19989E-02   -0.31790E-06
    13    0.87346E+03    0.12012E-02    0.00000E+00    0.76716E+00    0.11470E-06    0.19306E-02   -0.34400E-06
    14    0.88306E+03    0.15717E-02    0.00000E+00    0.85948E+00    0.11750E-06    0.18654E-02   -0.36982E-06
    15    0.89350E+03    0.20184E-02    0.00000E+00    0.95278E+00    0.12003E-06    0.18043E-02   -0.39576E-06
    16    0.90510E+03    0.25502E-02    0.00000E+00    0.10474E+01    0.12231E-06    0.17459E-02   -0.42155E-06
    17    0.91735E+03    0.31760E-02    0.00000E+00    0.11418E+01    0.12434E-06    0.16908E-02   -0.44704E-06
    18    0.92985E+03    0.39031E-02    0.00000E+00    0.12349E+01    0.12619E-06    0.16388E-02   -0.47215E-06
    19    0.94376E+03    0.47450E-02    0.00000E+00    0.13276E+01    0.12784E-06    0.15900E-02   -0.49719E-06
    20    0.95787E+03    0.57064E-02    0.00000E+00    0.14183E+01    0.12932E-06    0.15431E-02   -0.52157E-06
    21    0.97240E+03    0.67979E-02    0.00000E+00    0.15063E+01    0.13063E-06    0.14988E-02   -0.54558E-06
    22    0.98728E+03    0.80294E-02    0.00000E+00    0.15911E+01    0.13181E-06    0.14566E-02   -0.56936E-06
    23    0.10025E+04    0.94107E-02    0.00000E+00    0.16723E+01    0.13286E-06    0.14164E-02   -0.59294E-06
    24    0.10181E+04    0.10950E-01    0.00000E+00    0.17483E+01    0.13377E-06    0.13784E-02   -0.61603E-06
    25    0.10340E+04    0.12658E-01    0.00000E+00    0.18196E+01    0.13458E-06    0.13422E-02   -0.63885E-06
    26    0.10502E+04    0.14543E-01    0.00000E+00    0.18859E+01    0.13528E-06    0.13075E-02   -0.66130E-06
    27    0.10667E+04    0.16616E-01    0.00000E+00    0.19464E+01    0.13588E-06    0.12742E-02   -0.68347E-06
    28    0.10834E+04    0.18885E-01    0.00000E+00    0.19998E+01    0.13640E-06    0.12426E-02   -0.70534E-06
    29    0.11005E+04    0.21359E-01    0.00000E+00    0.20456E+01    0.13683E-06    0.12125E-02   -0.72685E-06
    30    0.11177E+04    0.24047E-01    0.00000E+00    0.20846E+01    0.13719E-06    0.11834E-02   -0.74797E-06
    31    0.11351E+04    0.26957E-01    0.00000E+00    0.21159E+01    0.13747E-06    0.11555E-02   -0.76877E-06
    32    0.11527E+04    0.30100E-01    0.00000E+00    0.21385E+01    0.13768E-06    0.11288E-02   -0.78933E-06
    33    0.11706E+04    0.33483E-01    0.00000E+00    0.21510E+01    0.13784E-06    0.11033E-02   -0.80962E-06
    34    0.11886E+04    0.37111E-01    0.00000E+00    0.21548E+01    0.13794E-06    0.10788E-02   -0.82941E-06
    35    0.12069E+04    0.40996E-01    0.00000E+00    0.21493E+01    0.13798E-06    0.10551E-02   -0.84886E-06
    36    0.12252E+04    0.45144E-01    0.00000E+00    0.21335E+01    0.13797E-06    0.10323E-02   -0.86809E-06
    37    0.12438E+04    0.49562E-01    0.00000E+00    0.21064E+01    0.13792E-06    0.10105E-02   -0.88708E-06
    38    0.12626E+04    0.54259E-01    0.00000E+00    0.20686E+01    0.13782E-06    0.98946E-03   -0.90564E-06
    39    0.12816E+04    0.59236E-01    0.00000E+00    0.20197E+01    0.13768E-06    0.96915E-03   -0.92380E-06
    40    0.13007E+04    0.64501E-01    0.00000E+00    0.19586E+01    0.13750E-06    0.94963E-03   -0.94168E-06
    41    0.13201E+04    0.70063E-01    0.00000E+00    0.18846E+01    0.13728E-06    0.93089E-03   -0.95934E-06
    42    0.13396E+04    0.75928E-01    0.00000E+00    0.17988E+01    0.13704E-06    0.91276E-03   -0.97668E-06
    43    0.13593E+04    0.82099E-01    0.00000E+00    0.17016E+01    0.13676E-06    0.89512E-03   -0.99362E-06
    44    0.13790E+04    0.88573E-01    0.00000E+00    0.15914E+01    0.13646E-06    0.87808E-03   -0.10102E-05
    45    0.13990E+04    0.95362E-01    0.00000E+00    0.14667E+01    0.13612E-06    0.86173E-03   -0.10266E-05
    46    0.14192E+04    0.10248E+00    0.00000E+00    0.13285E+01    0.13576E-06    0.84594E-03   -0.10426E-05
    47    0.14395E+04    0.10991E+00    0.00000E+00    0.11780E+01    0.13538E-06    0.83055E-03   -0.10583E-05
    48    0.14600E+04    0.11766E+00    0.00000E+00    0.10137E+01    0.13498E-06    0.81564E-03   -0.10736E-05
    49    0.14807E+04    0.12573E+00    0.00000E+00    0.83436E+00    0.13455E-06    0.80129E-03   -0.10887E-05
    50    0.15017E+04    0.13415E+00    0.00000E+00    0.64078E+00    0.13411E-06    0.78740E-03   -0.11035E-05
    51    0.15226E+04    0.14289E+00    0.00000E+00    0.43400E+00    0.13365E-06    0.77387E-03   -0.11179E-05
    52    0.15440E+04    0.15194E+00    0.00000E+00    0.21284E+00    0.13317E-06    0.76076E-03   -0.11320E-05
    53    0.15655E+04    0.16134E+00    0.00000E+00   -0.23978E-01    0.13268E-06    0.74810E-03   -0.11459E-05
    54    0.15872E+04    0.17106E+00    0.00000E+00   -0.27542E+00    0.13217E-06    0.73581E-03   -0.11595E-05
    55    0.16089E+04    0.18111E+00    0.00000E+00   -0.54046E+00    0.13165E-06    0.72382E-03   -0.11727E-05
    56    0.16310E+04    0.19148E+00    0.00000E+00   -0.82012E+00    0.13112E-06    0.71217E-03   -0.11855E-05
    57    0.16533E+04    0.20218E+00    0.00000E+00   -0.11155E+01    0.13057E-06    0.70092E-03   -0.11982E-05
    58    0.16759E+04    0.21321E+00    0.00000E+00   -0.14260E+01    0.13002E-06    0.69000E-03   -0.12106E-05
    59    0.16985E+04    0.22456E+00    0.00000E+00   -0.17505E+01    0.12946E-06    0.67932E-03   -0.12226E-05
    60    0.17214E+04    0.23621E+00    0.00000E+00   -0.20880E+01    0.12888E-06    0.66890E-03   -0.12342E-05
