#    L    TT             EE             BB             TE          
     2    0.10039E+04    0.29135E-05    0.16621E-05    0.27197E-01
     3    0.96548E+03    0.92454E-05    0.33248E-05    0.61843E-01
     4    0.92983E+03    0.22606E-04    0.55426E-05    0.10567E+00
     5    0.90463E+03    0.46827E-04    0.83161E-05    0.15785E+00
     6    0.88865E+03    0.86454E-04    0.11646E-04    0.21766E+00
     7    0.87969E+03    0.14669E-03    0.15534E-04    0.28443E+00
     8    0.87554E+03    0.23328E-03    0.19981E-04    0.35728E+00
     9    0.87532E+03    0.35264E-03    0.24987E-04    0.43564E+00
    10    0.87806E+03    0.51138E-03    0.30555E-04    0.51860E+00
    11    0.88305E+03    0.71707E-03    0.36686E-04    0.60560E+00
    12    0.89042E+03    0.97727E-03    0.43381E-04    0.69640E+00
    13    0.89906E+03    0.12999E-02    0.50642E-04    0.78935E+00
    14    0.90888E+03    0.16929E-02    0.58470E-04    0.88400E+00
    15    0.91965E+03    0.21655E-02    0.66867E-04    0.97956E+00
    16    0.93169E+03    0.27269E-02    0.75834E-04    0.10763E+01
    17    0.94446E+03    0.33866E-02    0.85374E-04    0.11727E+01
    18    0.95754E+03    0.41518E-02    0.95488E-04    0.12677E+01
    19    0.97212E+03    0.50368E-02    0.10618E-03    0.13620E+01
    20    0.98698E+03    0.60462E-02    0.11744E-03    0.14541E+01
    21    0.10023E+04    0.71911E-02    0.12929E-03    0.15432E+01
    22    0.10180E+04    0.84817E-02    0.14171E-03    0.16288E+01
    23    0.10342E+04    0.99281E-02    0.15472E-03    0.17104E+01
    24    0.10507E+04    0.11539E-01    0.16831E-03    0.17865E+01
    25    0.10677E+04    0.13325E-01    0.18248E-03    0.18574E+01
    26    0.10850E+04    0.15295E-01    0.19724E-03    0.19230E+01
    27    0.11026E+04    0.17460E-01    0.21258E-03    0.19822E+01
    28    0.11205E+04    0.19829E-01    0.22851E-03    0.20339E+01
    29    0.11388E+04    0.22410E-01    0.24504E-03    0.20774E+01
    30    0.11574E+04    0.25213E-01    0.26215E-03    0.21137E+01
    31    0.11761E+04    0.28247E-01    0.27985E-03    0.21416E+01
    32    0.11952E+04    0.31522E-01    0.29814E-03    0.21602E+01
    33    0.12146E+04    0.35045E-01    0.31703E-03    0.21681E+01
    34    0.12342E+04    0.38823E-01    0.33650E-03    0.21667E+01
    35    0.12540E+04    0.42866E-01    0.35657E-03    0.21554E+01
    36    0.12740E+04    0.47182E-01    0.37724E-03    0.21330E+01
    37    0.12943E+04    0.51778E-01    0.39849E-03    0.20986E+01
    38    0.13149E+04    0.56662E-01    0.42034E-03    0.20529E+01
    39    0.13357E+04    0.61836E-01    0.44279E-03    0.19953E+01
    40    0.13567E+04    0.67307E-01    0.46583E-03    0.19248E+01
    41    0.13780E+04    0.73086E-01    0.48946E-03    0.18407E+01
    42    0.13995E+04    0.79177E-01    0.51369E-03    0.17439E+01
    43    0.14212E+04    0.85584E-01    0.53851E-03    0.16351E+01
    44    0.14430E+04    0.92304E-01    0.56393E-03    0.15124E+01
    45    0.14652E+04    0.99350E-01    0.58994E-03    0.13744E+01
    46    0.14876E+04    0.10673E+00    0.61654E-03    0.12221E+01
    47    0.15102E+04    0.11444E+00    0.64373E-03    0.10568E+01
    48    0.15329E+04    0.12247E+00    0.67152E-03    0.87681E+00
    49    0.15560E+04    0.13085E+00    0.69990E-03    0.68093E+00
    50    0.15794E+04    0.13956E+00    0.72887E-03    0.47000E+00
