#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.197095E+07   0.197095E+07   0.262184E+07   0.262176E+07   0.197778E+07   0.197103E+07   0.197095E+07   0.197535E+07  -0.600299E+00   0.196797E+07   0.196797E+07   0.325739E+00
   0.798228E-04   0.197094E+07   0.197094E+07   0.262031E+07   0.262020E+07   0.197765E+07   0.197102E+07   0.197094E+07   0.197533E+07  -0.600294E+00   0.196795E+07   0.196795E+07   0.364006E+00
   0.892035E-04   0.197092E+07   0.197092E+07   0.261840E+07   0.261827E+07   0.197749E+07   0.197100E+07   0.197092E+07   0.197531E+07  -0.600287E+00   0.196794E+07   0.196794E+07   0.406765E+00
   0.996866E-04   0.197090E+07   0.197090E+07   0.261601E+07   0.261585E+07   0.197729E+07   0.197098E+07   0.197090E+07   0.197529E+07  -0.600278E+00   0.196792E+07   0.196792E+07   0.454541E+00
   0.111402E-03   0.197087E+07   0.197087E+07   0.261304E+07   0.261283E+07   0.197704E+07   0.197095E+07   0.197087E+07   0.197525E+07  -0.600268E+00   0.196789E+07   0.196789E+07   0.507922E+00
   0.124493E-03   0.197084E+07   0.197084E+07   0.260932E+07   0.260907E+07   0.197673E+07   0.197091E+07   0.197084E+07   0.197521E+07  -0.600254E+00   0.196785E+07   0.196785E+07   0.567562E+00
   0.139124E-03   0.197080E+07   0.197080E+07   0.260469E+07   0.260438E+07   0.197634E+07   0.197087E+07   0.197080E+07   0.197516E+07  -0.600238E+00   0.196781E+07   0.196781E+07   0.634191E+00
   0.155474E-03   0.197075E+07   0.197075E+07   0.259892E+07   0.259853E+07   0.197585E+07   0.197081E+07   0.197075E+07   0.197509E+07  -0.600217E+00   0.196776E+07   0.196776E+07   0.708622E+00
   0.173745E-03   0.197069E+07   0.197068E+07   0.259173E+07   0.259125E+07   0.197524E+07   0.197074E+07   0.197069E+07   0.197501E+07  -0.600191E+00   0.196769E+07   0.196769E+07   0.791762E+00
   0.194163E-03   0.197061E+07   0.197060E+07   0.258278E+07   0.258218E+07   0.197448E+07   0.197066E+07   0.197061E+07   0.197491E+07  -0.600159E+00   0.196761E+07   0.196761E+07   0.884617E+00
   0.216981E-03   0.197051E+07   0.197050E+07   0.257164E+07   0.257089E+07   0.197353E+07   0.197055E+07   0.197051E+07   0.197478E+07  -0.600119E+00   0.196751E+07   0.196751E+07   0.988310E+00
   0.242480E-03   0.197039E+07   0.197038E+07   0.255779E+07   0.255686E+07   0.197235E+07   0.197041E+07   0.197039E+07   0.197462E+07  -0.600069E+00   0.196738E+07   0.196738E+07   0.110408E+01
   0.270976E-03   0.197023E+07   0.197023E+07   0.254059E+07   0.253943E+07   0.197088E+07   0.197024E+07   0.197023E+07   0.197442E+07  -0.600006E+00   0.196722E+07   0.196722E+07   0.123332E+01
   0.302821E-03   0.197004E+07   0.197003E+07   0.251926E+07   0.251783E+07   0.196904E+07   0.197003E+07   0.197004E+07   0.197418E+07  -0.599928E+00   0.196702E+07   0.196702E+07   0.137754E+01
   0.338408E-03   0.196981E+07   0.196980E+07   0.249286E+07   0.249110E+07   0.196675E+07   0.196977E+07   0.196980E+07   0.197387E+07  -0.599831E+00   0.196677E+07   0.196677E+07   0.153842E+01
   0.378178E-03   0.196951E+07   0.196950E+07   0.246025E+07   0.245808E+07   0.196391E+07   0.196944E+07   0.196951E+07   0.197349E+07  -0.599710E+00   0.196646E+07   0.196645E+07   0.171782E+01
   0.422621E-03   0.196914E+07   0.196912E+07   0.242008E+07   0.241743E+07   0.196036E+07   0.196903E+07   0.196914E+07   0.197301E+07  -0.599560E+00   0.196607E+07   0.196607E+07   0.191777E+01
   0.472287E-03   0.196868E+07   0.196866E+07   0.237077E+07   0.236755E+07   0.195595E+07   0.196852E+07   0.196868E+07   0.197242E+07  -0.599373E+00   0.196558E+07   0.196558E+07   0.214046E+01
   0.527790E-03   0.196811E+07   0.196808E+07   0.231050E+07   0.230661E+07   0.195048E+07   0.196788E+07   0.196810E+07   0.197169E+07  -0.599140E+00   0.196498E+07   0.196498E+07   0.238830E+01
   0.589815E-03   0.196740E+07   0.196736E+07   0.223725E+07   0.223259E+07   0.194369E+07   0.196710E+07   0.196739E+07   0.197078E+07  -0.598852E+00   0.196423E+07   0.196423E+07   0.266384E+01
   0.659130E-03   0.196651E+07   0.196647E+07   0.214882E+07   0.214330E+07   0.193529E+07   0.196612E+07   0.196650E+07   0.196966E+07  -0.598496E+00   0.196330E+07   0.196329E+07   0.296983E+01
   0.736590E-03   0.196541E+07   0.196536E+07   0.204299E+07   0.203655E+07   0.192491E+07   0.196490E+07   0.196540E+07   0.196827E+07  -0.598055E+00   0.196214E+07   0.196214E+07   0.330914E+01
   0.823153E-03   0.196405E+07   0.196399E+07   0.191772E+07   0.191033E+07   0.191213E+07   0.196340E+07   0.196404E+07   0.196656E+07  -0.597513E+00   0.196071E+07   0.196070E+07   0.368475E+01
   0.919889E-03   0.196237E+07   0.196229E+07   0.177148E+07   0.176320E+07   0.189643E+07   0.196154E+07   0.196236E+07   0.196446E+07  -0.596846E+00   0.195893E+07   0.195892E+07   0.409969E+01
   0.102799E-02   0.196029E+07   0.196019E+07   0.160376E+07   0.159476E+07   0.187725E+07   0.195925E+07   0.196028E+07   0.196189E+07  -0.596031E+00   0.195673E+07   0.195673E+07   0.455699E+01
   0.114880E-02   0.195773E+07   0.195761E+07   0.141570E+07   0.140634E+07   0.185399E+07   0.195643E+07   0.195772E+07   0.195876E+07  -0.595038E+00   0.195403E+07   0.195402E+07   0.505959E+01
   0.128381E-02   0.195460E+07   0.195445E+07   0.121092E+07   0.120174E+07   0.182589E+07   0.195298E+07   0.195458E+07   0.195497E+07  -0.593835E+00   0.195072E+07   0.195071E+07   0.561030E+01
   0.143468E-02   0.195077E+07   0.195058E+07   0.996244E+06   0.988012E+06   0.179218E+07   0.194877E+07   0.195074E+07   0.195041E+07  -0.592386E+00   0.194666E+07   0.194664E+07   0.621174E+01
   0.160328E-02   0.194611E+07   0.194587E+07   0.782217E+06   0.775830E+06   0.175219E+07   0.194367E+07   0.194608E+07   0.194496E+07  -0.590653E+00   0.194172E+07   0.194170E+07   0.686637E+01
   0.179170E-02   0.194047E+07   0.194018E+07   0.582742E+06   0.579061E+06   0.170533E+07   0.193751E+07   0.194043E+07   0.193847E+07  -0.588598E+00   0.193574E+07   0.193572E+07   0.757665E+01
   0.200226E-02   0.193370E+07   0.193333E+07   0.413300E+06   0.412830E+06   0.165122E+07   0.193014E+07   0.193365E+07   0.193082E+07  -0.586178E+00   0.192855E+07   0.192852E+07   0.834526E+01
   0.223756E-02   0.192561E+07   0.192515E+07   0.287189E+06   0.289657E+06   0.158986E+07   0.192138E+07   0.192555E+07   0.192185E+07  -0.583355E+00   0.191997E+07   0.191994E+07   0.917549E+01
   0.250052E-02   0.191603E+07   0.191546E+07   0.210052E+06   0.214108E+06   0.152174E+07   0.191106E+07   0.191595E+07   0.191140E+07  -0.580083E+00   0.190983E+07   0.190979E+07   0.100717E+02
   0.279438E-02   0.190477E+07   0.190406E+07   0.174750E+06   0.178161E+06   0.144795E+07   0.189900E+07   0.190467E+07   0.189929E+07  -0.576319E+00   0.189795E+07   0.189790E+07   0.110397E+02
   0.312277E-02   0.189164E+07   0.189076E+07   0.160892E+06   0.161607E+06   0.137017E+07   0.188504E+07   0.189152E+07   0.188531E+07  -0.572009E+00   0.188417E+07   0.188411E+07   0.120864E+02
   0.348976E-02   0.187645E+07   0.187535E+07   0.143678E+06   0.141529E+06   0.129050E+07   0.186903E+07   0.187630E+07   0.186926E+07  -0.567096E+00   0.186832E+07   0.186825E+07   0.132193E+02
   0.389987E-02   0.185902E+07   0.185766E+07   0.110938E+06   0.108443E+06   0.121103E+07   0.185079E+07   0.185883E+07   0.185097E+07  -0.561517E+00   0.185026E+07   0.185018E+07   0.144453E+02
   0.435818E-02   0.183916E+07   0.183747E+07   0.744164E+05   0.745693E+05   0.113322E+07   0.183016E+07   0.183893E+07   0.183029E+07  -0.555215E+00   0.182983E+07   0.182972E+07   0.157700E+02
   0.487035E-02   0.181669E+07   0.181460E+07   0.554609E+05   0.575349E+05   0.105748E+07   0.180698E+07   0.181640E+07   0.180707E+07  -0.548143E+00   0.180684E+07   0.180671E+07   0.171982E+02
   0.492476E-02   0.181429E+07   0.181215E+07   0.547781E+05   0.568247E+05   0.105000E+07   0.180451E+07   0.181400E+07   0.180460E+07  -0.547391E+00   0.180439E+07   0.180426E+07   0.173468E+02
   0.497979E-02   0.181187E+07   0.180968E+07   0.542584E+05   0.562299E+05   0.104253E+07   0.180202E+07   0.181157E+07   0.180211E+07  -0.546631E+00   0.180192E+07   0.180179E+07   0.174966E+02
   0.503543E-02   0.180941E+07   0.180718E+07   0.538758E+05   0.557258E+05   0.103507E+07   0.179950E+07   0.180911E+07   0.179959E+07  -0.545863E+00   0.179942E+07   0.179928E+07   0.176475E+02
   0.509169E-02   0.180693E+07   0.180465E+07   0.536016E+05   0.552864E+05   0.102762E+07   0.179695E+07   0.180662E+07   0.179704E+07  -0.545087E+00   0.179689E+07   0.179675E+07   0.177995E+02
   0.514858E-02   0.180442E+07   0.180209E+07   0.534053E+05   0.548847E+05   0.102018E+07   0.179437E+07   0.180410E+07   0.179446E+07  -0.544302E+00   0.179434E+07   0.179419E+07   0.179526E+02
   0.520610E-02   0.180188E+07   0.179951E+07   0.532554E+05   0.544941E+05   0.101275E+07   0.179176E+07   0.180156E+07   0.179185E+07  -0.543509E+00   0.179175E+07   0.179160E+07   0.181068E+02
   0.526427E-02   0.179932E+07   0.179689E+07   0.531198E+05   0.540885E+05   0.100533E+07   0.178913E+07   0.179899E+07   0.178922E+07  -0.542707E+00   0.178914E+07   0.178899E+07   0.182621E+02
   0.532309E-02   0.179672E+07   0.179424E+07   0.529670E+05   0.536432E+05   0.997905E+06   0.178647E+07   0.179638E+07   0.178655E+07  -0.541897E+00   0.178650E+07   0.178634E+07   0.184185E+02
   0.538256E-02   0.179410E+07   0.179156E+07   0.527667E+05   0.531359E+05   0.990488E+06   0.178377E+07   0.179375E+07   0.178386E+07  -0.541078E+00   0.178383E+07   0.178367E+07   0.185760E+02
   0.544270E-02   0.179144E+07   0.178885E+07   0.524910E+05   0.525468E+05   0.983074E+06   0.178105E+07   0.179109E+07   0.178114E+07  -0.540250E+00   0.178113E+07   0.178097E+07   0.187347E+02
   0.550352E-02   0.178876E+07   0.178611E+07   0.521148E+05   0.518598E+05   0.975660E+06   0.177830E+07   0.178840E+07   0.177839E+07  -0.539414E+00   0.177840E+07   0.177824E+07   0.188945E+02
   0.556501E-02   0.178604E+07   0.178334E+07   0.516167E+05   0.510626E+05   0.968247E+06   0.177552E+07   0.178567E+07   0.177561E+07  -0.538568E+00   0.177564E+07   0.177548E+07   0.190554E+02
   0.562719E-02   0.178330E+07   0.178054E+07   0.509799E+05   0.501475E+05   0.960834E+06   0.177271E+07   0.178292E+07   0.177280E+07  -0.537714E+00   0.177286E+07   0.177269E+07   0.192175E+02
   0.569006E-02   0.178053E+07   0.177771E+07   0.501925E+05   0.491113E+05   0.953418E+06   0.176987E+07   0.178014E+07   0.176996E+07  -0.536851E+00   0.177004E+07   0.176987E+07   0.193807E+02
   0.575363E-02   0.177772E+07   0.177484E+07   0.492484E+05   0.479557E+05   0.946000E+06   0.176700E+07   0.177733E+07   0.176709E+07  -0.535978E+00   0.176719E+07   0.176702E+07   0.195451E+02
   0.581792E-02   0.177489E+07   0.177195E+07   0.481470E+05   0.466875E+05   0.938579E+06   0.176411E+07   0.177449E+07   0.176418E+07  -0.535097E+00   0.176432E+07   0.176414E+07   0.197105E+02
   0.588292E-02   0.177202E+07   0.176902E+07   0.468938E+05   0.453180E+05   0.931154E+06   0.176118E+07   0.177161E+07   0.176125E+07  -0.534206E+00   0.176141E+07   0.176123E+07   0.198772E+02
   0.594865E-02   0.176913E+07   0.176606E+07   0.455002E+05   0.438629E+05   0.923725E+06   0.175822E+07   0.176871E+07   0.175829E+07  -0.533306E+00   0.175848E+07   0.175829E+07   0.200450E+02
   0.601512E-02   0.176620E+07   0.176307E+07   0.439831E+05   0.423417E+05   0.916291E+06   0.175522E+07   0.176577E+07   0.175530E+07  -0.532397E+00   0.175551E+07   0.175532E+07   0.202139E+02
   0.608233E-02   0.176324E+07   0.176005E+07   0.423647E+05   0.407772E+05   0.908852E+06   0.175220E+07   0.176281E+07   0.175227E+07  -0.531478E+00   0.175251E+07   0.175232E+07   0.203840E+02
   0.615028E-02   0.176026E+07   0.175699E+07   0.406713E+05   0.391945E+05   0.901408E+06   0.174915E+07   0.175981E+07   0.174922E+07  -0.530550E+00   0.174949E+07   0.174929E+07   0.205552E+02
   0.621900E-02   0.175724E+07   0.175390E+07   0.389331E+05   0.376201E+05   0.893960E+06   0.174606E+07   0.175678E+07   0.174613E+07  -0.529613E+00   0.174643E+07   0.174623E+07   0.207275E+02
   0.628849E-02   0.175418E+07   0.175078E+07   0.371825E+05   0.360808E+05   0.886507E+06   0.174295E+07   0.175372E+07   0.174301E+07  -0.528666E+00   0.174334E+07   0.174313E+07   0.209011E+02
   0.635875E-02   0.175110E+07   0.174762E+07   0.354534E+05   0.346027E+05   0.879049E+06   0.173980E+07   0.175062E+07   0.173986E+07  -0.527709E+00   0.174021E+07   0.174001E+07   0.210757E+02
   0.642980E-02   0.174798E+07   0.174443E+07   0.337794E+05   0.332101E+05   0.871587E+06   0.173662E+07   0.174750E+07   0.173668E+07  -0.526743E+00   0.173706E+07   0.173685E+07   0.212515E+02
   0.650164E-02   0.174484E+07   0.174121E+07   0.321929E+05   0.319243E+05   0.864122E+06   0.173341E+07   0.174434E+07   0.173346E+07  -0.525766E+00   0.173387E+07   0.173366E+07   0.214284E+02
   0.657428E-02   0.174166E+07   0.173795E+07   0.307236E+05   0.307627E+05   0.856654E+06   0.173016E+07   0.174115E+07   0.173022E+07  -0.524781E+00   0.173066E+07   0.173044E+07   0.216065E+02
   0.664773E-02   0.173844E+07   0.173466E+07   0.293968E+05   0.297381E+05   0.849183E+06   0.172689E+07   0.173793E+07   0.172694E+07  -0.523785E+00   0.172741E+07   0.172718E+07   0.217857E+02
   0.672201E-02   0.173520E+07   0.173134E+07   0.282329E+05   0.288576E+05   0.841711E+06   0.172358E+07   0.173467E+07   0.172363E+07  -0.522779E+00   0.172413E+07   0.172390E+07   0.219660E+02
   0.679711E-02   0.173192E+07   0.172798E+07   0.272457E+05   0.281226E+05   0.834239E+06   0.172024E+07   0.173138E+07   0.172028E+07  -0.521764E+00   0.172081E+07   0.172058E+07   0.221474E+02
   0.687306E-02   0.172861E+07   0.172458E+07   0.264421E+05   0.275283E+05   0.826767E+06   0.171686E+07   0.172806E+07   0.171691E+07  -0.520738E+00   0.171746E+07   0.171722E+07   0.223300E+02
   0.694985E-02   0.172526E+07   0.172115E+07   0.258214E+05   0.270641E+05   0.819297E+06   0.171345E+07   0.172470E+07   0.171350E+07  -0.519703E+00   0.171408E+07   0.171384E+07   0.225137E+02
   0.702750E-02   0.172188E+07   0.171769E+07   0.253753E+05   0.267137E+05   0.811829E+06   0.171001E+07   0.172131E+07   0.171006E+07  -0.518657E+00   0.171067E+07   0.171042E+07   0.226985E+02
   0.710602E-02   0.171847E+07   0.171419E+07   0.250877E+05   0.264561E+05   0.804364E+06   0.170654E+07   0.171788E+07   0.170658E+07  -0.517602E+00   0.170722E+07   0.170697E+07   0.228844E+02
   0.718542E-02   0.171502E+07   0.171065E+07   0.249516E+05   0.262663E+05   0.796905E+06   0.170303E+07   0.171442E+07   0.170307E+07  -0.516536E+00   0.170374E+07   0.170348E+07   0.230714E+02
   0.726570E-02   0.171154E+07   0.170708E+07   0.249054E+05   0.261167E+05   0.789451E+06   0.169949E+07   0.171093E+07   0.169953E+07  -0.515460E+00   0.170022E+07   0.169996E+07   0.232595E+02
   0.734688E-02   0.170803E+07   0.170347E+07   0.249320E+05   0.259788E+05   0.782004E+06   0.169591E+07   0.170740E+07   0.169595E+07  -0.514373E+00   0.169667E+07   0.169640E+07   0.234487E+02
   0.742897E-02   0.170448E+07   0.169983E+07   0.249947E+05   0.258242E+05   0.774566E+06   0.169230E+07   0.170384E+07   0.169234E+07  -0.513277E+00   0.169309E+07   0.169281E+07   0.236389E+02
   0.751197E-02   0.170089E+07   0.169614E+07   0.250559E+05   0.256264E+05   0.767136E+06   0.168865E+07   0.170024E+07   0.168870E+07  -0.512170E+00   0.168947E+07   0.168919E+07   0.238303E+02
   0.759591E-02   0.169727E+07   0.169243E+07   0.250787E+05   0.253627E+05   0.759717E+06   0.168497E+07   0.169661E+07   0.168502E+07  -0.511052E+00   0.168582E+07   0.168553E+07   0.240227E+02
   0.768078E-02   0.169362E+07   0.168867E+07   0.250292E+05   0.250149E+05   0.752310E+06   0.168126E+07   0.169294E+07   0.168130E+07  -0.509924E+00   0.168213E+07   0.168184E+07   0.242162E+02
   0.776659E-02   0.168993E+07   0.168488E+07   0.248784E+05   0.245712E+05   0.744915E+06   0.167751E+07   0.168924E+07   0.167755E+07  -0.508786E+00   0.167840E+07   0.167811E+07   0.244108E+02
   0.785337E-02   0.168620E+07   0.168105E+07   0.246039E+05   0.240265E+05   0.737534E+06   0.167372E+07   0.168550E+07   0.167377E+07  -0.507636E+00   0.167465E+07   0.167435E+07   0.246063E+02
   0.794112E-02   0.168244E+07   0.167718E+07   0.241914E+05   0.233830E+05   0.730168E+06   0.166990E+07   0.168172E+07   0.166994E+07  -0.506477E+00   0.167085E+07   0.167055E+07   0.248030E+02
   0.802984E-02   0.167864E+07   0.167328E+07   0.236360E+05   0.226501E+05   0.722818E+06   0.166605E+07   0.167791E+07   0.166609E+07  -0.505306E+00   0.166702E+07   0.166671E+07   0.250006E+02
   0.811956E-02   0.167481E+07   0.166933E+07   0.229423E+05   0.218441E+05   0.715484E+06   0.166216E+07   0.167406E+07   0.166220E+07  -0.504124E+00   0.166316E+07   0.166284E+07   0.251993E+02
   0.821028E-02   0.167094E+07   0.166535E+07   0.221245E+05   0.209867E+05   0.708168E+06   0.165823E+07   0.167018E+07   0.165827E+07  -0.502932E+00   0.165926E+07   0.165893E+07   0.253989E+02
   0.830201E-02   0.166704E+07   0.166133E+07   0.212058E+05   0.201043E+05   0.700871E+06   0.165427E+07   0.166626E+07   0.165430E+07  -0.501729E+00   0.165532E+07   0.165499E+07   0.255995E+02
   0.839477E-02   0.166309E+07   0.165727E+07   0.202167E+05   0.192253E+05   0.693594E+06   0.165027E+07   0.166230E+07   0.165030E+07  -0.500514E+00   0.165134E+07   0.165101E+07   0.258011E+02
   0.848857E-02   0.165911E+07   0.165317E+07   0.191934E+05   0.183789E+05   0.686337E+06   0.164623E+07   0.165830E+07   0.164626E+07  -0.499289E+00   0.164733E+07   0.164699E+07   0.260036E+02
   0.858341E-02   0.165510E+07   0.164903E+07   0.181754E+05   0.175922E+05   0.679102E+06   0.164216E+07   0.165427E+07   0.164219E+07  -0.498053E+00   0.164329E+07   0.164294E+07   0.262071E+02
   0.867932E-02   0.165104E+07   0.164485E+07   0.172023E+05   0.168889E+05   0.671890E+06   0.163805E+07   0.165020E+07   0.163807E+07  -0.496805E+00   0.163920E+07   0.163885E+07   0.264115E+02
   0.877629E-02   0.164695E+07   0.164063E+07   0.163116E+05   0.162865E+05   0.664701E+06   0.163390E+07   0.164609E+07   0.163393E+07  -0.495546E+00   0.163508E+07   0.163472E+07   0.266167E+02
   0.887435E-02   0.164282E+07   0.163638E+07   0.155352E+05   0.157954E+05   0.657536E+06   0.162971E+07   0.164194E+07   0.162974E+07  -0.494276E+00   0.163092E+07   0.163055E+07   0.268229E+02
   0.897350E-02   0.163865E+07   0.163208E+07   0.148973E+05   0.154177E+05   0.650397E+06   0.162549E+07   0.163776E+07   0.162552E+07  -0.492994E+00   0.162673E+07   0.162635E+07   0.270299E+02
   0.907376E-02   0.163445E+07   0.162774E+07   0.144121E+05   0.151471E+05   0.643285E+06   0.162123E+07   0.163353E+07   0.162126E+07  -0.491701E+00   0.162249E+07   0.162211E+07   0.272377E+02
