#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.79468E+03    0.22824E-01    0.92703E-03    0.22824E-01    0.10368E-05   -0.14404E-07    0.92703E-03   -0.14404E-07    0.70558E-08
     3    0.77276E+03    0.51638E-01    0.65416E-03    0.51638E-01    0.49100E-05   -0.17287E-07    0.65416E-03   -0.17287E-07    0.42881E-08
     4    0.75011E+03    0.88115E-01    0.49442E-03    0.88115E-01    0.14161E-04   -0.18800E-07    0.49442E-03   -0.18800E-07    0.29654E-08
     5    0.73399E+03    0.13158E+00    0.39044E-03    0.13158E+00    0.31981E-04   -0.19755E-07    0.39044E-03   -0.19755E-07    0.22042E-08
     6    0.72410E+03    0.18147E+00    0.31801E-03    0.18147E+00    0.62155E-04   -0.20378E-07    0.31801E-03   -0.20378E-07    0.17161E-08
     7    0.71907E+03    0.23721E+00    0.26504E-03    0.23721E+00    0.10902E-03   -0.20808E-07    0.26504E-03   -0.20808E-07    0.13805E-08
     8    0.71736E+03    0.29808E+00    0.22487E-03    0.29808E+00    0.17737E-03   -0.21138E-07    0.22487E-03   -0.21138E-07    0.11381E-08
     9    0.71844E+03    0.36363E+00    0.19349E-03    0.36363E+00    0.27257E-03   -0.21417E-07    0.19349E-03   -0.21417E-07    0.95635E-09
    10    0.72160E+03    0.43310E+00    0.16844E-03    0.43310E+00    0.40012E-03   -0.21624E-07    0.16844E-03   -0.21624E-07    0.81589E-09
    11    0.72637E+03    0.50602E+00    0.14812E-03    0.50602E+00    0.56636E-03   -0.21769E-07    0.14812E-03   -0.21769E-07    0.70495E-09
    12    0.73292E+03    0.58222E+00    0.13130E-03    0.58222E+00    0.77759E-03   -0.21833E-07    0.13130E-03   -0.21833E-07    0.61534E-09
    13    0.74033E+03    0.66032E+00    0.11734E-03    0.66032E+00    0.10405E-02   -0.21875E-07    0.11734E-03   -0.21875E-07    0.54204E-09
    14    0.74858E+03    0.73996E+00    0.10549E-03    0.73996E+00    0.13616E-02   -0.21896E-07    0.10549E-03   -0.21896E-07    0.48106E-09
    15    0.75749E+03    0.82049E+00    0.95392E-04    0.82049E+00    0.17487E-02   -0.21921E-07    0.95392E-04   -0.21921E-07    0.42987E-09
    16    0.76737E+03    0.90217E+00    0.86662E-04    0.90217E+00    0.22096E-02   -0.21935E-07    0.86662E-04   -0.21935E-07    0.38639E-09
    17    0.77776E+03    0.98371E+00    0.79089E-04    0.98371E+00    0.27520E-02   -0.21934E-07    0.79089E-04   -0.21934E-07    0.34906E-09
    18    0.78833E+03    0.10642E+01    0.72475E-04    0.10642E+01    0.33821E-02   -0.21915E-07    0.72475E-04   -0.21915E-07    0.31685E-09
    19    0.80007E+03    0.11443E+01    0.66682E-04    0.11443E+01    0.41119E-02   -0.21895E-07    0.66682E-04   -0.21895E-07    0.28883E-09
    20    0.81197E+03    0.12228E+01    0.61536E-04    0.12228E+01    0.49451E-02   -0.21850E-07    0.61536E-04   -0.21850E-07    0.26426E-09
    21    0.82419E+03    0.12989E+01    0.56967E-04    0.12989E+01    0.58911E-02   -0.21795E-07    0.56967E-04   -0.21795E-07    0.24261E-09
    22    0.83670E+03    0.13723E+01    0.52889E-04    0.13723E+01    0.69585E-02   -0.21735E-07    0.52889E-04   -0.21735E-07    0.22345E-09
