#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.532341E+06   0.532340E+06   0.709407E+06   0.709386E+06   0.577424E+06   0.532968E+06   0.532341E+06   0.539611E+06  -0.602818E+00   0.530449E+06   0.530448E+06   0.161042E+01
   0.798228E-04   0.532338E+06   0.532337E+06   0.709309E+06   0.709282E+06   0.577372E+06   0.532965E+06   0.532338E+06   0.539606E+06  -0.602813E+00   0.530446E+06   0.530445E+06   0.179965E+01
   0.892035E-04   0.532334E+06   0.532334E+06   0.709186E+06   0.709152E+06   0.577307E+06   0.532960E+06   0.532334E+06   0.539600E+06  -0.602806E+00   0.530442E+06   0.530442E+06   0.201112E+01
   0.996866E-04   0.532330E+06   0.532329E+06   0.709032E+06   0.708990E+06   0.577226E+06   0.532954E+06   0.532330E+06   0.539593E+06  -0.602798E+00   0.530437E+06   0.530437E+06   0.224743E+01
   0.111402E-03   0.532324E+06   0.532323E+06   0.708840E+06   0.708788E+06   0.577125E+06   0.532948E+06   0.532324E+06   0.539585E+06  -0.602787E+00   0.530431E+06   0.530431E+06   0.251150E+01
   0.124493E-03   0.532317E+06   0.532316E+06   0.708600E+06   0.708536E+06   0.576998E+06   0.532939E+06   0.532317E+06   0.539574E+06  -0.602774E+00   0.530424E+06   0.530424E+06   0.280657E+01
   0.139124E-03   0.532308E+06   0.532306E+06   0.708301E+06   0.708220E+06   0.576840E+06   0.532928E+06   0.532308E+06   0.539560E+06  -0.602758E+00   0.530415E+06   0.530414E+06   0.313630E+01
   0.155474E-03   0.532298E+06   0.532295E+06   0.707928E+06   0.707827E+06   0.576642E+06   0.532914E+06   0.532297E+06   0.539543E+06  -0.602737E+00   0.530403E+06   0.530403E+06   0.350474E+01
   0.173745E-03   0.532284E+06   0.532280E+06   0.707461E+06   0.707336E+06   0.576396E+06   0.532897E+06   0.532283E+06   0.539521E+06  -0.602712E+00   0.530389E+06   0.530388E+06   0.391642E+01
   0.194163E-03   0.532267E+06   0.532263E+06   0.706880E+06   0.706723E+06   0.576088E+06   0.532876E+06   0.532266E+06   0.539494E+06  -0.602680E+00   0.530371E+06   0.530370E+06   0.437640E+01
   0.216981E-03   0.532245E+06   0.532240E+06   0.706154E+06   0.705958E+06   0.575704E+06   0.532849E+06   0.532244E+06   0.539461E+06  -0.602641E+00   0.530349E+06   0.530348E+06   0.489034E+01
   0.242480E-03   0.532218E+06   0.532212E+06   0.705248E+06   0.705004E+06   0.575225E+06   0.532816E+06   0.532217E+06   0.539419E+06  -0.602592E+00   0.530321E+06   0.530320E+06   0.546452E+01
   0.270976E-03   0.532185E+06   0.532177E+06   0.704118E+06   0.703814E+06   0.574627E+06   0.532774E+06   0.532184E+06   0.539367E+06  -0.602530E+00   0.530286E+06   0.530285E+06   0.610597E+01
   0.302821E-03   0.532144E+06   0.532134E+06   0.702710E+06   0.702331E+06   0.573882E+06   0.532723E+06   0.532142E+06   0.539302E+06  -0.602453E+00   0.530242E+06   0.530241E+06   0.682252E+01
   0.338408E-03   0.532092E+06   0.532079E+06   0.700955E+06   0.700482E+06   0.572952E+06   0.532658E+06   0.532089E+06   0.539221E+06  -0.602357E+00   0.530188E+06   0.530186E+06   0.762288E+01
   0.378178E-03   0.532027E+06   0.532011E+06   0.698768E+06   0.698180E+06   0.571793E+06   0.532577E+06   0.532024E+06   0.539120E+06  -0.602238E+00   0.530120E+06   0.530118E+06   0.851672E+01
   0.422621E-03   0.531946E+06   0.531926E+06   0.696046E+06   0.695315E+06   0.570350E+06   0.532477E+06   0.531942E+06   0.538994E+06  -0.602088E+00   0.530036E+06   0.530033E+06   0.951484E+01
   0.472287E-03   0.531845E+06   0.531821E+06   0.692659E+06   0.691752E+06   0.568554E+06   0.532351E+06   0.531841E+06   0.538837E+06  -0.601902E+00   0.529931E+06   0.529926E+06   0.106292E+02
   0.527790E-03   0.531719E+06   0.531689E+06   0.688450E+06   0.687325E+06   0.566318E+06   0.532195E+06   0.531714E+06   0.538641E+06  -0.601671E+00   0.529799E+06   0.529794E+06   0.118729E+02
   0.589815E-03   0.531562E+06   0.531524E+06   0.683226E+06   0.681834E+06   0.563541E+06   0.532000E+06   0.531555E+06   0.538397E+06  -0.601382E+00   0.529635E+06   0.529629E+06   0.132607E+02
