#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10359E+04    0.12433E-05    0.00000E+00    0.27198E-01    0.48250E-07    0.31228E-02   -0.42617E-07
     3    0.99261E+03    0.58773E-05    0.00000E+00    0.61944E-01    0.58595E-07    0.30798E-02   -0.72444E-07
     4    0.95355E+03    0.16930E-04    0.00000E+00    0.10588E+00    0.67454E-07    0.29815E-02   -0.10175E-06
     5    0.92601E+03    0.38194E-04    0.00000E+00    0.15816E+00    0.75106E-07    0.28661E-02   -0.13096E-06
     6    0.90840E+03    0.74167E-04    0.00000E+00    0.21805E+00    0.81744E-07    0.27480E-02   -0.15983E-06
     7    0.89829E+03    0.12999E-03    0.00000E+00    0.28486E+00    0.87550E-07    0.26330E-02   -0.18843E-06
     8    0.89333E+03    0.21136E-03    0.00000E+00    0.35773E+00    0.92659E-07    0.25231E-02   -0.21700E-06
     9    0.89253E+03    0.32462E-03    0.00000E+00    0.43607E+00    0.97179E-07    0.24188E-02   -0.24575E-06
    10    0.89488E+03    0.47629E-03    0.00000E+00    0.51897E+00    0.10118E-06    0.23201E-02   -0.27424E-06
    11    0.89963E+03    0.67388E-03    0.00000E+00    0.60586E+00    0.10475E-06    0.22283E-02   -0.30234E-06
    12    0.90687E+03    0.92485E-03    0.00000E+00    0.69651E+00    0.10790E-06    0.21414E-02   -0.32956E-06
    13    0.91549E+03    0.12371E-02    0.00000E+00    0.78926E+00    0.11072E-06    0.20615E-02   -0.35654E-06
    14    0.92537E+03    0.16183E-02    0.00000E+00    0.88367E+00    0.11322E-06    0.19859E-02   -0.38323E-06
    15    0.93627E+03    0.20778E-02    0.00000E+00    0.97893E+00    0.11546E-06    0.19152E-02   -0.41003E-06
    16    0.94851E+03    0.26246E-02    0.00000E+00    0.10754E+01    0.11745E-06    0.18482E-02   -0.43668E-06
    17    0.96151E+03    0.32680E-02    0.00000E+00    0.11714E+01    0.11920E-06    0.17852E-02   -0.46299E-06
    18    0.97487E+03    0.40154E-02    0.00000E+00    0.12659E+01    0.12076E-06    0.17261E-02   -0.48889E-06
    19    0.98981E+03    0.48807E-02    0.00000E+00    0.13597E+01    0.12214E-06    0.16708E-02   -0.51469E-06
    20    0.10050E+04    0.58685E-02    0.00000E+00    0.14514E+01    0.12334E-06    0.16180E-02   -0.53983E-06
    21    0.10208E+04    0.69900E-02    0.00000E+00    0.15399E+01    0.12440E-06    0.15683E-02   -0.56458E-06
    22    0.10370E+04    0.82551E-02    0.00000E+00    0.16249E+01    0.12532E-06    0.15212E-02   -0.58907E-06
    23    0.10536E+04    0.96739E-02    0.00000E+00    0.17059E+01    0.12611E-06    0.14766E-02   -0.61333E-06
    24    0.10707E+04    0.11255E-01    0.00000E+00    0.17814E+01    0.12678E-06    0.14346E-02   -0.63705E-06
    25    0.10881E+04    0.13009E-01    0.00000E+00    0.18517E+01    0.12735E-06    0.13947E-02   -0.66049E-06
    26    0.11060E+04    0.14945E-01    0.00000E+00    0.19166E+01    0.12782E-06    0.13566E-02   -0.68356E-06
    27    0.11242E+04    0.17073E-01    0.00000E+00    0.19752E+01    0.12820E-06    0.13202E-02   -0.70634E-06
    28    0.11426E+04    0.19402E-01    0.00000E+00    0.20262E+01    0.12849E-06    0.12858E-02   -0.72879E-06
    29    0.11615E+04    0.21942E-01    0.00000E+00    0.20691E+01    0.12871E-06    0.12532E-02   -0.75084E-06
    30    0.11807E+04    0.24701E-01    0.00000E+00    0.21048E+01    0.12886E-06    0.12219E-02   -0.77248E-06
    31    0.12000E+04    0.27689E-01    0.00000E+00    0.21320E+01    0.12893E-06    0.11918E-02   -0.79378E-06
    32    0.12197E+04    0.30914E-01    0.00000E+00    0.21500E+01    0.12895E-06    0.11632E-02   -0.81484E-06
    33    0.12397E+04    0.34386E-01    0.00000E+00    0.21573E+01    0.12892E-06    0.11360E-02   -0.83560E-06
    34    0.12599E+04    0.38109E-01    0.00000E+00    0.21554E+01    0.12883E-06    0.11099E-02   -0.85583E-06
    35    0.12803E+04    0.42096E-01    0.00000E+00    0.21436E+01    0.12869E-06    0.10848E-02   -0.87572E-06
    36    0.13010E+04    0.46353E-01    0.00000E+00    0.21206E+01    0.12851E-06    0.10607E-02   -0.89537E-06
    37    0.13219E+04    0.50887E-01    0.00000E+00    0.20857E+01    0.12829E-06    0.10377E-02   -0.91476E-06
    38    0.13431E+04    0.55706E-01    0.00000E+00    0.20395E+01    0.12802E-06    0.10156E-02   -0.93370E-06
    39    0.13645E+04    0.60814E-01    0.00000E+00    0.19815E+01    0.12772E-06    0.99437E-03   -0.95223E-06
    40    0.13860E+04    0.66216E-01    0.00000E+00    0.19107E+01    0.12739E-06    0.97397E-03   -0.97045E-06
    41    0.14080E+04    0.71923E-01    0.00000E+00    0.18262E+01    0.12703E-06    0.95445E-03   -0.98843E-06
    42    0.14300E+04    0.77941E-01    0.00000E+00    0.17291E+01    0.12664E-06    0.93563E-03   -0.10061E-05
    43    0.14523E+04    0.84272E-01    0.00000E+00    0.16200E+01    0.12623E-06    0.91736E-03   -0.10233E-05
    44    0.14747E+04    0.90916E-01    0.00000E+00    0.14970E+01    0.12578E-06    0.89974E-03   -0.10402E-05
    45    0.14974E+04    0.97882E-01    0.00000E+00    0.13588E+01    0.12532E-06    0.88290E-03   -0.10568E-05
    46    0.15204E+04    0.10518E+00    0.00000E+00    0.12063E+01    0.12484E-06    0.86666E-03   -0.10731E-05
    47    0.15435E+04    0.11281E+00    0.00000E+00    0.10410E+01    0.12433E-06    0.85087E-03   -0.10890E-05
    48    0.15667E+04    0.12076E+00    0.00000E+00    0.86095E+00    0.12381E-06    0.83560E-03   -0.11046E-05
    49    0.15903E+04    0.12905E+00    0.00000E+00    0.66494E+00    0.12328E-06    0.82094E-03   -0.11199E-05
    50    0.16142E+04    0.13768E+00    0.00000E+00    0.45392E+00    0.12272E-06    0.80679E-03   -0.11349E-05
    51    0.16381E+04    0.14665E+00    0.00000E+00    0.22915E+00    0.12216E-06    0.79301E-03   -0.11495E-05
    52    0.16624E+04    0.15594E+00    0.00000E+00   -0.10780E-01    0.12158E-06    0.77968E-03   -0.11638E-05
    53    0.16870E+04    0.16559E+00    0.00000E+00   -0.26739E+00    0.12099E-06    0.76685E-03   -0.11778E-05
    54    0.17117E+04    0.17556E+00    0.00000E+00   -0.53941E+00    0.12039E-06    0.75442E-03   -0.11915E-05
    55    0.17365E+04    0.18587E+00    0.00000E+00   -0.82562E+00    0.11978E-06    0.74230E-03   -0.12049E-05
