#           k/h    P           
    0.10000E-03    0.84459E+02
    0.10202E-03    0.86113E+02
    0.10408E-03    0.87799E+02
    0.10618E-03    0.89518E+02
    0.10833E-03    0.91271E+02
    0.11052E-03    0.93058E+02
    0.11275E-03    0.94880E+02
    0.11503E-03    0.96738E+02
    0.11735E-03    0.98632E+02
    0.11972E-03    0.10056E+03
    0.12214E-03    0.10253E+03
    0.12461E-03    0.10454E+03
    0.12712E-03    0.10659E+03
    0.12969E-03    0.10867E+03
    0.13231E-03    0.11080E+03
    0.13499E-03    0.11297E+03
    0.13771E-03    0.11518E+03
    0.14049E-03    0.11743E+03
    0.14333E-03    0.11973E+03
    0.14623E-03    0.12208E+03
    0.14918E-03    0.12447E+03
    0.15220E-03    0.12690E+03
    0.15527E-03    0.12939E+03
    0.15841E-03    0.13192E+03
    0.16161E-03    0.13450E+03
    0.16487E-03    0.13713E+03
    0.16820E-03    0.13981E+03
    0.17160E-03    0.14255E+03
    0.17507E-03    0.14534E+03
    0.17860E-03    0.14818E+03
    0.18221E-03    0.15108E+03
    0.18589E-03    0.15404E+03
    0.18965E-03    0.15705E+03
    0.19348E-03    0.16012E+03
    0.19739E-03    0.16325E+03
    0.20138E-03    0.16645E+03
    0.20544E-03    0.16970E+03
    0.20959E-03    0.17302E+03
    0.21383E-03    0.17640E+03
    0.21815E-03    0.17985E+03
    0.22255E-03    0.18337E+03
    0.22705E-03    0.18696E+03
    0.23164E-03    0.19061E+03
    0.23632E-03    0.19434E+03
    0.24109E-03    0.19813E+03
    0.24596E-03    0.20201E+03
    0.25093E-03    0.20595E+03
    0.25600E-03    0.20998E+03
    0.26117E-03    0.21408E+03
    0.26645E-03    0.21826E+03
    0.27183E-03    0.22253E+03
    0.27732E-03    0.22687E+03
    0.28292E-03    0.23130E+03
    0.28864E-03    0.23582E+03
    0.29447E-03    0.24042E+03
    0.30042E-03    0.24512E+03
    0.30649E-03    0.24990E+03
    0.31268E-03    0.25478E+03
    0.31899E-03    0.25975E+03
    0.32544E-03    0.26482E+03
    0.33201E-03    0.26998E+03
    0.33872E-03    0.27525E+03
    0.34556E-03    0.28062E+03
    0.35254E-03    0.28609E+03
    0.35966E-03    0.29167E+03
    0.36693E-03    0.29735E+03
    0.37434E-03    0.30314E+03
    0.38190E-03    0.30905E+03
    0.38962E-03    0.31507E+03
    0.39749E-03    0.32120E+03
    0.40552E-03    0.32746E+03
    0.41371E-03    0.33383E+03
    0.42207E-03    0.34032E+03
    0.43060E-03    0.34695E+03
    0.43929E-03    0.35369E+03
    0.44817E-03    0.36057E+03
    0.45722E-03    0.36758E+03
    0.46646E-03    0.37472E+03
    0.47588E-03    0.38200E+03
    0.48550E-03    0.38941E+03
    0.49530E-03    0.39697E+03
    0.50531E-03    0.40468E+03
    0.51552E-03    0.41252E+03
    0.52593E-03    0.42052E+03
    0.53656E-03    0.42867E+03
    0.54739E-03    0.43698E+03
    0.55845E-03    0.44544E+03
    0.56973E-03    0.45406E+03
    0.58124E-03    0.46285E+03
    0.59299E-03    0.47180E+03
    0.60496E-03    0.48092E+03
    0.61719E-03    0.49021E+03
    0.62965E-03    0.49967E+03
    0.64237E-03    0.50931E+03
    0.65535E-03    0.51914E+03
    0.66859E-03    0.52914E+03
    0.68210E-03    0.53934E+03
    0.69588E-03    0.54972E+03
    0.70993E-03    0.56030E+03
    0.72427E-03    0.57107E+03
    0.73891E-03    0.58204E+03
    0.75383E-03    0.59321E+03
    0.76906E-03    0.60459E+03
    0.78460E-03    0.61618E+03
    0.80045E-03    0.62799E+03
    0.81662E-03    0.64001E+03
    0.83311E-03    0.65224E+03
    0.84994E-03    0.66471E+03
    0.86711E-03    0.67739E+03
    0.88463E-03    0.69031E+03
    0.90250E-03    0.70346E+03
    0.92073E-03    0.71685E+03
    0.93933E-03    0.73048E+03
    0.95831E-03    0.74436E+03
    0.97767E-03    0.75848E+03
    0.99742E-03    0.77285E+03
    0.10176E-02    0.78748E+03
    0.10381E-02    0.80237E+03
    0.10591E-02    0.81752E+03
    0.10805E-02    0.83294E+03
    0.11023E-02    0.84863E+03
    0.11246E-02    0.86459E+03
    0.11473E-02    0.88083E+03
    0.11705E-02    0.89735E+03
    0.11941E-02    0.91416E+03
    0.12182E-02    0.93125E+03
    0.12429E-02    0.94864E+03
    0.12680E-02    0.96633E+03
    0.12936E-02    0.98431E+03
    0.13197E-02    0.10026E+04
    0.13464E-02    0.10212E+04
    0.13736E-02    0.10401E+04
    0.14013E-02    0.10593E+04
    0.14296E-02    0.10789E+04
    0.14585E-02    0.10987E+04
    0.14880E-02    0.11189E+04
    0.15180E-02    0.11394E+04
    0.15487E-02    0.11603E+04
    0.15800E-02    0.11815E+04
    0.16119E-02    0.12030E+04
    0.16445E-02    0.12249E+04
    0.16777E-02    0.12471E+04
    0.17116E-02    0.12696E+04
    0.17462E-02    0.12926E+04
    0.17814E-02    0.13158E+04
    0.18174E-02    0.13394E+04
    0.18541E-02    0.13634E+04
    0.18916E-02    0.13878E+04
    0.19298E-02    0.14125E+04
    0.19688E-02    0.14376E+04
    0.20086E-02    0.14631E+04
    0.20491E-02    0.14889E+04
    0.20905E-02    0.15151E+04
    0.21328E-02    0.15417E+04
    0.21758E-02    0.15686E+04
    0.22198E-02    0.15960E+04
    0.22646E-02    0.16237E+04
    0.23104E-02    0.16518E+04
    0.23571E-02    0.16803E+04
    0.24047E-02    0.17092E+04
    0.24533E-02    0.17385E+04
    0.25028E-02    0.17682E+04
    0.25534E-02    0.17982E+04
    0.26050E-02    0.18287E+04
    0.26576E-02    0.18595E+04
    0.27113E-02    0.18907E+04
    0.27660E-02    0.19223E+04
    0.28219E-02    0.19543E+04
    0.28789E-02    0.19867E+04
    0.29371E-02    0.20195E+04
    0.29964E-02    0.20527E+04
    0.30569E-02    0.20862E+04
    0.31187E-02    0.21202E+04
    0.31817E-02    0.21545E+04
    0.32460E-02    0.21892E+04
    0.33115E-02    0.22242E+04
    0.33784E-02    0.22597E+04
    0.34467E-02    0.22954E+04
    0.35163E-02    0.23316E+04
    0.35874E-02    0.23681E+04
    0.36598E-02    0.24050E+04
    0.37338E-02    0.24422E+04
    0.38092E-02    0.24798E+04
    0.38861E-02    0.25177E+04
    0.39646E-02    0.25559E+04
    0.40447E-02    0.25945E+04
    0.41264E-02    0.26334E+04
    0.42098E-02    0.26725E+04
    0.42948E-02    0.27120E+04
    0.43816E-02    0.27518E+04
    0.44701E-02    0.27918E+04
    0.45604E-02    0.28321E+04
    0.46525E-02    0.28727E+04
    0.47465E-02    0.29135E+04
    0.48424E-02    0.29546E+04
    0.49402E-02    0.29959E+04
    0.50400E-02    0.30374E+04
    0.51419E-02    0.30791E+04
    0.52457E-02    0.31209E+04
    0.53517E-02    0.31630E+04
    0.54598E-02    0.32051E+04
    0.55701E-02    0.32475E+04
    0.56826E-02    0.32899E+04
    0.57974E-02    0.33324E+04
    0.59145E-02    0.33751E+04
    0.60340E-02    0.34177E+04
    0.61559E-02    0.34604E+04
    0.62803E-02    0.35032E+04
    0.64072E-02    0.35459E+04
    0.65366E-02    0.35886E+04
    0.66686E-02    0.36313E+04
    0.68033E-02    0.36739E+04
    0.69408E-02    0.37163E+04
    0.70810E-02    0.37587E+04
    0.72240E-02    0.38009E+04
    0.73700E-02    0.38429E+04
    0.75189E-02    0.38847E+04
    0.76708E-02    0.39262E+04
    0.78257E-02    0.39675E+04
    0.79838E-02    0.40085E+04
    0.81451E-02    0.40491E+04
    0.83096E-02    0.40894E+04
    0.84775E-02    0.41293E+04
    0.86488E-02    0.41687E+04
    0.88235E-02    0.42076E+04
    0.90017E-02    0.42461E+04
    0.91836E-02    0.42839E+04
    0.93691E-02    0.43212E+04
    0.95583E-02    0.43578E+04
    0.97514E-02    0.43938E+04
    0.99484E-02    0.44290E+04
    0.10149E-01    0.44634E+04
    0.10354E-01    0.44971E+04
    0.10564E-01    0.45298E+04
    0.10777E-01    0.45617E+04
    0.10995E-01    0.45926E+04
    0.11217E-01    0.46225E+04
    0.11443E-01    0.46514E+04
    0.11675E-01    0.46792E+04
    0.11910E-01    0.47058E+04
    0.12151E-01    0.47312E+04
    0.12397E-01    0.47553E+04
    0.12647E-01    0.47781E+04
    0.12902E-01    0.47996E+04
    0.13163E-01    0.48197E+04
    0.13429E-01    0.48383E+04
    0.13700E-01    0.48553E+04
    0.13977E-01    0.48708E+04
    0.14259E-01    0.48847E+04
    0.14547E-01    0.48968E+04
    0.14841E-01    0.49073E+04
    0.15141E-01    0.49159E+04
    0.15447E-01    0.49228E+04
    0.15759E-01    0.49277E+04
    0.16077E-01    0.49307E+04
    0.16402E-01    0.49317E+04
    0.16734E-01    0.49307E+04
    0.17072E-01    0.49276E+04
    0.17416E-01    0.49224E+04
    0.17768E-01    0.49150E+04
    0.18127E-01    0.49055E+04
    0.18493E-01    0.48937E+04
    0.18867E-01    0.48797E+04
    0.19248E-01    0.48634E+04
    0.19637E-01    0.48449E+04
    0.20034E-01    0.48240E+04
    0.20438E-01    0.48008E+04
    0.20851E-01    0.47753E+04
    0.21272E-01    0.47475E+04
    0.21702E-01    0.47174E+04
    0.22141E-01    0.46849E+04
    0.22588E-01    0.46502E+04
    0.23044E-01    0.46133E+04
    0.23510E-01    0.45741E+04
    0.23985E-01    0.45327E+04
    0.24469E-01    0.44893E+04
    0.24964E-01    0.44437E+04
    0.25468E-01    0.43962E+04
    0.25982E-01    0.43468E+04
    0.26507E-01    0.42955E+04
    0.27043E-01    0.42425E+04
    0.27589E-01    0.41879E+04
    0.28146E-01    0.41317E+04
    0.28715E-01    0.40742E+04
    0.29295E-01    0.40153E+04
    0.29887E-01    0.39554E+04
    0.30490E-01    0.38944E+04
    0.31106E-01    0.38327E+04
    0.31735E-01    0.37702E+04
    0.32376E-01    0.37072E+04
    0.33030E-01    0.36439E+04
    0.33697E-01    0.35803E+04
    0.34378E-01    0.35168E+04
    0.35072E-01    0.34534E+04
    0.35781E-01    0.33904E+04
    0.36504E-01    0.33279E+04
    0.37241E-01    0.32660E+04
    0.37993E-01    0.32050E+04
    0.38761E-01    0.31450E+04
    0.39544E-01    0.30862E+04
    0.40343E-01    0.30286E+04
    0.41158E-01    0.29725E+04
    0.41989E-01    0.29179E+04
    0.42838E-01    0.28650E+04
    0.43703E-01    0.28138E+04
    0.44586E-01    0.27645E+04
    0.45486E-01    0.27170E+04
    0.46405E-01    0.26713E+04
    0.47343E-01    0.26276E+04
    0.48299E-01    0.25858E+04
    0.49275E-01    0.25458E+04
    0.50270E-01    0.25075E+04
    0.51286E-01    0.24709E+04
    0.52322E-01    0.24359E+04
    0.53379E-01    0.24022E+04
    0.54457E-01    0.23697E+04
    0.55557E-01    0.23383E+04
    0.56680E-01    0.23076E+04
    0.57825E-01    0.22774E+04
    0.58993E-01    0.22474E+04
    0.60184E-01    0.22174E+04
    0.61400E-01    0.21871E+04
    0.62641E-01    0.21561E+04
    0.63906E-01    0.21241E+04
    0.65197E-01    0.20909E+04
    0.66514E-01    0.20562E+04
    0.67858E-01    0.20199E+04
    0.69229E-01    0.19816E+04
    0.70627E-01    0.19413E+04
    0.72054E-01    0.18988E+04
    0.73510E-01    0.18543E+04
    0.74994E-01    0.18077E+04
    0.76509E-01    0.17592E+04
    0.78055E-01    0.17090E+04
    0.79632E-01    0.16574E+04
    0.81241E-01    0.16048E+04
    0.82882E-01    0.15517E+04
    0.84556E-01    0.14984E+04
    0.86264E-01    0.14455E+04
    0.88007E-01    0.13936E+04
    0.89785E-01    0.13431E+04
    0.91598E-01    0.12945E+04
    0.93449E-01    0.12484E+04
    0.95337E-01    0.12050E+04
    0.97263E-01    0.11647E+04
    0.99227E-01    0.11276E+04
    0.10123E+00    0.10940E+04
    0.10328E+00    0.10637E+04
    0.10536E+00    0.10367E+04
    0.10749E+00    0.10127E+04
    0.10966E+00    0.99128E+03
    0.11188E+00    0.97201E+03
    0.11414E+00    0.95431E+03
    0.11644E+00    0.93756E+03
    0.11880E+00    0.92106E+03
    0.12120E+00    0.90417E+03
    0.12365E+00    0.88624E+03
    0.12614E+00    0.86676E+03
    0.12869E+00    0.84533E+03
    0.13129E+00    0.82176E+03
    0.13394E+00    0.79603E+03
    0.13665E+00    0.76838E+03
    0.13941E+00    0.73921E+03
    0.14223E+00    0.70912E+03
    0.14510E+00    0.67882E+03
    0.14803E+00    0.64907E+03
    0.15102E+00    0.62061E+03
    0.15407E+00    0.59411E+03
    0.15718E+00    0.57005E+03
    0.16036E+00    0.54874E+03
    0.16360E+00    0.53025E+03
    0.16690E+00    0.51443E+03
    0.17028E+00    0.50090E+03
    0.17371E+00    0.48909E+03
    0.17722E+00    0.47830E+03
    0.18080E+00    0.46777E+03
    0.18446E+00    0.45678E+03
    0.18818E+00    0.44476E+03
    0.19198E+00    0.43133E+03
    0.19586E+00    0.41641E+03
    0.19982E+00    0.40023E+03
    0.20386E+00    0.38324E+03
    0.20797E+00    0.36609E+03
    0.21218E+00    0.34946E+03
    0.21646E+00    0.33399E+03
    0.22083E+00    0.32011E+03
    0.22530E+00    0.30803E+03
    0.22985E+00    0.29768E+03
    0.23449E+00    0.28873E+03
    0.23923E+00    0.28066E+03
    0.24406E+00    0.27289E+03
    0.24899E+00    0.26487E+03
    0.25402E+00    0.25623E+03
    0.25915E+00    0.24683E+03
    0.26439E+00    0.23683E+03
    0.26973E+00    0.22659E+03
    0.27518E+00    0.21656E+03
    0.28074E+00    0.20720E+03
    0.28641E+00    0.19877E+03
    0.29219E+00    0.19135E+03
    0.29810E+00    0.18476E+03
    0.30412E+00    0.17868E+03
    0.31026E+00    0.17276E+03
    0.31653E+00    0.16668E+03
    0.32292E+00    0.16033E+03
    0.32945E+00    0.15376E+03
    0.33610E+00    0.14721E+03
    0.34289E+00    0.14093E+03
    0.34982E+00    0.13512E+03
    0.35689E+00    0.12985E+03
    0.36409E+00    0.12502E+03
    0.37145E+00    0.12044E+03
    0.37895E+00    0.11593E+03
    0.38661E+00    0.11138E+03
    0.39442E+00    0.10681E+03
    0.40239E+00    0.10232E+03
    0.41052E+00    0.98036E+02
    0.41881E+00    0.94042E+02
    0.42727E+00    0.90320E+02
    0.43590E+00    0.86786E+02
    0.44471E+00    0.83346E+02
    0.45369E+00    0.79953E+02
    0.46286E+00    0.76622E+02
    0.47221E+00    0.73408E+02
    0.48174E+00    0.70358E+02
    0.49148E+00    0.67474E+02
    0.50141E+00    0.64725E+02
    0.51153E+00    0.62066E+02
    0.52187E+00    0.59479E+02
    0.53241E+00    0.56974E+02
    0.54317E+00    0.54572E+02
    0.55414E+00    0.52284E+02
    0.56533E+00    0.50098E+02
    0.57675E+00    0.47995E+02
    0.58840E+00    0.45964E+02
    0.60029E+00    0.44007E+02
    0.61242E+00    0.42133E+02
    0.62479E+00    0.40340E+02
    0.63741E+00    0.38621E+02
    0.65029E+00    0.36969E+02
    0.66342E+00    0.35382E+02
    0.67683E+00    0.33858E+02
    0.69050E+00    0.32397E+02
    0.70445E+00    0.30998E+02
    0.71868E+00    0.29656E+02
    0.73320E+00    0.28369E+02
    0.74801E+00    0.27136E+02
    0.76312E+00    0.25953E+02
    0.77854E+00    0.24819E+02
    0.79426E+00    0.23732E+02
    0.81031E+00    0.22691E+02
    0.82668E+00    0.21693E+02
    0.84338E+00    0.20737E+02
    0.86041E+00    0.19821E+02
    0.87780E+00    0.18944E+02
    0.89553E+00    0.18104E+02
    0.91362E+00    0.17300E+02
    0.93208E+00    0.16530E+02
    0.95091E+00    0.15793E+02
    0.97011E+00    0.15088E+02
    0.98971E+00    0.14413E+02
    0.10097E+01    0.13766E+02
    0.10301E+01    0.13148E+02
    0.10509E+01    0.12556E+02
    0.10721E+01    0.11990E+02
    0.10938E+01    0.11448E+02
    0.11159E+01    0.10930E+02
    0.11384E+01    0.10435E+02
    0.11614E+01    0.99611E+01
    0.11849E+01    0.95081E+01
    0.12088E+01    0.90750E+01
    0.12333E+01    0.86609E+01
    0.12582E+01    0.82650E+01
    0.12836E+01    0.78865E+01
    0.13095E+01    0.75249E+01
    0.13360E+01    0.71792E+01
    0.13630E+01    0.68490E+01
    0.13905E+01    0.65334E+01
    0.14186E+01    0.62319E+01
    0.14472E+01    0.59439E+01
    0.14765E+01    0.56688E+01
    0.15063E+01    0.54060E+01
    0.15367E+01    0.51550E+01
    0.15678E+01    0.49153E+01
    0.15994E+01    0.46865E+01
    0.16318E+01    0.44680E+01
    0.16647E+01    0.42594E+01
    0.16984E+01    0.40602E+01
    0.17327E+01    0.38701E+01
    0.17677E+01    0.36886E+01
    0.18034E+01    0.35154E+01
    0.18398E+01    0.33502E+01
    0.18770E+01    0.31924E+01
    0.19149E+01    0.30420E+01
    0.19536E+01    0.28984E+01
    0.19930E+01    0.27614E+01
    0.20333E+01    0.26307E+01
    0.20744E+01    0.25061E+01
    0.21163E+01    0.23872E+01
    0.21590E+01    0.22738E+01
    0.22026E+01    0.21656E+01
    0.22471E+01    0.20625E+01
    0.22925E+01    0.19642E+01
    0.23388E+01    0.18704E+01
    0.23861E+01    0.17811E+01
    0.24343E+01    0.16958E+01
    0.24835E+01    0.16146E+01
    0.25336E+01    0.15372E+01
    0.25848E+01    0.14634E+01
    0.26370E+01    0.13930E+01
    0.26903E+01    0.13260E+01
    0.27447E+01    0.12621E+01
    0.28001E+01    0.12013E+01
    0.28567E+01    0.11433E+01
    0.29144E+01    0.10880E+01
    0.29733E+01    0.10354E+01
    0.30333E+01    0.98527E+00
    0.30946E+01    0.93751E+00
    0.31571E+01    0.89201E+00
    0.32209E+01    0.84868E+00
    0.32860E+01    0.80741E+00
    0.33523E+01    0.76811E+00
    0.34201E+01    0.73068E+00
    0.34892E+01    0.69504E+00
    0.35596E+01    0.66111E+00
    0.36316E+01    0.62881E+00
    0.37049E+01    0.59805E+00
    0.37798E+01    0.56877E+00
    0.38561E+01    0.54090E+00
    0.39340E+01    0.51436E+00
    0.40135E+01    0.48911E+00
