#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.117925E+08   0.117925E+08   0.154923E+08   0.154917E+08   0.117925E+08   0.117925E+08   0.117925E+08   0.117977E+08  -0.571506E+00   0.102261E+08   0.102261E+08   0.796998E-01
   0.798228E-04   0.117923E+08   0.117923E+08   0.154351E+08   0.154344E+08   0.117921E+08   0.117923E+08   0.117923E+08   0.117976E+08  -0.571497E+00   0.102260E+08   0.102260E+08   0.890482E-01
   0.892035E-04   0.117921E+08   0.117921E+08   0.153640E+08   0.153631E+08   0.117917E+08   0.117921E+08   0.117921E+08   0.117974E+08  -0.571487E+00   0.102259E+08   0.102259E+08   0.994882E-01
   0.996866E-04   0.117919E+08   0.117919E+08   0.152756E+08   0.152744E+08   0.117911E+08   0.117919E+08   0.117919E+08   0.117971E+08  -0.571473E+00   0.102257E+08   0.102257E+08   0.111145E+00
   0.111402E-03   0.117916E+08   0.117916E+08   0.151658E+08   0.151645E+08   0.117904E+08   0.117916E+08   0.117916E+08   0.117968E+08  -0.571457E+00   0.102254E+08   0.102254E+08   0.124159E+00
   0.124493E-03   0.117913E+08   0.117913E+08   0.150299E+08   0.150281E+08   0.117895E+08   0.117913E+08   0.117913E+08   0.117964E+08  -0.571436E+00   0.102251E+08   0.102251E+08   0.138682E+00
   0.139124E-03   0.117909E+08   0.117909E+08   0.148616E+08   0.148595E+08   0.117885E+08   0.117908E+08   0.117909E+08   0.117959E+08  -0.571411E+00   0.102247E+08   0.102247E+08   0.154887E+00
   0.155474E-03   0.117903E+08   0.117903E+08   0.146540E+08   0.146514E+08   0.117871E+08   0.117902E+08   0.117903E+08   0.117952E+08  -0.571379E+00   0.102242E+08   0.102242E+08   0.172959E+00
   0.173745E-03   0.117896E+08   0.117896E+08   0.143986E+08   0.143954E+08   0.117854E+08   0.117896E+08   0.117896E+08   0.117945E+08  -0.571339E+00   0.102236E+08   0.102236E+08   0.193105E+00
   0.194163E-03   0.117888E+08   0.117888E+08   0.140855E+08   0.140816E+08   0.117833E+08   0.117887E+08   0.117888E+08   0.117935E+08  -0.571290E+00   0.102229E+08   0.102229E+08   0.215549E+00
   0.216981E-03   0.117877E+08   0.117877E+08   0.137035E+08   0.136989E+08   0.117807E+08   0.117876E+08   0.117877E+08   0.117923E+08  -0.571229E+00   0.102220E+08   0.102220E+08   0.240534E+00
   0.242480E-03   0.117864E+08   0.117864E+08   0.132402E+08   0.132347E+08   0.117775E+08   0.117862E+08   0.117864E+08   0.117908E+08  -0.571152E+00   0.102208E+08   0.102208E+08   0.268324E+00
   0.270976E-03   0.117848E+08   0.117848E+08   0.126824E+08   0.126759E+08   0.117734E+08   0.117846E+08   0.117848E+08   0.117889E+08  -0.571058E+00   0.102194E+08   0.102194E+08   0.299200E+00
   0.302821E-03   0.117828E+08   0.117828E+08   0.120171E+08   0.120096E+08   0.117684E+08   0.117825E+08   0.117828E+08   0.117866E+08  -0.570941E+00   0.102176E+08   0.102176E+08   0.333460E+00
   0.338408E-03   0.117803E+08   0.117802E+08   0.112330E+08   0.112245E+08   0.117621E+08   0.117799E+08   0.117802E+08   0.117837E+08  -0.570796E+00   0.102154E+08   0.102154E+08   0.371415E+00
