#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.113846E+08   0.113846E+08   0.149644E+08   0.149638E+08   0.113849E+08   0.113846E+08   0.113846E+08   0.113895E+08  -0.572836E+00   0.993809E+07   0.993809E+07   0.759062E-01
   0.798228E-04   0.113845E+08   0.113845E+08   0.149111E+08   0.149104E+08   0.113843E+08   0.113845E+08   0.113845E+08   0.113894E+08  -0.572827E+00   0.993797E+07   0.993797E+07   0.848104E-01
   0.892035E-04   0.113843E+08   0.113843E+08   0.148448E+08   0.148439E+08   0.113837E+08   0.113843E+08   0.113843E+08   0.113892E+08  -0.572817E+00   0.993782E+07   0.993782E+07   0.947545E-01
   0.996866E-04   0.113841E+08   0.113841E+08   0.147624E+08   0.147614E+08   0.113828E+08   0.113841E+08   0.113841E+08   0.113890E+08  -0.572804E+00   0.993764E+07   0.993764E+07   0.105858E+00
   0.111402E-03   0.113839E+08   0.113839E+08   0.146601E+08   0.146588E+08   0.113818E+08   0.113838E+08   0.113839E+08   0.113886E+08  -0.572789E+00   0.993740E+07   0.993740E+07   0.118255E+00
   0.124493E-03   0.113835E+08   0.113835E+08   0.145333E+08   0.145317E+08   0.113805E+08   0.113835E+08   0.113835E+08   0.113883E+08  -0.572769E+00   0.993711E+07   0.993711E+07   0.132090E+00
   0.139124E-03   0.113831E+08   0.113831E+08   0.143764E+08   0.143744E+08   0.113789E+08   0.113831E+08   0.113831E+08   0.113878E+08  -0.572744E+00   0.993675E+07   0.993675E+07   0.147528E+00
   0.155474E-03   0.113826E+08   0.113826E+08   0.141827E+08   0.141803E+08   0.113769E+08   0.113826E+08   0.113826E+08   0.113872E+08  -0.572713E+00   0.993630E+07   0.993630E+07   0.164747E+00
   0.173745E-03   0.113820E+08   0.113820E+08   0.139442E+08   0.139413E+08   0.113744E+08   0.113819E+08   0.113820E+08   0.113865E+08  -0.572675E+00   0.993573E+07   0.993573E+07   0.183943E+00
   0.194163E-03   0.113812E+08   0.113812E+08   0.136517E+08   0.136481E+08   0.113712E+08   0.113811E+08   0.113812E+08   0.113856E+08  -0.572627E+00   0.993503E+07   0.993503E+07   0.205332E+00
