#           k/h    P           
    0.42098E-02    0.85819E+01
    0.42948E-02    0.87149E+01
    0.43816E-02    0.88489E+01
    0.44701E-02    0.89841E+01
    0.45604E-02    0.91202E+01
    0.46525E-02    0.92574E+01
    0.47465E-02    0.93955E+01
    0.48424E-02    0.95345E+01
    0.49402E-02    0.96745E+01
    0.50400E-02    0.98153E+01
    0.51419E-02    0.99569E+01
    0.52457E-02    0.10099E+02
    0.53517E-02    0.10243E+02
    0.54598E-02    0.10386E+02
    0.55701E-02    0.10531E+02
    0.56826E-02    0.10676E+02
    0.57974E-02    0.10822E+02
    0.59145E-02    0.10968E+02
    0.60340E-02    0.11114E+02
    0.61559E-02    0.11261E+02
    0.62803E-02    0.11408E+02
    0.64072E-02    0.11556E+02
    0.65366E-02    0.11703E+02
    0.66686E-02    0.11851E+02
    0.68033E-02    0.11999E+02
    0.69408E-02    0.12146E+02
    0.70810E-02    0.12294E+02
    0.72240E-02    0.12441E+02
    0.73700E-02    0.12587E+02
    0.75189E-02    0.12734E+02
    0.76708E-02    0.12879E+02
    0.78257E-02    0.13024E+02
    0.79838E-02    0.13169E+02
    0.81451E-02    0.13312E+02
    0.83096E-02    0.13454E+02
    0.84775E-02    0.13595E+02
    0.86488E-02    0.13735E+02
    0.88235E-02    0.13874E+02
    0.90017E-02    0.14010E+02
    0.91836E-02    0.14146E+02
    0.93691E-02    0.14279E+02
    0.95583E-02    0.14411E+02
    0.97514E-02    0.14540E+02
    0.99484E-02    0.14668E+02
    0.10149E-01    0.14793E+02
    0.10354E-01    0.14916E+02
    0.10564E-01    0.15036E+02
    0.10777E-01    0.15153E+02
    0.10995E-01    0.15267E+02
    0.11217E-01    0.15379E+02
    0.11443E-01    0.15487E+02
    0.11675E-01    0.15592E+02
    0.11910E-01    0.15693E+02
    0.12151E-01    0.15791E+02
    0.12397E-01    0.15884E+02
    0.12647E-01    0.15974E+02
    0.12902E-01    0.16059E+02
    0.13163E-01    0.16140E+02
    0.13429E-01    0.16216E+02
    0.13700E-01    0.16288E+02
