#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.224867E+06   0.224866E+06   0.299762E+06   0.299755E+06   0.263452E+06   0.225488E+06   0.224867E+06   0.230311E+06  -0.604293E+00   0.223874E+06   0.223874E+06   0.251109E+01
   0.798228E-04   0.224866E+06   0.224866E+06   0.299746E+06   0.299737E+06   0.263440E+06   0.225487E+06   0.224866E+06   0.230310E+06  -0.604290E+00   0.223873E+06   0.223873E+06   0.280618E+01
   0.892035E-04   0.224865E+06   0.224865E+06   0.299727E+06   0.299715E+06   0.263424E+06   0.225486E+06   0.224865E+06   0.230308E+06  -0.604286E+00   0.223873E+06   0.223872E+06   0.313594E+01
   0.996866E-04   0.224864E+06   0.224864E+06   0.299702E+06   0.299688E+06   0.263404E+06   0.225484E+06   0.224864E+06   0.230306E+06  -0.604281E+00   0.223872E+06   0.223871E+06   0.350445E+01
   0.111402E-03   0.224863E+06   0.224862E+06   0.299671E+06   0.299654E+06   0.263379E+06   0.225483E+06   0.224863E+06   0.230304E+06  -0.604275E+00   0.223870E+06   0.223870E+06   0.391626E+01
   0.124493E-03   0.224861E+06   0.224860E+06   0.299633E+06   0.299611E+06   0.263348E+06   0.225481E+06   0.224861E+06   0.230301E+06  -0.604267E+00   0.223869E+06   0.223868E+06   0.437645E+01
   0.139124E-03   0.224859E+06   0.224858E+06   0.299584E+06   0.299557E+06   0.263309E+06   0.225478E+06   0.224859E+06   0.230298E+06  -0.604258E+00   0.223867E+06   0.223866E+06   0.489071E+01
   0.155474E-03   0.224857E+06   0.224855E+06   0.299524E+06   0.299490E+06   0.263261E+06   0.225475E+06   0.224857E+06   0.230294E+06  -0.604246E+00   0.223864E+06   0.223864E+06   0.546537E+01
   0.173745E-03   0.224854E+06   0.224852E+06   0.299449E+06   0.299407E+06   0.263201E+06   0.225471E+06   0.224854E+06   0.230289E+06  -0.604232E+00   0.223861E+06   0.223860E+06   0.610754E+01
   0.194163E-03   0.224850E+06   0.224847E+06   0.299356E+06   0.299302E+06   0.263125E+06   0.225466E+06   0.224850E+06   0.230282E+06  -0.604213E+00   0.223857E+06   0.223856E+06   0.682512E+01
   0.216981E-03   0.224845E+06   0.224842E+06   0.299239E+06   0.299172E+06   0.263031E+06   0.225459E+06   0.224845E+06   0.230274E+06  -0.604191E+00   0.223852E+06   0.223851E+06   0.762697E+01
