#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11559E+04    0.31370E-01    0.13965E-02    0.31370E-01    0.14226E-05   -0.19957E-07    0.13965E-02   -0.19957E-07    0.95487E-08
     3    0.11149E+04    0.71238E-01    0.97963E-03    0.71238E-01    0.67288E-05   -0.23972E-07    0.97963E-03   -0.23972E-07    0.58055E-08
     4    0.10760E+04    0.12167E+00    0.73795E-03    0.12167E+00    0.19391E-04   -0.26075E-07    0.73795E-03   -0.26075E-07    0.40153E-08
     5    0.10484E+04    0.18171E+00    0.58152E-03    0.18171E+00    0.43762E-04   -0.27399E-07    0.58152E-03   -0.27399E-07    0.29848E-08
     6    0.10310E+04    0.25053E+00    0.47296E-03    0.25053E+00    0.85007E-04   -0.28261E-07    0.47296E-03   -0.28261E-07    0.23238E-08
     7    0.10214E+04    0.32735E+00    0.39380E-03    0.32735E+00    0.14903E-03   -0.28854E-07    0.39380E-03   -0.28854E-07    0.18694E-08
     8    0.10171E+04    0.41118E+00    0.33388E-03    0.41118E+00    0.24238E-03   -0.29307E-07    0.33388E-03   -0.29307E-07    0.15411E-08
     9    0.10172E+04    0.50136E+00    0.28717E-03    0.50136E+00    0.37235E-03   -0.29688E-07    0.28717E-03   -0.29688E-07    0.12949E-08
    10    0.10206E+04    0.59685E+00    0.24990E-03    0.59685E+00    0.54643E-03   -0.29969E-07    0.24990E-03   -0.29969E-07    0.11047E-08
    11    0.10265E+04    0.69700E+00    0.21972E-03    0.69700E+00    0.77326E-03   -0.30164E-07    0.21972E-03   -0.30164E-07    0.95442E-09
    12    0.10351E+04    0.80155E+00    0.19475E-03    0.80155E+00    0.10614E-02   -0.30248E-07    0.19475E-03   -0.30248E-07    0.83306E-09
    13    0.10452E+04    0.90862E+00    0.17403E-03    0.90862E+00    0.14200E-02   -0.30300E-07    0.17403E-03   -0.30300E-07    0.73380E-09
    14    0.10565E+04    0.10177E+01    0.15644E-03    0.10177E+01    0.18579E-02   -0.30323E-07    0.15644E-03   -0.30323E-07    0.65121E-09
    15    0.10690E+04    0.11279E+01    0.14146E-03    0.11279E+01    0.23857E-02   -0.30351E-07    0.14146E-03   -0.30351E-07    0.58188E-09
    16    0.10829E+04    0.12396E+01    0.12851E-03    0.12396E+01    0.30140E-02   -0.30366E-07    0.12851E-03   -0.30366E-07    0.52301E-09
    17    0.10976E+04    0.13509E+01    0.11728E-03    0.13509E+01    0.37534E-02   -0.30358E-07    0.11728E-03   -0.30358E-07    0.47246E-09
