#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.200301E+08   0.200301E+08   0.259845E+08   0.259834E+08   0.200297E+08   0.200301E+08   0.200301E+08   0.200347E+08  -0.460321E+00   0.989627E+07   0.989627E+07   0.440211E-01
   0.798228E-04   0.200298E+08   0.200298E+08   0.258072E+08   0.258059E+08   0.200292E+08   0.200298E+08   0.200298E+08   0.200344E+08  -0.460313E+00   0.989613E+07   0.989613E+07   0.491786E-01
   0.892035E-04   0.200294E+08   0.200294E+08   0.255873E+08   0.255856E+08   0.200287E+08   0.200294E+08   0.200294E+08   0.200340E+08  -0.460303E+00   0.989595E+07   0.989595E+07   0.549361E-01
   0.996866E-04   0.200290E+08   0.200290E+08   0.253151E+08   0.253130E+08   0.200280E+08   0.200290E+08   0.200290E+08   0.200335E+08  -0.460291E+00   0.989572E+07   0.989572E+07   0.613616E-01
   0.111402E-03   0.200284E+08   0.200284E+08   0.249788E+08   0.249763E+08   0.200272E+08   0.200284E+08   0.200284E+08   0.200329E+08  -0.460275E+00   0.989544E+07   0.989544E+07   0.685304E-01
   0.124493E-03   0.200277E+08   0.200277E+08   0.245646E+08   0.245616E+08   0.200261E+08   0.200277E+08   0.200277E+08   0.200321E+08  -0.460256E+00   0.989509E+07   0.989509E+07   0.765251E-01
   0.139124E-03   0.200269E+08   0.200269E+08   0.240561E+08   0.240524E+08   0.200248E+08   0.200268E+08   0.200269E+08   0.200311E+08  -0.460232E+00   0.989466E+07   0.989466E+07   0.854365E-01
   0.155474E-03   0.200258E+08   0.200258E+08   0.234346E+08   0.234301E+08   0.200231E+08   0.200257E+08   0.200258E+08   0.200299E+08  -0.460202E+00   0.989411E+07   0.989411E+07   0.953637E-01
   0.173745E-03   0.200245E+08   0.200245E+08   0.226789E+08   0.226736E+08   0.200211E+08   0.200244E+08   0.200245E+08   0.200284E+08  -0.460165E+00   0.989344E+07   0.989344E+07   0.106414E+00
   0.194163E-03   0.200228E+08   0.200228E+08   0.217666E+08   0.217602E+08   0.200185E+08   0.200227E+08   0.200228E+08   0.200266E+08  -0.460118E+00   0.989259E+07   0.989259E+07   0.118704E+00
   0.216981E-03   0.200207E+08   0.200207E+08   0.206744E+08   0.206670E+08   0.200153E+08   0.200206E+08   0.200207E+08   0.200243E+08  -0.460061E+00   0.989154E+07   0.989154E+07   0.132357E+00
   0.242480E-03   0.200182E+08   0.200182E+08   0.193811E+08   0.193726E+08   0.200114E+08   0.200180E+08   0.200182E+08   0.200215E+08  -0.459991E+00   0.989024E+07   0.989024E+07   0.147504E+00
   0.270976E-03   0.200150E+08   0.200150E+08   0.178705E+08   0.178611E+08   0.200064E+08   0.200147E+08   0.200150E+08   0.200179E+08  -0.459903E+00   0.988862E+07   0.988862E+07   0.164284E+00
   0.302821E-03   0.200110E+08   0.200110E+08   0.161369E+08   0.161268E+08   0.200003E+08   0.200107E+08   0.200110E+08   0.200136E+08  -0.459796E+00   0.988662E+07   0.988662E+07   0.182836E+00
   0.338408E-03   0.200061E+08   0.200061E+08   0.141913E+08   0.141809E+08   0.199927E+08   0.200057E+08   0.200061E+08   0.200083E+08  -0.459665E+00   0.988414E+07   0.988414E+07   0.203307E+00
   0.378178E-03   0.200001E+08   0.200001E+08   0.120699E+08   0.120598E+08   0.199833E+08   0.199996E+08   0.200001E+08   0.200018E+08  -0.459505E+00   0.988107E+07   0.988107E+07   0.225840E+00
   0.422621E-03   0.199926E+08   0.199926E+08   0.984177E+07   0.983294E+07   0.199716E+08   0.199920E+08   0.199926E+08   0.199938E+08  -0.459310E+00   0.987730E+07   0.987730E+07   0.250580E+00
   0.472287E-03   0.199835E+08   0.199835E+08   0.761403E+07   0.760747E+07   0.199572E+08   0.199828E+08   0.199835E+08   0.199841E+08  -0.459074E+00   0.987266E+07   0.987266E+07   0.277671E+00
   0.527790E-03   0.199723E+08   0.199723E+08   0.552853E+07   0.552516E+07   0.199395E+08   0.199714E+08   0.199723E+08   0.199724E+08  -0.458789E+00   0.986698E+07   0.986698E+07   0.307260E+00
   0.589815E-03   0.199587E+08   0.199586E+08   0.374424E+07   0.374449E+07   0.199177E+08   0.199575E+08   0.199586E+08   0.199581E+08  -0.458448E+00   0.986004E+07   0.986004E+07   0.339504E+00
   0.659130E-03   0.199420E+08   0.199420E+08   0.239977E+07   0.240312E+07   0.198911E+08   0.199406E+08   0.199420E+08   0.199410E+08  -0.458040E+00   0.985162E+07   0.985162E+07   0.374579E+00
   0.736590E-03   0.199219E+08   0.199219E+08   0.155894E+07   0.156363E+07   0.198585E+08   0.199201E+08   0.199219E+08   0.199204E+08  -0.457553E+00   0.984143E+07   0.984143E+07   0.412699E+00
   0.823153E-03   0.198977E+08   0.198976E+08   0.115963E+07   0.116305E+07   0.198188E+08   0.198954E+08   0.198976E+08   0.198956E+08  -0.456973E+00   0.982914E+07   0.982914E+07   0.454123E+00
   0.919889E-03   0.198685E+08   0.198684E+08   0.100809E+07   0.100818E+07   0.197706E+08   0.198657E+08   0.198685E+08   0.198658E+08  -0.456282E+00   0.981440E+07   0.981440E+07   0.499159E+00
   0.102799E-02   0.198335E+08   0.198333E+08   0.863315E+06   0.860471E+06   0.197123E+08   0.198300E+08   0.198335E+08   0.198302E+08  -0.455457E+00   0.979675E+07   0.979675E+07   0.548156E+00
   0.114880E-02   0.197917E+08   0.197915E+08   0.598700E+06   0.596230E+06   0.196418E+08   0.197874E+08   0.197916E+08   0.197875E+08  -0.454473E+00   0.977568E+07   0.977568E+07   0.601476E+00
   0.128381E-02   0.197418E+08   0.197416E+08   0.307189E+06   0.308061E+06   0.195570E+08   0.197365E+08   0.197418E+08   0.197366E+08  -0.453301E+00   0.975058E+07   0.975058E+07   0.659481E+00
   0.143468E-02   0.196826E+08   0.196823E+08   0.169563E+06   0.171875E+06   0.194554E+08   0.196760E+08   0.196825E+08   0.196760E+08  -0.451908E+00   0.972076E+07   0.972075E+07   0.722547E+00
   0.160328E-02   0.196123E+08   0.196120E+08   0.168115E+06   0.167489E+06   0.193347E+08   0.196043E+08   0.196123E+08   0.196044E+08  -0.450260E+00   0.968544E+07   0.968543E+07   0.791088E+00
   0.179170E-02   0.195293E+08   0.195289E+08   0.112266E+06   0.110676E+06   0.191908E+08   0.195195E+08   0.195292E+08   0.195195E+08  -0.448310E+00   0.964366E+07   0.964365E+07   0.865564E+00
   0.200226E-02   0.194314E+08   0.194309E+08   0.269215E+05   0.283515E+05   0.190208E+08   0.194196E+08   0.194313E+08   0.194196E+08  -0.446013E+00   0.959445E+07   0.959444E+07   0.946456E+00
   0.223756E-02   0.193166E+08   0.193160E+08   0.359860E+05   0.353348E+05   0.188217E+08   0.193023E+08   0.193165E+08   0.193023E+08  -0.443319E+00   0.953672E+07   0.953671E+07   0.103426E+01
   0.250052E-02   0.191825E+08   0.191817E+08   0.998783E+04   0.805417E+04   0.185901E+08   0.191654E+08   0.191823E+08   0.191654E+08  -0.440173E+00   0.946931E+07   0.946930E+07   0.112953E+01
   0.279438E-02   0.190266E+08   0.190256E+08   0.183722E+04  -0.144713E+04   0.183232E+08   0.190063E+08   0.190264E+08   0.190063E+08  -0.436519E+00   0.939101E+07   0.939100E+07   0.123283E+01
   0.312277E-02   0.188465E+08   0.188453E+08  -0.248351E+04  -0.687804E+04   0.180185E+08   0.188226E+08   0.188463E+08   0.188226E+08  -0.432300E+00   0.930061E+07   0.930060E+07   0.134475E+01
   0.348976E-02   0.186399E+08   0.186383E+08  -0.730077E+04  -0.665125E+04   0.176740E+08   0.186120E+08   0.186396E+08   0.186120E+08  -0.427461E+00   0.919694E+07   0.919692E+07   0.146590E+01
   0.389987E-02   0.184045E+08   0.184025E+08  -0.138149E+05  -0.140986E+05   0.172883E+08   0.183722E+08   0.184041E+08   0.183722E+08  -0.421954E+00   0.907892E+07   0.907891E+07   0.159689E+01
   0.435818E-02   0.181383E+08   0.181359E+08  -0.970762E+04  -0.102109E+05   0.168600E+08   0.181013E+08   0.181379E+08   0.181013E+08  -0.415732E+00   0.894562E+07   0.894559E+07   0.173830E+01
   0.440687E-02   0.181099E+08   0.181075E+08  -0.112686E+05  -0.114005E+05   0.168148E+08   0.180724E+08   0.181095E+08   0.180724E+08  -0.415069E+00   0.893141E+07   0.893139E+07   0.175304E+01
   0.445611E-02   0.180812E+08   0.180787E+08  -0.125111E+05  -0.123161E+05   0.167691E+08   0.180433E+08   0.180808E+08   0.180433E+08  -0.414398E+00   0.891704E+07   0.891702E+07   0.176789E+01
   0.450590E-02   0.180522E+08   0.180496E+08  -0.131407E+05  -0.127404E+05   0.167230E+08   0.180137E+08   0.180518E+08   0.180137E+08  -0.413720E+00   0.890252E+07   0.890249E+07   0.178284E+01
   0.455624E-02   0.180228E+08   0.180202E+08  -0.129980E+05  -0.125736E+05   0.166765E+08   0.179839E+08   0.180224E+08   0.179839E+08  -0.413034E+00   0.888782E+07   0.888780E+07   0.179791E+01
   0.460715E-02   0.179932E+08   0.179905E+08  -0.121014E+05  -0.118597E+05   0.166295E+08   0.179537E+08   0.179927E+08   0.179537E+08  -0.412341E+00   0.887297E+07   0.887294E+07   0.181309E+01
   0.465863E-02   0.179631E+08   0.179604E+08  -0.106486E+05  -0.107770E+05   0.165821E+08   0.179232E+08   0.179627E+08   0.179232E+08  -0.411640E+00   0.885795E+07   0.885792E+07   0.182838E+01
   0.471068E-02   0.179328E+08   0.179300E+08  -0.897375E+04  -0.959560E+04   0.165343E+08   0.178923E+08   0.179323E+08   0.178923E+08  -0.410931E+00   0.884276E+07   0.884273E+07   0.184378E+01
   0.476331E-02   0.179021E+08   0.178993E+08  -0.746752E+04  -0.860779E+04   0.164860E+08   0.178611E+08   0.179016E+08   0.178611E+08  -0.410215E+00   0.882741E+07   0.882738E+07   0.185930E+01
   0.481653E-02   0.178711E+08   0.178682E+08  -0.647790E+04  -0.805117E+04   0.164372E+08   0.178296E+08   0.178706E+08   0.178296E+08  -0.409490E+00   0.881189E+07   0.881186E+07   0.187493E+01
   0.487035E-02   0.178397E+08   0.178368E+08  -0.621770E+04  -0.804330E+04   0.163880E+08   0.177977E+08   0.178392E+08   0.177977E+08  -0.408758E+00   0.879620E+07   0.879617E+07   0.189068E+01
   0.492476E-02   0.178080E+08   0.178050E+08  -0.670347E+04  -0.854741E+04   0.163384E+08   0.177655E+08   0.178075E+08   0.177655E+08  -0.408018E+00   0.878035E+07   0.878032E+07   0.190653E+01
   0.497979E-02   0.177760E+08   0.177729E+08  -0.774546E+04  -0.938078E+04   0.162883E+08   0.177329E+08   0.177755E+08   0.177329E+08  -0.407270E+00   0.876432E+07   0.876430E+07   0.192251E+01
   0.503543E-02   0.177436E+08   0.177405E+08  -0.899509E+04  -0.102657E+05   0.162377E+08   0.177000E+08   0.177431E+08   0.177000E+08  -0.406515E+00   0.874813E+07   0.874810E+07   0.193859E+01
   0.509169E-02   0.177109E+08   0.177077E+08  -0.100403E+05  -0.109104E+05   0.161867E+08   0.176668E+08   0.177104E+08   0.176668E+08  -0.405751E+00   0.873177E+07   0.873174E+07   0.195479E+01
   0.514858E-02   0.176779E+08   0.176746E+08  -0.105241E+05  -0.110975E+05   0.161352E+08   0.176332E+08   0.176773E+08   0.176332E+08  -0.404979E+00   0.871524E+07   0.871521E+07   0.197111E+01
   0.520610E-02   0.176445E+08   0.176411E+08  -0.102521E+05  -0.107520E+05   0.160833E+08   0.175992E+08   0.176439E+08   0.175992E+08  -0.404200E+00   0.869854E+07   0.869851E+07   0.198754E+01
   0.526427E-02   0.176107E+08   0.176073E+08  -0.925609E+04  -0.996726E+04   0.160309E+08   0.175649E+08   0.176101E+08   0.175649E+08  -0.403412E+00   0.868166E+07   0.868163E+07   0.200409E+01
   0.532309E-02   0.175766E+08   0.175731E+08  -0.778952E+04  -0.897726E+04   0.159781E+08   0.175303E+08   0.175760E+08   0.175303E+08  -0.402617E+00   0.866462E+07   0.866458E+07   0.202076E+01
   0.538256E-02   0.175422E+08   0.175386E+08  -0.625350E+04  -0.808128E+04   0.159248E+08   0.174953E+08   0.175416E+08   0.174953E+08  -0.401813E+00   0.864740E+07   0.864736E+07   0.203754E+01
   0.544270E-02   0.175074E+08   0.175037E+08  -0.507181E+04  -0.754394E+04   0.158711E+08   0.174600E+08   0.175068E+08   0.174600E+08  -0.401001E+00   0.863001E+07   0.862997E+07   0.205444E+01
   0.550352E-02   0.174723E+08   0.174685E+08  -0.455395E+04  -0.750366E+04   0.158168E+08   0.174243E+08   0.174716E+08   0.174243E+08  -0.400181E+00   0.861244E+07   0.861241E+07   0.207145E+01
   0.556501E-02   0.174368E+08   0.174330E+08  -0.479189E+04  -0.792219E+04   0.157622E+08   0.173882E+08   0.174361E+08   0.173882E+08  -0.399353E+00   0.859470E+07   0.859467E+07   0.208858E+01
   0.562719E-02   0.174009E+08   0.173970E+08  -0.562823E+04  -0.859605E+04   0.157070E+08   0.173518E+08   0.174003E+08   0.173518E+08  -0.398517E+00   0.857679E+07   0.857675E+07   0.210583E+01
   0.569006E-02   0.173647E+08   0.173608E+08  -0.671117E+04  -0.922915E+04   0.156514E+08   0.173150E+08   0.173641E+08   0.173150E+08  -0.397673E+00   0.855870E+07   0.855866E+07   0.212319E+01
   0.575363E-02   0.173282E+08   0.173241E+08  -0.762104E+04  -0.954276E+04   0.155953E+08   0.172779E+08   0.173275E+08   0.172779E+08  -0.396820E+00   0.854043E+07   0.854040E+07   0.214068E+01
   0.581792E-02   0.172913E+08   0.172871E+08  -0.802506E+04  -0.938274E+04   0.155388E+08   0.172404E+08   0.172906E+08   0.172404E+08  -0.395959E+00   0.852199E+07   0.852195E+07   0.215827E+01
   0.588292E-02   0.172540E+08   0.172498E+08  -0.780281E+04  -0.878172E+04   0.154818E+08   0.172026E+08   0.172533E+08   0.172026E+08  -0.395090E+00   0.850337E+07   0.850334E+07   0.217599E+01
   0.594865E-02   0.172164E+08   0.172121E+08  -0.709195E+04  -0.794852E+04   0.154243E+08   0.171644E+08   0.172157E+08   0.171644E+08  -0.394213E+00   0.848458E+07   0.848454E+07   0.219382E+01
   0.601512E-02   0.171784E+08   0.171740E+08  -0.623129E+04  -0.718513E+04   0.153664E+08   0.171258E+08   0.171777E+08   0.171258E+08  -0.393328E+00   0.846560E+07   0.846556E+07   0.221177E+01
   0.608233E-02   0.171401E+08   0.171356E+08  -0.561914E+04  -0.676168E+04   0.153080E+08   0.170869E+08   0.171394E+08   0.170869E+08  -0.392434E+00   0.844645E+07   0.844641E+07   0.222984E+01
   0.615028E-02   0.171014E+08   0.170968E+08  -0.554139E+04  -0.680079E+04   0.152492E+08   0.170476E+08   0.171006E+08   0.170476E+08  -0.391531E+00   0.842712E+07   0.842708E+07   0.224802E+01
   0.621900E-02   0.170624E+08   0.170577E+08  -0.604160E+04  -0.722213E+04   0.151899E+08   0.170080E+08   0.170616E+08   0.170080E+08  -0.390621E+00   0.840761E+07   0.840757E+07   0.226632E+01
   0.628849E-02   0.170229E+08   0.170181E+08  -0.689276E+04  -0.777569E+04   0.151301E+08   0.169680E+08   0.170221E+08   0.169680E+08  -0.389702E+00   0.838792E+07   0.838788E+07   0.228473E+01
   0.635875E-02   0.169832E+08   0.169783E+08  -0.768970E+04  -0.815344E+04   0.150698E+08   0.169276E+08   0.169823E+08   0.169276E+08  -0.388774E+00   0.836806E+07   0.836801E+07   0.230327E+01
   0.642980E-02   0.169430E+08   0.169380E+08  -0.802812E+04  -0.813187E+04   0.150091E+08   0.168868E+08   0.169422E+08   0.168868E+08  -0.387838E+00   0.834801E+07   0.834796E+07   0.232191E+01
   0.650164E-02   0.169025E+08   0.168974E+08  -0.769255E+04  -0.767927E+04   0.149480E+08   0.168457E+08   0.169017E+08   0.168457E+08  -0.386894E+00   0.832778E+07   0.832773E+07   0.234067E+01
   0.657428E-02   0.168616E+08   0.168564E+08  -0.676504E+04  -0.697357E+04   0.148863E+08   0.168042E+08   0.168608E+08   0.168042E+08  -0.385941E+00   0.830736E+07   0.830732E+07   0.235955E+01
   0.664773E-02   0.168204E+08   0.168151E+08  -0.559754E+04  -0.631679E+04   0.148243E+08   0.167624E+08   0.168195E+08   0.167624E+08  -0.384980E+00   0.828677E+07   0.828672E+07   0.237854E+01
   0.672201E-02   0.167788E+08   0.167734E+08  -0.465294E+04  -0.598372E+04   0.147617E+08   0.167202E+08   0.167779E+08   0.167202E+08  -0.384010E+00   0.826599E+07   0.826594E+07   0.239764E+01
   0.679711E-02   0.167368E+08   0.167313E+08  -0.428616E+04  -0.607953E+04   0.146987E+08   0.166776E+08   0.167359E+08   0.166776E+08  -0.383032E+00   0.824503E+07   0.824498E+07   0.241686E+01
   0.687306E-02   0.166945E+08   0.166888E+08  -0.457234E+04  -0.648220E+04   0.146353E+08   0.166346E+08   0.166935E+08   0.166346E+08  -0.382045E+00   0.822389E+07   0.822384E+07   0.243619E+01
   0.694985E-02   0.166518E+08   0.166460E+08  -0.527240E+04  -0.690564E+04   0.145714E+08   0.165913E+08   0.166508E+08   0.165913E+08  -0.381049E+00   0.820256E+07   0.820251E+07   0.245563E+01
   0.702750E-02   0.166087E+08   0.166028E+08  -0.595939E+04  -0.705535E+04   0.145070E+08   0.165475E+08   0.166077E+08   0.165475E+08  -0.380045E+00   0.818105E+07   0.818100E+07   0.247518E+01
   0.710602E-02   0.165652E+08   0.165592E+08  -0.624374E+04  -0.679405E+04   0.144422E+08   0.165034E+08   0.165642E+08   0.165034E+08  -0.379033E+00   0.815935E+07   0.815930E+07   0.249484E+01
   0.718542E-02   0.165214E+08   0.165152E+08  -0.629453E+04  -0.622239E+04   0.143769E+08   0.164590E+08   0.165203E+08   0.164590E+08  -0.378011E+00   0.813747E+07   0.813741E+07   0.251461E+01
   0.726570E-02   0.164771E+08   0.164709E+08  -0.559915E+04  -0.562268E+04   0.143112E+08   0.164141E+08   0.164761E+08   0.164141E+08  -0.376981E+00   0.811540E+07   0.811535E+07   0.253449E+01
   0.734688E-02   0.164326E+08   0.164262E+08  -0.501383E+04  -0.529181E+04   0.142451E+08   0.163689E+08   0.164315E+08   0.163689E+08  -0.375942E+00   0.809315E+07   0.809309E+07   0.255448E+01
   0.742897E-02   0.163876E+08   0.163811E+08  -0.481434E+04  -0.535981E+04   0.141785E+08   0.163233E+08   0.163865E+08   0.163233E+08  -0.374895E+00   0.807071E+07   0.807065E+07   0.257457E+01
   0.751197E-02   0.163423E+08   0.163356E+08  -0.501731E+04  -0.570673E+04   0.141114E+08   0.162773E+08   0.163411E+08   0.162773E+08  -0.373839E+00   0.804808E+07   0.804802E+07   0.259477E+01
   0.759591E-02   0.162965E+08   0.162897E+08  -0.536489E+04  -0.603649E+04   0.140440E+08   0.162309E+08   0.162954E+08   0.162309E+08  -0.372774E+00   0.802527E+07   0.802521E+07   0.261507E+01
   0.768078E-02   0.162504E+08   0.162435E+08  -0.549316E+04  -0.606783E+04   0.139760E+08   0.161842E+08   0.162493E+08   0.161842E+08  -0.371700E+00   0.800226E+07   0.800220E+07   0.263547E+01
   0.776659E-02   0.162040E+08   0.161969E+08  -0.518171E+04  -0.572160E+04   0.139077E+08   0.161371E+08   0.162028E+08   0.161371E+08  -0.370618E+00   0.797907E+07   0.797901E+07   0.265598E+01
   0.785337E-02   0.161571E+08   0.161499E+08  -0.451670E+04  -0.517663E+04   0.138389E+08   0.160896E+08   0.161559E+08   0.160896E+08  -0.369527E+00   0.795569E+07   0.795563E+07   0.267658E+01
   0.794112E-02   0.161099E+08   0.161025E+08  -0.384573E+04  -0.474842E+04   0.137697E+08   0.160417E+08   0.161086E+08   0.160417E+08  -0.368427E+00   0.793212E+07   0.793206E+07   0.269728E+01
   0.802984E-02   0.160622E+08   0.160547E+08  -0.354155E+04  -0.466720E+04   0.137000E+08   0.159934E+08   0.160610E+08   0.159934E+08  -0.367318E+00   0.790836E+07   0.790830E+07   0.271808E+01
   0.811956E-02   0.160142E+08   0.160065E+08  -0.373370E+04  -0.491070E+04   0.136300E+08   0.159447E+08   0.160129E+08   0.159447E+08  -0.366200E+00   0.788442E+07   0.788435E+07   0.273897E+01
   0.821028E-02   0.159658E+08   0.159580E+08  -0.420657E+04  -0.521814E+04   0.135594E+08   0.158956E+08   0.159645E+08   0.158956E+08  -0.365073E+00   0.786028E+07   0.786021E+07   0.275995E+01
   0.830201E-02   0.159170E+08   0.159091E+08  -0.455408E+04  -0.528433E+04   0.134885E+08   0.158462E+08   0.159157E+08   0.158462E+08  -0.363938E+00   0.783595E+07   0.783588E+07   0.278103E+01
   0.839477E-02   0.158679E+08   0.158597E+08  -0.449020E+04  -0.499392E+04   0.134172E+08   0.157964E+08   0.158665E+08   0.157964E+08  -0.362793E+00   0.781142E+07   0.781135E+07   0.280219E+01
   0.848857E-02   0.158183E+08   0.158100E+08  -0.407985E+04  -0.451367E+04   0.133454E+08   0.157462E+08   0.158169E+08   0.157462E+08  -0.361640E+00   0.778671E+07   0.778664E+07   0.282344E+01
   0.858341E-02   0.157684E+08   0.157599E+08  -0.369545E+04  -0.416144E+04   0.132732E+08   0.156955E+08   0.157669E+08   0.156955E+08  -0.360477E+00   0.776180E+07   0.776173E+07   0.284477E+01
   0.867932E-02   0.157180E+08   0.157094E+08  -0.371151E+04  -0.414760E+04   0.132006E+08   0.156445E+08   0.157166E+08   0.156445E+08  -0.359306E+00   0.773670E+07   0.773663E+07   0.286619E+01
   0.877629E-02   0.156673E+08   0.156585E+08  -0.417230E+04  -0.439858E+04   0.131276E+08   0.155931E+08   0.156658E+08   0.155931E+08  -0.358126E+00   0.771141E+07   0.771133E+07   0.288768E+01
