#           k/h    P           
    0.10000E-03    0.23519E+00
    0.10202E-03    0.23980E+00
    0.10408E-03    0.24449E+00
    0.10618E-03    0.24928E+00
    0.10833E-03    0.25417E+00
    0.11052E-03    0.25914E+00
    0.11275E-03    0.26422E+00
    0.11503E-03    0.26939E+00
    0.11735E-03    0.27467E+00
    0.11972E-03    0.28005E+00
    0.12214E-03    0.28553E+00
    0.12461E-03    0.29113E+00
    0.12712E-03    0.29683E+00
    0.12969E-03    0.30264E+00
    0.13231E-03    0.30857E+00
    0.13499E-03    0.31461E+00
    0.13771E-03    0.32077E+00
    0.14049E-03    0.32705E+00
    0.14333E-03    0.33346E+00
    0.14623E-03    0.33999E+00
    0.14918E-03    0.34665E+00
    0.15220E-03    0.35343E+00
    0.15527E-03    0.36036E+00
    0.15841E-03    0.36741E+00
    0.16161E-03    0.37461E+00
    0.16487E-03    0.38194E+00
    0.16820E-03    0.38942E+00
    0.17160E-03    0.39705E+00
    0.17507E-03    0.40482E+00
    0.17860E-03    0.41275E+00
    0.18221E-03    0.42083E+00
    0.18589E-03    0.42907E+00
    0.18965E-03    0.43747E+00
    0.19348E-03    0.44603E+00
    0.19739E-03    0.45476E+00
    0.20138E-03    0.46367E+00
    0.20544E-03    0.47274E+00
    0.20959E-03    0.48200E+00
    0.21383E-03    0.49143E+00
    0.21815E-03    0.50105E+00
    0.22255E-03    0.51086E+00
    0.22705E-03    0.52086E+00
    0.23164E-03    0.53105E+00
    0.23632E-03    0.54145E+00
    0.24109E-03    0.55205E+00
    0.24596E-03    0.56285E+00
    0.25093E-03    0.57386E+00
    0.25600E-03    0.58509E+00
    0.26117E-03    0.59654E+00
    0.26645E-03    0.60822E+00
    0.27183E-03    0.62012E+00
    0.27732E-03    0.63225E+00
    0.28292E-03    0.64462E+00
    0.28864E-03    0.65723E+00
    0.29447E-03    0.67009E+00
    0.30042E-03    0.68320E+00
    0.30649E-03    0.69656E+00
    0.31268E-03    0.71019E+00
    0.31899E-03    0.72408E+00
    0.32544E-03    0.73824E+00
    0.33201E-03    0.75267E+00
    0.33872E-03    0.76739E+00
    0.34556E-03    0.78240E+00
    0.35254E-03    0.79769E+00
    0.35966E-03    0.81329E+00
    0.36693E-03    0.82919E+00
    0.37434E-03    0.84539E+00
    0.38190E-03    0.86192E+00
    0.38962E-03    0.87876E+00
    0.39749E-03    0.89593E+00
    0.40552E-03    0.91344E+00
    0.41371E-03    0.93129E+00
    0.42207E-03    0.94948E+00
    0.43060E-03    0.96802E+00
    0.43929E-03    0.98693E+00
    0.44817E-03    0.10062E+01
    0.45722E-03    0.10258E+01
    0.46646E-03    0.10459E+01
    0.47588E-03    0.10663E+01
    0.48550E-03    0.10871E+01
    0.49530E-03    0.11083E+01
    0.50531E-03    0.11299E+01
    0.51552E-03    0.11520E+01
    0.52593E-03    0.11745E+01
    0.53656E-03    0.11974E+01
    0.54739E-03    0.12207E+01
    0.55845E-03    0.12445E+01
    0.56973E-03    0.12688E+01
    0.58124E-03    0.12935E+01
    0.59299E-03    0.13187E+01
    0.60496E-03    0.13444E+01
    0.61719E-03    0.13705E+01
    0.62965E-03    0.13972E+01
    0.64237E-03    0.14244E+01
    0.65535E-03    0.14521E+01
    0.66859E-03    0.14804E+01
    0.68210E-03    0.15092E+01
    0.69588E-03    0.15385E+01
    0.70993E-03    0.15684E+01
    0.72427E-03    0.15989E+01
    0.73891E-03    0.16300E+01
    0.75383E-03    0.16616E+01
    0.76906E-03    0.16939E+01
    0.78460E-03    0.17267E+01
    0.80045E-03    0.17602E+01
    0.81662E-03    0.17943E+01
    0.83311E-03    0.18291E+01
    0.84994E-03    0.18646E+01
    0.86711E-03    0.19007E+01
    0.88463E-03    0.19374E+01
    0.90250E-03    0.19749E+01
    0.92073E-03    0.20131E+01
    0.93933E-03    0.20520E+01
    0.95831E-03    0.20916E+01
    0.97767E-03    0.21320E+01
    0.99742E-03    0.21731E+01
    0.10176E-02    0.22150E+01
    0.10381E-02    0.22577E+01
    0.10591E-02    0.23012E+01
    0.10805E-02    0.23454E+01
    0.11023E-02    0.23905E+01
    0.11246E-02    0.24365E+01
    0.11473E-02    0.24832E+01
    0.11705E-02    0.25309E+01
    0.11941E-02    0.25794E+01
    0.12182E-02    0.26288E+01
    0.12429E-02    0.26790E+01
    0.12680E-02    0.27302E+01
    0.12936E-02    0.27824E+01
    0.13197E-02    0.28354E+01
    0.13464E-02    0.28895E+01
    0.13736E-02    0.29445E+01
    0.14013E-02    0.30004E+01
    0.14296E-02    0.30574E+01
    0.14585E-02    0.31154E+01
    0.14880E-02    0.31744E+01
    0.15180E-02    0.32344E+01
    0.15487E-02    0.32955E+01
    0.15800E-02    0.33577E+01
    0.16119E-02    0.34209E+01
    0.16445E-02    0.34852E+01
    0.16777E-02    0.35507E+01
    0.17116E-02    0.36172E+01
    0.17462E-02    0.36849E+01
    0.17814E-02    0.37537E+01
    0.18174E-02    0.38237E+01
    0.18541E-02    0.38948E+01
    0.18916E-02    0.39671E+01
    0.19298E-02    0.40406E+01
    0.19688E-02    0.41153E+01
    0.20086E-02    0.41912E+01
    0.20491E-02    0.42684E+01
    0.20905E-02    0.43467E+01
    0.21328E-02    0.44264E+01
    0.21758E-02    0.45072E+01
    0.22198E-02    0.45893E+01
    0.22646E-02    0.46727E+01
    0.23104E-02    0.47573E+01
    0.23571E-02    0.48432E+01
    0.24047E-02    0.49304E+01
    0.24533E-02    0.50189E+01
    0.25028E-02    0.51087E+01
    0.25534E-02    0.51998E+01
    0.26050E-02    0.52921E+01
    0.26576E-02    0.53858E+01
    0.27113E-02    0.54808E+01
    0.27660E-02    0.55770E+01
    0.28219E-02    0.56746E+01
    0.28789E-02    0.57734E+01
    0.29371E-02    0.58736E+01
    0.29964E-02    0.59750E+01
    0.30569E-02    0.60777E+01
    0.31187E-02    0.61817E+01
    0.31817E-02    0.62870E+01
    0.32460E-02    0.63935E+01
    0.33115E-02    0.65012E+01
    0.33784E-02    0.66102E+01
    0.34467E-02    0.67204E+01
    0.35163E-02    0.68318E+01
    0.35874E-02    0.69444E+01
    0.36598E-02    0.70582E+01
    0.37338E-02    0.71731E+01
    0.38092E-02    0.72892E+01
    0.38861E-02    0.74064E+01
    0.39646E-02    0.75246E+01
    0.40447E-02    0.76440E+01
    0.41264E-02    0.77644E+01
