#    L    TT             EE             BB             TE          
    91    0.31153E+04    0.81456E+00    0.34370E-02   -0.22593E+02
    92    0.31537E+04    0.83414E+00    0.35135E-02   -0.23408E+02
    93    0.31924E+04    0.85367E+00    0.35908E-02   -0.24229E+02
    94    0.32312E+04    0.87311E+00    0.36691E-02   -0.25054E+02
    95    0.32704E+04    0.89246E+00    0.37483E-02   -0.25883E+02
    96    0.33097E+04    0.91170E+00    0.38283E-02   -0.26716E+02
    97    0.33494E+04    0.93080E+00    0.39093E-02   -0.27552E+02
    98    0.33894E+04    0.94977E+00    0.39912E-02   -0.28389E+02
    99    0.34295E+04    0.96856E+00    0.40740E-02   -0.29229E+02
   100    0.34700E+04    0.98716E+00    0.41577E-02   -0.30068E+02
   101    0.35107E+04    0.10056E+01    0.42423E-02   -0.30909E+02
   102    0.35519E+04    0.10238E+01    0.43279E-02   -0.31749E+02
   103    0.35931E+04    0.10418E+01    0.44145E-02   -0.32589E+02
   104    0.36345E+04    0.10595E+01    0.45019E-02   -0.33425E+02
   105    0.36762E+04    0.10770E+01    0.45903E-02   -0.34260E+02
   106    0.37181E+04    0.10942E+01    0.46797E-02   -0.35092E+02
   107    0.37600E+04    0.11111E+01    0.47701E-02   -0.35919E+02
   108    0.38023E+04    0.11276E+01    0.48614E-02   -0.36743E+02
   109    0.38447E+04    0.11438E+01    0.49537E-02   -0.37561E+02
   110    0.38873E+04    0.11595E+01    0.50470E-02   -0.38372E+02
   111    0.39301E+04    0.11750E+01    0.51413E-02   -0.39177E+02
   112    0.39731E+04    0.11900E+01    0.52366E-02   -0.39975E+02
   113    0.40163E+04    0.12047E+01    0.53329E-02   -0.40765E+02
   114    0.40596E+04    0.12188E+01    0.54302E-02   -0.41546E+02
   115    0.41032E+04    0.12326E+01    0.55286E-02   -0.42317E+02
   116    0.41468E+04    0.12459E+01    0.56280E-02   -0.43078E+02
   117    0.41907E+04    0.12586E+01    0.57284E-02   -0.43827E+02
   118    0.42348E+04    0.12710E+01    0.58299E-02   -0.44566E+02
   119    0.42789E+04    0.12829E+01    0.59325E-02   -0.45292E+02
   120    0.43232E+04    0.12942E+01    0.60361E-02   -0.46004E+02
   121    0.43675E+04    0.13051E+01    0.61408E-02   -0.46703E+02
   122    0.44119E+04    0.13154E+01    0.62465E-02   -0.47387E+02
   123    0.44563E+04    0.13251E+01    0.63534E-02   -0.48056E+02
   124    0.45009E+04    0.13343E+01    0.64613E-02   -0.48708E+02
   125    0.45454E+04    0.13429E+01    0.65704E-02   -0.49343E+02
   126    0.45900E+04    0.13510E+01    0.66806E-02   -0.49962E+02
   127    0.46346E+04    0.13585E+01    0.67919E-02   -0.50563E+02
   128    0.46792E+04    0.13654E+01    0.69044E-02   -0.51145E+02
   129    0.47239E+04    0.13717E+01    0.70180E-02   -0.51708E+02
   130    0.47685E+04    0.13773E+01    0.71327E-02   -0.52250E+02
   131    0.48131E+04    0.13824E+01    0.72486E-02   -0.52772E+02
   132    0.48578E+04    0.13868E+01    0.73657E-02   -0.53273E+02
   133    0.49024E+04    0.13906E+01    0.74839E-02   -0.53753E+02
   134    0.49469E+04    0.13939E+01    0.76033E-02   -0.54208E+02
   135    0.49914E+04    0.13965E+01    0.77240E-02   -0.54641E+02
   136    0.50358E+04    0.13984E+01    0.78458E-02   -0.55048E+02
   137    0.50801E+04    0.13998E+01    0.79688E-02   -0.55432E+02
   138    0.51243E+04    0.14004E+01    0.80930E-02   -0.55790E+02
   139    0.51683E+04    0.14006E+01    0.82185E-02   -0.56122E+02
   140    0.52123E+04    0.14001E+01    0.83451E-02   -0.56429E+02
   141    0.52560E+04    0.13989E+01    0.84731E-02   -0.56709E+02
   142    0.52997E+04    0.13971E+01    0.86022E-02   -0.56961E+02
   143    0.53433E+04    0.13947E+01    0.87326E-02   -0.57187E+02
   144    0.53866E+04    0.13917E+01    0.88643E-02   -0.57384E+02
   145    0.54297E+04    0.13882E+01    0.89972E-02   -0.57553E+02
   146    0.54729E+04    0.13840E+01    0.91314E-02   -0.57693E+02
   147    0.55156E+04    0.13793E+01    0.92668E-02   -0.57802E+02
   148    0.55582E+04    0.13739E+01    0.94035E-02   -0.57883E+02
   149    0.56006E+04    0.13680E+01    0.95416E-02   -0.57933E+02
   150    0.56427E+04    0.13615E+01    0.96809E-02   -0.57950E+02
   151    0.56845E+04    0.13546E+01    0.98214E-02   -0.57938E+02
   152    0.57260E+04    0.13470E+01    0.99633E-02   -0.57893E+02
   153    0.57673E+04    0.13389E+01    0.10107E-01   -0.57815E+02
   154    0.58082E+04    0.13304E+01    0.10251E-01   -0.57706E+02
   155    0.58489E+04    0.13214E+01    0.10397E-01   -0.57563E+02
   156    0.58891E+04    0.13120E+01    0.10544E-01   -0.57388E+02
   157    0.59291E+04    0.13021E+01    0.10692E-01   -0.57179E+02
   158    0.59687E+04    0.12918E+01    0.10842E-01   -0.56937E+02
   159    0.60079E+04    0.12811E+01    0.10993E-01   -0.56661E+02
   160    0.60468E+04    0.12700E+01    0.11146E-01   -0.56349E+02
   161    0.60853E+04    0.12587E+01    0.11299E-01   -0.56004E+02
   162    0.61234E+04    0.12469E+01    0.11454E-01   -0.55626E+02
   163    0.61613E+04    0.12348E+01    0.11611E-01   -0.55211E+02
   164    0.61985E+04    0.12225E+01    0.11768E-01   -0.54763E+02
   165    0.62354E+04    0.12098E+01    0.11927E-01   -0.54278E+02
   166    0.62719E+04    0.11970E+01    0.12088E-01   -0.53759E+02
   167    0.63080E+04    0.11838E+01    0.12249E-01   -0.53205E+02
   168    0.63435E+04    0.11706E+01    0.12412E-01   -0.52615E+02
   169    0.63785E+04    0.11572E+01    0.12576E-01   -0.51989E+02
   170    0.64131E+04    0.11437E+01    0.12742E-01   -0.51328E+02
   171    0.64471E+04    0.11301E+01    0.12909E-01   -0.50630E+02
   172    0.64806E+04    0.11165E+01    0.13077E-01   -0.49896E+02
