#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.13496E+04    0.37559E-01    0.16066E-02    0.37559E-01    0.17032E-05   -0.23808E-07    0.16066E-02   -0.23808E-07    0.11525E-07
     3    0.13066E+04    0.85148E-01    0.11300E-02    0.85148E-01    0.80606E-05   -0.28587E-07    0.11300E-02   -0.28587E-07    0.70063E-08
     4    0.12644E+04    0.14537E+00    0.85252E-03    0.14537E+00    0.23237E-04   -0.31092E-07    0.85252E-03   -0.31092E-07    0.48459E-08
     5    0.12344E+04    0.21709E+00    0.67249E-03    0.21709E+00    0.52458E-04   -0.32670E-07    0.67249E-03   -0.32670E-07    0.36023E-08
     6    0.12157E+04    0.29934E+00    0.54737E-03    0.29934E+00    0.10192E-03   -0.33699E-07    0.54737E-03   -0.33699E-07    0.28048E-08
     7    0.12056E+04    0.39120E+00    0.45601E-03    0.39120E+00    0.17873E-03   -0.34408E-07    0.45601E-03   -0.34408E-07    0.22565E-08
     8    0.12016E+04    0.49148E+00    0.38681E-03    0.49148E+00    0.29072E-03   -0.34950E-07    0.38681E-03   -0.34950E-07    0.18604E-08
     9    0.12025E+04    0.59939E+00    0.33282E-03    0.59939E+00    0.44667E-03   -0.35408E-07    0.33282E-03   -0.35408E-07    0.15634E-08
    10    0.12071E+04    0.71370E+00    0.28972E-03    0.71370E+00    0.65559E-03   -0.35746E-07    0.28972E-03   -0.35746E-07    0.13338E-08
    11    0.12145E+04    0.83364E+00    0.25479E-03    0.83364E+00    0.92785E-03   -0.35980E-07    0.25479E-03   -0.35980E-07    0.11526E-08
    12    0.12250E+04    0.95891E+00    0.22590E-03    0.95891E+00    0.12738E-02   -0.36083E-07    0.22590E-03   -0.36083E-07    0.10061E-08
    13    0.12372E+04    0.10872E+01    0.20190E-03    0.10872E+01    0.17042E-02   -0.36149E-07    0.20190E-03   -0.36149E-07    0.88634E-09
