#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11043E+04    0.27369E-01    0.13869E-02    0.27369E-01    0.12556E-05   -0.17661E-07    0.13869E-02   -0.17661E-07    0.78776E-08
     3    0.10482E+04    0.62595E-01    0.96111E-03    0.62595E-01    0.59283E-05   -0.21248E-07    0.96111E-03   -0.21248E-07    0.47807E-08
     4    0.10003E+04    0.10711E+00    0.71754E-03    0.10711E+00    0.17062E-04   -0.23124E-07    0.71754E-03   -0.23124E-07    0.32994E-08
     5    0.96667E+03    0.16000E+00    0.56121E-03    0.16000E+00    0.38466E-04   -0.24301E-07    0.56121E-03   -0.24301E-07    0.24469E-08
     6    0.94486E+03    0.22055E+00    0.45341E-03    0.22055E+00    0.74654E-04   -0.25064E-07    0.45341E-03   -0.25064E-07    0.19004E-08
     7    0.93182E+03    0.28802E+00    0.37523E-03    0.28802E+00    0.13079E-03   -0.25587E-07    0.37523E-03   -0.25587E-07    0.15250E-08
     8    0.92480E+03    0.36154E+00    0.31635E-03    0.36154E+00    0.21256E-03   -0.25983E-07    0.31635E-03   -0.25983E-07    0.12541E-08
     9    0.92256E+03    0.44049E+00    0.27067E-03    0.44049E+00    0.32634E-03   -0.26314E-07    0.27067E-03   -0.26314E-07    0.10511E-08
    10    0.92396E+03    0.52398E+00    0.23437E-03    0.52398E+00    0.47866E-03   -0.26556E-07    0.23437E-03   -0.26556E-07    0.89448E-09
    11    0.92809E+03    0.61138E+00    0.20510E-03    0.61138E+00    0.67703E-03   -0.26721E-07    0.20510E-03   -0.26721E-07    0.77092E-09
    12    0.93502E+03    0.70247E+00    0.18099E-03    0.70247E+00    0.92893E-03   -0.26788E-07    0.18099E-03   -0.26788E-07    0.67124E-09
    13    0.94356E+03    0.79556E+00    0.16105E-03    0.79556E+00    0.12422E-02   -0.26827E-07    0.16105E-03   -0.26827E-07    0.58983E-09
    14    0.95356E+03    0.89021E+00    0.14420E-03    0.89021E+00    0.16247E-02   -0.26839E-07    0.14420E-03   -0.26839E-07    0.52219E-09
    15    0.96474E+03    0.98560E+00    0.12989E-03    0.98560E+00    0.20855E-02   -0.26855E-07    0.12989E-03   -0.26855E-07    0.46549E-09
    16    0.97740E+03    0.10820E+01    0.11758E-03    0.10820E+01    0.26339E-02   -0.26860E-07    0.11758E-03   -0.26860E-07    0.41740E-09
