#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.117644E+08   0.117644E+08   0.154612E+08   0.154605E+08   0.117926E+08   0.117646E+08   0.117644E+08   0.117761E+08  -0.585275E+00   0.109172E+08   0.109172E+08   0.179033E+00
   0.798228E-04   0.117641E+08   0.117641E+08   0.154054E+08   0.154045E+08   0.117892E+08   0.117643E+08   0.117641E+08   0.117758E+08  -0.585256E+00   0.109169E+08   0.109169E+08   0.200026E+00
   0.892035E-04   0.117637E+08   0.117637E+08   0.153360E+08   0.153349E+08   0.117849E+08   0.117639E+08   0.117637E+08   0.117753E+08  -0.585233E+00   0.109166E+08   0.109166E+08   0.223467E+00
   0.996866E-04   0.117633E+08   0.117633E+08   0.152497E+08   0.152484E+08   0.117795E+08   0.117634E+08   0.117633E+08   0.117748E+08  -0.585205E+00   0.109161E+08   0.109161E+08   0.249637E+00
   0.111402E-03   0.117627E+08   0.117627E+08   0.151426E+08   0.151409E+08   0.117729E+08   0.117628E+08   0.117627E+08   0.117741E+08  -0.585169E+00   0.109156E+08   0.109156E+08   0.278846E+00
   0.124493E-03   0.117620E+08   0.117620E+08   0.150098E+08   0.150078E+08   0.117645E+08   0.117620E+08   0.117620E+08   0.117733E+08  -0.585125E+00   0.109149E+08   0.109149E+08   0.311439E+00
   0.139124E-03   0.117611E+08   0.117611E+08   0.148455E+08   0.148430E+08   0.117542E+08   0.117611E+08   0.117611E+08   0.117722E+08  -0.585070E+00   0.109141E+08   0.109141E+08   0.347791E+00
   0.155474E-03   0.117601E+08   0.117601E+08   0.146427E+08   0.146396E+08   0.117413E+08   0.117599E+08   0.117601E+08   0.117709E+08  -0.585001E+00   0.109130E+08   0.109130E+08   0.388320E+00
   0.173745E-03   0.117587E+08   0.117587E+08   0.143931E+08   0.143893E+08   0.117253E+08   0.117585E+08   0.117587E+08   0.117692E+08  -0.584916E+00   0.109117E+08   0.109117E+08   0.433479E+00
   0.194163E-03   0.117570E+08   0.117570E+08   0.140870E+08   0.140824E+08   0.117055E+08   0.117566E+08   0.117570E+08   0.117672E+08  -0.584809E+00   0.109101E+08   0.109101E+08   0.483761E+00
   0.216981E-03   0.117549E+08   0.117549E+08   0.137134E+08   0.137078E+08   0.116809E+08   0.117544E+08   0.117549E+08   0.117646E+08  -0.584677E+00   0.109081E+08   0.109081E+08   0.539698E+00
   0.242480E-03   0.117523E+08   0.117523E+08   0.132598E+08   0.132532E+08   0.116505E+08   0.117516E+08   0.117523E+08   0.117615E+08  -0.584513E+00   0.109056E+08   0.109056E+08   0.601861E+00
   0.270976E-03   0.117491E+08   0.117491E+08   0.127133E+08   0.127055E+08   0.116129E+08   0.117481E+08   0.117491E+08   0.117576E+08  -0.584310E+00   0.109025E+08   0.109025E+08   0.670854E+00
   0.302821E-03   0.117451E+08   0.117451E+08   0.120608E+08   0.120518E+08   0.115668E+08   0.117437E+08   0.117451E+08   0.117527E+08  -0.584060E+00   0.108986E+08   0.108986E+08   0.747307E+00
   0.338408E-03   0.117401E+08   0.117401E+08   0.112907E+08   0.112804E+08   0.115102E+08   0.117383E+08   0.117401E+08   0.117468E+08  -0.583750E+00   0.108938E+08   0.108938E+08   0.831869E+00
   0.378178E-03   0.117340E+08   0.117339E+08   0.103950E+08   0.103836E+08   0.114413E+08   0.117317E+08   0.117340E+08   0.117395E+08  -0.583371E+00   0.108879E+08   0.108879E+08   0.925194E+00
   0.422621E-03   0.117264E+08   0.117263E+08   0.937253E+07   0.936033E+07   0.113576E+08   0.117235E+08   0.117264E+08   0.117305E+08  -0.582905E+00   0.108805E+08   0.108805E+08   0.102792E+01
   0.472287E-03   0.117170E+08   0.117170E+08   0.823283E+07   0.822039E+07   0.112567E+08   0.117134E+08   0.117170E+08   0.117196E+08  -0.582338E+00   0.108715E+08   0.108715E+08   0.114068E+01
   0.527790E-03   0.117055E+08   0.117054E+08   0.700106E+07   0.698923E+07   0.111363E+08   0.117011E+08   0.117055E+08   0.117063E+08  -0.581649E+00   0.108604E+08   0.108604E+08   0.126403E+01
   0.589815E-03   0.116914E+08   0.116914E+08   0.572216E+07   0.571204E+07   0.109940E+08   0.116860E+08   0.116914E+08   0.116903E+08  -0.580819E+00   0.108467E+08   0.108467E+08   0.139850E+01
   0.659130E-03   0.116743E+08   0.116742E+08   0.446275E+07   0.445555E+07   0.108278E+08   0.116678E+08   0.116743E+08   0.116711E+08  -0.579822E+00   0.108301E+08   0.108301E+08   0.154459E+01
   0.736590E-03   0.116535E+08   0.116534E+08   0.330748E+07   0.330423E+07   0.106366E+08   0.116457E+08   0.116535E+08   0.116481E+08  -0.578636E+00   0.108100E+08   0.108100E+08   0.170278E+01
   0.823153E-03   0.116285E+08   0.116283E+08   0.234601E+07   0.234706E+07   0.104210E+08   0.116191E+08   0.116284E+08   0.116209E+08  -0.577233E+00   0.107858E+08   0.107858E+08   0.187361E+01
   0.919889E-03   0.115985E+08   0.115983E+08   0.164845E+07   0.165290E+07   0.101816E+08   0.115875E+08   0.115984E+08   0.115887E+08  -0.575585E+00   0.107568E+08   0.107568E+08   0.205781E+01
   0.102799E-02   0.115627E+08   0.115625E+08   0.123290E+07   0.123841E+07   0.992152E+07   0.115500E+08   0.115627E+08   0.115510E+08  -0.573660E+00   0.107223E+08   0.107223E+08   0.225632E+01
   0.114880E-02   0.115205E+08   0.115202E+08   0.104035E+07   0.104378E+07   0.964485E+07   0.115060E+08   0.115204E+08   0.115068E+08  -0.571423E+00   0.106817E+08   0.106817E+08   0.247045E+01
