#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.430340E+06   0.430083E+06   0.431477E+06   0.424558E+06   0.391442E+06   0.429828E+06   0.430305E+06   0.433111E+06  -0.593285E+00   0.428837E+06   0.428796E+06   0.316245E+02
   0.200226E-02   0.429333E+06   0.429013E+06   0.400397E+06   0.392512E+06   0.375102E+06   0.428624E+06   0.429289E+06   0.431671E+06  -0.591176E+00   0.427779E+06   0.427728E+06   0.351740E+02
   0.223756E-02   0.428096E+06   0.427696E+06   0.364428E+06   0.355669E+06   0.355840E+06   0.427154E+06   0.428040E+06   0.429928E+06  -0.588620E+00   0.426479E+06   0.426415E+06   0.390804E+02
   0.250052E-02   0.426581E+06   0.426083E+06   0.323635E+06   0.314232E+06   0.333468E+06   0.425370E+06   0.426512E+06   0.427833E+06  -0.585542E+00   0.424885E+06   0.424805E+06   0.433661E+02
   0.279438E-02   0.424735E+06   0.424114E+06   0.278564E+06   0.268930E+06   0.307960E+06   0.423217E+06   0.424649E+06   0.425337E+06  -0.581865E+00   0.422941E+06   0.422842E+06   0.480507E+02
   0.312277E-02   0.422498E+06   0.421725E+06   0.230433E+06   0.221194E+06   0.279552E+06   0.420637E+06   0.422390E+06   0.422391E+06  -0.577518E+00   0.420582E+06   0.420460E+06   0.531502E+02
   0.348976E-02   0.419804E+06   0.418842E+06   0.181294E+06   0.173273E+06   0.248842E+06   0.417574E+06   0.419670E+06   0.418954E+06  -0.572435E+00   0.417740E+06   0.417590E+06   0.586769E+02
   0.389987E-02   0.416586E+06   0.415390E+06   0.134075E+06   0.128199E+06   0.216871E+06   0.413971E+06   0.416420E+06   0.414992E+06  -0.566569E+00   0.414342E+06   0.414157E+06   0.646391E+02
   0.435818E-02   0.412777E+06   0.411290E+06   0.923605E+05   0.894294E+05   0.185138E+06   0.409779E+06   0.412570E+06   0.410482E+06  -0.559897E+00   0.410318E+06   0.410091E+06   0.710425E+02
   0.487035E-02   0.408312E+06   0.406468E+06   0.597498E+05   0.600762E+05   0.155474E+06   0.404956E+06   0.408056E+06   0.405411E+06  -0.552418E+00   0.405605E+06   0.405327E+06   0.778926E+02
   0.492476E-02   0.407828E+06   0.405943E+06   0.571021E+05   0.577400E+05   0.152695E+06   0.404438E+06   0.407566E+06   0.404872E+06  -0.551627E+00   0.405094E+06   0.404810E+06   0.786024E+02
   0.497979E-02   0.407336E+06   0.405410E+06   0.545739E+05   0.555165E+05   0.149957E+06   0.403913E+06   0.407068E+06   0.404328E+06  -0.550827E+00   0.404575E+06   0.404285E+06   0.793169E+02
   0.503543E-02   0.406837E+06   0.404869E+06   0.521661E+05   0.534057E+05   0.147261E+06   0.403381E+06   0.406563E+06   0.403778E+06  -0.550020E+00   0.404049E+06   0.403753E+06   0.800358E+02
   0.509169E-02   0.406330E+06   0.404320E+06   0.498798E+05   0.514072E+05   0.144609E+06   0.402843E+06   0.406051E+06   0.403222E+06  -0.549205E+00   0.403515E+06   0.403213E+06   0.807594E+02
   0.514858E-02   0.405817E+06   0.403763E+06   0.477154E+05   0.495207E+05   0.142004E+06   0.402297E+06   0.405531E+06   0.402661E+06  -0.548382E+00   0.402973E+06   0.402666E+06   0.814876E+02
   0.520610E-02   0.405296E+06   0.403198E+06   0.456732E+05   0.477450E+05   0.139445E+06   0.401745E+06   0.405004E+06   0.402093E+06  -0.547551E+00   0.402424E+06   0.402110E+06   0.822203E+02
   0.526427E-02   0.404768E+06   0.402624E+06   0.437532E+05   0.460790E+05   0.136935E+06   0.401187E+06   0.404470E+06   0.401520E+06  -0.546712E+00   0.401868E+06   0.401547E+06   0.829577E+02
   0.532309E-02   0.404232E+06   0.402042E+06   0.419549E+05   0.445211E+05   0.134475E+06   0.400621E+06   0.403928E+06   0.400940E+06  -0.545866E+00   0.401303E+06   0.400976E+06   0.836998E+02
