#           k/h    P           
    0.10000E-03    0.81554E+01
    0.10202E-03    0.83151E+01
    0.10408E-03    0.84779E+01
    0.10618E-03    0.86439E+01
    0.10833E-03    0.88132E+01
    0.11052E-03    0.89857E+01
    0.11275E-03    0.91617E+01
    0.11503E-03    0.93411E+01
    0.11735E-03    0.95239E+01
    0.11972E-03    0.97104E+01
    0.12214E-03    0.99005E+01
    0.12461E-03    0.10094E+02
    0.12712E-03    0.10292E+02
    0.12969E-03    0.10493E+02
    0.13231E-03    0.10699E+02
    0.13499E-03    0.10908E+02
    0.13771E-03    0.11122E+02
    0.14049E-03    0.11340E+02
    0.14333E-03    0.11561E+02
    0.14623E-03    0.11788E+02
    0.14918E-03    0.12019E+02
    0.15220E-03    0.12254E+02
    0.15527E-03    0.12494E+02
    0.15841E-03    0.12738E+02
    0.16161E-03    0.12987E+02
    0.16487E-03    0.13241E+02
    0.16820E-03    0.13501E+02
    0.17160E-03    0.13765E+02
    0.17507E-03    0.14034E+02
    0.17860E-03    0.14309E+02
    0.18221E-03    0.14589E+02
    0.18589E-03    0.14874E+02
    0.18965E-03    0.15165E+02
    0.19348E-03    0.15462E+02
    0.19739E-03    0.15764E+02
    0.20138E-03    0.16072E+02
    0.20544E-03    0.16387E+02
    0.20959E-03    0.16707E+02
    0.21383E-03    0.17034E+02
    0.21815E-03    0.17367E+02
    0.22255E-03    0.17706E+02
    0.22705E-03    0.18053E+02
    0.23164E-03    0.18406E+02
    0.23632E-03    0.18765E+02
    0.24109E-03    0.19132E+02
    0.24596E-03    0.19506E+02
    0.25093E-03    0.19887E+02
    0.25600E-03    0.20276E+02
    0.26117E-03    0.20672E+02
    0.26645E-03    0.21076E+02
    0.27183E-03    0.21487E+02
    0.27732E-03    0.21907E+02
    0.28292E-03    0.22335E+02
    0.28864E-03    0.22771E+02
    0.29447E-03    0.23216E+02
    0.30042E-03    0.23669E+02
    0.30649E-03    0.24131E+02
    0.31268E-03    0.24602E+02
    0.31899E-03    0.25082E+02
    0.32544E-03    0.25571E+02
    0.33201E-03    0.26070E+02
    0.33872E-03    0.26578E+02
