#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.289000E+06   0.289000E+06   0.385237E+06   0.385226E+06   0.308179E+06   0.289673E+06   0.289000E+06   0.297707E+06  -0.605167E+00   0.287570E+06   0.287569E+06   0.332179E+01
   0.798228E-04   0.288999E+06   0.288998E+06   0.385211E+06   0.385198E+06   0.308166E+06   0.289671E+06   0.288999E+06   0.297705E+06  -0.605163E+00   0.287568E+06   0.287568E+06   0.371214E+01
   0.892035E-04   0.288998E+06   0.288997E+06   0.385179E+06   0.385162E+06   0.308151E+06   0.289669E+06   0.288997E+06   0.297702E+06  -0.605157E+00   0.287567E+06   0.287566E+06   0.414836E+01
   0.996866E-04   0.288996E+06   0.288995E+06   0.385139E+06   0.385118E+06   0.308131E+06   0.289666E+06   0.288995E+06   0.297699E+06  -0.605150E+00   0.287565E+06   0.287564E+06   0.463584E+01
   0.111402E-03   0.288993E+06   0.288992E+06   0.385088E+06   0.385062E+06   0.308106E+06   0.289663E+06   0.288993E+06   0.297695E+06  -0.605141E+00   0.287562E+06   0.287562E+06   0.518058E+01
   0.124493E-03   0.288990E+06   0.288989E+06   0.385026E+06   0.384993E+06   0.308075E+06   0.289659E+06   0.288990E+06   0.297689E+06  -0.605130E+00   0.287559E+06   0.287558E+06   0.578932E+01
   0.139124E-03   0.288987E+06   0.288985E+06   0.384948E+06   0.384907E+06   0.308037E+06   0.289654E+06   0.288986E+06   0.297683E+06  -0.605116E+00   0.287555E+06   0.287554E+06   0.646957E+01
   0.155474E-03   0.288982E+06   0.288980E+06   0.384850E+06   0.384800E+06   0.307989E+06   0.289648E+06   0.288982E+06   0.297675E+06  -0.605098E+00   0.287550E+06   0.287549E+06   0.722971E+01
   0.173745E-03   0.288977E+06   0.288973E+06   0.384728E+06   0.384665E+06   0.307929E+06   0.289641E+06   0.288976E+06   0.297664E+06  -0.605077E+00   0.287544E+06   0.287543E+06   0.807913E+01
   0.194163E-03   0.288970E+06   0.288965E+06   0.384576E+06   0.384498E+06   0.307854E+06   0.289631E+06   0.288969E+06   0.297652E+06  -0.605050E+00   0.287536E+06   0.287535E+06   0.902829E+01
   0.216981E-03   0.288961E+06   0.288956E+06   0.384387E+06   0.384288E+06   0.307761E+06   0.289619E+06   0.288960E+06   0.297636E+06  -0.605016E+00   0.287526E+06   0.287525E+06   0.100889E+02
   0.242480E-03   0.288950E+06   0.288943E+06   0.384150E+06   0.384027E+06   0.307644E+06   0.289604E+06   0.288948E+06   0.297616E+06  -0.604973E+00   0.287514E+06   0.287513E+06   0.112739E+02
   0.270976E-03   0.288936E+06   0.288928E+06   0.383854E+06   0.383700E+06   0.307499E+06   0.289585E+06   0.288934E+06   0.297591E+06  -0.604921E+00   0.287499E+06   0.287497E+06   0.125980E+02
   0.302821E-03   0.288919E+06   0.288909E+06   0.383485E+06   0.383293E+06   0.307317E+06   0.289562E+06   0.288917E+06   0.297560E+06  -0.604855E+00   0.287481E+06   0.287478E+06   0.140774E+02
   0.338408E-03   0.288897E+06   0.288885E+06   0.383024E+06   0.382786E+06   0.307091E+06   0.289533E+06   0.288895E+06   0.297521E+06  -0.604772E+00   0.287457E+06   0.287454E+06   0.157302E+02
   0.378178E-03   0.288870E+06   0.288855E+06   0.382450E+06   0.382152E+06   0.306808E+06   0.289496E+06   0.288867E+06   0.297473E+06  -0.604670E+00   0.287428E+06   0.287424E+06   0.175767E+02
   0.422621E-03   0.288837E+06   0.288817E+06   0.381733E+06   0.381363E+06   0.306455E+06   0.289451E+06   0.288833E+06   0.297412E+06  -0.604541E+00   0.287391E+06   0.287386E+06   0.196392E+02
   0.472287E-03   0.288795E+06   0.288771E+06   0.380840E+06   0.380379E+06   0.306015E+06   0.289394E+06   0.288790E+06   0.297337E+06  -0.604381E+00   0.287346E+06   0.287339E+06   0.219430E+02
   0.527790E-03   0.288743E+06   0.288712E+06   0.379728E+06   0.379153E+06   0.305467E+06   0.289324E+06   0.288737E+06   0.297243E+06  -0.604182E+00   0.287289E+06   0.287281E+06   0.245158E+02
   0.589815E-03   0.288678E+06   0.288640E+06   0.378342E+06   0.377628E+06   0.304784E+06   0.289235E+06   0.288670E+06   0.297126E+06  -0.603933E+00   0.287218E+06   0.287208E+06   0.273887E+02
   0.659130E-03   0.288597E+06   0.288549E+06   0.376618E+06   0.375730E+06   0.303933E+06   0.289125E+06   0.288587E+06   0.296980E+06  -0.603623E+00   0.287129E+06   0.287117E+06   0.305959E+02
   0.736590E-03   0.288495E+06   0.288436E+06   0.374474E+06   0.373373E+06   0.302874E+06   0.288988E+06   0.288484E+06   0.296798E+06  -0.603236E+00   0.287018E+06   0.287003E+06   0.341756E+02
   0.823153E-03   0.288369E+06   0.288295E+06   0.371812E+06   0.370447E+06   0.301557E+06   0.288818E+06   0.288355E+06   0.296572E+06  -0.602755E+00   0.286880E+06   0.286861E+06   0.381697E+02
   0.919889E-03   0.288212E+06   0.288119E+06   0.368510E+06   0.366822E+06   0.299921E+06   0.288605E+06   0.288194E+06   0.296290E+06  -0.602155E+00   0.286708E+06   0.286685E+06   0.426244E+02
   0.102799E-02   0.288015E+06   0.287899E+06   0.364422E+06   0.362340E+06   0.297892E+06   0.288340E+06   0.287993E+06   0.295940E+06  -0.601410E+00   0.286494E+06   0.286464E+06   0.475905E+02
   0.114880E-02   0.287771E+06   0.287626E+06   0.359371E+06   0.356813E+06   0.295379E+06   0.288011E+06   0.287743E+06   0.295506E+06  -0.600484E+00   0.286227E+06   0.286190E+06   0.531235E+02
   0.128381E-02   0.287467E+06   0.287286E+06   0.353150E+06   0.350016E+06   0.292274E+06   0.287602E+06   0.287432E+06   0.294967E+06  -0.599336E+00   0.285895E+06   0.285849E+06   0.592834E+02
   0.143468E-02   0.287089E+06   0.286863E+06   0.345511E+06   0.341693E+06   0.288450E+06   0.287094E+06   0.287045E+06   0.294300E+06  -0.597916E+00   0.285484E+06   0.285427E+06   0.661350E+02
   0.160328E-02   0.286620E+06   0.286338E+06   0.336172E+06   0.331549E+06   0.283751E+06   0.286466E+06   0.286565E+06   0.293477E+06  -0.596158E+00   0.284971E+06   0.284900E+06   0.737474E+02
   0.179170E-02   0.286038E+06   0.285686E+06   0.324816E+06   0.319263E+06   0.278002E+06   0.285690E+06   0.285969E+06   0.292464E+06  -0.593992E+00   0.284335E+06   0.284246E+06   0.821931E+02
   0.200226E-02   0.285317E+06   0.284878E+06   0.311103E+06   0.304499E+06   0.271007E+06   0.284732E+06   0.285231E+06   0.291221E+06  -0.591330E+00   0.283547E+06   0.283437E+06   0.915475E+02
