#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.179546E+08   0.179543E+08   0.170603E+06   0.168811E+06   0.164533E+08   0.179421E+08   0.179546E+08   0.179421E+08  -0.461255E+00   0.944745E+07   0.944745E+07   0.760047E+00
   0.200226E-02   0.178745E+08   0.178741E+08   0.778947E+05   0.782017E+05   0.161359E+08   0.178600E+08   0.178744E+08   0.178600E+08  -0.459143E+00   0.940445E+07   0.940445E+07   0.831805E+00
   0.223756E-02   0.177814E+08   0.177808E+08   0.495137E+05   0.503792E+05   0.157881E+08   0.177647E+08   0.177813E+08   0.177647E+08  -0.456692E+00   0.935455E+07   0.935454E+07   0.909787E+00
   0.250052E-02   0.176737E+08   0.176730E+08   0.476730E+05   0.456728E+05   0.154100E+08   0.176548E+08   0.176736E+08   0.176548E+08  -0.453865E+00   0.929696E+07   0.929695E+07   0.994490E+00
   0.279438E-02   0.175500E+08   0.175492E+08   0.124581E+05   0.110598E+05   0.150011E+08   0.175287E+08   0.175499E+08   0.175287E+08  -0.450622E+00   0.923090E+07   0.923089E+07   0.108644E+01
   0.312277E-02   0.174087E+08   0.174077E+08   0.219097E+05   0.168443E+05   0.145595E+08   0.173849E+08   0.174086E+08   0.173849E+08  -0.446924E+00   0.915554E+07   0.915553E+07   0.118618E+01
   0.348976E-02   0.172482E+08   0.172469E+08   0.777938E+02   0.126858E+02   0.140833E+08   0.172217E+08   0.172480E+08   0.172217E+08  -0.442729E+00   0.907005E+07   0.907004E+07   0.129429E+01
   0.389987E-02   0.170669E+08   0.170653E+08   0.101914E+04   0.809716E+03   0.135711E+08   0.170376E+08   0.170667E+08   0.170376E+08  -0.437996E+00   0.897357E+07   0.897355E+07   0.141132E+01
   0.435818E-02   0.168631E+08   0.168611E+08   0.144138E+04   0.376489E+03   0.130228E+08   0.168309E+08   0.168628E+08   0.168309E+08  -0.432681E+00   0.886521E+07   0.886519E+07   0.153784E+01
   0.487035E-02   0.166351E+08   0.166326E+08  -0.364016E+04  -0.369160E+04   0.124390E+08   0.165999E+08   0.166347E+08   0.165999E+08  -0.426741E+00   0.874409E+07   0.874407E+07   0.167436E+01
   0.492476E-02   0.166109E+08   0.166084E+08  -0.227349E+04  -0.276527E+04   0.123787E+08   0.165754E+08   0.166105E+08   0.165754E+08  -0.426111E+00   0.873125E+07   0.873122E+07   0.168858E+01
   0.497979E-02   0.165864E+08   0.165838E+08  -0.102932E+04  -0.199233E+04   0.123182E+08   0.165506E+08   0.165861E+08   0.165506E+08  -0.425474E+00   0.871826E+07   0.871823E+07   0.170291E+01
   0.503543E-02   0.165617E+08   0.165591E+08  -0.227651E+03  -0.159145E+04   0.122573E+08   0.165256E+08   0.165613E+08   0.165256E+08  -0.424830E+00   0.870514E+07   0.870511E+07   0.171734E+01
   0.509169E-02   0.165367E+08   0.165340E+08  -0.721982E+02  -0.167687E+04   0.121961E+08   0.165003E+08   0.165363E+08   0.165003E+08  -0.424180E+00   0.869187E+07   0.869184E+07   0.173188E+01
   0.514858E-02   0.165115E+08   0.165087E+08  -0.592418E+03  -0.222537E+04   0.121345E+08   0.164747E+08   0.165111E+08   0.164747E+08  -0.423523E+00   0.867847E+07   0.867844E+07   0.174652E+01
   0.520610E-02   0.164860E+08   0.164831E+08  -0.163054E+04  -0.308100E+04   0.120727E+08   0.164489E+08   0.164855E+08   0.164489E+08  -0.422859E+00   0.866492E+07   0.866489E+07   0.176127E+01
   0.526427E-02   0.164602E+08   0.164573E+08  -0.288055E+04  -0.399847E+04   0.120106E+08   0.164228E+08   0.164597E+08   0.164228E+08  -0.422187E+00   0.865124E+07   0.865121E+07   0.177613E+01
   0.532309E-02   0.164341E+08   0.164312E+08  -0.397157E+04  -0.471465E+04   0.119481E+08   0.163964E+08   0.164337E+08   0.163964E+08  -0.421509E+00   0.863740E+07   0.863738E+07   0.179109E+01
   0.538256E-02   0.164078E+08   0.164048E+08  -0.457425E+04  -0.502791E+04   0.118854E+08   0.163697E+08   0.164073E+08   0.163697E+08  -0.420824E+00   0.862343E+07   0.862340E+07   0.180616E+01
   0.544270E-02   0.163811E+08   0.163781E+08  -0.449979E+04  -0.486145E+04   0.118224E+08   0.163428E+08   0.163807E+08   0.163428E+08  -0.420132E+00   0.860931E+07   0.860928E+07   0.182134E+01
