#           k/h    P           
    0.42098E-02    0.14942E+03
    0.42948E-02    0.15168E+03
    0.43816E-02    0.15395E+03
    0.44701E-02    0.15625E+03
    0.45604E-02    0.15856E+03
    0.46525E-02    0.16089E+03
    0.47465E-02    0.16324E+03
    0.48424E-02    0.16560E+03
    0.49402E-02    0.16798E+03
    0.50400E-02    0.17037E+03
    0.51419E-02    0.17277E+03
    0.52457E-02    0.17519E+03
    0.53517E-02    0.17762E+03
    0.54598E-02    0.18006E+03
    0.55701E-02    0.18251E+03
    0.56826E-02    0.18497E+03
    0.57974E-02    0.18744E+03
    0.59145E-02    0.18992E+03
    0.60340E-02    0.19240E+03
    0.61559E-02    0.19489E+03
    0.62803E-02    0.19739E+03
    0.64072E-02    0.19988E+03
    0.65366E-02    0.20238E+03
    0.66686E-02    0.20488E+03
    0.68033E-02    0.20738E+03
    0.69408E-02    0.20988E+03
    0.70810E-02    0.21237E+03
    0.72240E-02    0.21486E+03
    0.73700E-02    0.21734E+03
    0.75189E-02    0.21982E+03
    0.76708E-02    0.22228E+03
    0.78257E-02    0.22473E+03
    0.79838E-02    0.22718E+03
    0.81451E-02    0.22960E+03
    0.83096E-02    0.23201E+03
    0.84775E-02    0.23440E+03
    0.86488E-02    0.23677E+03
    0.88235E-02    0.23912E+03
    0.90017E-02    0.24145E+03
    0.91836E-02    0.24375E+03
    0.93691E-02    0.24602E+03
    0.95583E-02    0.24826E+03
    0.97514E-02    0.25046E+03
    0.99484E-02    0.25263E+03
    0.10149E-01    0.25476E+03
    0.10354E-01    0.25685E+03
    0.10564E-01    0.25890E+03
    0.10777E-01    0.26090E+03
    0.10995E-01    0.26286E+03
    0.11217E-01    0.26476E+03
    0.11443E-01    0.26661E+03
    0.11675E-01    0.26840E+03
    0.11910E-01    0.27013E+03
    0.12151E-01    0.27180E+03
    0.12397E-01    0.27341E+03
    0.12647E-01    0.27494E+03
    0.12902E-01    0.27641E+03
    0.13163E-01    0.27780E+03
    0.13429E-01    0.27911E+03
    0.13700E-01    0.28034E+03
    0.13977E-01    0.28149E+03
    0.14259E-01    0.28256E+03
    0.14547E-01    0.28353E+03
    0.14841E-01    0.28441E+03
    0.15141E-01    0.28519E+03
    0.15447E-01    0.28588E+03
    0.15759E-01    0.28646E+03
    0.16077E-01    0.28693E+03
    0.16402E-01    0.28730E+03
    0.16734E-01    0.28756E+03
    0.17072E-01    0.28771E+03
    0.17416E-01    0.28773E+03
    0.17768E-01    0.28764E+03
    0.18127E-01    0.28743E+03
    0.18493E-01    0.28710E+03
    0.18867E-01    0.28664E+03
    0.19248E-01    0.28605E+03
    0.19637E-01    0.28534E+03
    0.20034E-01    0.28449E+03
    0.20438E-01    0.28352E+03
    0.20851E-01    0.28241E+03
    0.21272E-01    0.28117E+03
    0.21702E-01    0.27979E+03
    0.22141E-01    0.27828E+03
    0.22588E-01    0.27664E+03
    0.23044E-01    0.27487E+03
    0.23510E-01    0.27297E+03
    0.23985E-01    0.27094E+03
    0.24469E-01    0.26878E+03
    0.24964E-01    0.26650E+03
    0.25468E-01    0.26410E+03
    0.25982E-01    0.26158E+03
    0.26507E-01    0.25894E+03
    0.27043E-01    0.25620E+03
    0.27589E-01    0.25335E+03
    0.28146E-01    0.25041E+03
    0.28715E-01    0.24737E+03
    0.29295E-01    0.24424E+03
    0.29887E-01    0.24104E+03
    0.30490E-01    0.23776E+03
    0.31106E-01    0.23442E+03
    0.31735E-01    0.23102E+03
    0.32376E-01    0.22758E+03
    0.33030E-01    0.22409E+03
    0.33697E-01    0.22058E+03
    0.34378E-01    0.21705E+03
    0.35072E-01    0.21351E+03
    0.35781E-01    0.20996E+03
    0.36504E-01    0.20643E+03
    0.37241E-01    0.20292E+03
    0.37993E-01    0.19943E+03
    0.38761E-01    0.19598E+03
    0.39544E-01    0.19258E+03
    0.40343E-01    0.18924E+03
    0.41158E-01    0.18596E+03
    0.41989E-01    0.18275E+03
    0.42838E-01    0.17962E+03
    0.43703E-01    0.17658E+03
    0.44586E-01    0.17362E+03
    0.45486E-01    0.17076E+03
    0.46405E-01    0.16799E+03
    0.47343E-01    0.16533E+03
    0.48299E-01    0.16277E+03
    0.49275E-01    0.16030E+03
    0.50270E-01    0.15793E+03
    0.51286E-01    0.15565E+03
    0.52322E-01    0.15346E+03
    0.53379E-01    0.15136E+03
    0.54457E-01    0.14932E+03
    0.55557E-01    0.14735E+03
    0.56680E-01    0.14543E+03
    0.57825E-01    0.14354E+03
    0.58993E-01    0.14168E+03
    0.60184E-01    0.13983E+03
    0.61400E-01    0.13797E+03
    0.62641E-01    0.13608E+03
    0.63906E-01    0.13416E+03
    0.65197E-01    0.13218E+03
    0.66514E-01    0.13012E+03
    0.67858E-01    0.12798E+03
    0.69229E-01    0.12574E+03
    0.70627E-01    0.12339E+03
    0.72054E-01    0.12092E+03
    0.73510E-01    0.11834E+03
    0.74994E-01    0.11563E+03
    0.76509E-01    0.11281E+03
    0.78055E-01    0.10988E+03
    0.79632E-01    0.10686E+03
    0.81241E-01    0.10376E+03
    0.82882E-01    0.10061E+03
    0.84556E-01    0.97422E+02
    0.86264E-01    0.94235E+02
    0.88007E-01    0.91073E+02
    0.89785E-01    0.87967E+02
    0.91598E-01    0.84945E+02
    0.93449E-01    0.82037E+02
    0.95337E-01    0.79267E+02
    0.97263E-01    0.76656E+02
    0.99227E-01    0.74223E+02
    0.10123E+00    0.71978E+02
    0.10328E+00    0.69927E+02
    0.10536E+00    0.68069E+02
    0.10749E+00    0.66394E+02
    0.10966E+00    0.64889E+02
    0.11188E+00    0.63530E+02
    0.11414E+00    0.62290E+02
    0.11644E+00    0.61136E+02
    0.11880E+00    0.60031E+02
    0.12120E+00    0.58936E+02
    0.12365E+00    0.57813E+02
    0.12614E+00    0.56628E+02
    0.12869E+00    0.55351E+02
    0.13129E+00    0.53963E+02
    0.13394E+00    0.52452E+02
    0.13665E+00    0.50821E+02
    0.13941E+00    0.49085E+02
    0.14223E+00    0.47268E+02
    0.14510E+00    0.45407E+02
    0.14803E+00    0.43541E+02
    0.15102E+00    0.41716E+02
    0.15407E+00    0.39974E+02
    0.15718E+00    0.38350E+02
    0.16036E+00    0.36873E+02
    0.16360E+00    0.35558E+02
    0.16690E+00    0.34408E+02
    0.17028E+00    0.33411E+02
    0.17371E+00    0.32544E+02
    0.17722E+00    0.31771E+02
    0.18080E+00    0.31052E+02
    0.18446E+00    0.30342E+02
    0.18818E+00    0.29602E+02
    0.19198E+00    0.28798E+02
    0.19586E+00    0.27913E+02
    0.19982E+00    0.26945E+02
    0.20386E+00    0.25909E+02
    0.20797E+00    0.24834E+02
    0.21218E+00    0.23757E+02
    0.21646E+00    0.22720E+02
    0.22083E+00    0.21757E+02
    0.22530E+00    0.20891E+02
    0.22985E+00    0.20133E+02
    0.23449E+00    0.19475E+02
    0.23923E+00    0.18895E+02
    0.24406E+00    0.18363E+02
    0.24899E+00    0.17843E+02
    0.25402E+00    0.17306E+02
    0.25915E+00    0.16732E+02
    0.26439E+00    0.16116E+02
    0.26973E+00    0.15468E+02
    0.27518E+00    0.14813E+02
    0.28074E+00    0.14177E+02
    0.28641E+00    0.13584E+02
    0.29219E+00    0.13050E+02
    0.29810E+00    0.12575E+02
    0.30412E+00    0.12147E+02
    0.31026E+00    0.11747E+02
    0.31653E+00    0.11354E+02
