#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.841308E+07   0.841308E+07   0.111018E+08   0.111014E+08   0.841328E+07   0.841308E+07   0.841308E+07   0.841897E+07  -0.590426E+00   0.801447E+07   0.801447E+07   0.121808E+00
   0.798228E-04   0.841298E+07   0.841298E+07   0.110731E+08   0.110725E+08   0.841308E+07   0.841298E+07   0.841298E+07   0.841885E+07  -0.590417E+00   0.801438E+07   0.801438E+07   0.136102E+00
   0.892035E-04   0.841286E+07   0.841286E+07   0.110373E+08   0.110366E+08   0.841283E+07   0.841286E+07   0.841286E+07   0.841870E+07  -0.590406E+00   0.801426E+07   0.801426E+07   0.152069E+00
   0.996866E-04   0.841270E+07   0.841270E+07   0.109928E+08   0.109919E+08   0.841251E+07   0.841270E+07   0.841270E+07   0.841852E+07  -0.590393E+00   0.801411E+07   0.801411E+07   0.169900E+00
   0.111402E-03   0.841251E+07   0.841251E+07   0.109374E+08   0.109364E+08   0.841212E+07   0.841250E+07   0.841251E+07   0.841830E+07  -0.590376E+00   0.801392E+07   0.801392E+07   0.189811E+00
   0.124493E-03   0.841227E+07   0.841227E+07   0.108686E+08   0.108673E+08   0.841163E+07   0.841225E+07   0.841227E+07   0.841801E+07  -0.590356E+00   0.801369E+07   0.801369E+07   0.212041E+00
   0.139124E-03   0.841197E+07   0.841197E+07   0.107832E+08   0.107817E+08   0.841102E+07   0.841194E+07   0.841197E+07   0.841766E+07  -0.590330E+00   0.801340E+07   0.801340E+07   0.236853E+00
   0.155474E-03   0.841160E+07   0.841159E+07   0.106775E+08   0.106756E+08   0.841026E+07   0.841156E+07   0.841160E+07   0.841722E+07  -0.590298E+00   0.801304E+07   0.801304E+07   0.264539E+00
   0.173745E-03   0.841113E+07   0.841113E+07   0.105469E+08   0.105446E+08   0.840931E+07   0.841108E+07   0.841113E+07   0.841667E+07  -0.590258E+00   0.801259E+07   0.801259E+07   0.295421E+00
   0.194163E-03   0.841055E+07   0.841055E+07   0.103859E+08   0.103830E+08   0.840812E+07   0.841048E+07   0.841055E+07   0.841598E+07  -0.590208E+00   0.801203E+07   0.801203E+07   0.329852E+00
   0.216981E-03   0.840983E+07   0.840982E+07   0.101881E+08   0.101846E+08   0.840665E+07   0.840973E+07   0.840983E+07   0.841513E+07  -0.590146E+00   0.801133E+07   0.801133E+07   0.368218E+00
   0.242480E-03   0.840892E+07   0.840892E+07   0.994603E+07   0.994180E+07   0.840480E+07   0.840880E+07   0.840892E+07   0.841407E+07  -0.590068E+00   0.801046E+07   0.801046E+07   0.410940E+00
   0.270976E-03   0.840780E+07   0.840779E+07   0.965139E+07   0.964631E+07   0.840251E+07   0.840764E+07   0.840780E+07   0.841276E+07  -0.589972E+00   0.800937E+07   0.800937E+07   0.458471E+00
