#           k/h    P           
    0.10000E-03    0.80049E+02
    0.10202E-03    0.81617E+02
    0.10408E-03    0.83215E+02
    0.10618E-03    0.84844E+02
    0.10833E-03    0.86505E+02
    0.11052E-03    0.88199E+02
    0.11275E-03    0.89925E+02
    0.11503E-03    0.91686E+02
    0.11735E-03    0.93481E+02
    0.11972E-03    0.95311E+02
    0.12214E-03    0.97176E+02
    0.12461E-03    0.99079E+02
    0.12712E-03    0.10102E+03
    0.12969E-03    0.10300E+03
    0.13231E-03    0.10501E+03
    0.13499E-03    0.10707E+03
    0.13771E-03    0.10916E+03
    0.14049E-03    0.11130E+03
    0.14333E-03    0.11348E+03
    0.14623E-03    0.11570E+03
    0.14918E-03    0.11796E+03
    0.15220E-03    0.12027E+03
    0.15527E-03    0.12262E+03
    0.15841E-03    0.12502E+03
    0.16161E-03    0.12747E+03
    0.16487E-03    0.12996E+03
    0.16820E-03    0.13250E+03
    0.17160E-03    0.13510E+03
    0.17507E-03    0.13774E+03
    0.17860E-03    0.14043E+03
    0.18221E-03    0.14318E+03
    0.18589E-03    0.14598E+03
    0.18965E-03    0.14883E+03
    0.19348E-03    0.15174E+03
    0.19739E-03    0.15471E+03
    0.20138E-03    0.15774E+03
    0.20544E-03    0.16082E+03
    0.20959E-03    0.16396E+03
    0.21383E-03    0.16717E+03
    0.21815E-03    0.17044E+03
    0.22255E-03    0.17377E+03
    0.22705E-03    0.17716E+03
    0.23164E-03    0.18062E+03
    0.23632E-03    0.18415E+03
    0.24109E-03    0.18775E+03
    0.24596E-03    0.19142E+03
    0.25093E-03    0.19516E+03
    0.25600E-03    0.19897E+03
    0.26117E-03    0.20285E+03
    0.26645E-03    0.20681E+03
    0.27183E-03    0.21085E+03
    0.27732E-03    0.21497E+03
    0.28292E-03    0.21916E+03
    0.28864E-03    0.22344E+03
    0.29447E-03    0.22780E+03
    0.30042E-03    0.23224E+03
    0.30649E-03    0.23677E+03
    0.31268E-03    0.24139E+03
    0.31899E-03    0.24609E+03
    0.32544E-03    0.25089E+03
    0.33201E-03    0.25578E+03
    0.33872E-03    0.26076E+03
    0.34556E-03    0.26584E+03
    0.35254E-03    0.27102E+03
    0.35966E-03    0.27629E+03
    0.36693E-03    0.28167E+03
    0.37434E-03    0.28716E+03
    0.38190E-03    0.29274E+03
    0.38962E-03    0.29844E+03
    0.39749E-03    0.30424E+03
    0.40552E-03    0.31015E+03
    0.41371E-03    0.31618E+03
    0.42207E-03    0.32232E+03
    0.43060E-03    0.32858E+03
    0.43929E-03    0.33496E+03
    0.44817E-03    0.34147E+03
    0.45722E-03    0.34809E+03
    0.46646E-03    0.35484E+03
    0.47588E-03    0.36172E+03
    0.48550E-03    0.36873E+03
    0.49530E-03    0.37587E+03
    0.50531E-03    0.38315E+03
    0.51552E-03    0.39057E+03
    0.52593E-03    0.39812E+03
    0.53656E-03    0.40582E+03
    0.54739E-03    0.41366E+03
    0.55845E-03    0.42165E+03
    0.56973E-03    0.42979E+03
    0.58124E-03    0.43809E+03
    0.59299E-03    0.44653E+03
    0.60496E-03    0.45514E+03
    0.61719E-03    0.46391E+03
    0.62965E-03    0.47284E+03
    0.64237E-03    0.48193E+03
    0.65535E-03    0.49120E+03
    0.66859E-03    0.50063E+03
    0.68210E-03    0.51024E+03
    0.69588E-03    0.52003E+03
    0.70993E-03    0.53000E+03
    0.72427E-03    0.54015E+03
    0.73891E-03    0.55048E+03
    0.75383E-03    0.56101E+03
    0.76906E-03    0.57172E+03
    0.78460E-03    0.58263E+03
    0.80045E-03    0.59374E+03
    0.81662E-03    0.60505E+03
    0.83311E-03    0.61657E+03
    0.84994E-03    0.62829E+03
    0.86711E-03    0.64022E+03
    0.88463E-03    0.65236E+03
    0.90250E-03    0.66472E+03
    0.92073E-03    0.67730E+03
    0.93933E-03    0.69011E+03
    0.95831E-03    0.70314E+03
    0.97767E-03    0.71640E+03
    0.99742E-03    0.72989E+03
    0.10176E-02    0.74362E+03
    0.10381E-02    0.75758E+03
    0.10591E-02    0.77179E+03
    0.10805E-02    0.78624E+03
    0.11023E-02    0.80095E+03
    0.11246E-02    0.81590E+03
    0.11473E-02    0.83111E+03
    0.11705E-02    0.84658E+03
    0.11941E-02    0.86231E+03
    0.12182E-02    0.87831E+03
    0.12429E-02    0.89457E+03
    0.12680E-02    0.91111E+03
    0.12936E-02    0.92792E+03
    0.13197E-02    0.94501E+03
    0.13464E-02    0.96238E+03
    0.13736E-02    0.98004E+03
    0.14013E-02    0.99798E+03
    0.14296E-02    0.10162E+04
    0.14585E-02    0.10347E+04
    0.14880E-02    0.10536E+04
    0.15180E-02    0.10727E+04
    0.15487E-02    0.10921E+04
    0.15800E-02    0.11118E+04
    0.16119E-02    0.11319E+04
    0.16445E-02    0.11522E+04
    0.16777E-02    0.11729E+04
    0.17116E-02    0.11939E+04
    0.17462E-02    0.12152E+04
    0.17814E-02    0.12368E+04
    0.18174E-02    0.12587E+04
    0.18541E-02    0.12810E+04
    0.18916E-02    0.13036E+04
    0.19298E-02    0.13265E+04
    0.19688E-02    0.13498E+04
    0.20086E-02    0.13734E+04
    0.20491E-02    0.13973E+04
    0.20905E-02    0.14215E+04
    0.21328E-02    0.14461E+04
    0.21758E-02    0.14711E+04
    0.22198E-02    0.14963E+04
    0.22646E-02    0.15220E+04
    0.23104E-02    0.15479E+04
    0.23571E-02    0.15742E+04
    0.24047E-02    0.16009E+04
    0.24533E-02    0.16278E+04
    0.25028E-02    0.16552E+04
    0.25534E-02    0.16828E+04
    0.26050E-02    0.17108E+04
    0.26576E-02    0.17392E+04
    0.27113E-02    0.17679E+04
    0.27660E-02    0.17969E+04
    0.28219E-02    0.18263E+04
    0.28789E-02    0.18560E+04
    0.29371E-02    0.18860E+04
    0.29964E-02    0.19164E+04
    0.30569E-02    0.19471E+04
    0.31187E-02    0.19781E+04
    0.31817E-02    0.20094E+04
    0.32460E-02    0.20411E+04
    0.33115E-02    0.20730E+04
    0.33784E-02    0.21053E+04
    0.34467E-02    0.21379E+04
    0.35163E-02    0.21708E+04
    0.35874E-02    0.22040E+04
    0.36598E-02    0.22374E+04
    0.37338E-02    0.22712E+04
    0.38092E-02    0.23052E+04
    0.38861E-02    0.23395E+04
    0.39646E-02    0.23741E+04
    0.40447E-02    0.24089E+04
    0.41264E-02    0.24440E+04
    0.42098E-02    0.24793E+04
    0.42948E-02    0.25148E+04
    0.43816E-02    0.25506E+04
    0.44701E-02    0.25865E+04
    0.45604E-02    0.26227E+04
    0.46525E-02    0.26590E+04
    0.47465E-02    0.26956E+04
    0.48424E-02    0.27322E+04
    0.49402E-02    0.27690E+04
    0.50400E-02    0.28060E+04
    0.51419E-02    0.28431E+04
    0.52457E-02    0.28802E+04
    0.53517E-02    0.29175E+04
    0.54598E-02    0.29548E+04
    0.55701E-02    0.29922E+04
    0.56826E-02    0.30296E+04
    0.57974E-02    0.30671E+04
    0.59145E-02    0.31045E+04
    0.60340E-02    0.31419E+04
    0.61559E-02    0.31793E+04
    0.62803E-02    0.32166E+04
    0.64072E-02    0.32538E+04
    0.65366E-02    0.32909E+04
    0.66686E-02    0.33279E+04
    0.68033E-02    0.33647E+04
    0.69408E-02    0.34013E+04
    0.70810E-02    0.34377E+04
    0.72240E-02    0.34739E+04
    0.73700E-02    0.35099E+04
    0.75189E-02    0.35455E+04
    0.76708E-02    0.35808E+04
    0.78257E-02    0.36158E+04
    0.79838E-02    0.36503E+04
    0.81451E-02    0.36845E+04
    0.83096E-02    0.37182E+04
    0.84775E-02    0.37514E+04
    0.86488E-02    0.37841E+04
    0.88235E-02    0.38163E+04
