#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11042E+04    0.12785E-05    0.00000E+00    0.27970E-01    0.49031E-07    0.33724E-02   -0.44057E-07
     3    0.10523E+04    0.60390E-05    0.00000E+00    0.63857E-01    0.59543E-07    0.33146E-02   -0.74929E-07
     4    0.10070E+04    0.17386E-04    0.00000E+00    0.10922E+00    0.68534E-07    0.32017E-02   -0.10526E-06
     5    0.97524E+03    0.39206E-04    0.00000E+00    0.16314E+00    0.76291E-07    0.30729E-02   -0.13547E-06
     6    0.95470E+03    0.76106E-04    0.00000E+00    0.22488E+00    0.83011E-07    0.29427E-02   -0.16533E-06
     7    0.94260E+03    0.13335E-03    0.00000E+00    0.29372E+00    0.88883E-07    0.28167E-02   -0.19489E-06
     8    0.93629E+03    0.21677E-03    0.00000E+00    0.36876E+00    0.94043E-07    0.26969E-02   -0.22442E-06
     9    0.93461E+03    0.33285E-03    0.00000E+00    0.44937E+00    0.98602E-07    0.25837E-02   -0.25412E-06
    10    0.93646E+03    0.48828E-03    0.00000E+00    0.53464E+00    0.10263E-06    0.24769E-02   -0.28355E-06
    11    0.94095E+03    0.69071E-03    0.00000E+00    0.62394E+00    0.10622E-06    0.23777E-02   -0.31256E-06
    12    0.94819E+03    0.94780E-03    0.00000E+00    0.71706E+00    0.10939E-06    0.22840E-02   -0.34066E-06
    13    0.95698E+03    0.12676E-02    0.00000E+00    0.81227E+00    0.11222E-06    0.21980E-02   -0.36851E-06
    14    0.96718E+03    0.16580E-02    0.00000E+00    0.90912E+00    0.11472E-06    0.21166E-02   -0.39605E-06
    15    0.97853E+03    0.21285E-02    0.00000E+00    0.10068E+01    0.11696E-06    0.20407E-02   -0.42368E-06
    16    0.99133E+03    0.26884E-02    0.00000E+00    0.11056E+01    0.11894E-06    0.19687E-02   -0.45115E-06
    17    0.10050E+04    0.33472E-02    0.00000E+00    0.12038E+01    0.12068E-06    0.19012E-02   -0.47828E-06
    18    0.10191E+04    0.41123E-02    0.00000E+00    0.13004E+01    0.12223E-06    0.18378E-02   -0.50497E-06
    19    0.10348E+04    0.49982E-02    0.00000E+00    0.13963E+01    0.12360E-06    0.17786E-02   -0.53155E-06
    20    0.10510E+04    0.60094E-02    0.00000E+00    0.14898E+01    0.12479E-06    0.17220E-02   -0.55744E-06
    21    0.10677E+04    0.71573E-02    0.00000E+00    0.15800E+01    0.12582E-06    0.16687E-02   -0.58292E-06
    22    0.10849E+04    0.84523E-02    0.00000E+00    0.16666E+01    0.12672E-06    0.16183E-02   -0.60814E-06
    23    0.11025E+04    0.99046E-02    0.00000E+00    0.17489E+01    0.12750E-06    0.15706E-02   -0.63312E-06
    24    0.11207E+04    0.11523E-01    0.00000E+00    0.18254E+01    0.12814E-06    0.15256E-02   -0.65752E-06
    25    0.11394E+04    0.13318E-01    0.00000E+00    0.18965E+01    0.12869E-06    0.14829E-02   -0.68163E-06
    26    0.11584E+04    0.15300E-01    0.00000E+00    0.19620E+01    0.12913E-06    0.14420E-02   -0.70535E-06
    27    0.11778E+04    0.17478E-01    0.00000E+00    0.20208E+01    0.12948E-06    0.14032E-02   -0.72879E-06
    28    0.11976E+04    0.19862E-01    0.00000E+00    0.20718E+01    0.12975E-06    0.13663E-02   -0.75189E-06
    29    0.12178E+04    0.22462E-01    0.00000E+00    0.21143E+01    0.12994E-06    0.13314E-02   -0.77455E-06
    30    0.12383E+04    0.25286E-01    0.00000E+00    0.21493E+01    0.13006E-06    0.12978E-02   -0.79679E-06
    31    0.12590E+04    0.28344E-01    0.00000E+00    0.21755E+01    0.13011E-06    0.12656E-02   -0.81867E-06
    32    0.12801E+04    0.31646E-01    0.00000E+00    0.21921E+01    0.13010E-06    0.12350E-02   -0.84031E-06
    33    0.13015E+04    0.35200E-01    0.00000E+00    0.21976E+01    0.13003E-06    0.12059E-02   -0.86164E-06
    34    0.13232E+04    0.39012E-01    0.00000E+00    0.21935E+01    0.12991E-06    0.11779E-02   -0.88243E-06
    35    0.13451E+04    0.43093E-01    0.00000E+00    0.21791E+01    0.12974E-06    0.11509E-02   -0.90286E-06
    36    0.13672E+04    0.47451E-01    0.00000E+00    0.21531E+01    0.12953E-06    0.11251E-02   -0.92304E-06
    37    0.13897E+04    0.52094E-01    0.00000E+00    0.21147E+01    0.12928E-06    0.11005E-02   -0.94294E-06
    38    0.14124E+04    0.57029E-01    0.00000E+00    0.20646E+01    0.12898E-06    0.10768E-02   -0.96239E-06
    39    0.14354E+04    0.62259E-01    0.00000E+00    0.20024E+01    0.12865E-06    0.10539E-02   -0.98142E-06
    40    0.14585E+04    0.67791E-01    0.00000E+00    0.19268E+01    0.12829E-06    0.10320E-02   -0.10001E-05
    41    0.14820E+04    0.73636E-01    0.00000E+00    0.18370E+01    0.12790E-06    0.10111E-02   -0.10186E-05
