#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.95824E+03    0.12308E-05    0.00000E+00    0.27227E-01    0.50888E-07    0.27517E-02   -0.42135E-07
     3    0.93118E+03    0.58271E-05    0.00000E+00    0.61619E-01    0.61907E-07    0.27472E-02   -0.71519E-07
     4    0.90344E+03    0.16803E-04    0.00000E+00    0.10515E+00    0.71407E-07    0.26828E-02   -0.10041E-06
     5    0.88369E+03    0.37942E-04    0.00000E+00    0.15701E+00    0.79675E-07    0.25975E-02   -0.12921E-06
     6    0.87149E+03    0.73734E-04    0.00000E+00    0.21652E+00    0.86905E-07    0.25063E-02   -0.15770E-06
     7    0.86520E+03    0.12932E-03    0.00000E+00    0.28299E+00    0.93284E-07    0.24151E-02   -0.18593E-06
     8    0.86295E+03    0.21038E-03    0.00000E+00    0.35558E+00    0.98946E-07    0.23265E-02   -0.21416E-06
     9    0.86408E+03    0.32328E-03    0.00000E+00    0.43373E+00    0.10400E-06    0.22412E-02   -0.24258E-06
    10    0.86774E+03    0.47455E-03    0.00000E+00    0.51655E+00    0.10852E-06    0.21597E-02   -0.27076E-06
    11    0.87335E+03    0.67170E-03    0.00000E+00    0.60347E+00    0.11259E-06    0.20832E-02   -0.29856E-06
    12    0.88111E+03    0.92220E-03    0.00000E+00    0.69429E+00    0.11623E-06    0.20102E-02   -0.32551E-06
    13    0.88994E+03    0.12340E-02    0.00000E+00    0.78739E+00    0.11953E-06    0.19427E-02   -0.35226E-06
    14    0.89978E+03    0.16148E-02    0.00000E+00    0.88232E+00    0.12248E-06    0.18783E-02   -0.37873E-06
    15    0.91045E+03    0.20739E-02    0.00000E+00    0.97830E+00    0.12516E-06    0.18177E-02   -0.40532E-06
    16    0.92227E+03    0.26204E-02    0.00000E+00    0.10757E+01    0.12759E-06    0.17599E-02   -0.43176E-06
    17    0.93471E+03    0.32637E-02    0.00000E+00    0.11729E+01    0.12975E-06    0.17052E-02   -0.45791E-06
    18    0.94738E+03    0.40110E-02    0.00000E+00    0.12689E+01    0.13172E-06    0.16535E-02   -0.48367E-06
    19    0.96146E+03    0.48765E-02    0.00000E+00    0.13644E+01    0.13349E-06    0.16050E-02   -0.50936E-06
    20    0.97573E+03    0.58648E-02    0.00000E+00    0.14581E+01    0.13507E-06    0.15583E-02   -0.53438E-06
    21    0.99039E+03    0.69868E-02    0.00000E+00    0.15489E+01    0.13649E-06    0.15141E-02   -0.55901E-06
    22    0.10054E+04    0.82529E-02    0.00000E+00    0.16366E+01    0.13776E-06    0.14721E-02   -0.58342E-06
    23    0.10208E+04    0.96730E-02    0.00000E+00    0.17206E+01    0.13890E-06    0.14320E-02   -0.60763E-06
    24    0.10364E+04    0.11256E-01    0.00000E+00    0.17994E+01    0.13989E-06    0.13941E-02   -0.63135E-06
    25    0.10524E+04    0.13012E-01    0.00000E+00    0.18733E+01    0.14078E-06    0.13579E-02   -0.65479E-06
    26    0.10687E+04    0.14950E-01    0.00000E+00    0.19423E+01    0.14156E-06    0.13231E-02   -0.67784E-06
    27    0.10853E+04    0.17081E-01    0.00000E+00    0.20054E+01    0.14223E-06    0.12898E-02   -0.70060E-06
    28    0.11021E+04    0.19414E-01    0.00000E+00    0.20613E+01    0.14282E-06    0.12581E-02   -0.72307E-06
    29    0.11192E+04    0.21958E-01    0.00000E+00    0.21094E+01    0.14331E-06    0.12280E-02   -0.74518E-06
    30    0.11364E+04    0.24721E-01    0.00000E+00    0.21507E+01    0.14373E-06    0.11989E-02   -0.76690E-06
    31    0.11539E+04    0.27714E-01    0.00000E+00    0.21841E+01    0.14406E-06    0.11708E-02   -0.78828E-06
    32    0.11715E+04    0.30945E-01    0.00000E+00    0.22086E+01    0.14433E-06    0.11440E-02   -0.80942E-06
    33    0.11894E+04    0.34423E-01    0.00000E+00    0.22230E+01    0.14453E-06    0.11185E-02   -0.83027E-06
    34    0.12075E+04    0.38154E-01    0.00000E+00    0.22284E+01    0.14467E-06    0.10938E-02   -0.85062E-06
    35    0.12257E+04    0.42148E-01    0.00000E+00    0.22244E+01    0.14475E-06    0.10700E-02   -0.87063E-06
    36    0.12441E+04    0.46413E-01    0.00000E+00    0.22098E+01    0.14478E-06    0.10471E-02   -0.89042E-06
    37    0.12627E+04    0.50957E-01    0.00000E+00    0.21839E+01    0.14477E-06    0.10252E-02   -0.90995E-06
    38    0.12815E+04    0.55786E-01    0.00000E+00    0.21471E+01    0.14470E-06    0.10040E-02   -0.92905E-06
    39    0.13004E+04    0.60903E-01    0.00000E+00    0.20987E+01    0.14459E-06    0.98355E-03   -0.94774E-06
    40    0.13195E+04    0.66316E-01    0.00000E+00    0.20381E+01    0.14444E-06    0.96389E-03   -0.96615E-06
    41    0.13388E+04    0.72035E-01    0.00000E+00    0.19644E+01    0.14426E-06    0.94500E-03   -0.98432E-06
    42    0.13582E+04    0.78064E-01    0.00000E+00    0.18785E+01    0.14403E-06    0.92674E-03   -0.10022E-05
    43    0.13779E+04    0.84408E-01    0.00000E+00    0.17811E+01    0.14378E-06    0.90895E-03   -0.10196E-05
    44    0.13975E+04    0.91064E-01    0.00000E+00    0.16704E+01    0.14350E-06    0.89176E-03   -0.10367E-05
    45    0.14175E+04    0.98044E-01    0.00000E+00    0.15450E+01    0.14318E-06    0.87526E-03   -0.10536E-05
    46    0.14377E+04    0.10536E+00    0.00000E+00    0.14058E+01    0.14284E-06    0.85932E-03   -0.10701E-05
    47    0.14580E+04    0.11299E+00    0.00000E+00    0.12540E+01    0.14247E-06    0.84379E-03   -0.10862E-05
    48    0.14783E+04    0.12096E+00    0.00000E+00    0.10881E+01    0.14208E-06    0.82873E-03   -0.11020E-05
