#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.94326E+03    0.11388E-05    0.00000E+00    0.25160E-01    0.45962E-07    0.28166E-02   -0.39296E-07
     3    0.90785E+03    0.53845E-05    0.00000E+00    0.57192E-01    0.55921E-07    0.27925E-02   -0.66763E-07
     4    0.87480E+03    0.15513E-04    0.00000E+00    0.97701E-01    0.64495E-07    0.27158E-02   -0.93754E-07
     5    0.85139E+03    0.35004E-04    0.00000E+00    0.14591E+00    0.71944E-07    0.26219E-02   -0.12065E-06
     6    0.83649E+03    0.67984E-04    0.00000E+00    0.20115E+00    0.78447E-07    0.25241E-02   -0.14724E-06
     7    0.82809E+03    0.11918E-03    0.00000E+00    0.26280E+00    0.84174E-07    0.24278E-02   -0.17357E-06
     8    0.82416E+03    0.19380E-03    0.00000E+00    0.33005E+00    0.89247E-07    0.23350E-02   -0.19989E-06
     9    0.82387E+03    0.29769E-03    0.00000E+00    0.40238E+00    0.93770E-07    0.22463E-02   -0.22637E-06
    10    0.82634E+03    0.43685E-03    0.00000E+00    0.47896E+00    0.97801E-07    0.21619E-02   -0.25262E-06
    11    0.83090E+03    0.61815E-03    0.00000E+00    0.55926E+00    0.10143E-06    0.20828E-02   -0.27851E-06
    12    0.83770E+03    0.84846E-03    0.00000E+00    0.64309E+00    0.10466E-06    0.20075E-02   -0.30359E-06
    13    0.84569E+03    0.11350E-02    0.00000E+00    0.72891E+00    0.10758E-06    0.19379E-02   -0.32847E-06
    14    0.85479E+03    0.14850E-02    0.00000E+00    0.81635E+00    0.11019E-06    0.18716E-02   -0.35307E-06
    15    0.86479E+03    0.19068E-02    0.00000E+00    0.90466E+00    0.11255E-06    0.18093E-02   -0.37778E-06
    16    0.87597E+03    0.24089E-02    0.00000E+00    0.99416E+00    0.11467E-06    0.17498E-02   -0.40235E-06
    17    0.88782E+03    0.29998E-02    0.00000E+00    0.10833E+01    0.11656E-06    0.16936E-02   -0.42663E-06
    18    0.89996E+03    0.36862E-02    0.00000E+00    0.11713E+01    0.11827E-06    0.16405E-02   -0.45053E-06
    19    0.91353E+03    0.44810E-02    0.00000E+00    0.12587E+01    0.11981E-06    0.15907E-02   -0.47435E-06
    20    0.92732E+03    0.53884E-02    0.00000E+00    0.13442E+01    0.12117E-06    0.15428E-02   -0.49756E-06
    21    0.94155E+03    0.64188E-02    0.00000E+00    0.14270E+01    0.12238E-06    0.14974E-02   -0.52041E-06
    22    0.95616E+03    0.75812E-02    0.00000E+00    0.15068E+01    0.12346E-06    0.14542E-02   -0.54304E-06
    23    0.97113E+03    0.88850E-02    0.00000E+00    0.15829E+01    0.12442E-06    0.14131E-02   -0.56546E-06
    24    0.98647E+03    0.10338E-01    0.00000E+00    0.16542E+01    0.12525E-06    0.13741E-02   -0.58740E-06
    25    0.10022E+04    0.11950E-01    0.00000E+00    0.17208E+01    0.12599E-06    0.13370E-02   -0.60909E-06
    26    0.10181E+04    0.13730E-01    0.00000E+00    0.17826E+01    0.12662E-06    0.13013E-02   -0.63043E-06
    27    0.10345E+04    0.15686E-01    0.00000E+00    0.18388E+01    0.12716E-06    0.12672E-02   -0.65151E-06
    28    0.10509E+04    0.17828E-01    0.00000E+00    0.18882E+01    0.12762E-06    0.12347E-02   -0.67230E-06
    29    0.10678E+04    0.20163E-01    0.00000E+00    0.19303E+01    0.12800E-06    0.12037E-02   -0.69272E-06
    30    0.10849E+04    0.22700E-01    0.00000E+00    0.19659E+01    0.12831E-06    0.11739E-02   -0.71278E-06
    31    0.11021E+04    0.25448E-01    0.00000E+00    0.19940E+01    0.12854E-06    0.11451E-02   -0.73253E-06
    32    0.11196E+04    0.28414E-01    0.00000E+00    0.20137E+01    0.12871E-06    0.11177E-02   -0.75206E-06
    33    0.11373E+04    0.31608E-01    0.00000E+00    0.20238E+01    0.12883E-06    0.10915E-02   -0.77132E-06
    34    0.11553E+04    0.35033E-01    0.00000E+00    0.20256E+01    0.12889E-06    0.10663E-02   -0.79010E-06
    35    0.11734E+04    0.38701E-01    0.00000E+00    0.20184E+01    0.12890E-06    0.10419E-02   -0.80857E-06
    36    0.11916E+04    0.42618E-01    0.00000E+00    0.20012E+01    0.12887E-06    0.10184E-02   -0.82682E-06
    37    0.12101E+04    0.46790E-01    0.00000E+00    0.19732E+01    0.12879E-06    0.99600E-03   -0.84484E-06
    38    0.12289E+04    0.51226E-01    0.00000E+00    0.19350E+01    0.12866E-06    0.97435E-03   -0.86245E-06
    39    0.12478E+04    0.55926E-01    0.00000E+00    0.18861E+01    0.12850E-06    0.95345E-03   -0.87968E-06
    40    0.12667E+04    0.60898E-01    0.00000E+00    0.18256E+01    0.12831E-06    0.93335E-03   -0.89664E-06
    41    0.12861E+04    0.66152E-01    0.00000E+00    0.17528E+01    0.12808E-06    0.91406E-03   -0.91337E-06
    42    0.13055E+04    0.71692E-01    0.00000E+00    0.16685E+01    0.12782E-06    0.89541E-03   -0.92981E-06
    43    0.13251E+04    0.77522E-01    0.00000E+00    0.15734E+01    0.12753E-06    0.87727E-03   -0.94588E-06
    44    0.13447E+04    0.83639E-01    0.00000E+00    0.14657E+01    0.12721E-06    0.85974E-03   -0.96163E-06
    45    0.13647E+04    0.90054E-01    0.00000E+00    0.13441E+01    0.12687E-06    0.84293E-03   -0.97714E-06
    46    0.13849E+04    0.96778E-01    0.00000E+00    0.12097E+01    0.12650E-06    0.82670E-03   -0.99233E-06
    47    0.14052E+04    0.10380E+00    0.00000E+00    0.10635E+01    0.12612E-06    0.81088E-03   -0.10072E-05
    48    0.14256E+04    0.11113E+00    0.00000E+00    0.90401E+00    0.12571E-06    0.79557E-03   -0.10217E-05
    49    0.14462E+04    0.11876E+00    0.00000E+00    0.73000E+00    0.12528E-06    0.78083E-03   -0.10360E-05
    50    0.14672E+04    0.12672E+00    0.00000E+00    0.54236E+00    0.12484E-06    0.76657E-03   -0.10501E-05
    51    0.14881E+04    0.13498E+00    0.00000E+00    0.34221E+00    0.12438E-06    0.75268E-03   -0.10637E-05
    52    0.15094E+04    0.14355E+00    0.00000E+00    0.12828E+00    0.12390E-06    0.73922E-03   -0.10771E-05
    53    0.15309E+04    0.15244E+00    0.00000E+00   -0.10081E+00    0.12341E-06    0.72624E-03   -0.10902E-05
    54    0.15525E+04    0.16163E+00    0.00000E+00   -0.34395E+00    0.12291E-06    0.71366E-03   -0.11031E-05
    55    0.15743E+04    0.17113E+00    0.00000E+00   -0.59999E+00    0.12239E-06    0.70137E-03   -0.11155E-05
    56    0.15963E+04    0.18095E+00    0.00000E+00   -0.87007E+00    0.12187E-06    0.68944E-03   -0.11277E-05
    57    0.16186E+04    0.19108E+00    0.00000E+00   -0.11554E+01    0.12133E-06    0.67793E-03   -0.11398E-05
    58    0.16411E+04    0.20152E+00    0.00000E+00   -0.14552E+01    0.12078E-06    0.66676E-03   -0.11515E-05
    59    0.16637E+04    0.21227E+00    0.00000E+00   -0.17683E+01    0.12023E-06    0.65584E-03   -0.11628E-05
    60    0.16865E+04    0.22329E+00    0.00000E+00   -0.20937E+01    0.11967E-06    0.64519E-03   -0.11738E-05
    61    0.17098E+04    0.23460E+00    0.00000E+00   -0.24310E+01    0.11909E-06    0.63485E-03   -0.11846E-05
    62    0.17331E+04    0.24619E+00    0.00000E+00   -0.27815E+01    0.11852E-06    0.62482E-03   -0.11951E-05
    63    0.17566E+04    0.25805E+00    0.00000E+00   -0.31468E+01    0.11793E-06    0.61509E-03   -0.12053E-05
    64    0.17804E+04    0.27024E+00    0.00000E+00   -0.35288E+01    0.11735E-06    0.60563E-03   -0.12153E-05
    65    0.18044E+04    0.28275E+00    0.00000E+00   -0.39286E+01    0.11675E-06    0.59643E-03   -0.12250E-05
    66    0.18285E+04    0.29555E+00    0.00000E+00   -0.43448E+01    0.11615E-06    0.58747E-03   -0.12344E-05
    67    0.18529E+04    0.30862E+00    0.00000E+00   -0.47751E+01    0.11555E-06    0.57875E-03   -0.12436E-05
    68    0.18776E+04    0.32198E+00    0.00000E+00   -0.52180E+01    0.11495E-06    0.57024E-03   -0.12525E-05
    69    0.19024E+04    0.33556E+00    0.00000E+00   -0.56705E+01    0.11434E-06    0.56195E-03   -0.12611E-05
    70    0.19276E+04    0.34936E+00    0.00000E+00   -0.61331E+01    0.11373E-06    0.55385E-03   -0.12694E-05
    71    0.19531E+04    0.36338E+00    0.00000E+00   -0.66071E+01    0.11312E-06    0.54596E-03   -0.12774E-05
    72    0.19787E+04    0.37757E+00    0.00000E+00   -0.70936E+01    0.11250E-06    0.53825E-03   -0.12852E-05
    73    0.20046E+04    0.39194E+00    0.00000E+00   -0.75935E+01    0.11189E-06    0.53072E-03   -0.12927E-05
    74    0.20306E+04    0.40649E+00    0.00000E+00   -0.81058E+01    0.11127E-06    0.52337E-03   -0.12998E-05
    75    0.20569E+04    0.42124E+00    0.00000E+00   -0.86296E+01    0.11065E-06    0.51619E-03   -0.13068E-05
    76    0.20834E+04    0.43621E+00    0.00000E+00   -0.91649E+01    0.11003E-06    0.50918E-03   -0.13134E-05
    77    0.21102E+04    0.45139E+00    0.00000E+00   -0.97115E+01    0.10941E-06    0.50233E-03   -0.13198E-05
    78    0.21373E+04    0.46679E+00    0.00000E+00   -0.10271E+02    0.10879E-06    0.49563E-03   -0.13259E-05
    79    0.21646E+04    0.48235E+00    0.00000E+00   -0.10839E+02    0.10817E-06    0.48909E-03   -0.13317E-05
    80    0.21922E+04    0.49805E+00    0.00000E+00   -0.11416E+02    0.10755E-06    0.48270E-03   -0.13372E-05
    81    0.22200E+04    0.51384E+00    0.00000E+00   -0.12004E+02    0.10694E-06    0.47646E-03   -0.13425E-05
    82    0.22481E+04    0.52974E+00    0.00000E+00   -0.12602E+02    0.10632E-06    0.47036E-03   -0.13475E-05
    83    0.22765E+04    0.54573E+00    0.00000E+00   -0.13209E+02    0.10570E-06    0.46440E-03   -0.13523E-05
    84    0.23051E+04    0.56181E+00    0.00000E+00   -0.13824E+02    0.10509E-06    0.45857E-03   -0.13568E-05
    85    0.23340E+04    0.57794E+00    0.00000E+00   -0.14449E+02    0.10447E-06    0.45287E-03   -0.13611E-05
    86    0.23630E+04    0.59414E+00    0.00000E+00   -0.15081E+02    0.10386E-06    0.44729E-03   -0.13651E-05
