#           k/h    P           
    0.10000E-03    0.30581E+00
    0.10202E-03    0.31180E+00
    0.10408E-03    0.31791E+00
    0.10618E-03    0.32413E+00
    0.10833E-03    0.33048E+00
    0.11052E-03    0.33695E+00
    0.11275E-03    0.34355E+00
    0.11503E-03    0.35028E+00
    0.11735E-03    0.35714E+00
    0.11972E-03    0.36414E+00
    0.12214E-03    0.37127E+00
    0.12461E-03    0.37854E+00
    0.12712E-03    0.38595E+00
    0.12969E-03    0.39351E+00
    0.13231E-03    0.40121E+00
    0.13499E-03    0.40907E+00
    0.13771E-03    0.41708E+00
    0.14049E-03    0.42525E+00
    0.14333E-03    0.43357E+00
    0.14623E-03    0.44206E+00
    0.14918E-03    0.45072E+00
    0.15220E-03    0.45955E+00
    0.15527E-03    0.46854E+00
    0.15841E-03    0.47772E+00
    0.16161E-03    0.48707E+00
    0.16487E-03    0.49661E+00
    0.16820E-03    0.50633E+00
    0.17160E-03    0.51624E+00
    0.17507E-03    0.52635E+00
    0.17860E-03    0.53665E+00
    0.18221E-03    0.54716E+00
    0.18589E-03    0.55787E+00
    0.18965E-03    0.56879E+00
    0.19348E-03    0.57992E+00
    0.19739E-03    0.59127E+00
    0.20138E-03    0.60285E+00
    0.20544E-03    0.61465E+00
    0.20959E-03    0.62668E+00
    0.21383E-03    0.63894E+00
    0.21815E-03    0.65144E+00
    0.22255E-03    0.66419E+00
    0.22705E-03    0.67719E+00
    0.23164E-03    0.69044E+00
    0.23632E-03    0.70395E+00
    0.24109E-03    0.71772E+00
    0.24596E-03    0.73177E+00
    0.25093E-03    0.74608E+00
    0.25600E-03    0.76068E+00
    0.26117E-03    0.77556E+00
    0.26645E-03    0.79073E+00
    0.27183E-03    0.80620E+00
    0.27732E-03    0.82196E+00
    0.28292E-03    0.83804E+00
    0.28864E-03    0.85443E+00
    0.29447E-03    0.87114E+00
    0.30042E-03    0.88817E+00
    0.30649E-03    0.90554E+00
    0.31268E-03    0.92324E+00
