#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11612E+04    0.29823E-01    0.14395E-02    0.29823E-01    0.13529E-05   -0.19125E-07    0.14395E-02   -0.19125E-07    0.89148E-08
     3    0.11108E+04    0.67979E-01    0.10046E-02    0.67979E-01    0.63920E-05   -0.22989E-07    0.10046E-02   -0.22989E-07    0.54209E-08
     4    0.10657E+04    0.11621E+00    0.75444E-03    0.11621E+00    0.18405E-04   -0.25011E-07    0.75444E-03   -0.25011E-07    0.37492E-08
     5    0.10339E+04    0.17356E+00    0.59324E-03    0.17356E+00    0.41512E-04   -0.26281E-07    0.59324E-03   -0.26281E-07    0.27865E-08
     6    0.10135E+04    0.23924E+00    0.48171E-03    0.23924E+00    0.80595E-04   -0.27105E-07    0.48171E-03   -0.27105E-07    0.21688E-08
     7    0.10016E+04    0.31249E+00    0.40055E-03    0.31249E+00    0.14124E-03   -0.27670E-07    0.40055E-03   -0.27670E-07    0.17443E-08
     8    0.99550E+03    0.39235E+00    0.33923E-03    0.39235E+00    0.22962E-03   -0.28100E-07    0.33923E-03   -0.28100E-07    0.14375E-08
     9    0.99416E+03    0.47817E+00    0.29149E-03    0.47817E+00    0.35262E-03   -0.28460E-07    0.29149E-03   -0.28460E-07    0.12075E-08
    10    0.99642E+03    0.56899E+00    0.25343E-03    0.56899E+00    0.51733E-03   -0.28724E-07    0.25343E-03   -0.28724E-07    0.10298E-08
    11    0.10014E+04    0.66415E+00    0.22264E-03    0.66415E+00    0.73190E-03   -0.28904E-07    0.22264E-03   -0.28904E-07    0.88944E-09
    12    0.10092E+04    0.76342E+00    0.19719E-03    0.76342E+00    0.10044E-02   -0.28979E-07    0.19719E-03   -0.28979E-07    0.77608E-09
    13    0.10186E+04    0.86498E+00    0.17606E-03    0.86498E+00    0.13435E-02   -0.29024E-07    0.17606E-03   -0.29024E-07    0.68338E-09
    14    0.10294E+04    0.96837E+00    0.15815E-03    0.96837E+00    0.17574E-02   -0.29040E-07    0.15815E-03   -0.29040E-07    0.60626E-09
    15    0.10414E+04    0.10727E+01    0.14289E-03    0.10727E+01    0.22563E-02   -0.29062E-07    0.14289E-03   -0.29062E-07    0.54153E-09
    16    0.10549E+04    0.11784E+01    0.12971E-03    0.11784E+01    0.28501E-02   -0.29070E-07    0.12971E-03   -0.29070E-07    0.48656E-09
    17    0.10692E+04    0.12835E+01    0.11828E-03    0.12835E+01    0.35488E-02   -0.29057E-07    0.11828E-03   -0.29057E-07    0.43938E-09
    18    0.10840E+04    0.13870E+01    0.10830E-03    0.13870E+01    0.43604E-02   -0.29021E-07    0.10830E-03   -0.29021E-07    0.39867E-09
    19    0.11006E+04    0.14899E+01    0.99559E-04    0.14899E+01    0.53001E-02   -0.28983E-07    0.99559E-04   -0.28983E-07    0.36326E-09
    20    0.11174E+04    0.15904E+01    0.91791E-04    0.15904E+01    0.63730E-02   -0.28914E-07    0.91791E-04   -0.28914E-07    0.33222E-09
    21    0.11349E+04    0.16875E+01    0.84894E-04    0.16875E+01    0.75909E-02   -0.28830E-07    0.84894E-04   -0.28830E-07    0.30488E-09
    22    0.11528E+04    0.17809E+01    0.78738E-04    0.17809E+01    0.89650E-02   -0.28742E-07    0.78738E-04   -0.28742E-07    0.28068E-09
    23    0.11712E+04    0.18698E+01    0.73218E-04    0.18698E+01    0.10506E-01   -0.28651E-07    0.73218E-04   -0.28651E-07    0.25915E-09
    24    0.11901E+04    0.19529E+01    0.68258E-04    0.19529E+01    0.12224E-01   -0.28543E-07    0.68258E-04   -0.28543E-07    0.23989E-09
    25    0.12095E+04    0.20303E+01    0.63778E-04    0.20303E+01    0.14129E-01   -0.28432E-07    0.63778E-04   -0.28432E-07    0.22262E-09
    26    0.12292E+04    0.21019E+01    0.59706E-04    0.21019E+01    0.16232E-01   -0.28314E-07    0.59706E-04   -0.28314E-07    0.20706E-09
    27    0.12494E+04    0.21666E+01    0.56002E-04    0.21666E+01    0.18544E-01   -0.28193E-07    0.56002E-04   -0.28193E-07    0.19300E-09
    28    0.12698E+04    0.22231E+01    0.52629E-04    0.22231E+01    0.21076E-01   -0.28068E-07    0.52629E-04   -0.28068E-07    0.18025E-09
    29    0.12907E+04    0.22708E+01    0.49551E-04    0.22708E+01    0.23836E-01   -0.27937E-07    0.49551E-04   -0.27937E-07    0.16864E-09
    30    0.13118E+04    0.23107E+01    0.46721E-04    0.23107E+01    0.26834E-01   -0.27799E-07    0.46721E-04   -0.27799E-07    0.15807E-09
    31    0.13332E+04    0.23414E+01    0.44114E-04    0.23414E+01    0.30081E-01   -0.27658E-07    0.44114E-04   -0.27658E-07    0.14839E-09
    32    0.13549E+04    0.23621E+01    0.41717E-04    0.23621E+01    0.33588E-01   -0.27519E-07    0.41717E-04   -0.27519E-07    0.13952E-09
    33    0.13770E+04    0.23712E+01    0.39512E-04    0.23712E+01    0.37362E-01   -0.27378E-07    0.39512E-04   -0.27378E-07    0.13137E-09
    34    0.13993E+04    0.23703E+01    0.37466E-04    0.23703E+01    0.41411E-01   -0.27228E-07    0.37466E-04   -0.27228E-07    0.12386E-09
    35    0.14218E+04    0.23587E+01    0.35567E-04    0.23587E+01    0.45745E-01   -0.27077E-07    0.35567E-04   -0.27077E-07    0.11693E-09
    36    0.14445E+04    0.23349E+01    0.33805E-04    0.23349E+01    0.50375E-01   -0.26926E-07    0.33805E-04   -0.26926E-07    0.11053E-09
    37    0.14676E+04    0.22981E+01    0.32170E-04    0.22981E+01    0.55306E-01   -0.26776E-07    0.32170E-04   -0.26776E-07    0.10460E-09
    38    0.14909E+04    0.22491E+01    0.30645E-04    0.22491E+01    0.60549E-01   -0.26621E-07    0.30645E-04   -0.26621E-07    0.99098E-10
    39    0.15144E+04    0.21873E+01    0.29220E-04    0.21873E+01    0.66105E-01   -0.26463E-07    0.29220E-04   -0.26463E-07    0.93983E-10
    40    0.15381E+04    0.21115E+01    0.27891E-04    0.21115E+01    0.71983E-01   -0.26304E-07    0.27891E-04   -0.26304E-07    0.89223E-10
    41    0.15622E+04    0.20209E+01    0.26650E-04    0.20209E+01    0.78195E-01   -0.26146E-07    0.26650E-04   -0.26146E-07    0.84785E-10
    42    0.15865E+04    0.19165E+01    0.25486E-04    0.19165E+01    0.84744E-01   -0.25988E-07    0.25486E-04   -0.25988E-07    0.80642E-10
    43    0.16109E+04    0.17991E+01    0.24390E-04    0.17991E+01    0.91636E-01   -0.25826E-07    0.24390E-04   -0.25826E-07    0.76769E-10
    44    0.16355E+04    0.16666E+01    0.23360E-04    0.16666E+01    0.98869E-01   -0.25664E-07    0.23360E-04   -0.25664E-07    0.73143E-10
    45    0.16604E+04    0.15174E+01    0.22396E-04    0.15174E+01    0.10645E+00   -0.25502E-07    0.22396E-04   -0.25502E-07    0.69745E-10
    46    0.16857E+04    0.13528E+01    0.21488E-04    0.13528E+01    0.11440E+00   -0.25339E-07    0.21488E-04   -0.25339E-07    0.66556E-10
    47    0.17110E+04    0.11742E+01    0.20629E-04    0.11742E+01    0.12271E+00   -0.25174E-07    0.20629E-04   -0.25174E-07    0.63560E-10
    48    0.17365E+04    0.97963E+00    0.19818E-04    0.97963E+00    0.13137E+00   -0.25008E-07    0.19818E-04   -0.25008E-07    0.60743E-10
    49    0.17623E+04    0.76748E+00    0.19054E-04    0.76748E+00    0.14040E+00   -0.24844E-07    0.19054E-04   -0.24844E-07    0.58091E-10
    50    0.17885E+04    0.53900E+00    0.18333E-04    0.53900E+00    0.14981E+00   -0.24679E-07    0.18333E-04   -0.24679E-07    0.55592E-10
    51    0.18147E+04    0.29565E+00    0.17648E-04    0.29565E+00    0.15959E+00   -0.24513E-07    0.17648E-04   -0.24513E-07    0.53234E-10
    52    0.18413E+04    0.35751E-01    0.16999E-04    0.35751E-01    0.16972E+00   -0.24346E-07    0.16999E-04   -0.24346E-07    0.51009E-10
    53    0.18682E+04   -0.24247E+00    0.16386E-04   -0.24247E+00    0.18024E+00   -0.24181E-07    0.16386E-04   -0.24181E-07    0.48905E-10
    54    0.18952E+04   -0.53754E+00    0.15804E-04   -0.53754E+00    0.19112E+00   -0.24015E-07    0.15804E-04   -0.24015E-07    0.46915E-10
    55    0.19224E+04   -0.84797E+00    0.15250E-04   -0.84797E+00    0.20236E+00   -0.23846E-07    0.15250E-04   -0.23846E-07    0.45032E-10
    56    0.19499E+04   -0.11753E+01    0.14723E-04   -0.11753E+01    0.21398E+00   -0.23678E-07    0.14723E-04   -0.23678E-07    0.43247E-10
    57    0.19778E+04   -0.15210E+01    0.14223E-04   -0.15210E+01    0.22597E+00   -0.23512E-07    0.14223E-04   -0.23512E-07    0.41555E-10
    58    0.20060E+04   -0.18840E+01    0.13748E-04   -0.18840E+01    0.23833E+00   -0.23347E-07    0.13748E-04   -0.23347E-07    0.39950E-10
    59    0.20342E+04   -0.22627E+01    0.13293E-04   -0.22627E+01    0.25105E+00   -0.23179E-07    0.13293E-04   -0.23179E-07    0.38426E-10
    60    0.20626E+04   -0.26565E+01    0.12859E-04   -0.26565E+01    0.26410E+00   -0.23010E-07    0.12859E-04   -0.23010E-07    0.36977E-10
    61    0.20917E+04   -0.30649E+01    0.12446E-04   -0.30649E+01    0.27750E+00   -0.22841E-07    0.12446E-04   -0.22841E-07    0.35599E-10
    62    0.21208E+04   -0.34896E+01    0.12051E-04   -0.34896E+01    0.29123E+00   -0.22673E-07    0.12051E-04   -0.22673E-07    0.34287E-10
    63    0.21501E+04   -0.39320E+01    0.11675E-04   -0.39320E+01    0.30529E+00   -0.22505E-07    0.11675E-04   -0.22505E-07    0.33039E-10
    64    0.21799E+04   -0.43939E+01    0.11316E-04   -0.43939E+01    0.31973E+00   -0.22338E-07    0.11316E-04   -0.22338E-07    0.31850E-10
    65    0.22098E+04   -0.48763E+01    0.10972E-04   -0.48763E+01    0.33454E+00   -0.22171E-07    0.10972E-04   -0.22171E-07    0.30718E-10
    66    0.22400E+04   -0.53780E+01    0.10644E-04   -0.53780E+01    0.34970E+00   -0.22004E-07    0.10644E-04   -0.22004E-07    0.29638E-10
    67    0.22704E+04   -0.58965E+01    0.10330E-04   -0.58965E+01    0.36517E+00   -0.21838E-07    0.10330E-04   -0.21838E-07    0.28607E-10
    68    0.23012E+04   -0.64302E+01    0.10028E-04   -0.64302E+01    0.38099E+00   -0.21671E-07    0.10028E-04   -0.21671E-07    0.27622E-10
    69    0.23323E+04   -0.69761E+01    0.97393E-05   -0.69761E+01    0.39707E+00   -0.21504E-07    0.97393E-05   -0.21504E-07    0.26680E-10
    70    0.23637E+04   -0.75347E+01    0.94618E-05   -0.75347E+01    0.41343E+00   -0.21338E-07    0.94618E-05   -0.21338E-07    0.25780E-10
    71    0.23955E+04   -0.81072E+01    0.91954E-05   -0.81072E+01    0.43004E+00   -0.21171E-07    0.91954E-05   -0.21171E-07    0.24920E-10
    72    0.24274E+04   -0.86947E+01    0.89396E-05   -0.86947E+01    0.44689E+00   -0.21004E-07    0.89396E-05   -0.21004E-07    0.24096E-10
    73    0.24597E+04   -0.92980E+01    0.86939E-05   -0.92980E+01    0.46394E+00   -0.20838E-07    0.86939E-05   -0.20838E-07    0.23308E-10
    74    0.24921E+04   -0.99162E+01    0.84576E-05   -0.99162E+01    0.48121E+00   -0.20671E-07    0.84576E-05   -0.20671E-07    0.22553E-10
    75    0.25249E+04   -0.10548E+02    0.82303E-05   -0.10548E+02    0.49873E+00   -0.20504E-07    0.82303E-05   -0.20504E-07    0.21830E-10
    76    0.25579E+04   -0.11194E+02    0.80115E-05   -0.11194E+02    0.51651E+00   -0.20338E-07    0.80115E-05   -0.20338E-07    0.21136E-10
    77    0.25912E+04   -0.11853E+02    0.78009E-05   -0.11853E+02    0.53453E+00   -0.20171E-07    0.78009E-05   -0.20171E-07    0.20470E-10
    78    0.26250E+04   -0.12527E+02    0.75982E-05   -0.12527E+02    0.55280E+00   -0.20005E-07    0.75982E-05   -0.20005E-07    0.19832E-10
    79    0.26589E+04   -0.13212E+02    0.74030E-05   -0.13212E+02    0.57126E+00   -0.19839E-07    0.74030E-05   -0.19839E-07    0.19219E-10
    80    0.26932E+04   -0.13909E+02    0.72149E-05   -0.13909E+02    0.58990E+00   -0.19673E-07    0.72149E-05   -0.19673E-07    0.18631E-10
    81    0.27279E+04   -0.14618E+02    0.70336E-05   -0.14618E+02    0.60866E+00   -0.19507E-07    0.70336E-05   -0.19507E-07    0.18065E-10
    82    0.27628E+04   -0.15339E+02    0.68587E-05   -0.15339E+02    0.62755E+00   -0.19342E-07    0.68587E-05   -0.19342E-07    0.17522E-10
    83    0.27981E+04   -0.16071E+02    0.66900E-05   -0.16071E+02    0.64655E+00   -0.19177E-07    0.66900E-05   -0.19177E-07    0.16999E-10
    84    0.28337E+04   -0.16813E+02    0.65273E-05   -0.16813E+02    0.66566E+00   -0.19012E-07    0.65273E-05   -0.19012E-07    0.16497E-10
    85    0.28695E+04   -0.17566E+02    0.63702E-05   -0.17566E+02    0.68484E+00   -0.18847E-07    0.63702E-05   -0.18847E-07    0.16013E-10
    86    0.29056E+04   -0.18328E+02    0.62185E-05   -0.18328E+02    0.70411E+00   -0.18683E-07    0.62185E-05   -0.18683E-07    0.15548E-10
    87    0.29422E+04   -0.19099E+02    0.60720E-05   -0.19099E+02    0.72343E+00   -0.18518E-07    0.60720E-05   -0.18518E-07    0.15100E-10
    88    0.29789E+04   -0.19879E+02    0.59303E-05   -0.19879E+02    0.74282E+00   -0.18354E-07    0.59303E-05   -0.18354E-07    0.14669E-10
