# L    TT    EE    BB    TE
94 2.83128E+03 7.92440E-01 3.69652E-03 -2.21587E+01
95 2.86529E+03 8.09992E-01 3.77612E-03 -2.28992E+01
96 2.89939E+03 8.27441E-01 3.85665E-03 -2.36433E+01
97 2.93387E+03 8.44779E-01 3.93811E-03 -2.43902E+01
98 2.96862E+03 8.61978E-01 4.02040E-03 -2.51371E+01
99 3.00346E+03 8.79020E-01 4.10371E-03 -2.58877E+01
100 3.03867E+03 8.95886E-01 4.18794E-03 -2.66374E+01
101 3.07398E+03 9.12640E-01 4.27301E-03 -2.73889E+01
102 3.10984E+03 9.29088E-01 4.35910E-03 -2.81395E+01
103 3.14561E+03 9.45398E-01 4.44602E-03 -2.88901E+01
104 3.18175E+03 9.61522E-01 4.53396E-03 -2.96389E+01
105 3.21799E+03 9.77368E-01 4.62283E-03 -3.03849E+01
106 3.25440E+03 9.92937E-01 4.71272E-03 -3.11290E+01
107 3.29092E+03 1.00823E+00 4.80353E-03 -3.18685E+01
108 3.32770E+03 1.02324E+00 4.89527E-03 -3.26052E+01
109 3.36468E+03 1.03788E+00 4.98804E-03 -3.33373E+01
110 3.40175E+03 1.05215E+00 5.08182E-03 -3.40629E+01
111 3.43909E+03 1.06614E+00 5.17652E-03 -3.47829E+01
112 3.47644E+03 1.07977E+00 5.27225E-03 -3.54974E+01
113 3.51415E+03 1.09302E+00 5.36899E-03 -3.62044E+01
114 3.55187E+03 1.10590E+00 5.46667E-03 -3.69031E+01
115 3.58986E+03 1.11841E+00 5.56545E-03 -3.75935E+01
116 3.62795E+03 1.13036E+00 5.66525E-03 -3.82746E+01
117 3.66622E+03 1.14195E+00 5.76608E-03 -3.89465E+01
118 3.70468E+03 1.15316E+00 5.86801E-03 -3.96081E+01
119 3.74323E+03 1.16391E+00 5.97087E-03 -4.02586E+01
120 3.78187E+03 1.17410E+00 6.07484E-03 -4.08962E+01
121 3.82051E+03 1.18402E+00 6.17993E-03 -4.15226E+01
122 3.85925E+03 1.19328E+00 6.28603E-03 -4.21361E+01
123 3.89808E+03 1.20209E+00 6.39325E-03 -4.27357E+01
124 3.93700E+03 1.21043E+00 6.50158E-03 -4.33204E+01
125 3.97592E+03 1.21821E+00 6.61093E-03 -4.38903E+01
126 4.01484E+03 1.22553E+00 6.72148E-03 -4.44454E+01
127 4.05376E+03 1.23221E+00 6.83305E-03 -4.49847E+01
128 4.09277E+03 1.23851E+00 6.94574E-03 -4.55074E+01
129 4.13178E+03 1.24416E+00 7.05963E-03 -4.60124E+01
130 4.17080E+03 1.24916E+00 7.17463E-03 -4.64998E+01
131 4.20981E+03 1.25380E+00 7.29074E-03 -4.69697E+01
132 4.24882E+03 1.25778E+00 7.40806E-03 -4.74191E+01
133 4.28784E+03 1.26121E+00 7.52649E-03 -4.78509E+01
134 4.32676E+03 1.26408E+00 7.64612E-03 -4.82605E+01
135 4.36568E+03 1.26640E+00 7.76696E-03 -4.86507E+01
136 4.40441E+03 1.26816E+00 7.88891E-03 -4.90176E+01
137 4.44315E+03 1.26927E+00 8.01207E-03 -4.93633E+01
138 4.48188E+03 1.26983E+00 8.13643E-03 -4.96867E+01
139 4.52025E+03 1.27001E+00 8.26199E-03 -4.99869E+01
140 4.55870E+03 1.26946E+00 8.38876E-03 -5.02649E+01
141 4.59698E+03 1.26825E+00 8.51674E-03 -5.05179E+01
142 4.63525E+03 1.26658E+00 8.64592E-03 -5.07477E+01
143 4.67334E+03 1.26445E+00 8.77639E-03 -5.09525E+01
144 4.71124E+03 1.26167E+00 8.90807E-03 -5.11323E+01
145 4.74895E+03 1.25843E+00 9.04096E-03 -5.12871E+01
146 4.78667E+03 1.25445E+00 9.17505E-03 -5.14168E+01
147 4.82411E+03 1.25018E+00 9.31034E-03 -5.15187E+01
148 4.86127E+03 1.24518E+00 9.44749E-03 -5.15947E+01
149 4.89843E+03 1.23971E+00 9.58464E-03 -5.16438E+01
150 4.93521E+03 1.23387E+00 9.72457E-03 -5.16642E+01
151 4.97182E+03 1.22748E+00 9.86450E-03 -5.16568E+01
152 5.00805E+03 1.22053E+00 1.00063E-02 -5.16225E+01
153 5.04419E+03 1.21312E+00 1.01490E-02 -5.15576E+01
154 5.07996E+03 1.20524E+00 1.02936E-02 -5.14640E+01
155 5.11555E+03 1.19708E+00 1.04390E-02 -5.13427E+01
156 5.15067E+03 1.18837E+00 1.05864E-02 -5.11916E+01
157 5.18570E+03 1.17938E+00 1.07337E-02 -5.10100E+01
158 5.22026E+03 1.17002E+00 1.08838E-02 -5.07987E+01
159 5.25455E+03 1.16011E+00 1.10340E-02 -5.05578E+01
160 5.28856E+03 1.15001E+00 1.11859E-02 -5.02853E+01
161 5.32220E+03 1.13963E+00 1.13398E-02 -4.99832E+01
162 5.35556E+03 1.12879E+00 1.14936E-02 -4.96505E+01
163 5.38855E+03 1.11776E+00 1.16502E-02 -4.92864E+01
164 5.42107E+03 1.10645E+00 1.18068E-02 -4.88916E+01
165 5.45332E+03 1.09478E+00 1.19653E-02 -4.84653E+01
166 5.48520E+03 1.08310E+00 1.21247E-02 -4.80075E+01
167 5.51671E+03 1.07096E+00 1.22859E-02 -4.75201E+01
168 5.54775E+03 1.05882E+00 1.24481E-02 -4.70002E+01
169 5.57833E+03 1.04650E+00 1.26121E-02 -4.64470E+01
170 5.60854E+03 1.03408E+00 1.27771E-02 -4.58641E+01
171 5.63819E+03 1.02166E+00 1.29429E-02 -4.52479E+01
172 5.66738E+03 1.00906E+00 1.31107E-02 -4.46011E+01
173 5.69602E+03 9.96458E-01 1.32793E-02 -4.39218E+01
174 5.72419E+03 9.83948E-01 1.34489E-02 -4.32120E+01
175 5.75199E+03 9.71438E-01 1.36203E-02 -4.24697E+01
176 5.77905E+03 9.59020E-01 1.37927E-02 -4.16959E+01
177 5.80574E+03 9.46695E-01 1.39669E-02 -4.08906E+01
178 5.83187E+03 9.34648E-01 1.41411E-02 -4.00548E+01
179 5.85745E+03 9.22611E-01 1.43181E-02 -3.91865E+01
180 5.88256E+03 9.10814E-01 1.44951E-02 -3.82885E+01
181 5.90712E+03 8.99268E-01 1.46740E-02 -3.73600E+01
182 5.93112E+03 8.88027E-01 1.48537E-02 -3.63990E+01
183 5.95447E+03 8.77046E-01 1.50344E-02 -3.54084E+01
184 5.97736E+03 8.66399E-01 1.52170E-02 -3.43872E+01
185 5.99978E+03 8.56233E-01 1.54005E-02 -3.33382E+01
186 6.02119E+03 8.46429E-01 1.55849E-02 -3.22568E+01
187 6.04232E+03 8.37125E-01 1.57712E-02 -3.11457E+01
