#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.92741E+03    0.28992E-01    0.98616E-03    0.28992E-01    0.13041E-05   -0.18054E-07    0.98616E-03   -0.18054E-07    0.94417E-08
     3    0.91463E+03    0.65143E-01    0.70724E-03    0.65143E-01    0.61861E-05   -0.21633E-07    0.70724E-03   -0.21633E-07    0.57455E-08
     4    0.89686E+03    0.11096E+00    0.54012E-03    0.11096E+00    0.17863E-04   -0.23514E-07    0.54012E-03   -0.23514E-07    0.39792E-08
     5    0.88412E+03    0.16564E+00    0.42988E-03    0.16564E+00    0.40377E-04   -0.24705E-07    0.42988E-03   -0.24705E-07    0.29626E-08
     6    0.87698E+03    0.22850E+00    0.35241E-03    0.22850E+00    0.78534E-04   -0.25485E-07    0.35241E-03   -0.25485E-07    0.23104E-08
     7    0.87446E+03    0.29882E+00    0.29537E-03    0.29882E+00    0.13784E-03   -0.26024E-07    0.29537E-03   -0.26024E-07    0.18619E-08
     8    0.87505E+03    0.37574E+00    0.25187E-03    0.37574E+00    0.22440E-03   -0.26440E-07    0.25187E-03   -0.26440E-07    0.15377E-08
     9    0.87840E+03    0.45869E+00    0.21771E-03    0.45869E+00    0.34502E-03   -0.26797E-07    0.21771E-03   -0.26797E-07    0.12943E-08
    10    0.88376E+03    0.54671E+00    0.19031E-03    0.54671E+00    0.50672E-03   -0.27064E-07    0.19031E-03   -0.27064E-07    0.11062E-08
    11    0.89073E+03    0.63926E+00    0.16800E-03    0.63926E+00    0.71756E-03   -0.27251E-07    0.16800E-03   -0.27251E-07    0.95743E-09
    12    0.89957E+03    0.73611E+00    0.14948E-03    0.73611E+00    0.98557E-03   -0.27333E-07    0.14948E-03   -0.27333E-07    0.83716E-09
    13    0.90921E+03    0.83556E+00    0.13405E-03    0.83556E+00    0.13193E-02   -0.27393E-07    0.13405E-03   -0.27393E-07    0.73871E-09
    14    0.91965E+03    0.93714E+00    0.12091E-03    0.93714E+00    0.17270E-02   -0.27429E-07    0.12091E-03   -0.27429E-07    0.65671E-09
    15    0.93074E+03    0.10401E+01    0.10967E-03    0.10401E+01    0.22187E-02   -0.27471E-07    0.10967E-03   -0.27471E-07    0.58781E-09
    16    0.94286E+03    0.11447E+01    0.99924E-04    0.11447E+01    0.28041E-02   -0.27496E-07    0.99924E-04   -0.27496E-07    0.52923E-09
    17    0.95549E+03    0.12494E+01    0.91446E-04    0.12494E+01    0.34934E-02   -0.27498E-07    0.91446E-04   -0.27498E-07    0.47890E-09
    18    0.96822E+03    0.13530E+01    0.84022E-04    0.13530E+01    0.42944E-02   -0.27479E-07    0.84022E-04   -0.27479E-07    0.43542E-09
    19    0.98226E+03    0.14565E+01    0.77506E-04    0.14565E+01    0.52222E-02   -0.27465E-07    0.77506E-04   -0.27465E-07    0.39755E-09
    20    0.99639E+03    0.15581E+01    0.71697E-04    0.15581E+01    0.62817E-02   -0.27420E-07    0.71697E-04   -0.27420E-07    0.36431E-09
    21    0.10108E+04    0.16570E+01    0.66527E-04    0.16570E+01    0.74849E-02   -0.27359E-07    0.66527E-04   -0.27359E-07    0.33499E-09
    22    0.10255E+04    0.17530E+01    0.61899E-04    0.17530E+01    0.88426E-02   -0.27291E-07    0.61899E-04   -0.27291E-07    0.30902E-09
    23    0.10405E+04    0.18454E+01    0.57736E-04    0.18454E+01    0.10366E-01   -0.27218E-07    0.57736E-04   -0.27218E-07    0.28588E-09
    24    0.10557E+04    0.19325E+01    0.53996E-04    0.19325E+01    0.12063E-01   -0.27132E-07    0.53996E-04   -0.27132E-07    0.26516E-09
    25    0.10712E+04    0.20146E+01    0.50609E-04    0.20146E+01    0.13947E-01   -0.27044E-07    0.50609E-04   -0.27044E-07    0.24655E-09
    26    0.10869E+04    0.20919E+01    0.47521E-04    0.20919E+01    0.16026E-01   -0.26949E-07    0.47521E-04   -0.26949E-07    0.22977E-09
    27    0.11029E+04    0.21632E+01    0.44705E-04    0.21632E+01    0.18313E-01   -0.26849E-07    0.44705E-04   -0.26849E-07    0.21458E-09
    28    0.11189E+04    0.22273E+01    0.42136E-04    0.22273E+01    0.20816E-01   -0.26746E-07    0.42136E-04   -0.26746E-07    0.20079E-09
    29    0.11352E+04    0.22835E+01    0.39788E-04    0.22835E+01    0.23545E-01   -0.26637E-07    0.39788E-04   -0.26637E-07    0.18823E-09
    30    0.11517E+04    0.23326E+01    0.37625E-04    0.23326E+01    0.26510E-01   -0.26521E-07    0.37625E-04   -0.26521E-07    0.17676E-09
    31    0.11683E+04    0.23737E+01    0.35628E-04    0.23737E+01    0.29720E-01   -0.26400E-07    0.35628E-04   -0.26400E-07    0.16625E-09
    32    0.11851E+04    0.24059E+01    0.33787E-04    0.24059E+01    0.33186E-01   -0.26280E-07    0.33787E-04   -0.26280E-07    0.15661E-09
    33    0.12020E+04    0.24278E+01    0.32090E-04    0.24278E+01    0.36918E-01   -0.26160E-07    0.32090E-04   -0.26160E-07    0.14774E-09
    34    0.12191E+04    0.24402E+01    0.30515E-04    0.24402E+01    0.40920E-01   -0.26032E-07    0.30515E-04   -0.26032E-07    0.13956E-09
    35    0.12363E+04    0.24430E+01    0.29049E-04    0.24430E+01    0.45204E-01   -0.25900E-07    0.29049E-04   -0.25900E-07    0.13201E-09
    36    0.12536E+04    0.24351E+01    0.27685E-04    0.24351E+01    0.49779E-01   -0.25769E-07    0.27685E-04   -0.25769E-07    0.12501E-09
    37    0.12711E+04    0.24157E+01    0.26416E-04    0.24157E+01    0.54652E-01   -0.25638E-07    0.26416E-04   -0.25638E-07    0.11852E-09
    38    0.12887E+04    0.23848E+01    0.25232E-04    0.23848E+01    0.59830E-01   -0.25502E-07    0.25232E-04   -0.25502E-07    0.11250E-09
    39    0.13065E+04    0.23421E+01    0.24124E-04    0.23421E+01    0.65318E-01   -0.25363E-07    0.24124E-04   -0.25363E-07    0.10689E-09
    40    0.13243E+04    0.22866E+01    0.23089E-04    0.22866E+01    0.71122E-01   -0.25223E-07    0.23089E-04   -0.25223E-07    0.10166E-09
    41    0.13424E+04    0.22178E+01    0.22120E-04    0.22178E+01    0.77253E-01   -0.25084E-07    0.22120E-04   -0.25084E-07    0.96780E-10
    42    0.13606E+04    0.21366E+01    0.21209E-04    0.21366E+01    0.83716E-01   -0.24944E-07    0.21209E-04   -0.24944E-07    0.92219E-10
    43    0.13789E+04    0.20433E+01    0.20350E-04    0.20433E+01    0.90516E-01   -0.24800E-07    0.20350E-04   -0.24800E-07    0.87949E-10
    44    0.13973E+04    0.19363E+01    0.19542E-04    0.19363E+01    0.97649E-01   -0.24654E-07    0.19542E-04   -0.24654E-07    0.83947E-10
    45    0.14159E+04    0.18143E+01    0.18782E-04    0.18143E+01    0.10513E+00   -0.24509E-07    0.18782E-04   -0.24509E-07    0.80191E-10
    46    0.14346E+04    0.16781E+01    0.18065E-04    0.16781E+01    0.11296E+00   -0.24364E-07    0.18065E-04   -0.24364E-07    0.76662E-10
    47    0.14535E+04    0.15285E+01    0.17388E-04    0.15285E+01    0.12114E+00   -0.24215E-07    0.17388E-04   -0.24215E-07    0.73344E-10
    48    0.14725E+04    0.13645E+01    0.16746E-04    0.13645E+01    0.12968E+00   -0.24066E-07    0.16746E-04   -0.24066E-07    0.70218E-10
    49    0.14917E+04    0.11850E+01    0.16140E-04    0.11850E+01    0.13857E+00   -0.23918E-07    0.16140E-04   -0.23918E-07    0.67272E-10
    50    0.15111E+04    0.99055E+00    0.15567E-04    0.99055E+00    0.14782E+00   -0.23769E-07    0.15567E-04   -0.23769E-07    0.64492E-10
    51    0.15305E+04    0.78168E+00    0.15022E-04    0.78168E+00    0.15744E+00   -0.23618E-07    0.15022E-04   -0.23618E-07    0.61866E-10
    52    0.15503E+04    0.55765E+00    0.14505E-04    0.55765E+00    0.16740E+00   -0.23466E-07    0.14505E-04   -0.23466E-07    0.59384E-10
    53    0.15703E+04    0.31759E+00    0.14015E-04    0.31759E+00    0.17774E+00   -0.23316E-07    0.14015E-04   -0.23316E-07    0.57035E-10
    54    0.15902E+04    0.62129E-01    0.13549E-04    0.62129E-01    0.18842E+00   -0.23165E-07    0.13549E-04   -0.23165E-07    0.54811E-10
    55    0.16104E+04   -0.20812E+00    0.13105E-04   -0.20812E+00    0.19946E+00   -0.23011E-07    0.13105E-04   -0.23011E-07    0.52702E-10
    56    0.16308E+04   -0.49374E+00    0.12682E-04   -0.49374E+00    0.21086E+00   -0.22857E-07    0.12682E-04   -0.22857E-07    0.50701E-10
    57    0.16515E+04   -0.79544E+00    0.12279E-04   -0.79544E+00    0.22262E+00   -0.22705E-07    0.12279E-04   -0.22705E-07    0.48802E-10
    58    0.16723E+04   -0.11131E+01    0.11895E-04   -0.11131E+01    0.23473E+00   -0.22553E-07    0.11895E-04   -0.22553E-07    0.46999E-10
    59    0.16933E+04   -0.14460E+01    0.11529E-04   -0.14460E+01    0.24719E+00   -0.22398E-07    0.11529E-04   -0.22398E-07    0.45283E-10
    60    0.17144E+04   -0.17930E+01    0.11178E-04   -0.17930E+01    0.25997E+00   -0.22243E-07    0.11178E-04   -0.22243E-07    0.43651E-10
    61    0.17362E+04   -0.21530E+01    0.10843E-04   -0.21530E+01    0.27307E+00   -0.22087E-07    0.10843E-04   -0.22087E-07    0.42096E-10
    62    0.17578E+04   -0.25275E+01    0.10523E-04   -0.25275E+01    0.28649E+00   -0.21932E-07    0.10523E-04   -0.21932E-07    0.40614E-10
    63    0.17796E+04   -0.29180E+01    0.10216E-04   -0.29180E+01    0.30023E+00   -0.21777E-07    0.10216E-04   -0.21777E-07    0.39202E-10
    64    0.18018E+04   -0.33262E+01    0.99233E-05   -0.33262E+01    0.31432E+00   -0.21622E-07    0.99233E-05   -0.21622E-07    0.37856E-10
    65    0.18240E+04   -0.37535E+01    0.96427E-05   -0.37535E+01    0.32878E+00   -0.21468E-07    0.96427E-05   -0.21468E-07    0.36571E-10
    66    0.18464E+04   -0.41985E+01    0.93737E-05   -0.41985E+01    0.34355E+00   -0.21313E-07    0.93737E-05   -0.21313E-07    0.35345E-10
    67    0.18690E+04   -0.46589E+01    0.91157E-05   -0.46589E+01    0.35863E+00   -0.21158E-07    0.91157E-05   -0.21158E-07    0.34173E-10
    68    0.18920E+04   -0.51330E+01    0.88677E-05   -0.51330E+01    0.37403E+00   -0.21003E-07    0.88677E-05   -0.21003E-07    0.33051E-10
    69    0.19152E+04   -0.56181E+01    0.86295E-05   -0.56181E+01    0.38967E+00   -0.20847E-07    0.86295E-05   -0.20847E-07    0.31978E-10
    70    0.19387E+04   -0.61144E+01    0.84004E-05   -0.61144E+01    0.40557E+00   -0.20692E-07    0.84004E-05   -0.20692E-07    0.30951E-10
    71    0.19624E+04   -0.66233E+01    0.81802E-05   -0.66233E+01    0.42170E+00   -0.20536E-07    0.81802E-05   -0.20536E-07    0.29967E-10
    72    0.19864E+04   -0.71459E+01    0.79683E-05   -0.71459E+01    0.43804E+00   -0.20380E-07    0.79683E-05   -0.20380E-07    0.29025E-10
    73    0.20106E+04   -0.76829E+01    0.77644E-05   -0.76829E+01    0.45456E+00   -0.20224E-07    0.77644E-05   -0.20224E-07    0.28122E-10
    74    0.20349E+04   -0.82337E+01    0.75680E-05   -0.82337E+01    0.47129E+00   -0.20068E-07    0.75680E-05   -0.20068E-07    0.27256E-10
    75    0.20596E+04   -0.87969E+01    0.73788E-05   -0.87969E+01    0.48823E+00   -0.19912E-07    0.73788E-05   -0.19912E-07    0.26424E-10
    76    0.20845E+04   -0.93726E+01    0.71964E-05   -0.93726E+01    0.50541E+00   -0.19755E-07    0.71964E-05   -0.19755E-07    0.25626E-10
    77    0.21096E+04   -0.99607E+01    0.70205E-05   -0.99607E+01    0.52280E+00   -0.19599E-07    0.70205E-05   -0.19599E-07    0.24859E-10
    78    0.21352E+04   -0.10562E+02    0.68509E-05   -0.10562E+02    0.54043E+00   -0.19442E-07    0.68509E-05   -0.19442E-07    0.24123E-10
    79    0.21609E+04   -0.11173E+02    0.66873E-05   -0.11173E+02    0.55821E+00   -0.19286E-07    0.66873E-05   -0.19286E-07    0.23415E-10
    80    0.21869E+04   -0.11795E+02    0.65293E-05   -0.11795E+02    0.57615E+00   -0.19129E-07    0.65293E-05   -0.19129E-07    0.22735E-10
    81    0.22132E+04   -0.12428E+02    0.63768E-05   -0.12428E+02    0.59418E+00   -0.18973E-07    0.63768E-05   -0.18973E-07    0.22081E-10
    82    0.22397E+04   -0.13071E+02    0.62294E-05   -0.13071E+02    0.61231E+00   -0.18817E-07    0.62294E-05   -0.18817E-07    0.21450E-10
    83    0.22666E+04   -0.13724E+02    0.60870E-05   -0.13724E+02    0.63053E+00   -0.18661E-07    0.60870E-05   -0.18661E-07    0.20844E-10
    84    0.22937E+04   -0.14386E+02    0.59493E-05   -0.14386E+02    0.64883E+00   -0.18505E-07    0.59493E-05   -0.18505E-07    0.20259E-10
    85    0.23210E+04   -0.15058E+02    0.58161E-05   -0.15058E+02    0.66718E+00   -0.18349E-07    0.58161E-05   -0.18349E-07    0.19697E-10
    86    0.23485E+04   -0.15738E+02    0.56873E-05   -0.15738E+02    0.68558E+00   -0.18194E-07    0.56873E-05   -0.18194E-07    0.19155E-10
    87    0.23766E+04   -0.16426E+02    0.55626E-05   -0.16426E+02    0.70401E+00   -0.18038E-07    0.55626E-05   -0.18038E-07    0.18632E-10
    88    0.24046E+04   -0.17121E+02    0.54419E-05   -0.17121E+02    0.72248E+00   -0.17883E-07    0.54419E-05   -0.17883E-07    0.18128E-10
    89    0.24330E+04   -0.17824E+02    0.53250E-05   -0.17824E+02    0.74095E+00   -0.17727E-07    0.53250E-05   -0.17727E-07    0.17642E-10
    90    0.24618E+04   -0.18533E+02    0.52116E-05   -0.18533E+02    0.75939E+00   -0.17572E-07    0.52116E-05   -0.17572E-07    0.17173E-10
    91    0.24907E+04   -0.19247E+02    0.51017E-05   -0.19247E+02    0.77780E+00   -0.17417E-07    0.51017E-05   -0.17417E-07    0.16720E-10
    92    0.25199E+04   -0.19966E+02    0.49951E-05   -0.19966E+02    0.79614E+00   -0.17262E-07    0.49951E-05   -0.17262E-07    0.16283E-10
    93    0.25494E+04   -0.20691E+02    0.48917E-05   -0.20691E+02    0.81442E+00   -0.17107E-07    0.48917E-05   -0.17107E-07    0.15861E-10
    94    0.25791E+04   -0.21418E+02    0.47913E-05   -0.21418E+02    0.83258E+00   -0.16952E-07    0.47913E-05   -0.16952E-07    0.15453E-10
    95    0.26091E+04   -0.22150E+02    0.46939E-05   -0.22150E+02    0.85063E+00   -0.16798E-07    0.46939E-05   -0.16798E-07    0.15058E-10
    96    0.26391E+04   -0.22885E+02    0.45992E-05   -0.22885E+02    0.86855E+00   -0.16643E-07    0.45992E-05   -0.16643E-07    0.14677E-10
    97    0.26696E+04   -0.23623E+02    0.45072E-05   -0.23623E+02    0.88632E+00   -0.16489E-07    0.45072E-05   -0.16489E-07    0.14307E-10
    98    0.27003E+04   -0.24360E+02    0.44178E-05   -0.24360E+02    0.90392E+00   -0.16335E-07    0.44178E-05   -0.16335E-07    0.13950E-10
    99    0.27311E+04   -0.25101E+02    0.43308E-05   -0.25101E+02    0.92133E+00   -0.16181E-07    0.43308E-05   -0.16181E-07    0.13604E-10
   100    0.27623E+04   -0.25841E+02    0.42462E-05   -0.25841E+02    0.93853E+00   -0.16027E-07    0.42462E-05   -0.16027E-07    0.13269E-10
   101    0.27936E+04   -0.26581E+02    0.41639E-05   -0.26581E+02    0.95558E+00   -0.15873E-07    0.41639E-05   -0.15873E-07    0.12944E-10
   102    0.28254E+04   -0.27321E+02    0.40840E-05   -0.27321E+02    0.97233E+00   -0.15720E-07    0.40840E-05   -0.15720E-07    0.12630E-10
   103    0.28572E+04   -0.28061E+02    0.40061E-05   -0.28061E+02    0.98885E+00   -0.15567E-07    0.40061E-05   -0.15567E-07    0.12326E-10
   104    0.28893E+04   -0.28797E+02    0.39305E-05   -0.28797E+02    0.10051E+01   -0.15414E-07    0.39305E-05   -0.15414E-07    0.12032E-10
   105    0.29215E+04   -0.29531E+02    0.38568E-05   -0.29531E+02    0.10211E+01   -0.15261E-07    0.38568E-05   -0.15261E-07    0.11747E-10
   106    0.29540E+04   -0.30263E+02    0.37852E-05   -0.30263E+02    0.10368E+01   -0.15108E-07    0.37852E-05   -0.15108E-07    0.11471E-10
   107    0.29864E+04   -0.30990E+02    0.37155E-05   -0.30990E+02    0.10522E+01   -0.14956E-07    0.37155E-05   -0.14956E-07    0.11204E-10
