#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.515097E+07   0.515097E+07   0.682534E+07   0.682509E+07   0.516198E+07   0.515106E+07   0.515097E+07   0.515714E+07  -0.598046E+00   0.509299E+07   0.509299E+07   0.194084E+00
   0.798228E-04   0.515091E+07   0.515091E+07   0.681470E+07   0.681438E+07   0.516132E+07   0.515100E+07   0.515091E+07   0.515706E+07  -0.598037E+00   0.509293E+07   0.509293E+07   0.216872E+00
   0.892035E-04   0.515083E+07   0.515083E+07   0.680143E+07   0.680103E+07   0.516048E+07   0.515091E+07   0.515083E+07   0.515697E+07  -0.598025E+00   0.509285E+07   0.509285E+07   0.242329E+00
   0.996866E-04   0.515074E+07   0.515074E+07   0.678488E+07   0.678440E+07   0.515944E+07   0.515081E+07   0.515074E+07   0.515686E+07  -0.598011E+00   0.509275E+07   0.509275E+07   0.270766E+00
   0.111402E-03   0.515062E+07   0.515062E+07   0.676428E+07   0.676367E+07   0.515815E+07   0.515068E+07   0.515062E+07   0.515671E+07  -0.597994E+00   0.509263E+07   0.509263E+07   0.302530E+00
   0.124493E-03   0.515048E+07   0.515047E+07   0.673863E+07   0.673787E+07   0.515653E+07   0.515053E+07   0.515048E+07   0.515653E+07  -0.597972E+00   0.509248E+07   0.509248E+07   0.338004E+00
   0.139124E-03   0.515029E+07   0.515029E+07   0.670673E+07   0.670579E+07   0.515451E+07   0.515033E+07   0.515029E+07   0.515630E+07  -0.597945E+00   0.509229E+07   0.509229E+07   0.377616E+00
   0.155474E-03   0.515007E+07   0.515006E+07   0.666708E+07   0.666592E+07   0.515199E+07   0.515008E+07   0.515007E+07   0.515602E+07  -0.597911E+00   0.509206E+07   0.509206E+07   0.421839E+00
   0.173745E-03   0.514978E+07   0.514978E+07   0.661788E+07   0.661644E+07   0.514885E+07   0.514977E+07   0.514978E+07   0.515567E+07  -0.597869E+00   0.509177E+07   0.509177E+07   0.471199E+00
   0.194163E-03   0.514943E+07   0.514942E+07   0.655691E+07   0.655514E+07   0.514494E+07   0.514939E+07   0.514943E+07   0.515523E+07  -0.597816E+00   0.509140E+07   0.509140E+07   0.526277E+00
   0.216981E-03   0.514899E+07   0.514898E+07   0.648151E+07   0.647933E+07   0.514006E+07   0.514891E+07   0.514899E+07   0.515469E+07  -0.597750E+00   0.509095E+07   0.509095E+07   0.587711E+00
   0.242480E-03   0.514844E+07   0.514843E+07   0.638849E+07   0.638582E+07   0.513399E+07   0.514832E+07   0.514844E+07   0.515401E+07  -0.597668E+00   0.509038E+07   0.509038E+07   0.656204E+00
   0.270976E-03   0.514775E+07   0.514774E+07   0.627408E+07   0.627082E+07   0.512643E+07   0.514757E+07   0.514775E+07   0.515316E+07  -0.597567E+00   0.508968E+07   0.508968E+07   0.732523E+00
   0.302821E-03   0.514690E+07   0.514689E+07   0.613392E+07   0.612996E+07   0.511704E+07   0.514665E+07   0.514690E+07   0.515211E+07  -0.597440E+00   0.508880E+07   0.508880E+07   0.817504E+00
