#    L    TT             EE             TE             PP             TP          
     2    0.13519E+04    0.12550E-05    0.27534E-01    0.94125E+06    0.39629E+05
     3    0.12478E+04    0.58980E-05    0.63763E-01    0.14474E+07    0.45801E+05
     4    0.11676E+04    0.16920E-04    0.10941E+00    0.18945E+07    0.48281E+05
     5    0.11121E+04    0.38053E-04    0.16343E+00    0.22860E+07    0.48924E+05
     6    0.10752E+04    0.73703E-04    0.22504E+00    0.26283E+07    0.48605E+05
     7    0.10516E+04    0.12890E-03    0.29346E+00    0.29286E+07    0.47765E+05
     8    0.10371E+04    0.20920E-03    0.36778E+00    0.31932E+07    0.46641E+05
     9    0.10296E+04    0.32078E-03    0.44731E+00    0.34271E+07    0.45365E+05
    10    0.10275E+04    0.46998E-03    0.53120E+00    0.36341E+07    0.44009E+05
    11    0.10293E+04    0.66410E-03    0.61870E+00    0.38183E+07    0.42648E+05
    12    0.10350E+04    0.91042E-03    0.70965E+00    0.39810E+07    0.41282E+05
    13    0.10432E+04    0.12165E-02    0.80229E+00    0.41265E+07    0.39971E+05
    14    0.10535E+04    0.15900E-02    0.89621E+00    0.42551E+07    0.38684E+05
    15    0.10656E+04    0.20398E-02    0.99053E+00    0.43700E+07    0.37447E+05
    16    0.10796E+04    0.25748E-02    0.10856E+01    0.44721E+07    0.36247E+05
    17    0.10949E+04    0.32039E-02    0.11796E+01    0.45619E+07    0.35097E+05
    18    0.11110E+04    0.39343E-02    0.12714E+01    0.46419E+07    0.33998E+05
    19    0.11294E+04    0.47796E-02    0.13622E+01    0.47124E+07    0.32955E+05
    20    0.11483E+04    0.57444E-02    0.14502E+01    0.47740E+07    0.31945E+05
    21    0.11680E+04    0.68394E-02    0.15345E+01    0.48278E+07    0.30982E+05
    22    0.11885E+04    0.80744E-02    0.16147E+01    0.48747E+07    0.30062E+05
    23    0.12097E+04    0.94592E-02    0.16899E+01    0.49152E+07    0.29184E+05
    24    0.12317E+04    0.11002E-01    0.17593E+01    0.49494E+07    0.28345E+05
    25    0.12544E+04    0.12714E-01    0.18229E+01    0.49784E+07    0.27544E+05
    26    0.12776E+04    0.14603E-01    0.18803E+01    0.50024E+07    0.26774E+05
    27    0.13014E+04    0.16680E-01    0.19304E+01    0.50218E+07    0.26037E+05
    28    0.13256E+04    0.18954E-01    0.19722E+01    0.50370E+07    0.25333E+05
    29    0.13506E+04    0.21433E-01    0.20054E+01    0.50482E+07    0.24662E+05
    30    0.13759E+04    0.24126E-01    0.20307E+01    0.50560E+07    0.24013E+05
    31    0.14016E+04    0.27044E-01    0.20466E+01    0.50601E+07    0.23390E+05
    32    0.14278E+04    0.30195E-01    0.20523E+01    0.50615E+07    0.22795E+05
    33    0.14545E+04    0.33586E-01    0.20464E+01    0.50601E+07    0.22228E+05
    34    0.14815E+04    0.37226E-01    0.20311E+01    0.50560E+07    0.21678E+05
    35    0.15088E+04    0.41123E-01    0.20048E+01    0.50494E+07    0.21149E+05
    36    0.15366E+04    0.45287E-01    0.19661E+01    0.50407E+07    0.20642E+05
    37    0.15648E+04    0.49723E-01    0.19144E+01    0.50300E+07    0.20157E+05
    38    0.15933E+04    0.54441E-01    0.18509E+01    0.50173E+07    0.19688E+05
    39    0.16221E+04    0.59443E-01    0.17751E+01    0.50029E+07    0.19235E+05
    40    0.16512E+04    0.64736E-01    0.16855E+01    0.49869E+07    0.18799E+05
    41    0.16808E+04    0.70331E-01    0.15812E+01    0.49694E+07    0.18382E+05
    42    0.17106E+04    0.76233E-01    0.14631E+01    0.49506E+07    0.17979E+05
    43    0.17407E+04    0.82448E-01    0.13321E+01    0.49305E+07    0.17589E+05
    44    0.17710E+04    0.88973E-01    0.11862E+01    0.49092E+07    0.17211E+05
    45    0.18018E+04    0.95818E-01    0.10240E+01    0.48867E+07    0.16850E+05
    46    0.18330E+04    0.10300E+00    0.84675E+00    0.48633E+07    0.16501E+05
    47    0.18643E+04    0.11050E+00    0.65585E+00    0.48391E+07    0.16161E+05
    48    0.18957E+04    0.11833E+00    0.44912E+00    0.48140E+07    0.15833E+05
    49    0.19277E+04    0.12650E+00    0.22480E+00    0.47881E+07    0.15518E+05
    50    0.19601E+04    0.13501E+00   -0.15455E-01    0.47615E+07    0.15213E+05
    51    0.19924E+04    0.14387E+00   -0.26984E+00    0.47343E+07    0.14916E+05
    52    0.20252E+04    0.15305E+00   -0.54050E+00    0.47065E+07    0.14629E+05
    53    0.20585E+04    0.16259E+00   -0.82966E+00    0.46782E+07    0.14353E+05
    54    0.20920E+04    0.17246E+00   -0.11355E+01    0.46494E+07    0.14086E+05
    55    0.21255E+04    0.18267E+00   -0.14560E+01    0.46201E+07    0.13824E+05
    56    0.21594E+04    0.19323E+00   -0.17930E+01    0.45905E+07    0.13571E+05
    57    0.21938E+04    0.20414E+00   -0.21485E+01    0.45605E+07    0.13328E+05
    58    0.22285E+04    0.21538E+00   -0.25212E+01    0.45303E+07    0.13092E+05
    59    0.22633E+04    0.22698E+00   -0.29089E+01    0.44998E+07    0.12861E+05
    60    0.22982E+04    0.23888E+00   -0.33114E+01    0.44690E+07    0.12636E+05
    61    0.23339E+04    0.25110E+00   -0.37283E+01    0.44380E+07    0.12418E+05
    62    0.23695E+04    0.26364E+00   -0.41613E+01    0.44069E+07    0.12207E+05
    63    0.24055E+04    0.27649E+00   -0.46119E+01    0.43756E+07    0.12002E+05
    64    0.24419E+04    0.28970E+00   -0.50817E+01    0.43441E+07    0.11804E+05
    65    0.24785E+04    0.30328E+00   -0.55721E+01    0.43126E+07    0.11611E+05
    66    0.25155E+04    0.31718E+00   -0.60815E+01    0.42810E+07    0.11424E+05
    67    0.25526E+04    0.33139E+00   -0.66076E+01    0.42494E+07    0.11242E+05
    68    0.25902E+04    0.34593E+00   -0.71488E+01    0.42177E+07    0.11065E+05
    69    0.26281E+04    0.36073E+00   -0.77022E+01    0.41861E+07    0.10892E+05
    70    0.26663E+04    0.37581E+00   -0.82683E+01    0.41544E+07    0.10724E+05
    71    0.27048E+04    0.39113E+00   -0.88482E+01    0.41227E+07    0.10560E+05
    72    0.27436E+04    0.40667E+00   -0.94433E+01    0.40911E+07    0.10401E+05
    73    0.27827E+04    0.42244E+00   -0.10054E+02    0.40596E+07    0.10245E+05
