#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.13368E+04    0.35761E-01    0.16318E-02    0.35761E-01    0.16350E-05   -0.22814E-07    0.16318E-02   -0.22814E-07    0.10633E-07
     3    0.12845E+04    0.81345E-01    0.11400E-02    0.81345E-01    0.77324E-05   -0.27415E-07    0.11400E-02   -0.27415E-07    0.64561E-08
     4    0.12364E+04    0.13900E+00    0.85585E-03    0.13900E+00    0.22280E-04   -0.29826E-07    0.85585E-03   -0.29826E-07    0.44594E-08
     5    0.12024E+04    0.20762E+00    0.67229E-03    0.20762E+00    0.50275E-04   -0.31343E-07    0.67229E-03   -0.31343E-07    0.33104E-08
     6    0.11808E+04    0.28627E+00    0.54512E-03    0.28627E+00    0.97644E-04   -0.32330E-07    0.54512E-03   -0.32330E-07    0.25737E-08
     7    0.11686E+04    0.37403E+00    0.45254E-03    0.37403E+00    0.17117E-03   -0.33009E-07    0.45254E-03   -0.33009E-07    0.20676E-08
     8    0.11629E+04    0.46978E+00    0.38258E-03    0.46978E+00    0.27835E-03   -0.33527E-07    0.38258E-03   -0.33527E-07    0.17021E-08
     9    0.11624E+04    0.57275E+00    0.32815E-03    0.57275E+00    0.42755E-03   -0.33963E-07    0.32815E-03   -0.33963E-07    0.14283E-08
    10    0.11659E+04    0.68175E+00    0.28479E-03    0.68175E+00    0.62738E-03   -0.34284E-07    0.28479E-03   -0.34284E-07    0.12168E-08
    11    0.11724E+04    0.79602E+00    0.24973E-03    0.79602E+00    0.88773E-03   -0.34506E-07    0.24973E-03   -0.34506E-07    0.10499E-08
    12    0.11820E+04    0.91528E+00    0.22080E-03    0.91528E+00    0.12184E-02   -0.34601E-07    0.22080E-03   -0.34601E-07    0.91517E-09
    13    0.11934E+04    0.10373E+01    0.19683E-03    0.10373E+01    0.16299E-02   -0.34660E-07    0.19683E-03   -0.34660E-07    0.80506E-09
    14    0.12064E+04    0.11616E+01    0.17653E-03    0.11616E+01    0.21323E-02   -0.34685E-07    0.17653E-03   -0.34685E-07    0.71352E-09
    15    0.12206E+04    0.12871E+01    0.15927E-03    0.12871E+01    0.27379E-02   -0.34716E-07    0.15927E-03   -0.34716E-07    0.63674E-09
    16    0.12366E+04    0.14142E+01    0.14439E-03    0.14142E+01    0.34586E-02   -0.34731E-07    0.14439E-03   -0.34731E-07    0.57158E-09
    17    0.12535E+04    0.15407E+01    0.13150E-03    0.15407E+01    0.43067E-02   -0.34720E-07    0.13150E-03   -0.34720E-07    0.51568E-09
    18    0.12708E+04    0.16653E+01    0.12027E-03    0.16653E+01    0.52918E-02   -0.34682E-07    0.12027E-03   -0.34682E-07    0.46750E-09
    19    0.12902E+04    0.17892E+01    0.11046E-03    0.17892E+01    0.64324E-02   -0.34642E-07    0.11046E-03   -0.34642E-07    0.42560E-09
    20    0.13099E+04    0.19101E+01    0.10175E-03    0.19101E+01    0.77346E-02   -0.34562E-07    0.10175E-03   -0.34562E-07    0.38890E-09
    21    0.13303E+04    0.20270E+01    0.94038E-04    0.20270E+01    0.92129E-02   -0.34466E-07    0.94038E-04   -0.34466E-07    0.35660E-09
    22    0.13512E+04    0.21394E+01    0.87165E-04    0.21394E+01    0.10881E-01   -0.34364E-07    0.87165E-04   -0.34364E-07    0.32803E-09
    23    0.13727E+04    0.22467E+01    0.81011E-04    0.22467E+01    0.12751E-01   -0.34258E-07    0.81011E-04   -0.34258E-07    0.30263E-09
    24    0.13947E+04    0.23467E+01    0.75495E-04    0.23467E+01    0.14835E-01   -0.34133E-07    0.75495E-04   -0.34133E-07    0.27993E-09
    25    0.14172E+04    0.24398E+01    0.70520E-04    0.24398E+01    0.17147E-01   -0.34003E-07    0.70520E-04   -0.34003E-07    0.25958E-09
    26    0.14402E+04    0.25260E+01    0.66006E-04    0.25260E+01    0.19699E-01   -0.33864E-07    0.66006E-04   -0.33864E-07    0.24126E-09
    27    0.14637E+04    0.26040E+01    0.61906E-04    0.26040E+01    0.22505E-01   -0.33721E-07    0.61906E-04   -0.33721E-07    0.22471E-09
    28    0.14875E+04    0.26721E+01    0.58179E-04    0.26721E+01    0.25576E-01   -0.33574E-07    0.58179E-04   -0.33574E-07    0.20972E-09
    29    0.15118E+04    0.27295E+01    0.54784E-04    0.27295E+01    0.28924E-01   -0.33418E-07    0.54784E-04   -0.33418E-07    0.19609E-09
    30    0.15365E+04    0.27775E+01    0.51666E-04    0.27775E+01    0.32560E-01   -0.33256E-07    0.51666E-04   -0.33256E-07    0.18367E-09
    31    0.15614E+04    0.28145E+01    0.48798E-04    0.28145E+01    0.36498E-01   -0.33090E-07    0.48798E-04   -0.33090E-07    0.17231E-09
    32    0.15867E+04    0.28395E+01    0.46164E-04    0.28395E+01    0.40750E-01   -0.32924E-07    0.46164E-04   -0.32924E-07    0.16191E-09
    33    0.16124E+04    0.28505E+01    0.43744E-04    0.28505E+01    0.45326E-01   -0.32757E-07    0.43744E-04   -0.32757E-07    0.15236E-09
    34    0.16384E+04    0.28493E+01    0.41503E-04    0.28493E+01    0.50235E-01   -0.32579E-07    0.41503E-04   -0.32579E-07    0.14356E-09
    35    0.16647E+04    0.28351E+01    0.39424E-04    0.28351E+01    0.55489E-01   -0.32398E-07    0.39424E-04   -0.32398E-07    0.13545E-09
    36    0.16912E+04    0.28065E+01    0.37496E-04    0.28065E+01    0.61100E-01   -0.32219E-07    0.37496E-04   -0.32219E-07    0.12796E-09
    37    0.17182E+04    0.27622E+01    0.35710E-04    0.27622E+01    0.67076E-01   -0.32040E-07    0.35710E-04   -0.32040E-07    0.12103E-09
    38    0.17454E+04    0.27032E+01    0.34044E-04    0.27032E+01    0.73427E-01   -0.31855E-07    0.34044E-04   -0.31855E-07    0.11460E-09
    39    0.17729E+04    0.26287E+01    0.32491E-04    0.26287E+01    0.80158E-01   -0.31666E-07    0.32491E-04   -0.31666E-07    0.10863E-09
    40    0.18006E+04    0.25373E+01    0.31043E-04    0.25373E+01    0.87278E-01   -0.31476E-07    0.31043E-04   -0.31476E-07    0.10307E-09
    41    0.18288E+04    0.24281E+01    0.29691E-04    0.24281E+01    0.94800E-01   -0.31288E-07    0.29691E-04   -0.31288E-07    0.97895E-10
    42    0.18572E+04    0.23024E+01    0.28424E-04    0.23024E+01    0.10273E+00   -0.31099E-07    0.28424E-04   -0.31099E-07    0.93065E-10
    43    0.18858E+04    0.21610E+01    0.27232E-04    0.21610E+01    0.11107E+00   -0.30906E-07    0.27232E-04   -0.30906E-07    0.88552E-10
    44    0.19145E+04    0.20014E+01    0.26112E-04    0.20014E+01    0.11983E+00   -0.30711E-07    0.26112E-04   -0.30711E-07    0.84330E-10
    45    0.19438E+04    0.18219E+01    0.25063E-04    0.18219E+01    0.12901E+00   -0.30517E-07    0.25063E-04   -0.30517E-07    0.80374E-10
    46    0.19733E+04    0.16237E+01    0.24077E-04    0.16237E+01    0.13862E+00   -0.30322E-07    0.24077E-04   -0.30322E-07    0.76664E-10
    47    0.20030E+04    0.14086E+01    0.23144E-04    0.14086E+01    0.14867E+00   -0.30124E-07    0.23144E-04   -0.30124E-07    0.73181E-10
    48    0.20329E+04    0.11743E+01    0.22263E-04    0.11743E+01    0.15915E+00   -0.29925E-07    0.22263E-04   -0.29925E-07    0.69908E-10
    49    0.20632E+04    0.91909E+00    0.21434E-04    0.91909E+00    0.17006E+00   -0.29729E-07    0.21434E-04   -0.29729E-07    0.66827E-10
    50    0.20940E+04    0.64426E+00    0.20650E-04    0.64426E+00    0.18143E+00   -0.29532E-07    0.20650E-04   -0.29532E-07    0.63925E-10
    51    0.21247E+04    0.35133E+00    0.19907E-04    0.35133E+00    0.19325E+00   -0.29331E-07    0.19907E-04   -0.29331E-07    0.61190E-10
    52    0.21559E+04    0.38533E-01    0.19202E-04    0.38533E-01    0.20549E+00   -0.29131E-07    0.19202E-04   -0.29131E-07    0.58608E-10
    53    0.21875E+04   -0.29601E+00    0.18536E-04   -0.29601E+00    0.21819E+00   -0.28932E-07    0.18536E-04   -0.28932E-07    0.56170E-10
    54    0.22193E+04   -0.65073E+00    0.17904E-04   -0.65073E+00    0.23132E+00   -0.28733E-07    0.17904E-04   -0.28733E-07    0.53864E-10
    55    0.22512E+04   -0.10241E+01    0.17302E-04   -0.10241E+01    0.24490E+00   -0.28531E-07    0.17302E-04   -0.28531E-07    0.51682E-10
    56    0.22836E+04   -0.14176E+01    0.16730E-04   -0.14176E+01    0.25893E+00   -0.28329E-07    0.16730E-04   -0.28329E-07    0.49616E-10
    57    0.23164E+04   -0.18331E+01    0.16187E-04   -0.18331E+01    0.27339E+00   -0.28130E-07    0.16187E-04   -0.28130E-07    0.47658E-10
    58    0.23495E+04   -0.22692E+01    0.15670E-04   -0.22692E+01    0.28829E+00   -0.27930E-07    0.15670E-04   -0.27930E-07    0.45802E-10
    59    0.23827E+04   -0.27243E+01    0.15176E-04   -0.27243E+01    0.30363E+00   -0.27728E-07    0.15176E-04   -0.27728E-07    0.44039E-10
    60    0.24162E+04   -0.31976E+01    0.14704E-04   -0.31976E+01    0.31937E+00   -0.27525E-07    0.14704E-04   -0.27525E-07    0.42365E-10
