#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.90649E+03    0.24419E-01    0.10994E-02    0.24419E-01    0.11050E-05   -0.15548E-07    0.10994E-02   -0.15548E-07    0.74617E-08
     3    0.87378E+03    0.55469E-01    0.77149E-03    0.55469E-01    0.52258E-05   -0.18676E-07    0.77149E-03   -0.18676E-07    0.45392E-08
     4    0.84288E+03    0.94743E-01    0.58153E-03    0.94743E-01    0.15058E-04   -0.20313E-07    0.58153E-03   -0.20313E-07    0.31412E-08
     5    0.82097E+03    0.14149E+00    0.45860E-03    0.14149E+00    0.33981E-04   -0.21344E-07    0.45860E-03   -0.21344E-07    0.23361E-08
     6    0.80708E+03    0.19506E+00    0.37327E-03    0.19506E+00    0.66003E-04   -0.22015E-07    0.37327E-03   -0.22015E-07    0.18196E-08
     7    0.79933E+03    0.25486E+00    0.31102E-03    0.25486E+00    0.11571E-03   -0.22476E-07    0.31102E-03   -0.22476E-07    0.14644E-08
     8    0.79581E+03    0.32011E+00    0.26388E-03    0.32011E+00    0.18818E-03   -0.22828E-07    0.26388E-03   -0.22828E-07    0.12077E-08
     9    0.79573E+03    0.39029E+00    0.22711E-03    0.39029E+00    0.28908E-03   -0.23123E-07    0.22711E-03   -0.23123E-07    0.10152E-08
    10    0.79828E+03    0.46461E+00    0.19776E-03    0.46461E+00    0.42422E-03   -0.23342E-07    0.19776E-03   -0.23342E-07    0.86642E-09
    11    0.80280E+03    0.54255E+00    0.17396E-03    0.54255E+00    0.60031E-03   -0.23492E-07    0.17396E-03   -0.23492E-07    0.74886E-09
    12    0.80946E+03    0.62392E+00    0.15427E-03    0.62392E+00    0.82401E-03   -0.23557E-07    0.15427E-03   -0.23557E-07    0.65387E-09
    13    0.81724E+03    0.70725E+00    0.13790E-03    0.70725E+00    0.11024E-02   -0.23597E-07    0.13790E-03   -0.23597E-07    0.57616E-09
    14    0.82608E+03    0.79215E+00    0.12401E-03    0.79215E+00    0.14423E-02   -0.23614E-07    0.12401E-03   -0.23614E-07    0.51148E-09
    15    0.83576E+03    0.87791E+00    0.11216E-03    0.87791E+00    0.18520E-02   -0.23635E-07    0.11216E-03   -0.23635E-07    0.45717E-09
    16    0.84657E+03    0.96485E+00    0.10192E-03    0.96485E+00    0.23398E-02   -0.23646E-07    0.10192E-03   -0.23646E-07    0.41104E-09
    17    0.85802E+03    0.10515E+01    0.93022E-04    0.10515E+01    0.29138E-02   -0.23640E-07    0.93022E-04   -0.23640E-07    0.37142E-09
    18    0.86973E+03    0.11369E+01    0.85248E-04    0.11369E+01    0.35806E-02   -0.23614E-07    0.85248E-04   -0.23614E-07    0.33723E-09
    19    0.88281E+03    0.12219E+01    0.78431E-04    0.12219E+01    0.43527E-02   -0.23588E-07    0.78431E-04   -0.23588E-07    0.30747E-09
    20    0.89611E+03    0.13051E+01    0.72370E-04    0.13051E+01    0.52343E-02   -0.23535E-07    0.72370E-04   -0.23535E-07    0.28137E-09
    21    0.90981E+03    0.13856E+01    0.66985E-04    0.13856E+01    0.62352E-02   -0.23471E-07    0.66985E-04   -0.23471E-07    0.25837E-09
    22    0.92388E+03    0.14632E+01    0.62174E-04    0.14632E+01    0.73645E-02   -0.23403E-07    0.62174E-04   -0.23403E-07    0.23801E-09
    23    0.93828E+03    0.15374E+01    0.57854E-04    0.15374E+01    0.86311E-02   -0.23333E-07    0.57854E-04   -0.23333E-07    0.21989E-09
    24    0.95305E+03    0.16068E+01    0.53973E-04    0.16068E+01    0.10043E-01   -0.23249E-07    0.53973E-04   -0.23249E-07    0.20367E-09
    25    0.96813E+03    0.16717E+01    0.50463E-04    0.16717E+01    0.11609E-01   -0.23162E-07    0.50463E-04   -0.23162E-07    0.18912E-09
    26    0.98351E+03    0.17320E+01    0.47271E-04    0.17320E+01    0.13338E-01   -0.23069E-07    0.47271E-04   -0.23069E-07    0.17601E-09
    27    0.99918E+03    0.17868E+01    0.44366E-04    0.17868E+01    0.15238E-01   -0.22974E-07    0.44366E-04   -0.22974E-07    0.16415E-09
    28    0.10150E+04    0.18351E+01    0.41718E-04    0.18351E+01    0.17319E-01   -0.22876E-07    0.41718E-04   -0.22876E-07    0.15339E-09
    29    0.10312E+04    0.18763E+01    0.39301E-04    0.18763E+01    0.19588E-01   -0.22772E-07    0.39301E-04   -0.22772E-07    0.14360E-09
    30    0.10476E+04    0.19113E+01    0.37077E-04    0.19113E+01    0.22053E-01   -0.22663E-07    0.37077E-04   -0.22663E-07    0.13467E-09
    31    0.10642E+04    0.19390E+01    0.35027E-04    0.19390E+01    0.24722E-01   -0.22552E-07    0.35027E-04   -0.22552E-07    0.12650E-09
    32    0.10810E+04    0.19586E+01    0.33141E-04    0.19586E+01    0.27604E-01   -0.22442E-07    0.33141E-04   -0.22442E-07    0.11900E-09
    33    0.10980E+04    0.19689E+01    0.31404E-04    0.19689E+01    0.30706E-01   -0.22330E-07    0.31404E-04   -0.22330E-07    0.11211E-09
    34    0.11152E+04    0.19711E+01    0.29794E-04    0.19711E+01    0.34034E-01   -0.22211E-07    0.29794E-04   -0.22211E-07    0.10577E-09
