# L    TT    EE    TE    PP    TP
2 8.66994E+02 1.11360E-06 2.46344E-02 9.55083E+05 2.32085E+04
3 8.42511E+02 5.27223E-06 5.57515E-02 1.47054E+06 2.76464E+04
4 8.17412E+02 1.52030E-05 9.51374E-02 1.92989E+06 2.97437E+04
5 7.99543E+02 3.43291E-05 1.42059E-01 2.33659E+06 3.06159E+04
6 7.88505E+02 6.67129E-05 1.95902E-01 2.69633E+06 3.08158E+04
7 7.82814E+02 1.17006E-04 2.56043E-01 3.01608E+06 3.06276E+04
8 7.80778E+02 1.90347E-04 3.21721E-01 3.30144E+06 3.02096E+04
9 7.81800E+02 2.92497E-04 3.92429E-01 3.55750E+06 2.96496E+04
10 7.85112E+02 4.29362E-04 4.67363E-01 3.78740E+06 2.90054E+04
11 7.90188E+02 6.07739E-04 5.46006E-01 3.99532E+06 2.83286E+04
12 7.97209E+02 8.34386E-04 6.28178E-01 4.18224E+06 2.76229E+04
13 8.05198E+02 1.11650E-03 7.12413E-01 4.35225E+06 2.69343E+04
14 8.14101E+02 1.46104E-03 7.98303E-01 4.50570E+06 2.62413E+04
15 8.23755E+02 1.87642E-03 8.85144E-01 4.64558E+06 2.55654E+04
16 8.34449E+02 2.37088E-03 9.73269E-01 4.77270E+06 2.48977E+04
17 8.45705E+02 2.95292E-03 1.06121E+00 4.88743E+06 2.42499E+04
18 8.57168E+02 3.62906E-03 1.14807E+00 4.99220E+06 2.36237E+04
19 8.69908E+02 4.41215E-03 1.23448E+00 5.08757E+06 2.30266E+04
20 8.82819E+02 5.30634E-03 1.31926E+00 5.17361E+06 2.24412E+04
21 8.96083E+02 6.32150E-03 1.40141E+00 5.25169E+06 2.18784E+04
22 9.09664E+02 7.46704E-03 1.48076E+00 5.32263E+06 2.13374E+04
23 9.23597E+02 8.75191E-03 1.55676E+00 5.38696E+06 2.08153E+04
24 9.37712E+02 1.01842E-02 1.62806E+00 5.44450E+06 2.03168E+04
25 9.52188E+02 1.17730E-02 1.69492E+00 5.49662E+06 1.98373E+04
26 9.66936E+02 1.35264E-02 1.75735E+00 5.54339E+06 1.93722E+04
27 9.81955E+02 1.54545E-02 1.81444E+00 5.58510E+06 1.89234E+04
28 9.97156E+02 1.75654E-02 1.86502E+00 5.62238E+06 1.84946E+04
29 1.01263E+03 1.98671E-02 1.90854E+00 5.65513E+06 1.80838E+04
30 1.02819E+03 2.23670E-02 1.94591E+00 5.68418E+06 1.76839E+04
31 1.04402E+03 2.50750E-02 1.97612E+00 5.70924E+06 1.72975E+04
32 1.05995E+03 2.79983E-02 1.99829E+00 5.73104E+06 1.69266E+04
33 1.07614E+03 3.11452E-02 2.01132E+00 5.74968E+06 1.65710E+04
34 1.09252E+03 3.45209E-02 2.01621E+00 5.76524E+06 1.62272E+04
35 1.10899E+03 3.81346E-02 2.01259E+00 5.77791E+06 1.58933E+04
36 1.12563E+03 4.19934E-02 1.99938E+00 5.78804E+06 1.55712E+04
37 1.14246E+03 4.61048E-02 1.97594E+00 5.79582E+06 1.52609E+04
38 1.15947E+03 5.04739E-02 1.94265E+00 5.80125E+06 1.49614E+04
39 1.17657E+03 5.51037E-02 1.89886E+00 5.80451E+06 1.46710E+04
40 1.19385E+03 6.00012E-02 1.84403E+00 5.80578E+06 1.43914E+04
41 1.21132E+03 6.51757E-02 1.77735E+00 5.80514E+06 1.41227E+04
42 1.22887E+03 7.06306E-02 1.69962E+00 5.80288E+06 1.38612E+04
43 1.24669E+03 7.63705E-02 1.61150E+00 5.79890E+06 1.36060E+04
44 1.26443E+03 8.23927E-02 1.51134E+00 5.79338E+06 1.33590E+04
45 1.28252E+03 8.87080E-02 1.39788E+00 5.78632E+06 1.31220E+04
46 1.30080E+03 9.53274E-02 1.27194E+00 5.77800E+06 1.28922E+04
47 1.31917E+03 1.02231E-01 1.13459E+00 5.76841E+06 1.26678E+04
48 1.33753E+03 1.09442E-01 9.84489E-01 5.75764E+06 1.24497E+04
49 1.35626E+03 1.16952E-01 8.20588E-01 5.74570E+06 1.22389E+04
50 1.37517E+03 1.24778E-01 6.43550E-01 5.73267E+06 1.20354E+04
