#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.754815E+07   0.754815E+07   0.997110E+07   0.997075E+07   0.754900E+07   0.754816E+07   0.754815E+07   0.755289E+07  -0.591792E+00   0.724002E+07   0.724002E+07   0.105954E+00
   0.798228E-04   0.754808E+07   0.754807E+07   0.994796E+07   0.994752E+07   0.754870E+07   0.754808E+07   0.754808E+07   0.755280E+07  -0.591785E+00   0.723994E+07   0.723994E+07   0.118391E+00
   0.892035E-04   0.754798E+07   0.754798E+07   0.991913E+07   0.991858E+07   0.754833E+07   0.754799E+07   0.754798E+07   0.755269E+07  -0.591776E+00   0.723985E+07   0.723985E+07   0.132282E+00
   0.996866E-04   0.754786E+07   0.754786E+07   0.988324E+07   0.988255E+07   0.754787E+07   0.754786E+07   0.754786E+07   0.755255E+07  -0.591764E+00   0.723973E+07   0.723973E+07   0.147798E+00
   0.111402E-03   0.754771E+07   0.754771E+07   0.983858E+07   0.983774E+07   0.754729E+07   0.754771E+07   0.754771E+07   0.755237E+07  -0.591750E+00   0.723959E+07   0.723959E+07   0.165125E+00
   0.124493E-03   0.754753E+07   0.754753E+07   0.978308E+07   0.978203E+07   0.754656E+07   0.754751E+07   0.754753E+07   0.755215E+07  -0.591732E+00   0.723941E+07   0.723941E+07   0.184472E+00
   0.139124E-03   0.754730E+07   0.754730E+07   0.971419E+07   0.971288E+07   0.754566E+07   0.754727E+07   0.754730E+07   0.755188E+07  -0.591710E+00   0.723918E+07   0.723918E+07   0.206070E+00
   0.155474E-03   0.754701E+07   0.754701E+07   0.962878E+07   0.962718E+07   0.754453E+07   0.754697E+07   0.754701E+07   0.755154E+07  -0.591682E+00   0.723890E+07   0.723890E+07   0.230174E+00
   0.173745E-03   0.754665E+07   0.754665E+07   0.952313E+07   0.952115E+07   0.754312E+07   0.754660E+07   0.754665E+07   0.755112E+07  -0.591648E+00   0.723854E+07   0.723854E+07   0.257066E+00
   0.194163E-03   0.754620E+07   0.754620E+07   0.939271E+07   0.939028E+07   0.754136E+07   0.754613E+07   0.754620E+07   0.755059E+07  -0.591605E+00   0.723810E+07   0.723810E+07   0.287058E+00
   0.216981E-03   0.754564E+07   0.754564E+07   0.923220E+07   0.922925E+07   0.753916E+07   0.754555E+07   0.754564E+07   0.754993E+07  -0.591551E+00   0.723756E+07   0.723756E+07   0.320489E+00
   0.242480E-03   0.754495E+07   0.754494E+07   0.903540E+07   0.903181E+07   0.753643E+07   0.754482E+07   0.754495E+07   0.754911E+07  -0.591484E+00   0.723687E+07   0.723687E+07   0.357732E+00
   0.270976E-03   0.754408E+07   0.754407E+07   0.879519E+07   0.879087E+07   0.753302E+07   0.754392E+07   0.754408E+07   0.754809E+07  -0.591402E+00   0.723602E+07   0.723602E+07   0.399190E+00
   0.302821E-03   0.754300E+07   0.754299E+07   0.850370E+07   0.849855E+07   0.752877E+07   0.754279E+07   0.754300E+07   0.754682E+07  -0.591299E+00   0.723496E+07   0.723496E+07   0.445299E+00
   0.338408E-03   0.754166E+07   0.754164E+07   0.815258E+07   0.814651E+07   0.752348E+07   0.754139E+07   0.754166E+07   0.754526E+07  -0.591171E+00   0.723364E+07   0.723364E+07   0.496524E+00
   0.378178E-03   0.753999E+07   0.753997E+07   0.773347E+07   0.772643E+07   0.751691E+07   0.753965E+07   0.753999E+07   0.754332E+07  -0.591014E+00   0.723200E+07   0.723200E+07   0.553356E+00
   0.422621E-03   0.753792E+07   0.753790E+07   0.723903E+07   0.723102E+07   0.750872E+07   0.753749E+07   0.753792E+07   0.754092E+07  -0.590819E+00   0.722996E+07   0.722996E+07   0.616310E+00
   0.472287E-03   0.753535E+07   0.753533E+07   0.666424E+07   0.665539E+07   0.749857E+07   0.753481E+07   0.753535E+07   0.753797E+07  -0.590579E+00   0.722743E+07   0.722743E+07   0.685913E+00
   0.527790E-03   0.753218E+07   0.753215E+07   0.600851E+07   0.599906E+07   0.748598E+07   0.753150E+07   0.753217E+07   0.753435E+07  -0.590284E+00   0.722430E+07   0.722430E+07   0.762701E+00
   0.589815E-03   0.752826E+07   0.752822E+07   0.527823E+07   0.526862E+07   0.747040E+07   0.752741E+07   0.752825E+07   0.752991E+07  -0.589923E+00   0.722043E+07   0.722043E+07   0.847208E+00
   0.659130E-03   0.752343E+07   0.752338E+07   0.448978E+07   0.448067E+07   0.745117E+07   0.752237E+07   0.752342E+07   0.752450E+07  -0.589483E+00   0.721565E+07   0.721565E+07   0.939955E+00
   0.736590E-03   0.751751E+07   0.751745E+07   0.367223E+07   0.366448E+07   0.742748E+07   0.751618E+07   0.751750E+07   0.751793E+07  -0.588949E+00   0.720978E+07   0.720978E+07   0.104145E+01
   0.823153E-03   0.751026E+07   0.751018E+07   0.286847E+07   0.286303E+07   0.739839E+07   0.750861E+07   0.751025E+07   0.750998E+07  -0.588304E+00   0.720258E+07   0.720258E+07   0.115221E+01
   0.919889E-03   0.750142E+07   0.750133E+07   0.213269E+07   0.213034E+07   0.736281E+07   0.749938E+07   0.750141E+07   0.750040E+07  -0.587529E+00   0.719379E+07   0.719379E+07   0.127275E+01
   0.102799E-02   0.749070E+07   0.749058E+07   0.152184E+07   0.152280E+07   0.731950E+07   0.748818E+07   0.749068E+07   0.748890E+07  -0.586602E+00   0.718311E+07   0.718310E+07   0.140365E+01
   0.114880E-02   0.747775E+07   0.747760E+07   0.107974E+07   0.108328E+07   0.726732E+07   0.747466E+07   0.747772E+07   0.747517E+07  -0.585499E+00   0.717020E+07   0.717019E+07   0.154564E+01
   0.128381E-02   0.746218E+07   0.746200E+07   0.816407E+06   0.820661E+06   0.720453E+07   0.745840E+07   0.746215E+07   0.745878E+07  -0.584190E+00   0.715467E+07   0.715466E+07   0.169959E+01
   0.143468E-02   0.744356E+07   0.744333E+07   0.692601E+06   0.695137E+06   0.712949E+07   0.743894E+07   0.744352E+07   0.743927E+07  -0.582641E+00   0.713609E+07   0.713609E+07   0.186664E+01
   0.160328E-02   0.742138E+07   0.742111E+07   0.626656E+06   0.625962E+06   0.704084E+07   0.741580E+07   0.742134E+07   0.741609E+07  -0.580810E+00   0.711401E+07   0.711400E+07   0.204808E+01
   0.179170E-02   0.739511E+07   0.739477E+07   0.536784E+06   0.533923E+06   0.693718E+07   0.738838E+07   0.739506E+07   0.738864E+07  -0.578651E+00   0.708788E+07   0.708787E+07   0.224533E+01
   0.200226E-02   0.736412E+07   0.736369E+07   0.402030E+06   0.400354E+06   0.681750E+07   0.735609E+07   0.736406E+07   0.735628E+07  -0.576111E+00   0.705714E+07   0.705712E+07   0.245973E+01
   0.223756E-02   0.732774E+07   0.732721E+07   0.279762E+06   0.281217E+06   0.668120E+07   0.731824E+07   0.732766E+07   0.731837E+07  -0.573136E+00   0.702112E+07   0.702110E+07   0.269261E+01
   0.250052E-02   0.728526E+07   0.728460E+07   0.226748E+06   0.228489E+06   0.652832E+07   0.727413E+07   0.728516E+07   0.727423E+07  -0.569672E+00   0.697914E+07   0.697912E+07   0.294536E+01
   0.279438E-02   0.723594E+07   0.723512E+07   0.205284E+06   0.204055E+06   0.635952E+07   0.722304E+07   0.723582E+07   0.722314E+07  -0.565665E+00   0.693053E+07   0.693050E+07   0.321959E+01
   0.312277E-02   0.717906E+07   0.717804E+07   0.152548E+06   0.151703E+06   0.617590E+07   0.716428E+07   0.717891E+07   0.716436E+07  -0.561058E+00   0.687459E+07   0.687456E+07   0.351701E+01
   0.348976E-02   0.711388E+07   0.711262E+07   0.111009E+06   0.112492E+06   0.597865E+07   0.709715E+07   0.711370E+07   0.709720E+07  -0.555796E+00   0.681067E+07   0.681063E+07   0.383927E+01
   0.389987E-02   0.703973E+07   0.703816E+07   0.101133E+06   0.100003E+06   0.576851E+07   0.702097E+07   0.703950E+07   0.702102E+07  -0.549826E+00   0.673812E+07   0.673808E+07   0.418805E+01
   0.435818E-02   0.695594E+07   0.695399E+07   0.713731E+05   0.706748E+05   0.554548E+07   0.693509E+07   0.695565E+07   0.693512E+07  -0.543098E+00   0.665633E+07   0.665627E+07   0.456508E+01
   0.487035E-02   0.686186E+07   0.685946E+07   0.639220E+05   0.609955E+05   0.530887E+07   0.683887E+07   0.686151E+07   0.683890E+07  -0.535560E+00   0.656468E+07   0.656461E+07   0.497189E+01
   0.492476E-02   0.685186E+07   0.684941E+07   0.633604E+05   0.600104E+05   0.528444E+07   0.682865E+07   0.685151E+07   0.682868E+07  -0.534760E+00   0.655495E+07   0.655488E+07   0.501426E+01
   0.497979E-02   0.684175E+07   0.683925E+07   0.624334E+05   0.587400E+05   0.525986E+07   0.681833E+07   0.684139E+07   0.681836E+07  -0.533951E+00   0.654512E+07   0.654504E+07   0.505695E+01
   0.503543E-02   0.683154E+07   0.682898E+07   0.611083E+05   0.571838E+05   0.523514E+07   0.680789E+07   0.683117E+07   0.680792E+07  -0.533134E+00   0.653517E+07   0.653510E+07   0.509995E+01
   0.509169E-02   0.682121E+07   0.681859E+07   0.593934E+05   0.553748E+05   0.521027E+07   0.679734E+07   0.682083E+07   0.679737E+07  -0.532307E+00   0.652512E+07   0.652505E+07   0.514326E+01
