#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.501309E+06   0.501308E+06   0.668070E+06   0.668050E+06   0.508248E+06   0.501541E+06   0.501309E+06   0.507413E+06  -0.602368E+00   0.499858E+06   0.499858E+06   0.152728E+01
   0.798228E-04   0.501306E+06   0.501306E+06   0.667982E+06   0.667957E+06   0.508230E+06   0.501538E+06   0.501306E+06   0.507410E+06  -0.602363E+00   0.499855E+06   0.499855E+06   0.170674E+01
   0.892035E-04   0.501304E+06   0.501303E+06   0.667872E+06   0.667841E+06   0.508208E+06   0.501535E+06   0.501303E+06   0.507405E+06  -0.602358E+00   0.499852E+06   0.499852E+06   0.190730E+01
   0.996866E-04   0.501300E+06   0.501299E+06   0.667735E+06   0.667696E+06   0.508180E+06   0.501530E+06   0.501300E+06   0.507399E+06  -0.602351E+00   0.499848E+06   0.499848E+06   0.213141E+01
   0.111402E-03   0.501295E+06   0.501294E+06   0.667563E+06   0.667515E+06   0.508145E+06   0.501524E+06   0.501295E+06   0.507392E+06  -0.602342E+00   0.499843E+06   0.499843E+06   0.238184E+01
   0.124493E-03   0.501289E+06   0.501288E+06   0.667349E+06   0.667289E+06   0.508102E+06   0.501517E+06   0.501289E+06   0.507383E+06  -0.602331E+00   0.499837E+06   0.499836E+06   0.266169E+01
   0.139124E-03   0.501282E+06   0.501280E+06   0.667081E+06   0.667007E+06   0.508048E+06   0.501509E+06   0.501282E+06   0.507372E+06  -0.602317E+00   0.499829E+06   0.499828E+06   0.297441E+01
   0.155474E-03   0.501273E+06   0.501271E+06   0.666748E+06   0.666654E+06   0.507980E+06   0.501498E+06   0.501273E+06   0.507358E+06  -0.602299E+00   0.499819E+06   0.499819E+06   0.332383E+01
   0.173745E-03   0.501262E+06   0.501259E+06   0.666331E+06   0.666215E+06   0.507896E+06   0.501484E+06   0.501262E+06   0.507341E+06  -0.602278E+00   0.499807E+06   0.499806E+06   0.371428E+01
   0.194163E-03   0.501248E+06   0.501244E+06   0.665811E+06   0.665666E+06   0.507791E+06   0.501467E+06   0.501248E+06   0.507319E+06  -0.602251E+00   0.499792E+06   0.499791E+06   0.415054E+01
   0.216981E-03   0.501231E+06   0.501226E+06   0.665162E+06   0.664981E+06   0.507660E+06   0.501445E+06   0.501230E+06   0.507292E+06  -0.602217E+00   0.499772E+06   0.499772E+06   0.463797E+01
   0.242480E-03   0.501209E+06   0.501203E+06   0.664352E+06   0.664126E+06   0.507496E+06   0.501419E+06   0.501208E+06   0.507258E+06  -0.602175E+00   0.499749E+06   0.499748E+06   0.518256E+01
   0.270976E-03   0.501182E+06   0.501174E+06   0.663342E+06   0.663061E+06   0.507291E+06   0.501385E+06   0.501181E+06   0.507216E+06  -0.602122E+00   0.499719E+06   0.499718E+06   0.579096E+01
   0.302821E-03   0.501148E+06   0.501139E+06   0.662083E+06   0.661732E+06   0.507036E+06   0.501344E+06   0.501146E+06   0.507163E+06  -0.602057E+00   0.499682E+06   0.499680E+06   0.647061E+01
   0.338408E-03   0.501106E+06   0.501094E+06   0.660513E+06   0.660076E+06   0.506717E+06   0.501292E+06   0.501104E+06   0.507098E+06  -0.601975E+00   0.499635E+06   0.499633E+06   0.722978E+01
   0.378178E-03   0.501053E+06   0.501038E+06   0.658557E+06   0.658014E+06   0.506320E+06   0.501227E+06   0.501050E+06   0.507015E+06  -0.601873E+00   0.499578E+06   0.499575E+06   0.807767E+01
   0.422621E-03   0.500987E+06   0.500969E+06   0.656122E+06   0.655446E+06   0.505824E+06   0.501146E+06   0.500984E+06   0.506913E+06  -0.601746E+00   0.499505E+06   0.499502E+06   0.902451E+01
   0.472287E-03   0.500904E+06   0.500882E+06   0.653092E+06   0.652253E+06   0.505205E+06   0.501045E+06   0.500901E+06   0.506785E+06  -0.601587E+00   0.499415E+06   0.499411E+06   0.100817E+02
   0.527790E-03   0.500802E+06   0.500774E+06   0.649325E+06   0.648285E+06   0.504435E+06   0.500919E+06   0.500797E+06   0.506626E+06  -0.601389E+00   0.499303E+06   0.499298E+06   0.112617E+02
   0.589815E-03   0.500673E+06   0.500638E+06   0.644649E+06   0.643360E+06   0.503475E+06   0.500762E+06   0.500668E+06   0.506428E+06  -0.601142E+00   0.499162E+06   0.499157E+06   0.125786E+02
   0.659130E-03   0.500514E+06   0.500470E+06   0.638850E+06   0.637258E+06   0.502281E+06   0.500566E+06   0.500506E+06   0.506181E+06  -0.600835E+00   0.498988E+06   0.498980E+06   0.140476E+02
   0.736590E-03   0.500314E+06   0.500260E+06   0.631675E+06   0.629711E+06   0.500795E+06   0.500322E+06   0.500305E+06   0.505874E+06  -0.600453E+00   0.498769E+06   0.498760E+06   0.156857E+02
   0.823153E-03   0.500066E+06   0.499998E+06   0.622814E+06   0.620402E+06   0.498948E+06   0.500018E+06   0.500055E+06   0.505492E+06  -0.599977E+00   0.498498E+06   0.498486E+06   0.175113E+02
   0.919889E-03   0.499757E+06   0.499672E+06   0.611904E+06   0.608953E+06   0.496656E+06   0.499640E+06   0.499743E+06   0.505018E+06  -0.599387E+00   0.498159E+06   0.498145E+06   0.195446E+02
   0.102799E-02   0.499373E+06   0.499266E+06   0.598518E+06   0.594928E+06   0.493816E+06   0.499170E+06   0.499355E+06   0.504431E+06  -0.598654E+00   0.497738E+06   0.497720E+06   0.218073E+02
   0.114880E-02   0.498895E+06   0.498762E+06   0.582169E+06   0.577829E+06   0.490304E+06   0.498586E+06   0.498873E+06   0.503703E+06  -0.597746E+00   0.497214E+06   0.497192E+06   0.243228E+02
   0.128381E-02   0.498301E+06   0.498136E+06   0.562312E+06   0.557109E+06   0.485970E+06   0.497862E+06   0.498274E+06   0.502805E+06  -0.596624E+00   0.496564E+06   0.496536E+06   0.271159E+02
   0.143468E-02   0.497565E+06   0.497359E+06   0.538365E+06   0.532196E+06   0.480639E+06   0.496965E+06   0.497531E+06   0.501698E+06  -0.595241E+00   0.495757E+06   0.495723E+06   0.302125E+02
   0.160328E-02   0.496654E+06   0.496396E+06   0.509744E+06   0.502528E+06   0.474106E+06   0.495858E+06   0.496612E+06   0.500338E+06  -0.593541E+00   0.494758E+06   0.494715E+06   0.336393E+02
   0.179170E-02   0.495529E+06   0.495207E+06   0.475921E+06   0.467629E+06   0.466163E+06   0.494494E+06   0.495476E+06   0.498678E+06  -0.591460E+00   0.493527E+06   0.493474E+06   0.374233E+02
   0.200226E-02   0.494142E+06   0.493741E+06   0.436525E+06   0.427214E+06   0.456513E+06   0.492818E+06   0.494076E+06   0.496655E+06  -0.588923E+00   0.492005E+06   0.491939E+06   0.415906E+02
   0.223756E-02   0.492439E+06   0.491940E+06   0.391474E+06   0.381334E+06   0.444899E+06   0.490768E+06   0.492357E+06   0.494209E+06  -0.585849E+00   0.490135E+06   0.490054E+06   0.461659E+02
   0.250052E-02   0.490356E+06   0.489733E+06   0.341162E+06   0.330567E+06   0.431051E+06   0.488271E+06   0.490254E+06   0.491270E+06  -0.582148E+00   0.487846E+06   0.487745E+06   0.511711E+02
   0.279438E-02   0.487820E+06   0.487044E+06   0.286678E+06   0.276224E+06   0.414724E+06   0.485249E+06   0.487693E+06   0.487769E+06  -0.577731E+00   0.485058E+06   0.484933E+06   0.566246E+02
   0.312277E-02   0.484750E+06   0.483784E+06   0.230011E+06   0.220530E+06   0.395746E+06   0.481616E+06   0.484592E+06   0.483638E+06  -0.572509E+00   0.481680E+06   0.481526E+06   0.625401E+02
   0.348976E-02   0.481059E+06   0.479858E+06   0.174170E+06   0.166661E+06   0.374067E+06   0.477285E+06   0.480862E+06   0.478816E+06  -0.566406E+00   0.477619E+06   0.477430E+06   0.689267E+02
   0.389987E-02   0.476655E+06   0.475163E+06   0.123067E+06   0.118507E+06   0.349830E+06   0.472171E+06   0.476411E+06   0.473253E+06  -0.559364E+00   0.472778E+06   0.472545E+06   0.757903E+02
   0.435818E-02   0.471451E+06   0.469598E+06   0.809793E+05   0.799743E+05   0.323436E+06   0.466200E+06   0.471147E+06   0.466912E+06  -0.551351E+00   0.467064E+06   0.466778E+06   0.831354E+02
   0.440687E-02   0.470884E+06   0.468990E+06   0.774171E+05   0.767732E+05   0.320702E+06   0.465554E+06   0.470573E+06   0.466234E+06  -0.550495E+00   0.466441E+06   0.466150E+06   0.838966E+02
   0.445611E-02   0.470307E+06   0.468372E+06   0.739851E+05   0.736994E+05   0.317955E+06   0.464898E+06   0.469990E+06   0.465548E+06  -0.549630E+00   0.465809E+06   0.465512E+06   0.846627E+02
   0.450590E-02   0.469721E+06   0.467744E+06   0.706857E+05   0.707542E+05   0.315194E+06   0.464233E+06   0.469397E+06   0.464854E+06  -0.548756E+00   0.465167E+06   0.464864E+06   0.854337E+02
   0.455624E-02   0.469127E+06   0.467107E+06   0.675212E+05   0.679386E+05   0.312421E+06   0.463558E+06   0.468795E+06   0.464152E+06  -0.547871E+00   0.464516E+06   0.464206E+06   0.862097E+02
   0.460715E-02   0.468523E+06   0.466459E+06   0.644933E+05   0.652533E+05   0.309637E+06   0.462874E+06   0.468184E+06   0.463441E+06  -0.546977E+00   0.463854E+06   0.463539E+06   0.869905E+02
   0.465863E-02   0.467910E+06   0.465801E+06   0.616037E+05   0.626987E+05   0.306843E+06   0.462181E+06   0.467564E+06   0.462723E+06  -0.546073E+00   0.463183E+06   0.462861E+06   0.877763E+02
   0.471068E-02   0.467287E+06   0.465133E+06   0.588537E+05   0.602748E+05   0.304040E+06   0.461478E+06   0.466934E+06   0.461996E+06  -0.545159E+00   0.462502E+06   0.462173E+06   0.885671E+02
   0.476331E-02   0.466656E+06   0.464454E+06   0.562442E+05   0.579812E+05   0.301229E+06   0.460766E+06   0.466295E+06   0.461261E+06  -0.544236E+00   0.461811E+06   0.461476E+06   0.893628E+02
   0.481653E-02   0.466015E+06   0.463765E+06   0.537758E+05   0.558174E+05   0.298411E+06   0.460045E+06   0.465646E+06   0.460517E+06  -0.543303E+00   0.461110E+06   0.460768E+06   0.901635E+02
   0.487035E-02   0.465364E+06   0.463066E+06   0.514486E+05   0.537822E+05   0.295587E+06   0.459314E+06   0.464987E+06   0.459766E+06  -0.542360E+00   0.460399E+06   0.460050E+06   0.909692E+02
   0.492476E-02   0.464704E+06   0.462356E+06   0.492626E+05   0.518741E+05   0.292758E+06   0.458573E+06   0.464319E+06   0.459006E+06  -0.541408E+00   0.459678E+06   0.459322E+06   0.917799E+02
   0.497979E-02   0.464034E+06   0.461635E+06   0.472171E+05   0.500913E+05   0.289925E+06   0.457823E+06   0.463641E+06   0.458238E+06  -0.540446E+00   0.458947E+06   0.458584E+06   0.925956E+02
   0.503543E-02   0.463355E+06   0.460904E+06   0.453111E+05   0.484316E+05   0.287090E+06   0.457063E+06   0.462953E+06   0.457461E+06  -0.539475E+00   0.458206E+06   0.457835E+06   0.934164E+02
   0.509169E-02   0.462665E+06   0.460162E+06   0.435433E+05   0.468924E+05   0.284254E+06   0.456293E+06   0.462255E+06   0.456676E+06  -0.538494E+00   0.457454E+06   0.457076E+06   0.942423E+02
   0.514858E-02   0.461967E+06   0.459409E+06   0.419119E+05   0.454705E+05   0.281417E+06   0.455514E+06   0.461547E+06   0.455883E+06  -0.537503E+00   0.456693E+06   0.456307E+06   0.950732E+02
   0.520610E-02   0.461258E+06   0.458645E+06   0.404144E+05   0.441627E+05   0.278581E+06   0.454726E+06   0.460829E+06   0.455081E+06  -0.536503E+00   0.455921E+06   0.455527E+06   0.959093E+02
   0.526427E-02   0.460539E+06   0.457870E+06   0.390484E+05   0.429650E+05   0.275747E+06   0.453927E+06   0.460101E+06   0.454270E+06  -0.535493E+00   0.455138E+06   0.454737E+06   0.967505E+02
   0.532309E-02   0.459811E+06   0.457084E+06   0.378105E+05   0.418734E+05   0.272917E+06   0.453119E+06   0.459363E+06   0.453451E+06  -0.534474E+00   0.454346E+06   0.453937E+06   0.975968E+02
   0.538256E-02   0.459072E+06   0.456287E+06   0.366972E+05   0.408831E+05   0.270091E+06   0.452301E+06   0.458615E+06   0.452624E+06  -0.533446E+00   0.453543E+06   0.453126E+06   0.984483E+02
   0.544270E-02   0.458323E+06   0.455478E+06   0.357044E+05   0.399895E+05   0.267271E+06   0.451474E+06   0.457857E+06   0.451788E+06  -0.532408E+00   0.452730E+06   0.452304E+06   0.993049E+02
   0.550352E-02   0.457565E+06   0.454658E+06   0.348277E+05   0.391870E+05   0.264458E+06   0.450637E+06   0.457088E+06   0.450943E+06  -0.531360E+00   0.451906E+06   0.451472E+06   0.100167E+03
   0.556501E-02   0.456796E+06   0.453827E+06   0.340622E+05   0.384703E+05   0.261654E+06   0.449790E+06   0.456309E+06   0.450089E+06  -0.530303E+00   0.451073E+06   0.450630E+06   0.101034E+03
   0.562719E-02   0.456017E+06   0.452984E+06   0.334025E+05   0.378335E+05   0.258858E+06   0.448933E+06   0.455520E+06   0.449227E+06  -0.529236E+00   0.450228E+06   0.449776E+06   0.101906E+03
   0.569006E-02   0.455228E+06   0.452130E+06   0.328429E+05   0.372703E+05   0.256073E+06   0.448067E+06   0.454720E+06   0.448356E+06  -0.528161E+00   0.449374E+06   0.448913E+06   0.102784E+03
   0.575363E-02   0.454428E+06   0.451265E+06   0.323772E+05   0.367744E+05   0.253300E+06   0.447191E+06   0.453909E+06   0.447475E+06  -0.527075E+00   0.448509E+06   0.448039E+06   0.103667E+03
   0.581792E-02   0.453619E+06   0.450387E+06   0.319991E+05   0.363393E+05   0.250540E+06   0.446305E+06   0.453089E+06   0.446586E+06  -0.525980E+00   0.447634E+06   0.447154E+06   0.104555E+03
