# L    TT    EE    BB    TE
2 9.26581E+02 1.90053E-06 9.47571E-07 2.08570E-02
3 8.67516E+02 6.38477E-06 1.89560E-06 4.79946E-02
4 8.19951E+02 1.60602E-05 3.16003E-06 8.22387E-02
5 7.86859E+02 3.37897E-05 4.74151E-06 1.22847E-01
6 7.65066E+02 6.29615E-05 6.64039E-06 1.69254E-01
7 7.51495E+02 1.07443E-04 8.85741E-06 2.20872E-01
8 7.43592E+02 1.71508E-04 1.13931E-05 2.77034E-01
9 7.40078E+02 2.59923E-04 1.42487E-05 3.37231E-01
10 7.39951E+02 3.77577E-04 1.74246E-05 4.00813E-01
11 7.42323E+02 5.30094E-04 2.09218E-05 4.67242E-01
12 7.47179E+02 7.23067E-04 2.47411E-05 5.36382E-01
13 7.53576E+02 9.62356E-04 2.88834E-05 6.06918E-01
14 7.61324E+02 1.25385E-03 3.33507E-05 6.78541E-01
15 7.70176E+02 1.60438E-03 3.81429E-05 7.50583E-01
16 7.80316E+02 2.02090E-03 4.32608E-05 8.23318E-01
17 7.91276E+02 2.51016E-03 4.87064E-05 8.95388E-01
18 8.02693E+02 3.07771E-03 5.44806E-05 9.66006E-01
19 8.15597E+02 3.73416E-03 6.05841E-05 1.03591E+00
20 8.28867E+02 4.48287E-03 6.70181E-05 1.10390E+00
21 8.42666E+02 5.33215E-03 7.37833E-05 1.16925E+00
22 8.56948E+02 6.28967E-03 8.08817E-05 1.23158E+00
23 8.71687E+02 7.36273E-03 8.83131E-05 1.29035E+00
24 8.86919E+02 8.55798E-03 9.60804E-05 1.34483E+00
25 9.02561E+02 9.88365E-03 1.04175E-04 1.39503E+00
26 9.18550E+02 1.13457E-02 1.12617E-04 1.44075E+00
27 9.34977E+02 1.29528E-02 1.21387E-04 1.48118E+00
28 9.51678E+02 1.47114E-02 1.30504E-04 1.51549E+00
29 9.68744E+02 1.66288E-02 1.39950E-04 1.54333E+00
30 9.86084E+02 1.87105E-02 1.49742E-04 1.56541E+00
31 1.00370E+03 2.09656E-02 1.59872E-04 1.58065E+00
32 1.02168E+03 2.33995E-02 1.70340E-04 1.58832E+00
33 1.03984E+03 2.60187E-02 1.81146E-04 1.58741E+00
34 1.05836E+03 2.88287E-02 1.92298E-04 1.57938E+00
35 1.07698E+03 3.18376E-02 2.03797E-04 1.56331E+00
36 1.09587E+03 3.50500E-02 2.15633E-04 1.53822E+00
37 1.11513E+03 3.84723E-02 2.27808E-04 1.50336E+00
38 1.13457E+03 4.21109E-02 2.40329E-04 1.45982E+00
39 1.15419E+03 4.59667E-02 2.53197E-04 1.40698E+00
40 1.17399E+03 5.00452E-02 2.66402E-04 1.34392E+00
41 1.19407E+03 5.43555E-02 2.79955E-04 1.27000E+00
42 1.21442E+03 5.89013E-02 2.93854E-04 1.18586E+00
43 1.23486E+03 6.36870E-02 3.08091E-04 1.09222E+00
44 1.25540E+03 6.87083E-02 3.22674E-04 9.87544E-01
45 1.27639E+03 7.39741E-02 3.37596E-04 8.70683E-01
46 1.29756E+03 7.94963E-02 3.52873E-04 7.42625E-01
47 1.31873E+03 8.52641E-02 3.68479E-04 6.04454E-01
48 1.34018E+03 9.12892E-02 3.84440E-04 4.54575E-01
49 1.36181E+03 9.75589E-02 4.00740E-04 2.91700E-01
50 1.38389E+03 1.04093E-01 4.17386E-04 1.16961E-01
51 1.40580E+03 1.10901E-01 4.34370E-04 -6.83587E-02
52 1.42816E+03 1.17938E-01 4.51700E-04 -2.65718E-01
53 1.45070E+03 1.25257E-01 4.69378E-04 -4.76679E-01
54 1.47342E+03 1.32822E-01 4.87393E-04 -6.99951E-01
55 1.49624E+03 1.40653E-01 5.05755E-04 -9.34247E-01
56 1.51933E+03 1.48748E-01 5.24454E-04 -1.18075E+00
