# L    TT    EE    TE    PP    TP
2 7.87989E+02 1.03199E-06 2.28855E-02 8.99561E+05 2.07092E+04
3 7.68601E+02 4.88782E-06 5.17037E-02 1.38561E+06 2.47637E+04
4 7.47678E+02 1.40988E-05 8.81880E-02 1.81932E+06 2.67112E+04
5 7.32736E+02 3.18439E-05 1.31680E-01 2.20370E+06 2.75502E+04
6 7.23636E+02 6.18954E-05 1.81594E-01 2.54432E+06 2.77773E+04
7 7.19172E+02 1.08573E-04 2.37375E-01 2.84750E+06 2.76490E+04
8 7.17863E+02 1.76662E-04 2.98305E-01 3.11860E+06 2.73075E+04
9 7.19224E+02 2.71506E-04 3.63941E-01 3.36215E+06 2.68343E+04
10 7.22587E+02 3.98601E-04 4.33504E-01 3.58126E+06 2.62805E+04
11 7.27484E+02 5.64264E-04 5.06559E-01 3.77982E+06 2.56928E+04
12 7.34114E+02 7.74780E-04 5.82925E-01 3.95854E+06 2.50757E+04
13 7.41577E+02 1.03685E-03 6.61241E-01 4.12148E+06 2.44725E+04
14 7.49836E+02 1.35693E-03 7.41126E-01 4.26882E+06 2.38623E+04
15 7.58746E+02 1.74279E-03 8.21955E-01 4.40333E+06 2.32652E+04
16 7.68583E+02 2.20223E-03 9.03981E-01 4.52597E+06 2.26723E+04
17 7.78914E+02 2.74306E-03 9.85972E-01 4.63683E+06 2.20960E+04
18 7.89402E+02 3.37142E-03 1.06692E+00 4.73840E+06 2.15387E+04
19 8.01042E+02 4.09912E-03 1.14770E+00 4.83097E+06 2.10056E+04
20 8.12820E+02 4.93012E-03 1.22674E+00 4.91487E+06 2.04821E+04
21 8.24902E+02 5.87371E-03 1.30362E+00 4.99105E+06 1.99786E+04
22 8.37262E+02 6.93838E-03 1.37790E+00 5.06065E+06 1.94924E+04
23 8.49881E+02 8.13262E-03 1.44923E+00 5.12383E+06 1.90226E+04
24 8.62760E+02 9.46363E-03 1.51614E+00 5.18069E+06 1.85745E+04
25 8.75900E+02 1.09405E-02 1.57906E+00 5.23234E+06 1.81420E+04
26 8.89247E+02 1.25708E-02 1.63791E+00 5.27897E+06 1.77225E+04
27 9.02854E+02 1.43632E-02 1.69191E+00 5.32075E+06 1.73178E+04
28 9.16548E+02 1.63254E-02 1.73993E+00 5.35828E+06 1.69295E+04
29 9.30503E+02 1.84653E-02 1.78153E+00 5.39164E+06 1.65568E+04
30 9.44630E+02 2.07898E-02 1.81750E+00 5.42137E+06 1.61954E+04
31 9.58844E+02 2.33068E-02 1.84688E+00 5.44720E+06 1.58444E+04
32 9.73231E+02 2.60248E-02 1.86889E+00 5.47000E+06 1.55081E+04
33 9.87792E+02 2.89499E-02 1.88259E+00 5.48976E+06 1.51848E+04
34 1.00253E+03 3.20883E-02 1.88865E+00 5.50657E+06 1.48719E+04
35 1.01743E+03 3.54477E-02 1.88701E+00 5.52061E+06 1.45686E+04
36 1.03234E+03 3.90359E-02 1.87652E+00 5.53223E+06 1.42748E+04
37 1.04751E+03 4.28572E-02 1.85667E+00 5.54159E+06 1.39931E+04
38 1.06276E+03 4.69195E-02 1.82772E+00 5.54869E+06 1.37192E+04
39 1.07819E+03 5.12236E-02 1.78915E+00 5.55363E+06 1.34548E+04
40 1.09370E+03 5.57764E-02 1.74036E+00 5.55667E+06 1.31992E+04
41 1.10939E+03 6.05867E-02 1.68073E+00 5.55797E+06 1.29530E+04
42 1.12517E+03 6.56587E-02 1.61096E+00 5.55762E+06 1.27147E+04
43 1.14111E+03 7.09942E-02 1.53157E+00 5.55563E+06 1.24815E+04
44 1.15706E+03 7.65931E-02 1.44108E+00 5.55207E+06 1.22553E+04
45 1.17327E+03 8.24634E-02 1.33846E+00 5.54713E+06 1.20378E+04
46 1.18965E+03 8.86127E-02 1.22432E+00 5.54089E+06 1.18272E+04
47 1.20612E+03 9.50350E-02 1.09960E+00 5.53344E+06 1.16217E+04
48 1.22267E+03 1.01743E-01 9.63178E-01 5.52477E+06 1.14215E+04
49 1.23940E+03 1.08720E-01 8.14068E-01 5.51506E+06 1.12291E+04
