#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10774E+04    0.25709E-01    0.13642E-02    0.25709E-01    0.11733E-05   -0.16676E-07    0.13642E-02   -0.16676E-07    0.73934E-08
     3    0.10178E+04    0.58923E-01    0.94380E-03    0.58923E-01    0.55346E-05   -0.20070E-07    0.94380E-03   -0.20070E-07    0.44904E-08
     4    0.96814E+03    0.10087E+00    0.70424E-03    0.10087E+00    0.15919E-04   -0.21843E-07    0.70424E-03   -0.21843E-07    0.31011E-08
     5    0.93338E+03    0.15068E+00    0.55086E-03    0.15068E+00    0.35872E-04   -0.22953E-07    0.55086E-03   -0.22953E-07    0.23011E-08
     6    0.91067E+03    0.20764E+00    0.44524E-03    0.20764E+00    0.69593E-04   -0.23671E-07    0.44524E-03   -0.23671E-07    0.17881E-08
     7    0.89684E+03    0.27108E+00    0.36872E-03    0.27108E+00    0.12188E-03   -0.24161E-07    0.36872E-03   -0.24161E-07    0.14357E-08
     8    0.88913E+03    0.34017E+00    0.31112E-03    0.34017E+00    0.19804E-03   -0.24532E-07    0.31112E-03   -0.24532E-07    0.11812E-08
     9    0.88623E+03    0.41431E+00    0.26645E-03    0.41431E+00    0.30398E-03   -0.24840E-07    0.26645E-03   -0.24840E-07    0.99057E-09
    10    0.88702E+03    0.49268E+00    0.23096E-03    0.49268E+00    0.44577E-03   -0.25065E-07    0.23096E-03   -0.25065E-07    0.84340E-09
    11    0.89055E+03    0.57466E+00    0.20232E-03    0.57466E+00    0.63040E-03   -0.25216E-07    0.20232E-03   -0.25216E-07    0.72727E-09
    12    0.89686E+03    0.66006E+00    0.17873E-03    0.66006E+00    0.86482E-03   -0.25275E-07    0.17873E-03   -0.25275E-07    0.63357E-09
    13    0.90484E+03    0.74730E+00    0.15921E-03    0.74730E+00    0.11564E-02   -0.25308E-07    0.15921E-03   -0.25308E-07    0.55701E-09
    14    0.91428E+03    0.83596E+00    0.14270E-03    0.83596E+00    0.15122E-02   -0.25315E-07    0.14270E-03   -0.25315E-07    0.49339E-09
    15    0.92493E+03    0.92526E+00    0.12867E-03    0.92526E+00    0.19410E-02   -0.25327E-07    0.12867E-03   -0.25327E-07    0.44003E-09
    16    0.93703E+03    0.10155E+01    0.11658E-03    0.10155E+01    0.24512E-02   -0.25327E-07    0.11658E-03   -0.25327E-07    0.39478E-09
    17    0.95003E+03    0.11051E+01    0.10613E-03    0.11051E+01    0.30514E-02   -0.25308E-07    0.10613E-03   -0.25308E-07    0.35597E-09
    18    0.96350E+03    0.11931E+01    0.97025E-04    0.11931E+01    0.37484E-02   -0.25270E-07    0.97025E-04   -0.25270E-07    0.32252E-09
    19    0.97867E+03    0.12803E+01    0.89062E-04    0.12803E+01    0.45553E-02   -0.25230E-07    0.89062E-04   -0.25230E-07    0.29345E-09
    20    0.99421E+03    0.13653E+01    0.82005E-04    0.13653E+01    0.54764E-02   -0.25162E-07    0.82005E-04   -0.25162E-07    0.26800E-09
    21    0.10103E+04    0.14471E+01    0.75751E-04    0.14471E+01    0.65220E-02   -0.25083E-07    0.75751E-04   -0.25083E-07    0.24560E-09
    22    0.10270E+04    0.15254E+01    0.70179E-04    0.15254E+01    0.77014E-02   -0.24999E-07    0.70179E-04   -0.24999E-07    0.22580E-09
    23    0.10441E+04    0.15996E+01    0.65192E-04    0.15996E+01    0.90241E-02   -0.24914E-07    0.65192E-04   -0.24914E-07    0.20819E-09
    24    0.10618E+04    0.16685E+01    0.60719E-04    0.16685E+01    0.10498E-01   -0.24813E-07    0.60719E-04   -0.24813E-07    0.19247E-09
    25    0.10800E+04    0.17322E+01    0.56684E-04    0.17322E+01    0.12133E-01   -0.24709E-07    0.56684E-04   -0.24709E-07    0.17837E-09
    26    0.10985E+04    0.17907E+01    0.53024E-04    0.17907E+01    0.13938E-01   -0.24599E-07    0.53024E-04   -0.24599E-07    0.16570E-09
    27    0.11175E+04    0.18429E+01    0.49699E-04    0.18429E+01    0.15922E-01   -0.24487E-07    0.49699E-04   -0.24487E-07    0.15424E-09
    28    0.11367E+04    0.18877E+01    0.46676E-04    0.18877E+01    0.18093E-01   -0.24373E-07    0.46676E-04   -0.24373E-07    0.14387E-09
    29    0.11565E+04    0.19247E+01    0.43920E-04    0.19247E+01    0.20461E-01   -0.24253E-07    0.43920E-04   -0.24253E-07    0.13444E-09
    30    0.11765E+04    0.19547E+01    0.41389E-04    0.19547E+01    0.23033E-01   -0.24127E-07    0.41389E-04   -0.24127E-07    0.12585E-09
    31    0.11968E+04    0.19764E+01    0.39062E-04    0.19764E+01    0.25819E-01   -0.23999E-07    0.39062E-04   -0.23999E-07    0.11800E-09
    32    0.12174E+04    0.19891E+01    0.36924E-04    0.19891E+01    0.28827E-01   -0.23871E-07    0.36924E-04   -0.23871E-07    0.11081E-09
    33    0.12384E+04    0.19914E+01    0.34960E-04    0.19914E+01    0.32065E-01   -0.23743E-07    0.34960E-04   -0.23743E-07    0.10422E-09
    34    0.12596E+04    0.19851E+01    0.33138E-04    0.19851E+01    0.35539E-01   -0.23607E-07    0.33138E-04   -0.23607E-07    0.98147E-10
    35    0.12811E+04    0.19690E+01    0.31449E-04    0.19690E+01    0.39258E-01   -0.23470E-07    0.31449E-04   -0.23470E-07    0.92549E-10
    36    0.13027E+04    0.19420E+01    0.29884E-04    0.19420E+01    0.43229E-01   -0.23334E-07    0.29884E-04   -0.23334E-07    0.87380E-10
    37    0.13248E+04    0.19034E+01    0.28433E-04    0.19034E+01    0.47461E-01   -0.23199E-07    0.28433E-04   -0.23199E-07    0.82598E-10
    38    0.13471E+04    0.18541E+01    0.27081E-04    0.18541E+01    0.51959E-01   -0.23059E-07    0.27081E-04   -0.23059E-07    0.78162E-10
    39    0.13696E+04    0.17935E+01    0.25818E-04    0.17935E+01    0.56727E-01   -0.22917E-07    0.25818E-04   -0.22917E-07    0.74045E-10
    40    0.13923E+04    0.17205E+01    0.24640E-04    0.17205E+01    0.61771E-01   -0.22775E-07    0.24640E-04   -0.22775E-07    0.70216E-10
    41    0.14154E+04    0.16342E+01    0.23541E-04    0.16342E+01    0.67101E-01   -0.22633E-07    0.23541E-04   -0.22633E-07    0.66650E-10
    42    0.14386E+04    0.15357E+01    0.22512E-04    0.15357E+01    0.72722E-01   -0.22490E-07    0.22512E-04   -0.22490E-07    0.63324E-10
    43    0.14621E+04    0.14257E+01    0.21544E-04    0.14257E+01    0.78638E-01   -0.22346E-07    0.21544E-04   -0.22346E-07    0.60217E-10
    44    0.14856E+04    0.13023E+01    0.20634E-04    0.13023E+01    0.84847E-01   -0.22200E-07    0.20634E-04   -0.22200E-07    0.57311E-10
    45    0.15096E+04    0.11641E+01    0.19782E-04    0.11641E+01    0.91358E-01   -0.22056E-07    0.19782E-04   -0.22056E-07    0.54590E-10
    46    0.15338E+04    0.10123E+01    0.18981E-04    0.10123E+01    0.98184E-01   -0.21911E-07    0.18981E-04   -0.21911E-07    0.52038E-10
    47    0.15581E+04    0.84819E+00    0.18223E-04    0.84819E+00    0.10531E+00   -0.21764E-07    0.18223E-04   -0.21764E-07    0.49644E-10
    48    0.15826E+04    0.66989E+00    0.17508E-04    0.66989E+00    0.11276E+00   -0.21616E-07    0.17508E-04   -0.21616E-07    0.47394E-10
    49    0.16074E+04    0.47591E+00    0.16835E-04    0.47591E+00    0.12051E+00   -0.21470E-07    0.16835E-04   -0.21470E-07    0.45278E-10
    50    0.16326E+04    0.26750E+00    0.16199E-04    0.26750E+00    0.12859E+00   -0.21323E-07    0.16199E-04   -0.21323E-07    0.43285E-10
    51    0.16577E+04    0.46129E-01    0.15596E-04    0.46129E-01    0.13699E+00   -0.21175E-07    0.15596E-04   -0.21175E-07    0.41407E-10
    52    0.16833E+04   -0.18986E+00    0.15024E-04   -0.18986E+00    0.14570E+00   -0.21027E-07    0.15024E-04   -0.21027E-07    0.39635E-10
    53    0.17092E+04   -0.44224E+00    0.14484E-04   -0.44224E+00    0.15474E+00   -0.20881E-07    0.14484E-04   -0.20881E-07    0.37963E-10
    54    0.17352E+04   -0.70952E+00    0.13972E-04   -0.70952E+00    0.16408E+00   -0.20734E-07    0.13972E-04   -0.20734E-07    0.36382E-10
    55    0.17613E+04   -0.99025E+00    0.13484E-04   -0.99025E+00    0.17375E+00   -0.20585E-07    0.13484E-04   -0.20585E-07    0.34886E-10
    56    0.17877E+04   -0.12859E+01    0.13021E-04   -0.12859E+01    0.18374E+00   -0.20436E-07    0.13021E-04   -0.20436E-07    0.33470E-10
    57    0.18145E+04   -0.15979E+01    0.12581E-04   -0.15979E+01    0.19405E+00   -0.20289E-07    0.12581E-04   -0.20289E-07    0.32129E-10
    58    0.18415E+04   -0.19252E+01    0.12163E-04   -0.19252E+01    0.20468E+00   -0.20142E-07    0.12163E-04   -0.20142E-07    0.30858E-10
    59    0.18686E+04   -0.22664E+01    0.11763E-04   -0.22664E+01    0.21563E+00   -0.19994E-07    0.11763E-04   -0.19994E-07    0.29652E-10
    60    0.18959E+04   -0.26205E+01    0.11382E-04   -0.26205E+01    0.22686E+00   -0.19846E-07    0.11382E-04   -0.19846E-07    0.28506E-10
    61    0.19238E+04   -0.29874E+01    0.11018E-04   -0.29874E+01    0.23838E+00   -0.19697E-07    0.11018E-04   -0.19697E-07    0.27417E-10
    62    0.19517E+04   -0.33686E+01    0.10670E-04   -0.33686E+01    0.25019E+00   -0.19549E-07    0.10670E-04   -0.19549E-07    0.26382E-10
    63    0.19798E+04   -0.37654E+01    0.10340E-04   -0.37654E+01    0.26229E+00   -0.19401E-07    0.10340E-04   -0.19401E-07    0.25397E-10
    64    0.20083E+04   -0.41798E+01    0.10024E-04   -0.41798E+01    0.27472E+00   -0.19254E-07    0.10024E-04   -0.19254E-07    0.24460E-10
    65    0.20370E+04   -0.46129E+01    0.97220E-05   -0.46129E+01    0.28749E+00   -0.19107E-07    0.97220E-05   -0.19107E-07    0.23568E-10
    66    0.20659E+04   -0.50633E+01    0.94335E-05   -0.50633E+01    0.30055E+00   -0.18960E-07    0.94335E-05   -0.18960E-07    0.22718E-10
    67    0.20950E+04   -0.55287E+01    0.91572E-05   -0.55287E+01    0.31389E+00   -0.18813E-07    0.91572E-05   -0.18813E-07    0.21908E-10
    68    0.21245E+04   -0.60073E+01    0.88922E-05   -0.60073E+01    0.32754E+00   -0.18667E-07    0.88922E-05   -0.18667E-07    0.21134E-10
    69    0.21542E+04   -0.64965E+01    0.86379E-05   -0.64965E+01    0.34141E+00   -0.18520E-07    0.86379E-05   -0.18520E-07    0.20395E-10
    70    0.21842E+04   -0.69965E+01    0.83938E-05   -0.69965E+01    0.35553E+00   -0.18374E-07    0.83938E-05   -0.18374E-07    0.19688E-10
