#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.246167E+06   0.246166E+06   0.328151E+06   0.328143E+06   0.300171E+06   0.247002E+06   0.246167E+06   0.252807E+06  -0.604637E+00   0.245010E+06   0.245009E+06   0.277098E+01
   0.798228E-04   0.246166E+06   0.246165E+06   0.328132E+06   0.328122E+06   0.300154E+06   0.247001E+06   0.246166E+06   0.252805E+06  -0.604633E+00   0.245009E+06   0.245009E+06   0.309660E+01
   0.892035E-04   0.246165E+06   0.246164E+06   0.328108E+06   0.328096E+06   0.300133E+06   0.247000E+06   0.246165E+06   0.252804E+06  -0.604629E+00   0.245008E+06   0.245007E+06   0.346049E+01
   0.996866E-04   0.246164E+06   0.246163E+06   0.328079E+06   0.328063E+06   0.300106E+06   0.246998E+06   0.246163E+06   0.252801E+06  -0.604623E+00   0.245006E+06   0.245006E+06   0.386714E+01
   0.111402E-03   0.246162E+06   0.246161E+06   0.328042E+06   0.328022E+06   0.300073E+06   0.246996E+06   0.246162E+06   0.252799E+06  -0.604616E+00   0.245005E+06   0.245004E+06   0.432156E+01
   0.124493E-03   0.246160E+06   0.246159E+06   0.327996E+06   0.327971E+06   0.300032E+06   0.246993E+06   0.246160E+06   0.252795E+06  -0.604607E+00   0.245003E+06   0.245002E+06   0.482938E+01
   0.139124E-03   0.246157E+06   0.246156E+06   0.327939E+06   0.327908E+06   0.299980E+06   0.246990E+06   0.246157E+06   0.252791E+06  -0.604596E+00   0.245000E+06   0.245000E+06   0.539684E+01
   0.155474E-03   0.246154E+06   0.246152E+06   0.327868E+06   0.327828E+06   0.299915E+06   0.246986E+06   0.246154E+06   0.252785E+06  -0.604583E+00   0.244997E+06   0.244996E+06   0.603097E+01
   0.173745E-03   0.246150E+06   0.246148E+06   0.327778E+06   0.327729E+06   0.299835E+06   0.246981E+06   0.246150E+06   0.252779E+06  -0.604566E+00   0.244993E+06   0.244992E+06   0.673958E+01
   0.194163E-03   0.246145E+06   0.246142E+06   0.327667E+06   0.327606E+06   0.299734E+06   0.246974E+06   0.246145E+06   0.252770E+06  -0.604545E+00   0.244988E+06   0.244987E+06   0.753140E+01
   0.216981E-03   0.246139E+06   0.246135E+06   0.327528E+06   0.327451E+06   0.299609E+06   0.246966E+06   0.246139E+06   0.252760E+06  -0.604518E+00   0.244982E+06   0.244981E+06   0.841620E+01
   0.242480E-03   0.246132E+06   0.246127E+06   0.327354E+06   0.327259E+06   0.299452E+06   0.246956E+06   0.246131E+06   0.252747E+06  -0.604485E+00   0.244974E+06   0.244973E+06   0.940486E+01
   0.270976E-03   0.246122E+06   0.246116E+06   0.327137E+06   0.327018E+06   0.299257E+06   0.246943E+06   0.246121E+06   0.252730E+06  -0.604444E+00   0.244964E+06   0.244963E+06   0.105096E+02
   0.302821E-03   0.246110E+06   0.246102E+06   0.326867E+06   0.326718E+06   0.299012E+06   0.246928E+06   0.246109E+06   0.252710E+06  -0.604392E+00   0.244952E+06   0.244950E+06   0.117438E+02
   0.338408E-03   0.246096E+06   0.246086E+06   0.326529E+06   0.326344E+06   0.298708E+06   0.246908E+06   0.246094E+06   0.252684E+06  -0.604328E+00   0.244937E+06   0.244934E+06   0.131229E+02
   0.378178E-03   0.246077E+06   0.246065E+06   0.326108E+06   0.325877E+06   0.298328E+06   0.246884E+06   0.246075E+06   0.252652E+06  -0.604248E+00   0.244918E+06   0.244915E+06   0.146635E+02
   0.422621E-03   0.246054E+06   0.246038E+06   0.325583E+06   0.325294E+06   0.297854E+06   0.246853E+06   0.246051E+06   0.252612E+06  -0.604148E+00   0.244894E+06   0.244891E+06   0.163847E+02
   0.472287E-03   0.246025E+06   0.246006E+06   0.324928E+06   0.324568E+06   0.297263E+06   0.246815E+06   0.246022E+06   0.252562E+06  -0.604023E+00   0.244865E+06   0.244860E+06   0.183072E+02
   0.527790E-03   0.245989E+06   0.245965E+06   0.324111E+06   0.323664E+06   0.296527E+06   0.246767E+06   0.245985E+06   0.252500E+06  -0.603867E+00   0.244828E+06   0.244822E+06   0.204546E+02
   0.589815E-03   0.245944E+06   0.245914E+06   0.323094E+06   0.322537E+06   0.295610E+06   0.246708E+06   0.245939E+06   0.252423E+06  -0.603672E+00   0.244782E+06   0.244775E+06   0.228526E+02
