#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.193679E+08   0.193675E+08   0.117480E+06   0.115844E+06   0.173970E+08   0.193512E+08   0.193678E+08   0.193512E+08  -0.448293E+00   0.960824E+07   0.960824E+07   0.846347E+00
   0.200226E-02   0.192679E+08   0.192674E+08   0.300429E+05   0.313929E+05   0.170115E+08   0.192488E+08   0.192678E+08   0.192488E+08  -0.445918E+00   0.955764E+07   0.955764E+07   0.925339E+00
   0.223756E-02   0.191522E+08   0.191515E+08   0.368083E+05   0.363017E+05   0.165937E+08   0.191305E+08   0.191521E+08   0.191305E+08  -0.443176E+00   0.949923E+07   0.949922E+07   0.101109E+01
   0.250052E-02   0.190191E+08   0.190183E+08   0.131957E+05   0.112056E+05   0.161431E+08   0.189948E+08   0.190190E+08   0.189948E+08  -0.440030E+00   0.943218E+07   0.943218E+07   0.110412E+01
   0.279438E-02   0.188671E+08   0.188661E+08   0.218746E+04  -0.965936E+03   0.156580E+08   0.188399E+08   0.188669E+08   0.188399E+08  -0.436441E+00   0.935567E+07   0.935566E+07   0.120501E+01
   0.312277E-02   0.186943E+08   0.186930E+08  -0.782670E+02  -0.478556E+04   0.151366E+08   0.186641E+08   0.186941E+08   0.186641E+08  -0.432368E+00   0.926884E+07   0.926882E+07   0.131432E+01
   0.348976E-02   0.184990E+08   0.184974E+08  -0.685043E+04  -0.625494E+04   0.145777E+08   0.184657E+08   0.184987E+08   0.184657E+08  -0.427771E+00   0.917080E+07   0.917079E+07   0.143267E+01
   0.389987E-02   0.182794E+08   0.182775E+08  -0.129975E+05  -0.132585E+05   0.139814E+08   0.182428E+08   0.182791E+08   0.182428E+08  -0.422608E+00   0.906069E+07   0.906067E+07   0.156065E+01
   0.435818E-02   0.180337E+08   0.180314E+08  -0.848124E+04  -0.914054E+04   0.133485E+08   0.179938E+08   0.180333E+08   0.179938E+08  -0.416838E+00   0.893761E+07   0.893759E+07   0.169884E+01
   0.440687E-02   0.180076E+08   0.180052E+08  -0.100669E+05  -0.103586E+05   0.132833E+08   0.179674E+08   0.180072E+08   0.179674E+08  -0.416227E+00   0.892455E+07   0.892453E+07   0.171325E+01
   0.445611E-02   0.179812E+08   0.179788E+08  -0.114632E+05  -0.114028E+05   0.132178E+08   0.179407E+08   0.179809E+08   0.179407E+08  -0.415608E+00   0.891136E+07   0.891134E+07   0.172776E+01
   0.450590E-02   0.179546E+08   0.179521E+08  -0.123468E+05  -0.120284E+05   0.131519E+08   0.179137E+08   0.179542E+08   0.179137E+08  -0.414983E+00   0.889802E+07   0.889800E+07   0.174238E+01
   0.455624E-02   0.179277E+08   0.179252E+08  -0.125050E+05  -0.120901E+05   0.130857E+08   0.178865E+08   0.179273E+08   0.178865E+08  -0.414352E+00   0.888455E+07   0.888452E+07   0.175711E+01
   0.460715E-02   0.179005E+08   0.178979E+08  -0.118897E+05  -0.115790E+05   0.130192E+08   0.178589E+08   0.179001E+08   0.178589E+08  -0.413713E+00   0.887093E+07   0.887090E+07   0.177195E+01
   0.465863E-02   0.178730E+08   0.178703E+08  -0.106349E+05  -0.106264E+05   0.129524E+08   0.178311E+08   0.178726E+08   0.178311E+08  -0.413069E+00   0.885717E+07   0.885714E+07   0.178689E+01
   0.471068E-02   0.178452E+08   0.178425E+08  -0.902948E+04  -0.947321E+04   0.128852E+08   0.178030E+08   0.178448E+08   0.178030E+08  -0.412417E+00   0.884326E+07   0.884324E+07   0.180195E+01
   0.476331E-02   0.178171E+08   0.178144E+08  -0.745008E+04  -0.840871E+04   0.128178E+08   0.177745E+08   0.178167E+08   0.177745E+08  -0.411759E+00   0.882921E+07   0.882918E+07   0.181712E+01
