# L    TT    EE    TE    PP    TP
2 7.35385E+02 9.85925E-07 2.17285E-02 8.46397E+05 1.91282E+04
3 7.18264E+02 4.67174E-06 4.90570E-02 1.30218E+06 2.28727E+04
4 6.99411E+02 1.34799E-05 8.36668E-02 1.70801E+06 2.46500E+04
5 6.85958E+02 3.04510E-05 1.24930E-01 2.06690E+06 2.53929E+04
6 6.77868E+02 5.91974E-05 1.72318E-01 2.38410E+06 2.55652E+04
7 6.74023E+02 1.03853E-04 2.25282E-01 2.66572E+06 2.54069E+04
8 6.73073E+02 1.69004E-04 2.83153E-01 2.91690E+06 2.50522E+04
9 6.74581E+02 2.59748E-04 3.45502E-01 3.14183E+06 2.45774E+04
10 6.77924E+02 3.81364E-04 4.11603E-01 3.34358E+06 2.40299E+04
11 6.82690E+02 5.39894E-04 4.81027E-01 3.52587E+06 2.34546E+04
12 6.89040E+02 7.41343E-04 5.53608E-01 3.68945E+06 2.28550E+04
13 6.96152E+02 9.92070E-04 6.28041E-01 3.83803E+06 2.22722E+04
14 7.03991E+02 1.29837E-03 7.03982E-01 3.97191E+06 2.16857E+04
15 7.12417E+02 1.66769E-03 7.80808E-01 4.09378E+06 2.11150E+04
16 7.21708E+02 2.10740E-03 8.58788E-01 4.20438E+06 2.05508E+04
17 7.31456E+02 2.62485E-03 9.36675E-01 4.30390E+06 2.00043E+04
18 7.41334E+02 3.22618E-03 1.01367E+00 4.39477E+06 1.94783E+04
19 7.52292E+02 3.92257E-03 1.09038E+00 4.47725E+06 1.89774E+04
20 7.63361E+02 4.71764E-03 1.16551E+00 4.55155E+06 1.84877E+04
21 7.74729E+02 5.62042E-03 1.23841E+00 4.61886E+06 1.80185E+04
22 7.86338E+02 6.63912E-03 1.30898E+00 4.67984E+06 1.75670E+04
23 7.98208E+02 7.78164E-03 1.37657E+00 4.73495E+06 1.71322E+04
24 8.10311E+02 9.05506E-03 1.44007E+00 4.78420E+06 1.67198E+04
25 8.22647E+02 1.04681E-02 1.49974E+00 4.82861E+06 1.63232E+04
26 8.35197E+02 1.20275E-02 1.55542E+00 4.86846E+06 1.59396E+04
27 8.47979E+02 1.37415E-02 1.60643E+00 4.90374E+06 1.55700E+04
28 8.60855E+02 1.56184E-02 1.65187E+00 4.93521E+06 1.52171E+04
29 8.74001E+02 1.76647E-02 1.69106E+00 4.96277E+06 1.48810E+04
30 8.87295E+02 1.98870E-02 1.72476E+00 4.98707E+06 1.45543E+04
31 9.00702E+02 2.22946E-02 1.75223E+00 5.00783E+06 1.42396E+04
32 9.14294E+02 2.48930E-02 1.77271E+00 5.02580E+06 1.39370E+04
33 9.28017E+02 2.76897E-02 1.78509E+00 5.04097E+06 1.36484E+04
34 9.41889E+02 3.06894E-02 1.79031E+00 5.05354E+06 1.33700E+04
35 9.55947E+02 3.39004E-02 1.78798E+00 5.06369E+06 1.31000E+04
36 9.70098E+02 3.73292E-02 1.77736E+00 5.07151E+06 1.28403E+04
37 9.84342E+02 4.09815E-02 1.75772E+00 5.07737E+06 1.25908E+04
38 9.98773E+02 4.48628E-02 1.72933E+00 5.08119E+06 1.23497E+04
39 1.01339E+03 4.89760E-02 1.69181E+00 5.08305E+06 1.21169E+04
40 1.02801E+03 5.33256E-02 1.64442E+00 5.08333E+06 1.18935E+04
41 1.04290E+03 5.79201E-02 1.58670E+00 5.08194E+06 1.16775E+04
42 1.05780E+03 6.27640E-02 1.51939E+00 5.07905E+06 1.14689E+04
43 1.07297E+03 6.78603E-02 1.44276E+00 5.07477E+06 1.12660E+04
44 1.08806E+03 7.32061E-02 1.35562E+00 5.06918E+06 1.10695E+04
45 1.10342E+03 7.88107E-02 1.25684E+00 5.06229E+06 1.08806E+04
46 1.11896E+03 8.46834E-02 1.14708E+00 5.05429E+06 1.06981E+04
47 1.13461E+03 9.08140E-02 1.02717E+00 5.04516E+06 1.05203E+04
48 1.15025E+03 9.72146E-02 8.96075E-01 5.03511E+06 1.03480E+04
49 1.16607E+03 1.03871E-01 7.52980E-01 5.02394E+06 1.01823E+04
50 1.18227E+03 1.10807E-01 5.98333E-01 5.01202E+06 1.00212E+04
51 1.19829E+03 1.18022E-01 4.32774E-01 4.99926E+06 9.86484E+03
52 1.21476E+03 1.25489E-01 2.55558E-01 4.98576E+06 9.71215E+03
53 1.23134E+03 1.33235E-01 6.58577E-02 4.97152E+06 9.56506E+03
54 1.24791E+03 1.41241E-01 -1.35693E-01 4.95653E+06 9.42261E+03
