#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.236420E+07   0.236420E+07   0.314353E+07   0.314342E+07   0.236630E+07   0.236426E+07   0.236420E+07   0.237047E+07  -0.600282E+00   0.235991E+07   0.235991E+07   0.405848E+00
   0.798228E-04   0.236418E+07   0.236418E+07   0.314133E+07   0.314119E+07   0.236622E+07   0.236423E+07   0.236418E+07   0.237044E+07  -0.600275E+00   0.235989E+07   0.235989E+07   0.453522E+00
   0.892035E-04   0.236415E+07   0.236415E+07   0.313859E+07   0.313841E+07   0.236611E+07   0.236421E+07   0.236415E+07   0.237041E+07  -0.600266E+00   0.235986E+07   0.235986E+07   0.506791E+00
   0.996866E-04   0.236412E+07   0.236412E+07   0.313517E+07   0.313495E+07   0.236598E+07   0.236417E+07   0.236412E+07   0.237037E+07  -0.600255E+00   0.235983E+07   0.235983E+07   0.566308E+00
   0.111402E-03   0.236408E+07   0.236408E+07   0.313090E+07   0.313063E+07   0.236582E+07   0.236413E+07   0.236408E+07   0.237032E+07  -0.600241E+00   0.235978E+07   0.235978E+07   0.632803E+00
   0.124493E-03   0.236403E+07   0.236402E+07   0.312558E+07   0.312524E+07   0.236562E+07   0.236407E+07   0.236403E+07   0.237025E+07  -0.600224E+00   0.235973E+07   0.235973E+07   0.707090E+00
   0.139124E-03   0.236396E+07   0.236396E+07   0.311894E+07   0.311852E+07   0.236536E+07   0.236400E+07   0.236396E+07   0.237017E+07  -0.600202E+00   0.235967E+07   0.235967E+07   0.790076E+00
   0.155474E-03   0.236388E+07   0.236388E+07   0.311067E+07   0.311015E+07   0.236504E+07   0.236392E+07   0.236388E+07   0.237007E+07  -0.600175E+00   0.235958E+07   0.235958E+07   0.882771E+00
   0.173745E-03   0.236379E+07   0.236378E+07   0.310037E+07   0.309972E+07   0.236465E+07   0.236381E+07   0.236378E+07   0.236994E+07  -0.600141E+00   0.235948E+07   0.235948E+07   0.986299E+00
   0.194163E-03   0.236366E+07   0.236366E+07   0.308756E+07   0.308674E+07   0.236415E+07   0.236368E+07   0.236366E+07   0.236978E+07  -0.600099E+00   0.235935E+07   0.235935E+07   0.110191E+01
   0.216981E-03   0.236351E+07   0.236350E+07   0.307162E+07   0.307061E+07   0.236354E+07   0.236351E+07   0.236351E+07   0.236958E+07  -0.600047E+00   0.235919E+07   0.235919E+07   0.123099E+01
   0.242480E-03   0.236332E+07   0.236331E+07   0.305182E+07   0.305058E+07   0.236277E+07   0.236330E+07   0.236332E+07   0.236933E+07  -0.599982E+00   0.235899E+07   0.235899E+07   0.137507E+01
   0.270976E-03   0.236308E+07   0.236307E+07   0.302727E+07   0.302573E+07   0.236180E+07   0.236304E+07   0.236308E+07   0.236902E+07  -0.599900E+00   0.235874E+07   0.235874E+07   0.153586E+01
   0.302821E-03   0.236278E+07   0.236277E+07   0.299686E+07   0.299496E+07   0.236061E+07   0.236272E+07   0.236278E+07   0.236864E+07  -0.599799E+00   0.235843E+07   0.235843E+07   0.171523E+01
   0.338408E-03   0.236241E+07   0.236239E+07   0.295928E+07   0.295695E+07   0.235911E+07   0.236231E+07   0.236241E+07   0.236816E+07  -0.599672E+00   0.235804E+07   0.235804E+07   0.191524E+01
   0.378178E-03   0.236194E+07   0.236193E+07   0.291297E+07   0.291011E+07   0.235725E+07   0.236181E+07   0.236194E+07   0.236756E+07  -0.599515E+00   0.235756E+07   0.235756E+07   0.213815E+01
   0.422621E-03   0.236137E+07   0.236134E+07   0.285608E+07   0.285259E+07   0.235493E+07   0.236118E+07   0.236136E+07   0.236682E+07  -0.599320E+00   0.235695E+07   0.235695E+07   0.238642E+01
   0.472287E-03   0.236065E+07   0.236062E+07   0.278648E+07   0.278226E+07   0.235204E+07   0.236040E+07   0.236064E+07   0.236590E+07  -0.599077E+00   0.235620E+07   0.235620E+07   0.266270E+01
   0.527790E-03   0.235975E+07   0.235972E+07   0.270179E+07   0.269673E+07   0.234845E+07   0.235942E+07   0.235975E+07   0.236476E+07  -0.598776E+00   0.235527E+07   0.235526E+07   0.296986E+01
   0.589815E-03   0.235864E+07   0.235860E+07   0.259939E+07   0.259338E+07   0.234398E+07   0.235821E+07   0.235863E+07   0.236335E+07  -0.598403E+00   0.235410E+07   0.235410E+07   0.331094E+01
   0.659130E-03   0.235726E+07   0.235721E+07   0.247663E+07   0.246958E+07   0.233844E+07   0.235671E+07   0.235725E+07   0.236161E+07  -0.597942E+00   0.235266E+07   0.235265E+07   0.368913E+01
   0.736590E-03   0.235555E+07   0.235548E+07   0.233096E+07   0.232284E+07   0.233157E+07   0.235485E+07   0.235554E+07   0.235946E+07  -0.597373E+00   0.235086E+07   0.235086E+07   0.410773E+01
   0.823153E-03   0.235343E+07   0.235335E+07   0.216040E+07   0.215126E+07   0.232307E+07   0.235255E+07   0.235342E+07   0.235682E+07  -0.596675E+00   0.234864E+07   0.234863E+07   0.457009E+01
   0.919889E-03   0.235082E+07   0.235071E+07   0.196403E+07   0.195403E+07   0.231257E+07   0.234970E+07   0.235080E+07   0.235359E+07  -0.595819E+00   0.234589E+07   0.234588E+07   0.507954E+01
   0.102799E-02   0.234760E+07   0.234747E+07   0.174278E+07   0.173228E+07   0.229965E+07   0.234620E+07   0.234757E+07   0.234964E+07  -0.594775E+00   0.234249E+07   0.234248E+07   0.563930E+01
   0.114880E-02   0.234364E+07   0.234348E+07   0.150032E+07   0.148988E+07   0.228380E+07   0.234190E+07   0.234361E+07   0.234486E+07  -0.593508E+00   0.233832E+07   0.233831E+07   0.625239E+01
   0.128381E-02   0.233880E+07   0.233860E+07   0.124404E+07   0.123447E+07   0.226445E+07   0.233664E+07   0.233877E+07   0.233909E+07  -0.591979E+00   0.233320E+07   0.233318E+07   0.692158E+01
   0.143468E-02   0.233290E+07   0.233265E+07   0.985717E+06   0.978016E+06   0.224093E+07   0.233022E+07   0.233286E+07   0.233217E+07  -0.590147E+00   0.232695E+07   0.232693E+07   0.764941E+01
   0.160328E-02   0.232576E+07   0.232545E+07   0.741370E+06   0.736540E+06   0.221272E+07   0.232247E+07   0.232571E+07   0.232393E+07  -0.587967E+00   0.231937E+07   0.231934E+07   0.843831E+01
   0.179170E-02   0.231715E+07   0.231676E+07   0.529512E+06   0.528237E+06   0.217881E+07   0.231312E+07   0.231708E+07   0.231417E+07  -0.585390E+00   0.231020E+07   0.231018E+07   0.929087E+01
   0.200226E-02   0.230684E+07   0.230635E+07   0.367112E+06   0.369301E+06   0.213857E+07   0.230193E+07   0.230676E+07   0.230266E+07  -0.582368E+00   0.229922E+07   0.229918E+07   0.102103E+02
   0.223756E-02   0.229457E+07   0.229397E+07   0.263321E+06   0.267706E+06   0.209141E+07   0.228865E+07   0.229447E+07   0.228917E+07  -0.578846E+00   0.228614E+07   0.228610E+07   0.112010E+02
   0.250052E-02   0.228009E+07   0.227934E+07   0.212890E+06   0.217094E+06   0.203686E+07   0.227300E+07   0.227997E+07   0.227342E+07  -0.574765E+00   0.227072E+07   0.227067E+07   0.122689E+02
   0.279438E-02   0.226312E+07   0.226219E+07   0.193990E+06   0.195515E+06   0.197474E+07   0.225470E+07   0.226297E+07   0.225509E+07  -0.570054E+00   0.225269E+07   0.225263E+07   0.134216E+02
   0.312277E-02   0.224338E+07   0.224222E+07   0.176373E+06   0.174463E+06   0.190527E+07   0.223350E+07   0.224318E+07   0.223384E+07  -0.564635E+00   0.223179E+07   0.223172E+07   0.146673E+02
   0.348976E-02   0.222057E+07   0.221912E+07   0.140711E+06   0.137657E+06   0.182910E+07   0.220911E+07   0.222033E+07   0.220939E+07  -0.558424E+00   0.220778E+07   0.220768E+07   0.160141E+02
   0.389987E-02   0.219441E+07   0.219262E+07   0.956026E+05   0.950518E+05   0.174733E+07   0.218130E+07   0.219411E+07   0.218149E+07  -0.551349E+00   0.218038E+07   0.218027E+07   0.174685E+02
   0.435818E-02   0.216463E+07   0.216241E+07   0.675477E+05   0.697851E+05   0.166135E+07   0.214984E+07   0.216426E+07   0.214997E+07  -0.543354E+00   0.214938E+07   0.214924E+07   0.190360E+02
   0.440687E-02   0.216144E+07   0.215918E+07   0.662721E+05   0.685858E+05   0.165258E+07   0.214649E+07   0.216106E+07   0.214662E+07  -0.542502E+00   0.214607E+07   0.214592E+07   0.191991E+02
   0.445611E-02   0.215822E+07   0.215590E+07   0.652440E+05   0.675812E+05   0.164378E+07   0.214309E+07   0.215783E+07   0.214322E+07  -0.541641E+00   0.214272E+07   0.214258E+07   0.193635E+02
   0.450590E-02   0.215495E+07   0.215259E+07   0.644399E+05   0.667467E+05   0.163496E+07   0.213966E+07   0.215456E+07   0.213979E+07  -0.540770E+00   0.213934E+07   0.213919E+07   0.195290E+02
   0.455624E-02   0.215165E+07   0.214924E+07   0.638320E+05   0.660546E+05   0.162611E+07   0.213619E+07   0.215125E+07   0.213632E+07  -0.539890E+00   0.213592E+07   0.213576E+07   0.196958E+02
   0.460715E-02   0.214831E+07   0.214584E+07   0.633887E+05   0.654750E+05   0.161723E+07   0.213268E+07   0.214790E+07   0.213281E+07  -0.539000E+00   0.213245E+07   0.213230E+07   0.198638E+02
   0.465863E-02   0.214493E+07   0.214241E+07   0.630756E+05   0.649761E+05   0.160834E+07   0.212914E+07   0.214451E+07   0.212926E+07  -0.538100E+00   0.212895E+07   0.212879E+07   0.200330E+02
