# L    TT    EE    TE    PP    TP
77 1.76422E+03 3.83256E-01 -8.15105E+00 4.28717E+06 7.15591E+03
78 1.78676E+03 3.96319E-01 -8.62257E+00 4.26482E+06 7.06381E+03
79 1.80949E+03 4.09511E-01 -9.10111E+00 4.24237E+06 6.97383E+03
80 1.83240E+03 4.22823E-01 -9.58740E+00 4.22001E+06 6.88569E+03
81 1.85558E+03 4.36209E-01 -1.00835E+01 4.19756E+06 6.79959E+03
82 1.87896E+03 4.49688E-01 -1.05870E+01 4.17502E+06 6.71543E+03
83 1.90261E+03 4.63240E-01 -1.10988E+01 4.15257E+06 6.63312E+03
84 1.92644E+03 4.76857E-01 -1.16170E+01 4.13012E+06 6.55256E+03
85 1.95037E+03 4.90530E-01 -1.21427E+01 4.10767E+06 6.47367E+03
86 1.97457E+03 5.04249E-01 -1.26757E+01 4.08522E+06 6.39653E+03
87 1.99915E+03 5.18004E-01 -1.32143E+01 4.06278E+06 6.32087E+03
88 2.02372E+03 5.31806E-01 -1.37594E+01 4.04033E+06 6.24687E+03
89 2.04857E+03 5.45627E-01 -1.43109E+01 4.01797E+06 6.17426E+03
90 2.07370E+03 5.59438E-01 -1.48661E+01 3.99561E+06 6.10303E+03
91 2.09892E+03 5.73240E-01 -1.54259E+01 3.97335E+06 6.03319E+03
92 2.12442E+03 5.87014E-01 -1.59904E+01 3.95118E+06 5.96464E+03
93 2.15019E+03 6.00751E-01 -1.65586E+01 3.92901E+06 5.89739E+03
94 2.17606E+03 6.14414E-01 -1.71295E+01 3.90693E+06 5.83143E+03
95 2.20211E+03 6.28022E-01 -1.77041E+01 3.88494E+06 5.76667E+03
96 2.22825E+03 6.41538E-01 -1.82806E+01 3.86295E+06 5.70302E+03
97 2.25468E+03 6.54970E-01 -1.88607E+01 3.84106E+06 5.64057E+03
98 2.28137E+03 6.68291E-01 -1.94399E+01 3.81935E+06 5.57923E+03
99 2.30807E+03 6.81493E-01 -2.00220E+01 3.79764E+06 5.51890E+03
100 2.33514E+03 6.94546E-01 -2.06040E+01 3.77602E+06 5.45968E+03
101 2.36221E+03 7.07526E-01 -2.11869E+01 3.75450E+06 5.40158E+03
102 2.38983E+03 7.20293E-01 -2.17689E+01 3.73316E+06 5.34439E+03
103 2.41736E+03 7.32903E-01 -2.23518E+01 3.71182E+06 5.28822E+03
104 2.44498E+03 7.45375E-01 -2.29320E+01 3.69057E+06 5.23298E+03
105 2.47288E+03 7.57625E-01 -2.35112E+01 3.66951E+06 5.17866E+03
106 2.50087E+03 7.69727E-01 -2.40886E+01 3.64844E+06 5.12535E+03
107 2.52886E+03 7.81543E-01 -2.46632E+01 3.62756E+06 5.07288E+03
108 2.55713E+03 7.93136E-01 -2.52351E+01 3.60678E+06 5.02133E+03
109 2.58550E+03 8.04444E-01 -2.58032E+01 3.58608E+06 4.97061E+03
110 2.61404E+03 8.15474E-01 -2.63658E+01 3.56548E+06 4.92064E+03
111 2.64259E+03 8.26274E-01 -2.69257E+01 3.54507E+06 4.87158E+03
112 2.67141E+03 8.36796E-01 -2.74809E+01 3.52474E+06 4.82326E+03
113 2.70033E+03 8.47023E-01 -2.80296E+01 3.50451E+06 4.77578E+03
