#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11110E+04    0.32310E-01    0.12807E-02    0.32310E-01    0.14634E-05   -0.20348E-07    0.12807E-02   -0.20348E-07    0.10093E-07
     3    0.10830E+04    0.73017E-01    0.90600E-03    0.73017E-01    0.69318E-05   -0.24415E-07    0.90600E-03   -0.24415E-07    0.61360E-08
     4    0.10530E+04    0.12456E+00    0.68597E-03    0.12456E+00    0.19996E-04   -0.26549E-07    0.68597E-03   -0.26549E-07    0.42450E-08
     5    0.10317E+04    0.18600E+00    0.54249E-03    0.18600E+00    0.45163E-04   -0.27897E-07    0.54249E-03   -0.27897E-07    0.31568E-08
     6    0.10187E+04    0.25651E+00    0.44242E-03    0.25651E+00    0.87784E-04   -0.28777E-07    0.44242E-03   -0.28777E-07    0.24587E-08
     7    0.10123E+04    0.33532E+00    0.36917E-03    0.33532E+00    0.15399E-03   -0.29384E-07    0.36917E-03   -0.29384E-07    0.19789E-08
     8    0.10104E+04    0.42141E+00    0.31357E-03    0.42141E+00    0.25055E-03   -0.29849E-07    0.31357E-03   -0.29849E-07    0.16322E-08
     9    0.10123E+04    0.51413E+00    0.27012E-03    0.51413E+00    0.38506E-03   -0.30245E-07    0.27012E-03   -0.30245E-07    0.13721E-08
    10    0.10170E+04    0.61241E+00    0.23537E-03    0.61241E+00    0.56530E-03   -0.30541E-07    0.23537E-03   -0.30541E-07    0.11712E-08
    11    0.10239E+04    0.71561E+00    0.20718E-03    0.71561E+00    0.80023E-03   -0.30746E-07    0.20718E-03   -0.30746E-07    0.10124E-08
    12    0.10333E+04    0.82347E+00    0.18383E-03    0.82347E+00    0.10988E-02   -0.30835E-07    0.18383E-03   -0.30835E-07    0.88412E-09
    13    0.10438E+04    0.93406E+00    0.16443E-03    0.93406E+00    0.14703E-02   -0.30893E-07    0.16443E-03   -0.30893E-07    0.77918E-09
    14    0.10555E+04    0.10469E+01    0.14796E-03    0.10469E+01    0.19242E-02   -0.30925E-07    0.14796E-03   -0.30925E-07    0.69184E-09
    15    0.10681E+04    0.11610E+01    0.13391E-03    0.11610E+01    0.24714E-02   -0.30966E-07    0.13391E-03   -0.30966E-07    0.61850E-09
    16    0.10820E+04    0.12767E+01    0.12174E-03    0.12767E+01    0.31228E-02   -0.30989E-07    0.12174E-03   -0.30989E-07    0.55620E-09
