#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.525931E+06   0.525930E+06   0.700867E+06   0.700846E+06   0.534477E+06   0.526208E+06   0.525931E+06   0.532678E+06  -0.602505E+00   0.524324E+06   0.524324E+06   0.160788E+01
   0.798228E-04   0.525928E+06   0.525928E+06   0.700770E+06   0.700744E+06   0.534455E+06   0.526204E+06   0.525928E+06   0.532674E+06  -0.602500E+00   0.524321E+06   0.524321E+06   0.179681E+01
   0.892035E-04   0.525925E+06   0.525924E+06   0.700649E+06   0.700616E+06   0.534429E+06   0.526200E+06   0.525925E+06   0.532668E+06  -0.602494E+00   0.524317E+06   0.524317E+06   0.200795E+01
   0.996866E-04   0.525921E+06   0.525920E+06   0.700499E+06   0.700457E+06   0.534395E+06   0.526195E+06   0.525920E+06   0.532662E+06  -0.602486E+00   0.524313E+06   0.524313E+06   0.224388E+01
   0.111402E-03   0.525915E+06   0.525914E+06   0.700310E+06   0.700259E+06   0.534354E+06   0.526189E+06   0.525915E+06   0.532654E+06  -0.602477E+00   0.524307E+06   0.524307E+06   0.250753E+01
   0.124493E-03   0.525909E+06   0.525907E+06   0.700075E+06   0.700011E+06   0.534302E+06   0.526181E+06   0.525909E+06   0.532644E+06  -0.602464E+00   0.524300E+06   0.524300E+06   0.280215E+01
   0.139124E-03   0.525901E+06   0.525899E+06   0.699782E+06   0.699702E+06   0.534237E+06   0.526170E+06   0.525900E+06   0.532631E+06  -0.602449E+00   0.524291E+06   0.524291E+06   0.313135E+01
   0.155474E-03   0.525891E+06   0.525888E+06   0.699416E+06   0.699316E+06   0.534156E+06   0.526158E+06   0.525890E+06   0.532615E+06  -0.602430E+00   0.524280E+06   0.524279E+06   0.349921E+01
   0.173745E-03   0.525878E+06   0.525875E+06   0.698959E+06   0.698834E+06   0.534055E+06   0.526142E+06   0.525877E+06   0.532595E+06  -0.602407E+00   0.524266E+06   0.524265E+06   0.391025E+01
   0.194163E-03   0.525862E+06   0.525858E+06   0.698388E+06   0.698232E+06   0.533929E+06   0.526123E+06   0.525861E+06   0.532570E+06  -0.602377E+00   0.524249E+06   0.524248E+06   0.436951E+01
   0.216981E-03   0.525842E+06   0.525837E+06   0.697676E+06   0.697482E+06   0.533771E+06   0.526098E+06   0.525841E+06   0.532539E+06  -0.602341E+00   0.524227E+06   0.524226E+06   0.488264E+01
   0.242480E-03   0.525817E+06   0.525811E+06   0.696788E+06   0.696545E+06   0.533575E+06   0.526068E+06   0.525816E+06   0.532500E+06  -0.602295E+00   0.524200E+06   0.524199E+06   0.545593E+01
   0.270976E-03   0.525786E+06   0.525779E+06   0.695680E+06   0.695378E+06   0.533329E+06   0.526030E+06   0.525785E+06   0.532452E+06  -0.602237E+00   0.524166E+06   0.524165E+06   0.609639E+01
   0.302821E-03   0.525748E+06   0.525738E+06   0.694299E+06   0.693922E+06   0.533023E+06   0.525982E+06   0.525746E+06   0.532392E+06  -0.602166E+00   0.524124E+06   0.524122E+06   0.681182E+01
   0.338408E-03   0.525700E+06   0.525687E+06   0.692577E+06   0.692108E+06   0.532641E+06   0.525923E+06   0.525698E+06   0.532316E+06  -0.602076E+00   0.524071E+06   0.524069E+06   0.761095E+01
   0.378178E-03   0.525640E+06   0.525624E+06   0.690432E+06   0.689849E+06   0.532164E+06   0.525848E+06   0.525637E+06   0.532222E+06  -0.601965E+00   0.524006E+06   0.524003E+06   0.850343E+01
   0.422621E-03   0.525565E+06   0.525545E+06   0.687762E+06   0.687037E+06   0.531570E+06   0.525756E+06   0.525561E+06   0.532105E+06  -0.601826E+00   0.523924E+06   0.523920E+06   0.950002E+01
   0.472287E-03   0.525471E+06   0.525447E+06   0.684440E+06   0.683539E+06   0.530828E+06   0.525641E+06   0.525467E+06   0.531959E+06  -0.601653E+00   0.523821E+06   0.523817E+06   0.106127E+02
   0.527790E-03   0.525354E+06   0.525324E+06   0.680312E+06   0.679195E+06   0.529905E+06   0.525497E+06   0.525349E+06   0.531777E+06  -0.601437E+00   0.523694E+06   0.523688E+06   0.118546E+02
   0.589815E-03   0.525208E+06   0.525171E+06   0.675188E+06   0.673804E+06   0.528755E+06   0.525317E+06   0.525202E+06   0.531550E+06  -0.601168E+00   0.523534E+06   0.523528E+06   0.132404E+02
