#           k/h    P           
    0.10000E-03    0.61687E-01
    0.10202E-03    0.62895E-01
    0.10408E-03    0.64127E-01
    0.10618E-03    0.65383E-01
    0.10833E-03    0.66664E-01
    0.11052E-03    0.67969E-01
    0.11275E-03    0.69300E-01
    0.11503E-03    0.70658E-01
    0.11735E-03    0.72042E-01
    0.11972E-03    0.73453E-01
    0.12214E-03    0.74891E-01
    0.12461E-03    0.76358E-01
    0.12712E-03    0.77853E-01
    0.12969E-03    0.79378E-01
    0.13231E-03    0.80933E-01
    0.13499E-03    0.82518E-01
    0.13771E-03    0.84134E-01
    0.14049E-03    0.85781E-01
    0.14333E-03    0.87461E-01
    0.14623E-03    0.89174E-01
    0.14918E-03    0.90920E-01
    0.15220E-03    0.92701E-01
    0.15527E-03    0.94516E-01
    0.15841E-03    0.96367E-01
    0.16161E-03    0.98254E-01
    0.16487E-03    0.10018E+00
    0.16820E-03    0.10214E+00
    0.17160E-03    0.10414E+00
    0.17507E-03    0.10618E+00
    0.17860E-03    0.10826E+00
    0.18221E-03    0.11038E+00
    0.18589E-03    0.11254E+00
    0.18965E-03    0.11474E+00
    0.19348E-03    0.11699E+00
    0.19739E-03    0.11928E+00
    0.20138E-03    0.12161E+00
    0.20544E-03    0.12400E+00
    0.20959E-03    0.12642E+00
    0.21383E-03    0.12890E+00
    0.21815E-03    0.13142E+00
    0.22255E-03    0.13399E+00
    0.22705E-03    0.13662E+00
    0.23164E-03    0.13929E+00
    0.23632E-03    0.14202E+00
    0.24109E-03    0.14480E+00
    0.24596E-03    0.14763E+00
    0.25093E-03    0.15052E+00
    0.25600E-03    0.15347E+00
    0.26117E-03    0.15647E+00
    0.26645E-03    0.15953E+00
    0.27183E-03    0.16265E+00
    0.27732E-03    0.16584E+00
    0.28292E-03    0.16908E+00
    0.28864E-03    0.17239E+00
    0.29447E-03    0.17576E+00
    0.30042E-03    0.17920E+00
    0.30649E-03    0.18271E+00
    0.31268E-03    0.18628E+00
    0.31899E-03    0.18992E+00
    0.32544E-03    0.19364E+00
    0.33201E-03    0.19743E+00
    0.33872E-03    0.20129E+00
    0.34556E-03    0.20522E+00
    0.35254E-03    0.20924E+00
    0.35966E-03    0.21333E+00
    0.36693E-03    0.21750E+00
    0.37434E-03    0.22175E+00
    0.38190E-03    0.22609E+00
    0.38962E-03    0.23051E+00
    0.39749E-03    0.23501E+00
    0.40552E-03    0.23960E+00
    0.41371E-03    0.24429E+00
    0.42207E-03    0.24906E+00
    0.43060E-03    0.25393E+00
    0.43929E-03    0.25889E+00
    0.44817E-03    0.26394E+00
    0.45722E-03    0.26910E+00
    0.46646E-03    0.27435E+00
    0.47588E-03    0.27971E+00
    0.48550E-03    0.28517E+00
    0.49530E-03    0.29074E+00
    0.50531E-03    0.29641E+00
    0.51552E-03    0.30220E+00
    0.52593E-03    0.30809E+00
    0.53656E-03    0.31410E+00
    0.54739E-03    0.32023E+00
    0.55845E-03    0.32648E+00
    0.56973E-03    0.33284E+00
    0.58124E-03    0.33933E+00
    0.59299E-03    0.34595E+00
    0.60496E-03    0.35269E+00
    0.61719E-03    0.35956E+00
    0.62965E-03    0.36656E+00
    0.64237E-03    0.37370E+00
    0.65535E-03    0.38098E+00
    0.66859E-03    0.38839E+00
    0.68210E-03    0.39595E+00
    0.69588E-03    0.40365E+00
    0.70993E-03    0.41150E+00
    0.72427E-03    0.41951E+00
    0.73891E-03    0.42766E+00
    0.75383E-03    0.43597E+00
    0.76906E-03    0.44444E+00
    0.78460E-03    0.45307E+00
    0.80045E-03    0.46186E+00
    0.81662E-03    0.47082E+00
    0.83311E-03    0.47996E+00
    0.84994E-03    0.48926E+00
    0.86711E-03    0.49875E+00
    0.88463E-03    0.50841E+00
    0.90250E-03    0.51825E+00
    0.92073E-03    0.52828E+00
    0.93933E-03    0.53850E+00
    0.95831E-03    0.54891E+00
    0.97767E-03    0.55952E+00
    0.99742E-03    0.57033E+00
    0.10176E-02    0.58134E+00
    0.10381E-02    0.59255E+00
    0.10591E-02    0.60398E+00
    0.10805E-02    0.61561E+00
    0.11023E-02    0.62746E+00
    0.11246E-02    0.63954E+00
    0.11473E-02    0.65183E+00
    0.11705E-02    0.66436E+00
    0.11941E-02    0.67711E+00
    0.12182E-02    0.69010E+00
    0.12429E-02    0.70332E+00
    0.12680E-02    0.71679E+00
    0.12936E-02    0.73050E+00
    0.13197E-02    0.74446E+00
    0.13464E-02    0.75868E+00
    0.13736E-02    0.77315E+00
    0.14013E-02    0.78788E+00
    0.14296E-02    0.80287E+00
    0.14585E-02    0.81813E+00
    0.14880E-02    0.83366E+00
    0.15180E-02    0.84947E+00
    0.15487E-02    0.86556E+00
    0.15800E-02    0.88193E+00
    0.16119E-02    0.89858E+00
    0.16445E-02    0.91552E+00
    0.16777E-02    0.93276E+00
    0.17116E-02    0.95029E+00
    0.17462E-02    0.96812E+00
    0.17814E-02    0.98626E+00
    0.18174E-02    0.10047E+01
    0.18541E-02    0.10235E+01
    0.18916E-02    0.10425E+01
    0.19298E-02    0.10619E+01
    0.19688E-02    0.10816E+01
    0.20086E-02    0.11016E+01
    0.20491E-02    0.11220E+01
    0.20905E-02    0.11426E+01
    0.21328E-02    0.11637E+01
    0.21758E-02    0.11850E+01
    0.22198E-02    0.12067E+01
    0.22646E-02    0.12287E+01
    0.23104E-02    0.12510E+01
    0.23571E-02    0.12737E+01
    0.24047E-02    0.12967E+01
    0.24533E-02    0.13201E+01
    0.25028E-02    0.13438E+01
    0.25534E-02    0.13678E+01
    0.26050E-02    0.13922E+01
    0.26576E-02    0.14170E+01
    0.27113E-02    0.14420E+01
    0.27660E-02    0.14675E+01
    0.28219E-02    0.14932E+01
    0.28789E-02    0.15193E+01
    0.29371E-02    0.15458E+01
    0.29964E-02    0.15726E+01
    0.30569E-02    0.15997E+01
    0.31187E-02    0.16271E+01
    0.31817E-02    0.16549E+01
    0.32460E-02    0.16830E+01
    0.33115E-02    0.17114E+01
    0.33784E-02    0.17401E+01
    0.34467E-02    0.17692E+01
    0.35163E-02    0.17985E+01
    0.35874E-02    0.18282E+01
    0.36598E-02    0.18581E+01
    0.37338E-02    0.18883E+01
    0.38092E-02    0.19188E+01
    0.38861E-02    0.19495E+01
    0.39646E-02    0.19806E+01
    0.40447E-02    0.20118E+01
    0.41264E-02    0.20433E+01
    0.42098E-02    0.20751E+01
    0.42948E-02    0.21070E+01
    0.43816E-02    0.21392E+01
    0.44701E-02    0.21715E+01
    0.45604E-02    0.22040E+01
    0.46525E-02    0.22367E+01
    0.47465E-02    0.22696E+01
    0.48424E-02    0.23025E+01
    0.49402E-02    0.23356E+01
    0.50400E-02    0.23689E+01
    0.51419E-02    0.24021E+01
    0.52457E-02    0.24355E+01
    0.53517E-02    0.24689E+01
    0.54598E-02    0.25024E+01
    0.55701E-02    0.25359E+01
    0.56826E-02    0.25694E+01
    0.57974E-02    0.26029E+01
    0.59145E-02    0.26363E+01
    0.60340E-02    0.26697E+01
    0.61559E-02    0.27030E+01
    0.62803E-02    0.27363E+01
    0.64072E-02    0.27694E+01
    0.65366E-02    0.28024E+01
    0.66686E-02    0.28352E+01
    0.68033E-02    0.28679E+01
    0.69408E-02    0.29003E+01
    0.70810E-02    0.29326E+01
    0.72240E-02    0.29646E+01
    0.73700E-02    0.29963E+01
    0.75189E-02    0.30278E+01
    0.76708E-02    0.30590E+01
    0.78257E-02    0.30898E+01
    0.79838E-02    0.31203E+01
    0.81451E-02    0.31505E+01
    0.83096E-02    0.31802E+01
    0.84775E-02    0.32095E+01
    0.86488E-02    0.32383E+01
    0.88235E-02    0.32667E+01
    0.90017E-02    0.32945E+01
    0.91836E-02    0.33218E+01
    0.93691E-02    0.33485E+01
    0.95583E-02    0.33746E+01
    0.97514E-02    0.34001E+01
    0.99484E-02    0.34248E+01
    0.10149E-01    0.34489E+01
    0.10354E-01    0.34722E+01
    0.10564E-01    0.34947E+01
    0.10777E-01    0.35163E+01
    0.10995E-01    0.35371E+01
    0.11217E-01    0.35570E+01
    0.11443E-01    0.35758E+01
    0.11675E-01    0.35937E+01
    0.11910E-01    0.36105E+01
    0.12151E-01    0.36261E+01
    0.12397E-01    0.36407E+01
    0.12647E-01    0.36540E+01
    0.12902E-01    0.36661E+01
    0.13163E-01    0.36769E+01
    0.13429E-01    0.36864E+01
    0.13700E-01    0.36946E+01
    0.13977E-01    0.37013E+01
    0.14259E-01    0.37067E+01
    0.14547E-01    0.37105E+01
    0.14841E-01    0.37129E+01
    0.15141E-01    0.37138E+01
    0.15447E-01    0.37131E+01
    0.15759E-01    0.37108E+01
    0.16077E-01    0.37069E+01
    0.16402E-01    0.37014E+01
    0.16734E-01    0.36943E+01
    0.17072E-01    0.36854E+01
    0.17416E-01    0.36749E+01
    0.17768E-01    0.36626E+01
    0.18127E-01    0.36486E+01
    0.18493E-01    0.36329E+01
    0.18867E-01    0.36153E+01
    0.19248E-01    0.35959E+01
    0.19637E-01    0.35748E+01
    0.20034E-01    0.35518E+01
    0.20438E-01    0.35270E+01
    0.20851E-01    0.35004E+01
    0.21272E-01    0.34720E+01
    0.21702E-01    0.34419E+01
    0.22141E-01    0.34100E+01
    0.22588E-01    0.33765E+01
    0.23044E-01    0.33413E+01
    0.23510E-01    0.33045E+01
    0.23985E-01    0.32662E+01
    0.24469E-01    0.32264E+01
    0.24964E-01    0.31852E+01
    0.25468E-01    0.31426E+01
    0.25982E-01    0.30988E+01
    0.26507E-01    0.30538E+01
    0.27043E-01    0.30077E+01
    0.27589E-01    0.29605E+01
    0.28146E-01    0.29125E+01
    0.28715E-01    0.28637E+01
    0.29295E-01    0.28142E+01
    0.29887E-01    0.27641E+01
    0.30490E-01    0.27135E+01
    0.31106E-01    0.26627E+01
    0.31735E-01    0.26118E+01
    0.32376E-01    0.25608E+01
    0.33030E-01    0.25099E+01
    0.33697E-01    0.24593E+01
    0.34378E-01    0.24090E+01
    0.35072E-01    0.23593E+01
    0.35781E-01    0.23103E+01
    0.36504E-01    0.22620E+01
    0.37241E-01    0.22147E+01
    0.37993E-01    0.21684E+01
    0.38761E-01    0.21231E+01
    0.39544E-01    0.20792E+01
    0.40343E-01    0.20365E+01
    0.41158E-01    0.19953E+01
    0.41989E-01    0.19556E+01
    0.42838E-01    0.19175E+01
    0.43703E-01    0.18809E+01
    0.44586E-01    0.18460E+01
    0.45486E-01    0.18128E+01
    0.46405E-01    0.17811E+01
    0.47343E-01    0.17510E+01
    0.48299E-01    0.17225E+01
    0.49275E-01    0.16954E+01
    0.50270E-01    0.16697E+01
    0.51286E-01    0.16453E+01
    0.52322E-01    0.16220E+01
    0.53379E-01    0.15998E+01
    0.54457E-01    0.15783E+01
    0.55557E-01    0.15575E+01
    0.56680E-01    0.15370E+01
    0.57825E-01    0.15168E+01
    0.58993E-01    0.14964E+01
    0.60184E-01    0.14758E+01
    0.61400E-01    0.14547E+01
    0.62641E-01    0.14328E+01
    0.63906E-01    0.14099E+01
    0.65197E-01    0.13858E+01
    0.66514E-01    0.13603E+01
    0.67858E-01    0.13333E+01
    0.69229E-01    0.13048E+01
    0.70627E-01    0.12745E+01
    0.72054E-01    0.12426E+01
    0.73510E-01    0.12090E+01
    0.74994E-01    0.11741E+01
    0.76509E-01    0.11379E+01
    0.78055E-01    0.11006E+01
    0.79632E-01    0.10627E+01
    0.81241E-01    0.10243E+01
    0.82882E-01    0.98604E+00
    0.84556E-01    0.94816E+00
    0.86264E-01    0.91110E+00
    0.88007E-01    0.87526E+00
    0.89785E-01    0.84102E+00
    0.91598E-01    0.80871E+00
    0.93449E-01    0.77861E+00
    0.95337E-01    0.75092E+00
    0.97263E-01    0.72580E+00
    0.99227E-01    0.70328E+00
    0.10123E+00    0.68334E+00
    0.10328E+00    0.66585E+00
    0.10536E+00    0.65059E+00
    0.10749E+00    0.63726E+00
    0.10966E+00    0.62549E+00
    0.11188E+00    0.61481E+00
    0.11414E+00    0.60474E+00
    0.11644E+00    0.59475E+00
    0.11880E+00    0.58434E+00
    0.12120E+00    0.57303E+00
    0.12365E+00    0.56042E+00
    0.12614E+00    0.54625E+00
    0.12869E+00    0.53038E+00
    0.13129E+00    0.51283E+00
    0.13394E+00    0.49381E+00
    0.13665E+00    0.47367E+00
    0.13941E+00    0.45289E+00
    0.14223E+00    0.43202E+00
    0.14510E+00    0.41164E+00
    0.14803E+00    0.39231E+00
    0.15102E+00    0.37452E+00
    0.15407E+00    0.35860E+00
    0.15718E+00    0.34475E+00
    0.16036E+00    0.33300E+00
    0.16360E+00    0.32319E+00
    0.16690E+00    0.31501E+00
    0.17028E+00    0.30801E+00
    0.17371E+00    0.30166E+00
    0.17722E+00    0.29538E+00
    0.18080E+00    0.28864E+00
    0.18446E+00    0.28103E+00
    0.18818E+00    0.27230E+00
    0.19198E+00    0.26242E+00
    0.19586E+00    0.25160E+00
    0.19982E+00    0.24021E+00
    0.20386E+00    0.22875E+00
    0.20797E+00    0.21775E+00
    0.21218E+00    0.20764E+00
    0.21646E+00    0.19873E+00
    0.22083E+00    0.19115E+00
    0.22530E+00    0.18479E+00
    0.22985E+00    0.17940E+00
    0.23449E+00    0.17457E+00
    0.23923E+00    0.16987E+00
    0.24406E+00    0.16490E+00
    0.24899E+00    0.15940E+00
    0.25402E+00    0.15333E+00
    0.25915E+00    0.14680E+00
    0.26439E+00    0.14013E+00
    0.26973E+00    0.13365E+00
    0.27518E+00    0.12767E+00
    0.28074E+00    0.12239E+00
    0.28641E+00    0.11781E+00
    0.29219E+00    0.11380E+00
    0.29810E+00    0.11011E+00
    0.30412E+00    0.10646E+00
    0.31026E+00    0.10266E+00
    0.31653E+00    0.98627E-01
